"date","geography","geography code","Gender identity: Total: All usual residents aged 16 years and over","Gender identity: Gender identity the same as sex registered at birth","Gender identity: Gender identity different from sex registered at birth but no specific identity given","Gender identity: Trans woman","Gender identity: Trans man","Gender identity: All other gender identities","Gender identity: Not answered"
2021,"Bromley 001","E02000127",7221,6721,15,7,6,9,463
2021,"Bromley 002","E02000128",6100,5761,18,7,7,3,304
2021,"Bromley 004","E02000130",6820,6303,12,12,7,9,477
2021,"Bromley 005","E02000131",8634,8002,28,9,8,36,551
2021,"Bromley 006","E02000132",8231,7717,10,5,11,4,484
2021,"Bromley 007","E02000133",8699,8230,9,9,6,3,442
2021,"Bromley 008","E02000134",9441,8824,23,8,4,6,576
2021,"Bromley 009","E02000135",7971,7271,32,9,11,9,639
2021,"Bromley 010","E02000136",4654,4370,5,3,2,1,273
2021,"Bromley 011","E02000137",6824,6402,10,2,2,7,401
2021,"Bromley 012","E02000138",7235,6795,9,7,4,5,415
2021,"Bromley 013","E02000139",6139,5742,14,0,3,8,372
2021,"Bromley 014","E02000140",6584,6181,16,3,8,4,372
2021,"Bromley 015","E02000141",5827,5414,13,7,3,7,383
2021,"Bromley 016","E02000142",7007,6552,28,7,3,15,402
2021,"Bromley 018","E02000144",8105,7616,7,6,9,8,459
2021,"Bromley 019","E02000145",6679,6197,26,11,9,3,433
2021,"Bromley 020","E02000146",7731,7281,12,6,14,9,409
2021,"Bromley 021","E02000147",6565,6247,4,9,4,1,300
2021,"Bromley 022","E02000148",5407,5152,7,3,3,2,240
2021,"Bromley 023","E02000149",6500,6117,19,4,4,3,353
2021,"Bromley 024","E02000150",6746,6390,10,6,11,3,326
2021,"Bromley 025","E02000151",6005,5721,7,4,0,0,273
2021,"Bromley 026","E02000152",6130,5746,6,1,3,4,370
2021,"Bromley 027","E02000153",6379,6086,5,4,2,6,276
2021,"Bromley 028","E02000154",6979,6578,7,2,5,3,384
2021,"Bromley 029","E02000155",5971,5600,6,0,6,1,358
2021,"Bromley 030","E02000156",10074,9570,5,1,6,8,484
2021,"Bromley 031","E02000157",6745,6398,2,0,0,6,339
2021,"Bromley 032","E02000158",6125,5726,11,6,3,5,374
2021,"Bromley 033","E02000159",5905,5659,6,4,2,2,232
2021,"Bromley 034","E02000160",6534,6169,8,4,6,3,344
2021,"Bromley 035","E02000161",6916,6522,3,7,3,6,375
2021,"Bromley 036","E02000162",5793,5486,7,6,3,0,291
2021,"Bromley 037","E02000163",6297,5966,3,3,3,4,318
2021,"Bromley 039","E02000165",5786,5495,8,4,4,3,272
2021,"Camden 001","E02000166",6527,6063,20,7,3,12,422
2021,"Camden 002","E02000167",6002,5549,7,7,4,16,419
2021,"Camden 003","E02000168",6623,6166,19,2,7,16,413
2021,"Camden 004","E02000169",5758,5321,9,5,5,6,412
2021,"Camden 005","E02000170",6580,6065,15,8,8,12,472
2021,"Camden 006","E02000171",6212,5729,12,6,5,10,450
2021,"Camden 007","E02000172",8165,7382,41,5,8,16,713
2021,"Camden 008","E02000173",6173,5667,13,5,6,15,467
2021,"Camden 009","E02000174",6761,6166,20,12,7,16,540
2021,"Camden 010","E02000175",7879,7276,21,10,8,6,558
2021,"Camden 011","E02000176",4968,4588,7,5,3,10,355
2021,"Camden 012","E02000177",7098,6440,33,6,4,6,609
2021,"Camden 013","E02000178",7610,6914,44,15,11,11,615
2021,"Camden 014","E02000179",4721,4317,13,7,6,8,370
2021,"Camden 015","E02000180",6742,6112,24,7,16,22,561
2021,"Camden 016","E02000181",6842,6312,11,13,10,11,485
2021,"Camden 017","E02000182",5785,5183,16,5,4,6,571
2021,"Camden 018","E02000183",6444,5987,14,10,7,12,414
2021,"Camden 019","E02000184",7748,6961,33,8,11,20,715
2021,"Camden 020","E02000185",7265,6484,60,17,14,14,676
2021,"Camden 021","E02000186",5436,4945,22,8,6,17,438
2021,"Camden 022","E02000187",7987,7178,37,20,9,13,730
2021,"Camden 023","E02000188",5928,5200,38,10,16,16,648
2021,"Camden 026","E02000191",5022,4507,13,3,7,6,486
2021,"Camden 027","E02000192",5740,5173,22,6,9,12,518
2021,"Camden 028","E02000193",5501,4965,9,8,6,13,500
2021,"Croydon 001","E02000194",7483,6960,27,18,13,11,454
2021,"Croydon 002","E02000195",7738,6998,21,9,14,8,688
2021,"Croydon 003","E02000196",6480,5809,34,11,14,6,606
2021,"Croydon 004","E02000197",7315,6620,33,13,10,4,635
2021,"Croydon 005","E02000198",7013,6321,63,17,12,12,588
2021,"Croydon 006","E02000199",6749,6117,35,15,13,5,564
2021,"Croydon 007","E02000200",7350,6741,22,10,8,7,562
2021,"Croydon 008","E02000201",6783,6094,45,37,38,5,564
2021,"Croydon 009","E02000202",7147,6342,52,17,11,3,722
2021,"Croydon 010","E02000203",6292,5531,38,17,18,6,682
2021,"Croydon 011","E02000204",7611,6757,52,13,22,7,760
2021,"Croydon 013","E02000206",8346,7543,58,19,22,15,689
2021,"Croydon 014","E02000207",7212,6566,24,10,9,8,595
2021,"Croydon 015","E02000208",8126,7247,64,20,19,6,770
2021,"Croydon 016","E02000209",7002,6314,46,17,22,4,599
2021,"Croydon 017","E02000210",6942,6346,24,12,7,6,547
2021,"Croydon 018","E02000211",6826,6399,12,4,7,5,399
2021,"Croydon 019","E02000212",7203,6376,88,16,23,7,693
2021,"Croydon 020","E02000213",9890,8864,86,19,29,13,879
2021,"Croydon 021","E02000214",5086,4737,14,7,4,3,321
2021,"Croydon 022","E02000215",9619,8778,49,7,10,13,762
2021,"Croydon 023","E02000216",5752,5292,23,8,17,6,406
2021,"Croydon 024","E02000217",9313,8479,60,26,17,19,712
2021,"Croydon 025","E02000218",5128,4766,18,13,4,3,324
2021,"Croydon 026","E02000219",6508,6120,9,2,8,6,363
2021,"Croydon 028","E02000221",8358,7648,45,9,11,4,641
2021,"Croydon 029","E02000222",6726,6298,35,4,7,4,378
2021,"Croydon 030","E02000223",6015,5556,18,9,8,4,420
2021,"Croydon 031","E02000224",6405,5914,73,12,12,3,391
2021,"Croydon 032","E02000225",5828,5428,19,5,9,2,365
2021,"Croydon 033","E02000226",6283,5907,12,9,2,1,352
2021,"Croydon 034","E02000227",9377,8824,23,7,10,1,512
2021,"Croydon 035","E02000228",6396,6028,7,5,6,2,348
2021,"Croydon 036","E02000229",4728,4386,12,9,5,3,313
2021,"Croydon 037","E02000230",8571,7911,22,11,9,4,614
2021,"Croydon 038","E02000231",6544,6056,5,3,8,6,466
2021,"Croydon 039","E02000232",5070,4729,9,4,3,3,322
2021,"Croydon 040","E02000233",4998,4663,13,2,3,0,317
2021,"Croydon 041","E02000234",7419,6914,29,6,9,6,455
2021,"Croydon 042","E02000235",5607,5269,8,6,3,8,313
2021,"Croydon 043","E02000236",7068,6651,12,9,9,4,383
2021,"Croydon 044","E02000237",6125,5707,9,8,1,6,394
2021,"Ealing 001","E02000238",8609,7673,57,7,15,1,856
2021,"Ealing 002","E02000239",7456,6725,46,5,6,5,669
2021,"Ealing 003","E02000240",8734,7917,37,14,12,1,753
2021,"Ealing 004","E02000241",5908,5306,26,16,11,2,547
2021,"Ealing 005","E02000242",5644,4970,44,6,5,2,617
2021,"Ealing 006","E02000243",7115,6338,29,10,8,1,729
2021,"Ealing 007","E02000244",6386,5766,38,6,9,2,565
2021,"Ealing 008","E02000245",6941,6314,46,18,12,1,550
2021,"Ealing 009","E02000246",7195,6453,53,12,24,6,647
2021,"Ealing 010","E02000247",8649,7725,38,10,13,4,859
2021,"Ealing 011","E02000248",6142,5487,22,8,7,5,613
2021,"Ealing 012","E02000249",6681,5977,42,30,31,3,598
2021,"Ealing 013","E02000250",5212,4822,12,17,5,5,351
2021,"Ealing 014","E02000251",6645,5970,72,8,14,3,578
2021,"Ealing 015","E02000252",10460,9318,65,30,23,24,1000
2021,"Ealing 016","E02000253",8046,7237,44,12,14,9,730
2021,"Ealing 017","E02000254",7494,6532,96,17,33,1,815
2021,"Ealing 018","E02000255",7876,7216,28,7,9,7,609
2021,"Ealing 019","E02000256",7781,7123,15,6,6,6,625
2021,"Ealing 021","E02000258",5484,4859,30,7,16,4,568
2021,"Ealing 022","E02000259",5161,4743,16,6,8,4,384
2021,"Ealing 023","E02000260",7832,6891,72,15,34,3,817
2021,"Ealing 024","E02000261",10373,9275,62,16,19,8,993
2021,"Ealing 025","E02000262",7599,6839,36,18,16,9,681
2021,"Ealing 026","E02000263",10847,9658,113,30,47,5,994
2021,"Ealing 027","E02000264",7290,6567,23,8,12,16,664
2021,"Ealing 028","E02000265",9081,8242,31,22,20,24,742
2021,"Ealing 029","E02000266",10328,9310,73,19,22,3,901
2021,"Ealing 030","E02000267",6419,5804,39,4,3,9,560
2021,"Ealing 031","E02000268",7796,7201,22,5,7,10,551
2021,"Ealing 032","E02000269",6594,6090,16,5,7,7,469
2021,"Ealing 033","E02000270",7769,7101,47,15,14,13,579
