"date","geography","geography code","Gender identity: Total: All usual residents aged 16 years and over","Gender identity: Gender identity the same as sex registered at birth","Gender identity: Gender identity different from sex registered at birth but no specific identity given","Gender identity: Trans woman","Gender identity: Trans man","Gender identity: All other gender identities","Gender identity: Not answered"
2021,"Tower Hamlets 017","E02000880",5201,4656,31,10,14,10,480
2021,"Tower Hamlets 018","E02000881",8331,7538,51,18,15,19,690
2021,"Tower Hamlets 019","E02000882",8884,8067,46,10,9,13,739
2021,"Tower Hamlets 020","E02000883",7068,6381,44,10,17,10,606
2021,"Tower Hamlets 021","E02000884",10818,9712,73,16,12,24,981
2021,"Tower Hamlets 022","E02000885",5508,4925,63,5,13,10,492
2021,"Tower Hamlets 023","E02000886",7944,7163,41,11,17,17,695
2021,"Tower Hamlets 024","E02000887",8344,7440,54,13,10,14,813
2021,"Tower Hamlets 025","E02000888",6928,6160,52,8,10,13,685
2021,"Tower Hamlets 026","E02000889",7441,6758,30,8,6,9,630
2021,"Tower Hamlets 027","E02000890",5171,4789,10,4,1,8,359
2021,"Tower Hamlets 030","E02000893",5981,5457,33,9,4,7,471
2021,"Tower Hamlets 031","E02000894",9018,8211,28,11,10,13,745
2021,"Waltham Forest 001","E02000895",6837,6321,23,7,12,3,471
2021,"Waltham Forest 002","E02000896",7649,7142,14,5,12,2,474
2021,"Waltham Forest 003","E02000897",6869,6355,17,10,5,1,481
2021,"Waltham Forest 004","E02000898",6487,5974,22,8,8,2,473
2021,"Waltham Forest 005","E02000899",7108,6512,27,11,10,2,546
2021,"Waltham Forest 006","E02000900",7044,6387,22,15,11,8,601
2021,"Waltham Forest 007","E02000901",8390,7832,26,7,3,9,513
2021,"Waltham Forest 008","E02000902",7584,6966,37,11,7,9,554
2021,"Waltham Forest 009","E02000903",7975,7247,40,12,7,14,655
2021,"Waltham Forest 010","E02000904",6654,6093,40,15,9,5,492
2021,"Waltham Forest 011","E02000905",8009,7305,40,9,13,11,631
2021,"Waltham Forest 012","E02000906",7597,6839,54,13,13,22,656
2021,"Waltham Forest 013","E02000907",8139,7235,68,17,19,15,785
2021,"Waltham Forest 014","E02000908",10470,9484,54,36,27,18,851
2021,"Waltham Forest 015","E02000909",7263,6704,30,12,9,9,499
2021,"Waltham Forest 016","E02000910",9280,8352,89,31,57,21,730
2021,"Waltham Forest 017","E02000911",10373,9064,65,21,22,30,1171
2021,"Waltham Forest 018","E02000912",7758,6931,38,9,27,11,742
2021,"Waltham Forest 019","E02000913",7541,6852,32,8,9,6,634
2021,"Waltham Forest 020","E02000914",9257,8223,59,14,23,13,925
2021,"Waltham Forest 021","E02000915",6697,6143,43,11,6,14,480
2021,"Waltham Forest 022","E02000916",8482,7648,47,16,17,16,738
2021,"Waltham Forest 023","E02000917",7716,6984,47,18,12,9,646
2021,"Waltham Forest 024","E02000918",7557,6821,89,7,7,19,614
2021,"Waltham Forest 025","E02000919",7620,6770,67,18,15,14,736
2021,"Waltham Forest 026","E02000920",8373,7572,64,15,21,12,689
2021,"Waltham Forest 027","E02000921",9124,8132,56,22,19,13,882
2021,"Waltham Forest 028","E02000922",8330,7418,50,17,22,26,797
2021,"Wandsworth 001","E02000923",6531,5889,11,5,7,9,610
2021,"Wandsworth 003","E02000925",6481,5861,29,7,13,14,557
2021,"Wandsworth 004","E02000926",10059,9335,25,9,18,17,655
2021,"Wandsworth 005","E02000927",6128,5713,13,4,10,5,383
2021,"Wandsworth 006","E02000928",6952,6579,3,5,4,7,354
2021,"Wandsworth 007","E02000929",6562,6021,38,9,14,2,478
2021,"Wandsworth 008","E02000930",8850,8295,12,8,6,10,519
2021,"Wandsworth 009","E02000931",7104,6762,5,3,0,7,327
2021,"Wandsworth 010","E02000932",11134,10524,20,6,7,10,567
2021,"Wandsworth 011","E02000933",7534,7080,11,7,6,6,424
2021,"Wandsworth 012","E02000934",7926,7461,14,10,5,7,429
2021,"Wandsworth 013","E02000935",5740,5063,41,21,19,20,576
2021,"Wandsworth 014","E02000936",8153,7629,19,14,8,6,477
2021,"Wandsworth 015","E02000937",6388,6073,5,2,4,2,302
2021,"Wandsworth 016","E02000938",8594,7782,35,23,15,19,720
2021,"Wandsworth 017","E02000939",5993,5673,3,7,3,1,306
2021,"Wandsworth 018","E02000940",7892,7223,22,15,5,5,622
2021,"Wandsworth 019","E02000941",8209,7770,14,7,6,4,408
2021,"Wandsworth 020","E02000942",7881,7427,19,1,5,7,422
2021,"Wandsworth 021","E02000943",7494,7069,15,5,3,11,391
2021,"Wandsworth 022","E02000944",6102,5360,18,10,10,3,701
2021,"Wandsworth 023","E02000945",6271,5629,28,16,13,19,566
2021,"Wandsworth 024","E02000946",7149,6648,17,5,15,9,455
2021,"Wandsworth 025","E02000947",7518,7104,9,6,2,5,392
2021,"Wandsworth 026","E02000948",8705,8238,18,7,5,13,424
2021,"Wandsworth 027","E02000949",8483,8080,17,13,1,7,365
2021,"Wandsworth 028","E02000950",6225,5722,22,12,6,7,456
2021,"Wandsworth 029","E02000951",5585,5212,7,9,3,5,349
2021,"Wandsworth 030","E02000952",5244,4949,10,13,6,1,265
2021,"Wandsworth 031","E02000953",6257,5858,18,5,7,5,364
2021,"Wandsworth 032","E02000954",5135,4749,16,19,4,8,339
2021,"Wandsworth 033","E02000955",5735,5236,23,12,7,4,453
2021,"Wandsworth 034","E02000956",6367,5792,33,12,9,5,516
2021,"Wandsworth 035","E02000957",9125,8357,39,10,11,23,685
2021,"Wandsworth 036","E02000958",6695,6140,18,9,11,13,504
2021,"Wandsworth 037","E02000959",6319,5829,32,11,18,5,424
2021,"Westminster 001","E02000960",5223,4788,10,4,7,4,410
2021,"Westminster 002","E02000961",8023,6992,19,11,9,12,980
2021,"Westminster 003","E02000962",6726,5921,17,6,8,11,763
2021,"Westminster 004","E02000963",8647,7857,27,14,5,14,730
2021,"Westminster 005","E02000964",10292,9254,64,14,20,13,927
2021,"Westminster 006","E02000965",6799,6294,15,11,3,7,469
2021,"Westminster 007","E02000966",7962,7001,11,1,2,4,943
2021,"Westminster 008","E02000967",5428,4900,11,3,7,10,497
2021,"Westminster 009","E02000968",12042,10727,95,23,24,11,1162
2021,"Westminster 010","E02000969",7837,6973,59,21,9,9,766
2021,"Westminster 011","E02000970",6128,5548,7,2,3,2,566
2021,"Westminster 012","E02000971",6749,6034,28,8,7,8,664
2021,"Westminster 013","E02000972",7269,6610,24,25,12,6,592
2021,"Westminster 014","E02000973",8789,8082,16,7,31,7,646
2021,"Westminster 015","E02000974",7688,6832,45,12,10,7,782
2021,"Westminster 016","E02000975",6753,6024,24,9,3,7,686
2021,"Westminster 017","E02000976",7513,6650,17,8,6,6,826
2021,"Westminster 018","E02000977",5919,5340,40,7,5,9,518
2021,"Westminster 019","E02000978",6263,5691,13,9,4,3,543
2021,"Westminster 020","E02000979",7084,6414,9,11,13,11,626
2021,"Westminster 021","E02000980",7653,7025,27,13,10,6,572
2021,"Westminster 022","E02000981",7520,6926,26,6,9,11,542
2021,"Westminster 023","E02000982",6578,5927,32,25,14,2,578
2021,"Westminster 024","E02000983",6592,5965,20,8,12,7,580
2021,"Bromley 040","E02006782",6503,6077,11,3,8,7,397
2021,"Lewisham 037","E02006783",5900,5350,39,11,13,9,478
2021,"Lewisham 038","E02006784",6348,5793,24,21,14,4,492
2021,"Bexley 029","E02006785",5395,5030,16,0,7,1,341
2021,"Greenwich 033","E02006786",5862,5391,19,15,13,3,421
2021,"Bromley 041","E02006787",6152,5764,11,2,10,3,362
2021,"Croydon 045","E02006788",5924,5425,23,17,16,8,435
2021,"Bromley 042","E02006789",5672,5405,8,3,2,1,253
2021,"Ealing 040","E02006791",6324,5847,17,9,7,4,440
2021,"Hounslow 029","E02006792",7660,7076,10,6,6,6,556
2021,"Enfield 037","E02006793",7327,6465,99,21,21,5,716
2021,"Haringey 037","E02006794",6274,5497,91,21,15,8,642
2021,"Harrow 032","E02006795",6610,5854,26,17,12,7,694
2021,"Hillingdon 033","E02006796",7722,7204,23,8,9,6,472
2021,"Lewisham 039","E02006798",7414,6655,19,29,24,46,641
2021,"Barking and Dagenham 023","E02006799",8778,8019,49,23,19,2,666
2021,"Redbridge 034","E02006800",11271,9999,95,16,14,6,1141
2021,"Lambeth 036","E02006801",7749,7082,16,18,11,22,600
2021,"Southwark 034","E02006802",8068,7349,29,12,17,25,636
2021,"Sutton 025","E02006836",7016,6566,10,2,8,4,426
2021,"Tower Hamlets 032","E02006853",9119,8268,34,9,13,7,788
2021,"Tower Hamlets 033","E02006854",6208,5671,28,6,4,5,494
2021,"Harrow 033","E02006882",11922,10587,58,29,18,4,1226
2021,"Hackney 028","E02006918",6335,5606,29,17,8,16,659
2021,"Hackney 029","E02006921",5550,4429,41,7,9,12,1052
2021,"Redbridge 035","E02006924",10924,9850,35,22,13,4,1000
2021,"Redbridge 036","E02006925",11723,10737,34,10,22,3,917
2021,"Greenwich 034","E02006927",9908,9201,28,11,10,15,643
2021,"Greenwich 035","E02006928",10277,9423,28,13,17,26,770
2021,"Greenwich 037","E02006930",8122,7597,14,10,16,16,469
2021,"Greenwich 038","E02006931",7861,7275,32,11,10,16,517
2021,"Southwark 035","E02006941",5020,4675,5,7,3,11,319
2021,"Southwark 036","E02006942",5859,5395,16,6,7,7,428
2021,"Barnet 042","E02006953",7513,6801,28,9,15,6,654
2021,"Barnet 043","E02006954",8051,7256,59,17,19,4,696
2021,"Brent 035","E02006955",6412,5716,20,12,18,21,625
2021,"Brent 036","E02006956",7385,6523,50,11,20,8,773
2021,"Ealing 041","E02006968",6878,6222,13,6,8,7,622
2021,"Ealing 042","E02006969",5482,5028,21,6,8,13,406
2021,"Ealing 043","E02006970",5659,5078,62,22,31,0,466
2021,"Ealing 044","E02006971",6498,5793,54,11,20,4,616
2021,"Hounslow 030","E02006972",4288,3917,26,7,11,2,325
2021,"Hounslow 031","E02006973",6814,6254,32,7,10,6,505
2021,"Croydon 046","E02006987",6329,5713,15,14,21,6,560
2021,"Croydon 047","E02006988",5710,5172,32,11,35,2,458
2021,"Greenwich 039","E02006991",5636,5249,9,4,1,13,360
2021,"Greenwich 040","E02006992",6795,6358,25,8,9,11,384
2021,"Greenwich 041","E02006993",6850,6348,15,8,7,9,463
2021,"Greenwich 042","E02006994",6056,5512,32,10,17,10,475
2021,"Newham 038","E02006995",7287,6766,22,6,7,15,471
2021,"Newham 039","E02006996",7194,6405,29,13,14,16,717
2021,"Newham 040","E02006997",6005,5551,28,9,4,9,404
2021,"Newham 041","E02006998",5482,4966,21,10,14,10,461
2021,"Newham 042","E02006999",9351,8652,40,16,12,5,626
2021,"Lewisham 040","E02007008",4932,4537,22,6,9,13,345
2021,"Lewisham 041","E02007009",7568,6920,39,11,13,17,568
2021,"Redbridge 037","E02007017",6626,6065,41,9,12,3,496
2021,"Redbridge 038","E02007018",5374,4822,36,9,10,7,490
2021,"Redbridge 039","E02007019",5289,4586,43,11,11,3,635
2021,"Redbridge 040","E02007020",7397,6541,67,13,13,4,759
2021,"Wandsworth 038","E02007083",6745,6318,6,1,3,8,409
2021,"Wandsworth 039","E02007084",8289,7580,32,12,15,11,639
2021,"Hackney 030","E02007108",5313,4909,19,6,3,17,359
2021,"Hackney 031","E02007109",6495,5895,41,3,3,23,530
2021,"Hackney 032","E02007110",6358,5819,22,18,7,11,481
2021,"Hackney 033","E02007111",5462,4980,14,12,6,28,422
2021,"Tower Hamlets 034","E02007112",5234,4828,7,4,5,7,383
2021,"Tower Hamlets 035","E02007113",6101,5606,21,6,6,5,457
2021,"Tower Hamlets 036","E02007114",6347,5619,28,5,10,7,678
2021,"Camden 029","E02007115",10385,9234,33,25,16,26,1051
