"date","geography","geography code","Distance travelled to work: Total: All usual residents aged 16 years and over in employment the week before the census","Distance travelled to work: Less than 2km","Distance travelled to work: 2km to less than 5km","Distance travelled to work: 5km to less than 10km","Distance travelled to work: 10km to less than 20km","Distance travelled to work: 20km to less than 30km","Distance travelled to work: 30km to less than 40km","Distance travelled to work: 40km to less than 60km","Distance travelled to work: 60km and over","Distance travelled to work: Works mainly from home","Distance travelled to work: Works mainly at an offshore installation, in no fixed place, or outside the UK"
2021,"Brent 013","E02000105",4613,305,890,617,689,68,26,17,64,1047,890
2021,"Brent 014","E02000106",4486,312,641,815,419,45,25,27,29,931,1242
2021,"Brent 015","E02000107",5527,296,703,1132,345,58,8,13,31,1943,998
2021,"Brent 016","E02000108",3514,223,622,503,614,50,26,16,24,828,608
2021,"Brent 018","E02000110",3976,186,470,717,273,35,7,13,31,1601,643
2021,"Brent 019","E02000111",5305,638,1244,734,724,91,14,17,44,1027,772
2021,"Brent 020","E02000112",6084,870,1287,848,812,61,22,36,53,1159,936
2021,"Brent 021","E02000113",3442,454,523,591,347,39,13,12,21,657,785
2021,"Brent 022","E02000114",4798,245,597,1030,271,20,12,10,26,1792,795
2021,"Brent 023","E02000115",4435,177,462,743,240,41,12,19,15,2202,524
2021,"Brent 024","E02000116",3721,246,621,876,240,38,12,14,25,831,818
2021,"Brent 025","E02000117",5020,485,844,973,374,55,17,11,50,1078,1133
2021,"Brent 026","E02000118",5649,1247,967,822,656,76,13,18,65,826,959
2021,"Brent 027","E02000119",4420,505,559,800,429,62,18,15,47,1201,784
2021,"Brent 028","E02000120",5050,306,708,751,168,35,6,9,32,2458,577
2021,"Brent 029","E02000121",5893,1075,1009,822,693,71,29,20,62,1228,884
2021,"Brent 030","E02000122",4091,245,429,623,157,44,5,6,24,2100,458
2021,"Brent 031","E02000123",6206,537,890,1174,422,79,14,17,52,1742,1279
2021,"Brent 032","E02000124",5303,266,598,727,156,33,2,16,14,2925,566
2021,"Brent 033","E02000125",5227,303,610,808,259,42,9,7,25,2454,710
2021,"Brent 034","E02000126",3766,322,678,525,222,52,3,12,23,1358,571
2021,"Bromley 001","E02000127",4263,180,518,612,632,52,30,11,30,1408,790
2021,"Bromley 002","E02000128",3743,150,348,382,482,51,34,14,17,1724,541
2021,"Bromley 004","E02000130",4558,215,308,511,553,35,20,10,24,2430,452
2021,"Bromley 005","E02000131",6240,236,363,704,766,46,11,24,31,3357,702
2021,"Bromley 006","E02000132",5536,268,401,566,723,55,29,7,17,2876,594
2021,"Bromley 007","E02000133",5209,147,344,387,670,62,45,13,35,3128,378
2021,"Bromley 008","E02000134",6144,465,434,631,782,63,33,18,33,2940,745
2021,"Bromley 009","E02000135",4865,340,408,693,729,63,20,15,39,1782,776
2021,"Bromley 010","E02000136",2497,142,242,302,315,77,27,4,15,1021,352
2021,"Bromley 011","E02000137",4255,255,304,358,505,58,26,15,24,2218,492
2021,"Bromley 012","E02000138",4371,168,302,380,501,38,17,6,22,2475,462
2021,"Bromley 013","E02000139",4141,226,269,357,478,36,25,8,15,2290,437
2021,"Bromley 014","E02000140",3815,314,415,531,533,173,30,19,34,1044,722
2021,"Bromley 015","E02000141",3912,207,298,422,493,48,11,9,15,1903,506
2021,"Bromley 016","E02000142",4414,289,337,335,576,58,38,10,19,2263,489
2021,"Bromley 018","E02000144",5502,328,402,443,750,84,29,7,23,2839,597
2021,"Bromley 019","E02000145",3938,262,395,492,570,279,32,19,30,1160,699
2021,"Bromley 020","E02000146",5153,331,454,412,679,97,47,7,21,2508,597
2021,"Bromley 021","E02000147",3773,219,301,334,413,35,23,6,17,2025,400
2021,"Bromley 022","E02000148",3134,116,327,211,351,58,36,7,12,1670,346
2021,"Bromley 023","E02000149",3982,301,452,350,532,209,43,18,33,1427,617
2021,"Bromley 024","E02000150",4170,291,408,426,422,45,19,9,9,2029,512
2021,"Bromley 025","E02000151",3509,155,293,200,357,131,22,5,6,1985,355
2021,"Bromley 026","E02000152",3743,216,489,298,468,92,36,13,18,1471,642
2021,"Bromley 027","E02000153",3941,188,448,387,421,53,18,11,23,1871,521
2021,"Bromley 028","E02000154",4229,295,409,284,430,240,16,13,29,2018,495
2021,"Bromley 029","E02000155",3282,223,341,292,367,262,25,10,15,1165,582
2021,"Bromley 030","E02000156",5784,320,512,588,639,75,21,20,23,2817,769
2021,"Bromley 031","E02000157",3921,291,289,260,376,170,29,16,20,2025,445
2021,"Bromley 032","E02000158",3372,264,327,266,331,255,19,12,13,1381,504
2021,"Bromley 033","E02000159",3352,194,322,286,385,101,33,12,26,1542,451
2021,"Bromley 034","E02000160",3806,168,402,414,413,66,21,9,18,1717,578
2021,"Bromley 035","E02000161",4144,314,271,299,385,288,31,14,28,2054,460
2021,"Bromley 036","E02000162",3152,270,268,302,305,176,24,17,19,1305,466
2021,"Bromley 037","E02000163",3689,151,261,324,329,278,30,18,20,1828,450
2021,"Bromley 039","E02000165",3724,235,73,550,605,282,29,27,15,1138,770
2021,"Camden 001","E02000166",3673,245,343,406,99,21,13,15,16,2191,324
2021,"Camden 002","E02000167",3828,212,204,398,80,20,4,4,17,2680,209
2021,"Camden 003","E02000168",4336,320,483,395,102,18,1,4,23,2637,353
2021,"Camden 004","E02000169",3573,106,212,432,96,16,3,6,19,2472,211
2021,"Camden 005","E02000170",4447,187,320,598,173,26,14,5,20,2737,367
2021,"Camden 006","E02000171",3958,313,375,340,100,29,5,10,16,2416,354
2021,"Camden 007","E02000172",4313,574,658,458,135,29,7,19,23,1928,482
2021,"Camden 008","E02000173",4120,426,308,346,106,15,5,12,12,2633,257
2021,"Camden 009","E02000174",4070,369,583,353,93,23,0,4,26,2245,374
2021,"Camden 010","E02000175",5329,251,385,652,189,34,19,12,26,3419,342
2021,"Camden 011","E02000176",3463,195,280,265,92,15,5,7,15,2410,179
2021,"Camden 012","E02000177",4041,449,572,335,97,9,11,9,25,2079,455
2021,"Camden 013","E02000178",4827,247,546,752,205,29,10,5,19,2531,483
2021,"Camden 014","E02000179",2856,214,308,245,65,14,5,5,22,1724,254
2021,"Camden 015","E02000180",4059,363,608,301,120,23,9,17,27,2187,404
2021,"Camden 016","E02000181",4841,179,443,457,158,20,1,11,11,3288,273
2021,"Camden 017","E02000182",3391,207,393,285,101,16,6,9,20,2117,237
2021,"Camden 018","E02000183",3845,299,431,260,92,25,9,8,32,2398,291
2021,"Camden 019","E02000184",3947,442,589,334,105,27,4,19,34,1942,451
2021,"Camden 020","E02000185",3903,299,643,425,159,23,9,4,26,1729,586
2021,"Camden 021","E02000186",3110,337,426,153,73,17,5,8,22,1772,297
2021,"Camden 022","E02000187",3605,660,602,238,97,21,13,9,27,1412,526
2021,"Camden 023","E02000188",2691,502,467,215,97,16,8,7,26,949,404
2021,"Camden 026","E02000191",2142,450,176,97,48,9,6,6,22,1162,166
2021,"Camden 027","E02000192",3148,518,354,189,69,17,3,8,15,1608,367
2021,"Camden 028","E02000193",2824,518,278,150,54,8,9,6,11,1540,250
2021,"Croydon 001","E02000194",5007,195,411,644,570,50,20,8,24,2515,570
2021,"Croydon 002","E02000195",4584,237,585,642,477,71,16,15,36,1865,640
2021,"Croydon 003","E02000196",3755,232,527,530,433,56,9,15,28,1195,730
2021,"Croydon 004","E02000197",4460,213,600,607,553,53,27,34,34,1433,906
2021,"Croydon 005","E02000198",4266,297,501,706,598,67,14,22,25,1220,816
2021,"Croydon 006","E02000199",4250,267,504,591,585,76,17,11,29,1450,720
2021,"Croydon 007","E02000200",4734,201,508,541,675,69,21,11,16,1998,694
2021,"Croydon 008","E02000201",4195,184,509,562,622,54,26,21,28,1459,730
2021,"Croydon 009","E02000202",4122,358,539,600,543,63,19,15,26,1186,773
2021,"Croydon 010","E02000203",3717,316,482,584,499,57,11,5,24,1003,736
2021,"Croydon 011","E02000204",4342,495,616,648,570,82,13,34,31,1106,747
2021,"Croydon 013","E02000206",5107,468,563,675,762,82,38,19,28,1576,896
2021,"Croydon 014","E02000207",4361,234,643,482,590,73,21,15,33,1565,705
2021,"Croydon 015","E02000208",4713,745,491,660,654,81,19,22,32,1175,834
2021,"Croydon 016","E02000209",4233,529,609,712,525,74,20,27,36,989,712
2021,"Croydon 017","E02000210",4581,374,533,454,536,75,22,17,27,1800,743
2021,"Croydon 018","E02000211",4079,230,594,441,496,54,24,17,30,1574,619
2021,"Croydon 019","E02000212",4225,852,442,616,522,94,25,18,35,883,738
2021,"Croydon 020","E02000213",5995,814,504,656,838,154,29,31,46,1945,978
2021,"Croydon 021","E02000214",3093,166,410,285,354,50,23,16,16,1389,384
2021,"Croydon 022","E02000215",6259,531,553,566,900,116,36,36,37,2591,893
2021,"Croydon 023","E02000216",3467,221,325,218,470,49,17,12,21,1770,364
2021,"Croydon 024","E02000217",6204,783,510,659,944,119,27,18,43,2120,981
2021,"Croydon 025","E02000218",2798,133,333,449,406,53,16,8,28,907,465
2021,"Croydon 026","E02000219",3647,173,459,352,482,66,29,12,12,1556,506
2021,"Croydon 028","E02000221",4988,616,634,522,671,103,26,24,32,1582,778
2021,"Croydon 029","E02000222",4493,279,518,321,543,72,21,19,24,2185,511
2021,"Croydon 030","E02000223",3202,206,253,931,505,125,16,16,25,506,619
2021,"Croydon 031","E02000224",4354,246,541,353,599,128,19,14,24,1859,571
2021,"Croydon 032","E02000225",3386,232,212,789,519,123,27,16,36,690,742
2021,"Croydon 033","E02000226",3552,160,429,371,399,103,23,15,11,1535,506
2021,"Croydon 034","E02000227",5717,258,654,985,782,155,38,20,26,1850,949
2021,"Croydon 035","E02000228",3656,145,346,286,359,85,23,16,19,2012,365
2021,"Croydon 036","E02000229",2542,179,176,558,365,136,23,14,25,531,535
2021,"Croydon 037","E02000230",5082,225,408,458,618,174,24,22,32,2585,536
2021,"Croydon 038","E02000231",3860,162,271,403,380,188,25,13,31,1998,389
2021,"Croydon 039","E02000232",2903,143,284,388,314,137,17,12,8,1143,457
2021,"Croydon 040","E02000233",3175,150,253,365,336,158,32,13,17,1469,382
2021,"Croydon 041","E02000234",4568,241,265,584,425,224,36,23,22,2163,585
2021,"Croydon 042","E02000235",3452,135,275,338,302,187,22,22,11,1715,445
2021,"Croydon 043","E02000236",4665,205,234,616,425,279,27,24,27,2203,625
2021,"Croydon 044","E02000237",3510,150,266,535,334,208,28,22,18,1391,558
2021,"Ealing 001","E02000238",5510,384,682,836,868,105,29,16,53,1427,1110
2021,"Ealing 002","E02000239",4585,292,638,594,677,77,29,14,38,1268,958
2021,"Ealing 003","E02000240",4926,349,526,914,800,147,29,37,39,1073,1012
2021,"Ealing 004","E02000241",3577,211,421,593,619,78,10,11,23,895,716
2021,"Ealing 005","E02000242",3287,333,539,397,452,44,14,11,31,805,661
2021,"Ealing 006","E02000243",4157,308,474,585,552,95,22,26,30,1073,992
2021,"Ealing 007","E02000244",3771,231,483,430,515,54,19,18,17,1132,872
2021,"Ealing 008","E02000245",3924,200,595,753,591,106,20,9,32,802,816
2021,"Ealing 009","E02000246",4069,187,630,843,491,101,32,27,40,843,875
2021,"Ealing 010","E02000247",4820,297,681,896,669,107,18,15,46,1121,970
2021,"Ealing 011","E02000248",3715,298,372,475,430,37,12,16,25,1323,727
2021,"Ealing 012","E02000249",3866,324,547,628,449,88,16,17,23,936,838
2021,"Ealing 013","E02000250",3166,220,244,261,272,26,11,4,22,1791,315
2021,"Ealing 014","E02000251",3854,265,658,623,536,78,14,24,36,881,739
2021,"Ealing 015","E02000252",5409,520,727,901,420,58,9,23,46,1843,862
2021,"Ealing 016","E02000253",4247,345,577,514,523,65,11,8,33,1283,888
2021,"Ealing 017","E02000254",4001,452,692,824,446,80,15,21,29,783,659
2021,"Ealing 018","E02000255",4585,347,411,441,527,67,15,12,15,2152,598
2021,"Ealing 019","E02000256",5201,302,364,526,541,56,8,20,21,2773,590
2021,"Ealing 021","E02000258",3385,234,387,493,239,35,11,13,9,1450,514
2021,"Ealing 022","E02000259",3313,259,321,389,362,41,12,7,18,1348,556
2021,"Ealing 023","E02000260",3809,695,594,754,387,79,11,12,48,661,568
2021,"Ealing 024","E02000261",6509,541,899,1106,406,65,21,13,37,2488,933
2021,"Ealing 025","E02000262",4885,321,621,673,353,38,18,16,24,2093,728
2021,"Ealing 026","E02000263",5526,924,915,1273,544,110,37,34,60,824,805
2021,"Ealing 027","E02000264",4659,274,459,484,425,48,12,14,28,2365,550
2021,"Ealing 028","E02000265",5535,497,496,571,601,56,16,21,29,2531,717
2021,"Ealing 029","E02000266",5464,623,795,962,592,101,22,31,39,1360,939
2021,"Ealing 030","E02000267",4187,360,470,404,419,47,26,12,15,1726,708
2021,"Ealing 031","E02000268",4872,309,407,481,398,39,17,15,33,2588,585
2021,"Ealing 032","E02000269",4427,223,363,395,435,42,11,17,13,2460,468
2021,"Ealing 033","E02000270",5059,280,591,718,425,36,17,20,37,2310,625
2021,"Ealing 034","E02000271",3732,171,259,353,218,23,10,12,13,2400,273
2021,"Ealing 035","E02000272",3347,231,304,279,303,37,7,9,13,1757,407
2021,"Ealing 038","E02000275",3388,481,541,687,314,83,37,23,46,721,455
2021,"Ealing 039","E02000276",3664,180,339,369,421,27,10,15,16,1875,412
2021,"Enfield 001","E02000277",3089,247,466,376,556,99,35,18,22,714,556
2021,"Enfield 002","E02000278",3529,324,523,442,627,146,39,25,34,693,676
2021,"Enfield 003","E02000279",5130,469,523,596,975,226,62,25,42,1286,926
2021,"Enfield 004","E02000280",3962,347,461,434,531,84,21,15,24,1437,608
2021,"Enfield 005","E02000281",4242,410,574,498,597,137,31,19,32,1157,787
2021,"Enfield 006","E02000282",3475,390,517,485,614,121,33,22,37,630,626
2021,"Enfield 007","E02000283",3490,362,477,443,635,112,36,15,37,695,678
2021,"Enfield 008","E02000284",4235,362,396,370,555,83,32,9,19,1778,631
2021,"Enfield 009","E02000285",3229,355,372,303,421,48,14,15,18,1208,475
2021,"Enfield 010","E02000286",4192,309,385,453,520,79,23,13,21,1872,517
2021,"Enfield 011","E02000287",3425,121,234,414,478,72,30,14,27,1656,379
2021,"Enfield 012","E02000288",4896,565,778,540,778,99,45,42,54,1047,948
2021,"Enfield 013","E02000289",3199,172,386,327,409,52,11,18,17,1417,390
2021,"Enfield 014","E02000290",2539,272,389,343,427,64,31,12,22,500,479
2021,"Enfield 015","E02000291",4612,414,550,418,662,84,32,12,24,1634,782
2021,"Enfield 016","E02000292",4479,464,596,395,619,88,33,17,33,1475,759
2021,"Enfield 017","E02000293",2918,177,304,247,345,45,20,9,8,1391,372
2021,"Enfield 018","E02000294",3671,344,637,486,610,98,26,15,43,730,682
2021,"Enfield 019","E02000295",3974,246,425,378,481,46,24,14,28,1704,628
2021,"Enfield 020","E02000296",4776,290,429,554,657,85,33,18,23,1781,906
2021,"Enfield 021","E02000297",4506,310,619,433,624,67,25,9,24,1723,672
2021,"Enfield 022","E02000298",4158,251,358,334,423,56,29,8,23,2182,494
2021,"Enfield 023","E02000299",3692,340,605,519,580,86,24,15,35,698,790
2021,"Enfield 024","E02000300",3605,322,541,428,571,81,31,13,34,785,799
2021,"Enfield 025","E02000301",3971,406,667,530,690,96,30,19,45,703,785
2021,"Enfield 026","E02000302",4025,267,564,435,460,65,42,12,20,1359,801
2021,"Enfield 027","E02000303",3218,381,486,401,471,81,24,22,30,610,712
2021,"Enfield 028","E02000304",3871,195,378,388,424,50,11,18,20,1909,478
2021,"Enfield 029","E02000305",4684,205,475,427,634,72,25,24,14,2002,806
2021,"Enfield 030","E02000306",3294,428,502,423,514,71,37,21,38,611,649
2021,"Enfield 031","E02000307",4465,421,678,587,571,84,36,13,36,1055,984
2021,"Enfield 032","E02000308",4356,254,396,616,628,51,10,15,30,1572,784
2021,"Enfield 033","E02000309",4730,617,582,661,771,114,35,24,46,847,1033
2021,"Enfield 035","E02000311",4733,381,587,636,655,89,32,23,44,1250,1036
2021,"Enfield 036","E02000312",5901,278,582,678,788,73,22,10,34,2258,1178
2021,"Greenwich 001","E02000313",2807,222,346,473,506,114,29,14,34,504,565
2021,"Greenwich 002","E02000314",6055,341,576,830,1093,160,75,49,103,1646,1182
2021,"Greenwich 003","E02000315",4178,287,533,587,827,139,60,15,54,829,847
2021,"Greenwich 005","E02000317",3275,346,363,456,582,54,27,18,26,879,524
2021,"Greenwich 006","E02000318",4968,409,649,787,1013,107,51,19,55,997,881
2021,"Greenwich 007","E02000319",5121,425,505,715,900,111,27,21,52,1515,850
2021,"Greenwich 008","E02000320",3284,176,435,414,540,109,39,13,26,940,592
2021,"Greenwich 009","E02000321",3459,332,361,528,628,54,42,18,56,829,611
2021,"Greenwich 011","E02000323",6133,611,489,837,1128,92,50,48,64,1828,986
2021,"Greenwich 012","E02000324",3496,327,443,503,396,47,15,15,28,1154,568
2021,"Greenwich 014","E02000326",4341,269,348,477,480,40,26,21,27,2065,588
2021,"Greenwich 015","E02000327",3041,420,274,385,469,62,24,14,29,944,420
2021,"Greenwich 016","E02000328",3486,167,260,355,282,21,14,9,17,2043,318
2021,"Greenwich 017","E02000329",2969,214,383,381,438,41,23,15,23,941,510
2021,"Greenwich 019","E02000331",3862,308,521,492,499,45,28,17,30,1349,573
2021,"Greenwich 020","E02000332",3699,216,438,401,519,44,41,13,24,1479,524
2021,"Greenwich 021","E02000333",3318,133,268,336,302,25,18,8,18,1951,259
2021,"Greenwich 022","E02000334",3181,213,398,383,400,39,27,13,25,1223,460
2021,"Greenwich 023","E02000335",3302,213,348,333,387,35,22,13,16,1465,470
2021,"Greenwich 025","E02000337",3846,291,480,495,519,48,35,10,21,1190,757
2021,"Greenwich 027","E02000339",2975,173,294,263,354,23,30,18,31,1397,392
2021,"Greenwich 028","E02000340",3349,166,295,367,490,41,29,10,15,1435,501
2021,"Greenwich 029","E02000341",3429,232,455,515,480,50,39,10,32,939,677
2021,"Greenwich 030","E02000342",2895,161,269,392,422,49,10,14,32,1051,495
2021,"Greenwich 031","E02000343",3211,153,308,462,460,28,36,11,24,1126,603
2021,"Greenwich 032","E02000344",3100,143,293,366,427,36,23,10,19,1245,538
2021,"Hackney 001","E02000345",3220,1095,245,348,139,30,8,9,11,943,392
2021,"Hackney 002","E02000346",4537,239,459,788,225,26,7,15,13,2202,563
2021,"Hackney 003","E02000347",3224,914,271,388,101,37,4,14,14,1098,383
2021,"Hackney 004","E02000348",2975,903,261,412,112,24,6,12,22,814,409
2021,"Hackney 006","E02000350",5467,680,544,661,196,22,6,14,26,2761,557
2021,"Hackney 007","E02000351",5556,210,550,733,197,33,10,14,18,3291,500
2021,"Hackney 008","E02000352",3425,343,341,413,116,13,5,6,14,1789,385
