"date","geography","geography code","National identity: Total: All usual residents","National identity: British only identity","National identity: English only identity","National identity: English and British only identity","National identity: Welsh only identity","National identity: Welsh and British only identity","National identity: Any other combination of only UK identities","National identity: Scottish only identity","National identity: Scottish and British only identity","National identity: Northern Irish only identity","National identity: Northern Irish and British only identity","National identity: Cornish only identity","National identity: Cornish and British only identity","National identity: Any other combination of only UK identities","National identity: Irish only identity","National identity: Irish and at least one UK identity","National identity: Other identity only","National identity: Other identity and at least one UK identity","National identity: Non-UK identity only","National identity: UK identity and non-UK identity"
2021,"Bexley 027","E02000091",10164,5503,2155,1428,34,10,94,41,24,11,5,0,0,13,76,15,660,189,736,204
2021,"Bexley 028","E02000092",6756,3900,1341,870,0,3,46,16,12,9,0,1,0,8,33,6,440,117,473,123
2021,"Brent 001","E02000093",11876,6909,407,266,9,3,37,4,2,19,3,0,0,9,172,17,3461,595,3633,612
2021,"Brent 002","E02000094",10461,6216,384,298,9,4,28,7,2,14,2,0,0,3,271,25,2757,469,3028,494
2021,"Brent 003","E02000095",10462,6114,307,208,3,1,24,14,3,3,0,0,0,4,136,8,3125,536,3261,544
2021,"Brent 004","E02000096",7632,4971,254,260,6,2,22,4,3,7,0,0,0,8,120,18,1586,393,1706,411
2021,"Brent 005","E02000097",9530,5361,451,244,6,0,23,5,2,9,1,0,0,6,317,16,2701,411,3018,427
2021,"Brent 006","E02000098",8746,5441,307,232,11,8,38,9,8,13,0,0,0,8,110,7,2190,402,2300,409
2021,"Brent 007","E02000099",9560,5187,263,248,4,2,20,6,2,8,2,0,0,2,57,8,3318,453,3375,461
2021,"Brent 008","E02000100",8320,5239,275,266,4,4,44,11,13,15,1,0,0,4,159,15,1954,360,2113,375
2021,"Brent 009","E02000101",9938,6085,340,247,2,2,32,12,5,9,1,0,0,5,179,10,2679,362,2858,372
2021,"Brent 010","E02000102",8328,5160,254,149,4,2,24,6,1,10,3,0,0,4,190,16,2282,247,2472,263
2021,"Brent 011","E02000103",9973,6000,351,250,7,3,69,30,7,22,4,0,0,6,369,19,2493,412,2862,431
2021,"Brent 012","E02000104",7506,4497,226,193,3,1,31,10,4,13,1,0,0,3,102,8,2106,339,2208,347
2021,"Brent 013","E02000105",9844,5503,241,199,2,4,20,4,1,13,1,0,0,1,123,6,3287,459,3410,465
2021,"Brent 014","E02000106",10358,5605,423,241,6,2,32,11,0,11,4,0,0,6,227,13,3409,400,3636,413
2021,"Brent 015","E02000107",10938,5747,476,460,15,10,82,19,19,22,5,5,0,12,319,21,3290,518,3609,539
2021,"Brent 016","E02000108",7259,4121,280,152,3,1,17,6,2,5,3,1,0,0,132,8,2196,349,2328,357
2021,"Brent 018","E02000110",8179,4544,391,355,18,7,88,40,12,22,4,1,0,9,312,23,2003,438,2315,461
2021,"Brent 019","E02000111",11284,5529,241,204,0,2,25,4,8,6,5,0,0,2,70,3,4737,473,4807,476
2021,"Brent 020","E02000112",11748,5319,233,215,8,2,30,11,5,6,2,0,0,6,97,4,5364,476,5461,480
2021,"Brent 021","E02000113",9630,6590,438,302,10,3,26,8,1,11,1,0,1,4,137,17,1719,388,1856,405
2021,"Brent 022","E02000114",8997,4447,373,360,17,6,61,28,8,19,2,0,0,4,201,36,3036,460,3237,496
2021,"Brent 023","E02000115",8620,4609,363,464,17,8,108,33,25,22,10,1,0,17,193,18,2357,483,2550,501
2021,"Brent 024","E02000116",8549,4668,309,210,12,5,40,6,4,23,3,0,1,3,199,21,2709,376,2908,397
2021,"Brent 025","E02000117",12731,7979,450,332,16,6,65,21,8,25,3,0,0,8,221,13,3213,436,3434,449
2021,"Brent 026","E02000118",11293,5467,248,164,2,2,20,7,2,8,0,0,0,3,77,5,4824,484,4901,489
2021,"Brent 027","E02000119",10627,7201,369,282,5,7,56,14,9,21,4,1,0,7,91,10,2260,346,2351,356
2021,"Brent 028","E02000120",9016,4749,378,393,27,17,118,54,34,13,2,0,0,15,247,20,2501,566,2748,586
2021,"Brent 029","E02000121",12243,6220,176,199,8,2,17,6,2,4,1,0,0,4,57,6,5027,531,5084,537
2021,"Brent 030","E02000122",8179,4991,393,442,23,10,69,22,10,12,5,2,0,18,174,25,1592,460,1766,485
2021,"Brent 031","E02000123",13577,7751,507,514,12,6,133,37,22,54,4,2,0,14,261,19,3729,645,3990,664
2021,"Brent 032","E02000124",9954,5499,473,547,43,29,152,47,44,27,10,0,1,23,199,30,2321,661,2520,691
