"date","geography","geography code","Occupancy rating for bedrooms: Total: All households","Occupancy rating for bedrooms: Occupancy rating of bedrooms: +2 or more","Occupancy rating for bedrooms: Occupancy rating of bedrooms: +1","Occupancy rating for bedrooms: Occupancy rating of bedrooms: 0","Occupancy rating for bedrooms: Occupancy rating of bedrooms: -1","Occupancy rating for bedrooms: Occupancy rating of bedrooms: -2 or less"
2021,"Enfield 019","E02000295",3348,992,1083,1007,214,52
2021,"Enfield 020","E02000296",4039,778,1260,1533,392,76
2021,"Enfield 021","E02000297",3475,1562,981,759,125,48
2021,"Enfield 022","E02000298",3057,1504,796,597,145,15
2021,"Enfield 023","E02000299",3314,571,819,1367,461,96
2021,"Enfield 024","E02000300",3000,619,673,1139,440,129
2021,"Enfield 025","E02000301",3726,488,835,1664,600,139
2021,"Enfield 026","E02000302",3114,1069,896,823,232,94
2021,"Enfield 027","E02000303",2975,476,615,1349,415,120
2021,"Enfield 028","E02000304",2912,1507,705,548,131,21
2021,"Enfield 029","E02000305",3453,1011,850,1233,291,68
2021,"Enfield 030","E02000306",3399,268,654,1686,635,156
2021,"Enfield 031","E02000307",3346,860,1001,1049,310,126
2021,"Enfield 032","E02000308",3224,850,899,1077,288,110
2021,"Enfield 033","E02000309",3988,593,967,1593,651,184
2021,"Enfield 035","E02000311",3635,881,915,1224,464,151
2021,"Enfield 036","E02000312",4497,1050,1086,1770,507,84
2021,"Greenwich 001","E02000313",2596,365,543,1256,349,83
2021,"Greenwich 002","E02000314",4536,505,1205,1956,722,148
2021,"Greenwich 003","E02000315",3490,522,890,1470,500,108
2021,"Greenwich 005","E02000317",2822,419,626,1307,377,93
2021,"Greenwich 006","E02000318",3580,597,856,1409,487,231
2021,"Greenwich 007","E02000319",3918,537,1079,1660,508,134
2021,"Greenwich 008","E02000320",2553,549,765,909,270,60
2021,"Greenwich 009","E02000321",2957,352,653,1381,441,130
2021,"Greenwich 011","E02000323",4820,578,1094,2316,604,228
2021,"Greenwich 012","E02000324",2854,603,691,1215,276,69
2021,"Greenwich 014","E02000326",3050,762,1059,1013,179,37
2021,"Greenwich 015","E02000327",2635,413,634,1234,289,65
2021,"Greenwich 016","E02000328",2945,745,899,1165,123,13
2021,"Greenwich 017","E02000329",2458,666,778,786,191,37
2021,"Greenwich 019","E02000331",3194,627,932,1321,262,52
2021,"Greenwich 020","E02000332",3000,1017,934,832,182,35
2021,"Greenwich 021","E02000333",2881,781,868,1112,108,12
2021,"Greenwich 022","E02000334",2543,757,775,800,177,34
2021,"Greenwich 023","E02000335",2593,1054,905,537,77,20
2021,"Greenwich 025","E02000337",3084,799,1027,971,235,52
2021,"Greenwich 027","E02000339",2591,1054,684,726,112,15
2021,"Greenwich 028","E02000340",3022,894,1001,960,145,22
2021,"Greenwich 029","E02000341",2941,605,932,1071,274,59
2021,"Greenwich 030","E02000342",2346,567,732,867,161,19
2021,"Greenwich 031","E02000343",2696,914,693,887,164,38
2021,"Greenwich 032","E02000344",2446,1028,752,550,93,23
2021,"Hackney 001","E02000345",2589,542,489,1107,363,88
2021,"Hackney 002","E02000346",3972,299,981,2122,460,110
2021,"Hackney 003","E02000347",2582,404,545,1147,385,101
2021,"Hackney 004","E02000348",2725,305,573,1309,439,99
2021,"Hackney 006","E02000350",3693,594,772,1832,396,99
2021,"Hackney 007","E02000351",4231,425,1096,2302,356,52
2021,"Hackney 008","E02000352",2685,384,707,1285,266,43
2021,"Hackney 009","E02000353",3156,671,853,1410,175,47
