"date","geography","geography code","Multiple ethnic groups in household: Total: All households","Multiple ethnic groups in household: One-person household","Multiple ethnic groups in household: All household members have the same ethnic group","Multiple ethnic groups in household: Ethnic groups differ between generations but not within partnerships","Multiple ethnic groups in household: Ethnic groups differ within partnerships","Multiple ethnic groups in household: Any other combination of multiple ethnic identities"
2021,"Camden 016","E02000181",3750,1295,1422,128,635,270
2021,"Camden 017","E02000182",3083,1100,1300,106,341,236
2021,"Camden 018","E02000183",3617,1537,1233,115,516,216
2021,"Camden 019","E02000184",3632,1322,1334,177,359,440
2021,"Camden 020","E02000185",4069,1749,1445,217,361,297
2021,"Camden 021","E02000186",2940,1212,997,106,329,296
2021,"Camden 022","E02000187",3817,1373,1650,175,286,333
2021,"Camden 023","E02000188",2719,937,1169,126,198,289
2021,"Camden 026","E02000191",2106,1068,575,39,231,193
2021,"Camden 027","E02000192",3089,1305,1141,108,301,234
2021,"Camden 028","E02000193",3101,1630,871,83,301,216
2021,"Croydon 001","E02000194",4201,1522,1630,241,619,189
2021,"Croydon 002","E02000195",3490,825,1758,176,471,260
2021,"Croydon 003","E02000196",2816,707,1386,172,308,243
2021,"Croydon 004","E02000197",3316,843,1574,205,407,287
2021,"Croydon 005","E02000198",3502,1100,1578,242,350,232
2021,"Croydon 006","E02000199",3204,828,1541,181,397,257
2021,"Croydon 007","E02000200",4002,1433,1581,224,566,198
2021,"Croydon 008","E02000201",3818,1377,1499,287,438,217
2021,"Croydon 009","E02000202",3035,724,1559,149,292,311
2021,"Croydon 010","E02000203",3120,1049,1356,200,265,250
2021,"Croydon 011","E02000204",3227,744,1731,211,230,311
2021,"Croydon 013","E02000206",4462,1496,1845,340,464,317
2021,"Croydon 014","E02000207",3562,1088,1618,230,396,230
2021,"Croydon 015","E02000208",4098,1276,1940,282,311,289
2021,"Croydon 016","E02000209",3063,639,1800,193,225,206
2021,"Croydon 017","E02000210",3444,934,1583,194,517,216
2021,"Croydon 018","E02000211",3294,859,1829,115,374,117
2021,"Croydon 019","E02000212",3262,718,1785,207,272,280
2021,"Croydon 020","E02000213",5391,1886,2286,322,498,399
2021,"Croydon 021","E02000214",2326,483,1223,85,411,124
2021,"Croydon 022","E02000215",5254,1920,2123,280,617,314
2021,"Croydon 023","E02000216",2941,940,1459,78,344,120
2021,"Croydon 024","E02000217",5021,1650,2100,311,626,334
2021,"Croydon 025","E02000218",2352,457,1388,164,215,128
2021,"Croydon 026","E02000219",2984,715,1741,88,331,109
2021,"Croydon 028","E02000221",3987,1096,2005,240,393,253
2021,"Croydon 029","E02000222",3635,1176,1653,150,497,159
2021,"Croydon 030","E02000223",2789,579,1658,188,153,211
2021,"Croydon 031","E02000224",3271,940,1483,157,530,161
2021,"Croydon 032","E02000225",2658,580,1615,140,189,134
2021,"Croydon 033","E02000226",2778,562,1703,66,318,129
2021,"Croydon 034","E02000227",4838,1475,2605,171,426,161
2021,"Croydon 035","E02000228",3005,627,1761,73,443,101
2021,"Croydon 036","E02000229",2240,559,1337,117,112,115
2021,"Croydon 037","E02000230",4229,1215,2026,153,627,208
2021,"Croydon 038","E02000231",2751,496,1654,87,385,129
2021,"Croydon 039","E02000232",2370,524,1453,61,251,81
2021,"Croydon 040","E02000233",2395,527,1299,99,377,93
2021,"Croydon 041","E02000234",3722,967,1937,172,514,132
2021,"Croydon 042","E02000235",2657,544,1581,77,372,83
2021,"Croydon 043","E02000236",3309,562,2048,101,485,113
2021,"Croydon 044","E02000237",3034,758,1754,88,352,82
2021,"Ealing 001","E02000238",3736,881,2026,169,362,298
2021,"Ealing 002","E02000239",2929,535,1767,99,293,235
2021,"Ealing 003","E02000240",3898,862,2154,304,346,232
2021,"Ealing 004","E02000241",2600,578,1473,117,256,176
2021,"Ealing 005","E02000242",2231,409,1348,103,178,193
2021,"Ealing 006","E02000243",3129,848,1633,150,252,246
2021,"Ealing 007","E02000244",2936,826,1432,159,312,207
2021,"Ealing 008","E02000245",3354,865,1861,210,235,183
2021,"Ealing 009","E02000246",3069,634,1757,197,242,239
2021,"Ealing 010","E02000247",3890,962,2115,228,369,216
2021,"Ealing 011","E02000248",2989,881,1462,111,302,233
2021,"Ealing 012","E02000249",2913,735,1575,143,248,212
2021,"Ealing 013","E02000250",2544,660,1163,99,458,164
2021,"Ealing 014","E02000251",2540,463,1542,111,212,212
2021,"Ealing 015","E02000252",4410,1643,1732,232,446,357
2021,"Ealing 016","E02000253",3839,1090,1811,272,415,251
2021,"Ealing 017","E02000254",2612,384,1817,75,106,230
2021,"Ealing 018","E02000255",3788,1042,1760,199,539,248
2021,"Ealing 019","E02000256",4025,1261,1732,156,604,272
2021,"Ealing 021","E02000258",2602,740,1202,101,336,223
2021,"Ealing 022","E02000259",2395,499,1224,134,367,171
2021,"Ealing 023","E02000260",2754,492,1895,75,110,182
2021,"Ealing 024","E02000261",4976,1536,2097,328,539,476
2021,"Ealing 025","E02000262",3946,1368,1603,139,535,301
2021,"Ealing 026","E02000263",3646,633,2517,95,141,260
2021,"Ealing 027","E02000264",3543,1140,1419,111,500,373
2021,"Ealing 028","E02000265",4734,1546,1965,233,651,339
2021,"Ealing 029","E02000266",4296,1071,2395,205,356,269
2021,"Ealing 030","E02000267",3219,852,1492,149,488,238
2021,"Ealing 031","E02000268",3864,1167,1691,155,568,283
2021,"Ealing 032","E02000269",3303,883,1523,92,612,193
2021,"Ealing 033","E02000270",4117,1389,1711,215,536,266
2021,"Ealing 034","E02000271",2978,865,1270,88,603,152
2021,"Ealing 035","E02000272",2541,625,1174,110,477,155
2021,"Ealing 038","E02000275",2350,441,1571,62,126,150
2021,"Ealing 039","E02000276",2724,707,1202,112,478,225
2021,"Enfield 001","E02000277",2626,539,1436,215,216,220
2021,"Enfield 002","E02000278",3340,825,1888,241,177,209
2021,"Enfield 003","E02000279",4415,1089,2262,413,372,279
2021,"Enfield 004","E02000280",3413,927,1793,175,369,149
2021,"Enfield 005","E02000281",3549,943,1812,277,315,202
2021,"Enfield 006","E02000282",3469,863,1835,303,210,258
2021,"Enfield 007","E02000283",2800,479,1695,218,201,207
2021,"Enfield 008","E02000284",3617,1088,1710,214,459,146
2021,"Enfield 009","E02000285",2460,496,1411,97,353,103
2021,"Enfield 010","E02000286",4001,1475,1774,148,491,113
2021,"Enfield 011","E02000287",2873,769,1496,99,386,123
2021,"Enfield 012","E02000288",4054,971,2270,259,237,317
2021,"Enfield 013","E02000289",2426,466,1374,104,346,136
2021,"Enfield 014","E02000290",2518,726,1260,236,162,134
2021,"Enfield 015","E02000291",4330,1467,1852,262,522,227
2021,"Enfield 016","E02000292",3567,832,1824,238,440,233
2021,"Enfield 017","E02000293",2490,619,1359,74,347,91
2021,"Enfield 018","E02000294",3086,636,1760,210,251,229
2021,"Enfield 019","E02000295",3351,930,1574,202,469,176
2021,"Enfield 020","E02000296",4040,1175,1950,217,459,239
2021,"Enfield 021","E02000297",3475,864,1818,135,478,180
2021,"Enfield 022","E02000298",3056,731,1551,92,513,169
2021,"Enfield 023","E02000299",3314,847,1737,247,226,257
2021,"Enfield 024","E02000300",2998,756,1498,212,245,287
2021,"Enfield 025","E02000301",3728,1030,1881,308,239,270
2021,"Enfield 026","E02000302",3114,752,1533,189,414,226
2021,"Enfield 027","E02000303",2976,864,1518,182,186,226
2021,"Enfield 028","E02000304",2910,607,1488,111,522,182
2021,"Enfield 029","E02000305",3453,924,1562,155,592,220
2021,"Enfield 030","E02000306",3399,1027,1728,265,172,207
2021,"Enfield 031","E02000307",3344,665,1847,209,329,294
2021,"Enfield 032","E02000308",3225,830,1543,180,370,302
2021,"Enfield 033","E02000309",3986,977,2082,281,261,385
2021,"Enfield 035","E02000311",3635,824,1894,241,353,323
2021,"Enfield 036","E02000312",4495,1271,2014,229,588,393
2021,"Greenwich 001","E02000313",2596,966,1247,130,120,133
2021,"Greenwich 002","E02000314",4536,1130,2356,352,389,309
2021,"Greenwich 003","E02000315",3493,916,1911,208,241,217
2021,"Greenwich 005","E02000317",2822,784,1444,171,237,186
2021,"Greenwich 006","E02000318",3580,922,1866,187,270,335
2021,"Greenwich 007","E02000319",3921,1115,1927,199,383,297
2021,"Greenwich 008","E02000320",2556,677,1324,145,249,161
2021,"Greenwich 009","E02000321",2961,933,1403,215,201,209
2021,"Greenwich 011","E02000323",4820,1507,2272,258,405,378
2021,"Greenwich 012","E02000324",2855,814,1378,133,286,244
2021,"Greenwich 014","E02000326",3049,859,1385,129,451,225
2021,"Greenwich 015","E02000327",2635,919,1220,134,225,137
2021,"Greenwich 016","E02000328",2947,1032,1197,108,469,141
2021,"Greenwich 017","E02000329",2462,677,1256,117,255,157
2021,"Greenwich 019","E02000331",3192,959,1524,161,338,210
2021,"Greenwich 020","E02000332",2999,859,1448,124,383,185
2021,"Greenwich 021","E02000333",2881,1032,1235,69,452,93
2021,"Greenwich 022","E02000334",2543,689,1292,103,300,159
2021,"Greenwich 023","E02000335",2592,610,1477,78,333,94
2021,"Greenwich 025","E02000337",3084,735,1769,133,284,163
2021,"Greenwich 027","E02000339",2590,817,1295,73,309,96
2021,"Greenwich 028","E02000340",3020,1078,1500,70,272,100
2021,"Greenwich 029","E02000341",2941,732,1642,153,246,168
2021,"Greenwich 030","E02000342",2341,699,1219,79,253,91
2021,"Greenwich 031","E02000343",2697,750,1474,87,260,126
2021,"Greenwich 032","E02000344",2448,599,1455,59,251,84
2021,"Hackney 001","E02000345",2587,746,1135,102,394,210
2021,"Hackney 002","E02000346",3972,1229,1736,257,428,322
2021,"Hackney 003","E02000347",2582,713,1216,94,352,207
2021,"Hackney 004","E02000348",2723,830,1287,137,286,183
2021,"Hackney 006","E02000350",3693,1102,1479,125,517,470
2021,"Hackney 007","E02000351",4232,1470,1553,186,558,465
2021,"Hackney 008","E02000352",2686,858,1089,134,388,217
2021,"Hackney 009","E02000353",3156,910,1329,102,484,331
2021,"Hackney 010","E02000354",3989,1434,1553,175,424,403
2021,"Hackney 011","E02000355",3114,902,1222,128,460,402
2021,"Hackney 012","E02000356",3060,952,1155,118,556,279
2021,"Hackney 013","E02000357",2721,937,1181,178,173,252
2021,"Hackney 014","E02000358",4816,1612,1777,216,644,567
2021,"Hackney 015","E02000359",2437,607,1062,124,304,340
2021,"Hackney 016","E02000360",4848,1668,1969,296,477,438
2021,"Hackney 017","E02000361",3679,1327,1335,171,391,455
2021,"Hackney 018","E02000362",2806,857,1158,152,344,295
2021,"Hackney 019","E02000363",4441,1345,2070,292,324,410
2021,"Hackney 020","E02000364",4098,1456,1542,175,523,402
2021,"Hackney 022","E02000366",3540,1306,1352,163,400,319
2021,"Hackney 023","E02000367",4593,1508,1687,220,610,568
2021,"Hackney 024","E02000368",4151,1416,1658,217,384,476
2021,"Hackney 025","E02000369",5929,1927,2383,281,772,566
2021,"Hackney 026","E02000370",3994,1417,1524,195,459,399
2021,"Hammersmith and Fulham 001","E02000372",3876,1408,1551,204,335,378
2021,"Hammersmith and Fulham 002","E02000373",2537,659,1259,204,182,233
2021,"Hammersmith and Fulham 003","E02000374",2616,757,1137,151,276,295
2021,"Hammersmith and Fulham 004","E02000375",3498,1407,1248,169,355,319
2021,"Hammersmith and Fulham 005","E02000376",3183,1262,1124,133,360,304
2021,"Hammersmith and Fulham 006","E02000377",3446,1317,1260,170,422,277
2021,"Hammersmith and Fulham 007","E02000378",3251,1379,1134,115,402,221
2021,"Hammersmith and Fulham 008","E02000379",3106,1036,1250,149,465,206
2021,"Hammersmith and Fulham 009","E02000380",2498,907,964,89,353,185
2021,"Hammersmith and Fulham 010","E02000381",3546,1372,1343,139,480,212
2021,"Hammersmith and Fulham 011","E02000382",2773,1037,1065,107,384,180
2021,"Hammersmith and Fulham 012","E02000383",4108,1702,1383,146,472,405
2021,"Hammersmith and Fulham 013","E02000384",3807,1507,1387,169,403,341
2021,"Hammersmith and Fulham 014","E02000385",2850,1188,917,66,370,309
2021,"Hammersmith and Fulham 015","E02000386",3366,1235,1323,198,313,297
2021,"Hammersmith and Fulham 016","E02000387",2587,933,944,117,248,345
2021,"Hammersmith and Fulham 017","E02000388",4134,1592,1592,132,456,362
2021,"Hammersmith and Fulham 018","E02000389",3678,1128,1445,117,584,404
2021,"Hammersmith and Fulham 019","E02000390",2720,901,1104,119,328,268
2021,"Hammersmith and Fulham 020","E02000391",3280,1109,1322,125,458,266
2021,"Hammersmith and Fulham 021","E02000392",4041,1398,1580,166,533,364
2021,"Hammersmith and Fulham 022","E02000393",2588,759,1134,96,377,222
2021,"Hammersmith and Fulham 023","E02000394",4344,1647,1667,225,517,288
2021,"Hammersmith and Fulham 024","E02000395",2640,895,1084,67,375,219
2021,"Hammersmith and Fulham 025","E02000396",2770,789,1229,161,372,219
2021,"Haringey 001","E02000397",3470,1231,1428,163,410,238
2021,"Haringey 002","E02000398",2881,941,1315,199,171,255
2021,"Haringey 004","E02000400",3120,872,1415,207,405,221
2021,"Haringey 005","E02000401",2477,615,1275,162,209,216
2021,"Haringey 006","E02000402",2427,672,1213,165,176,201
2021,"Haringey 007","E02000403",2990,884,1279,127,378,322
2021,"Haringey 008","E02000404",2662,738,1231,158,238,297
2021,"Haringey 009","E02000405",2462,584,1123,95,512,148
2021,"Haringey 010","E02000406",2598,727,1164,173,237,297
2021,"Haringey 011","E02000407",3005,960,1322,211,242,270
2021,"Haringey 012","E02000408",3002,852,1450,189,216,295
2021,"Haringey 013","E02000409",2370,710,1133,135,197,195
2021,"Haringey 014","E02000410",2614,752,1086,106,514,156
2021,"Haringey 015","E02000411",3953,1104,1800,294,409,346
2021,"Haringey 016","E02000412",2870,969,1187,163,231,320
2021,"Haringey 017","E02000413",2963,753,1302,168,564,176
2021,"Haringey 018","E02000414",2718,768,1160,156,289,345
2021,"Haringey 019","E02000415",2836,842,1192,116,352,334
2021,"Haringey 020","E02000416",3918,1425,1506,185,569,233
2021,"Haringey 021","E02000417",2868,951,1110,98,550,159
2021,"Haringey 022","E02000418",2211,528,1073,66,402,142
2021,"Haringey 023","E02000419",3645,1110,1456,142,526,411
2021,"Haringey 024","E02000420",3434,1184,1438,168,337,307
2021,"Haringey 025","E02000421",3141,1013,1248,230,277,373
2021,"Haringey 026","E02000422",2887,880,1257,152,329,269
2021,"Haringey 027","E02000423",2672,754,1107,99,318,394
2021,"Haringey 028","E02000424",2983,984,1189,137,494,179
2021,"Haringey 029","E02000425",2163,464,1072,129,268,230
2021,"Haringey 030","E02000426",2742,857,1106,100,513,166
2021,"Haringey 031","E02000427",2869,926,1131,88,403,321
2021,"Haringey 032","E02000428",2920,847,1237,191,275,370
2021,"Haringey 033","E02000429",3200,1215,1127,90,615,153
2021,"Haringey 034","E02000430",3251,1217,1135,99,592,208
2021,"Haringey 035","E02000431",2845,1013,1022,84,554,172
2021,"Haringey 036","E02000432",2798,982,1034,120,401,261
2021,"Harrow 001","E02000433",3546,1099,1924,98,287,138
2021,"Harrow 002","E02000434",3638,920,2107,103,319,189
2021,"Harrow 003","E02000435",2812,671,1707,81,204,149
2021,"Harrow 004","E02000436",2044,339,1393,47,192,73
2021,"Harrow 005","E02000437",3089,753,1763,118,283,172
2021,"Harrow 006","E02000438",3044,756,1764,122,261,141
2021,"Harrow 007","E02000439",2948,614,1769,130,206,229
2021,"Harrow 008","E02000440",3056,474,2080,65,245,192
2021,"Harrow 009","E02000441",2795,730,1592,102,269,102
2021,"Harrow 010","E02000442",2667,405,1802,63,146,251
2021,"Harrow 011","E02000443",3546,785,2104,133,265,259
2021,"Harrow 012","E02000444",2669,418,1861,91,167,132
2021,"Harrow 013","E02000445",3820,875,2138,165,335,307
2021,"Harrow 015","E02000447",2744,461,1776,72,298,137
2021,"Harrow 016","E02000448",2762,726,1484,76,358,118
2021,"Harrow 017","E02000449",2525,444,1696,80,124,181
2021,"Harrow 019","E02000451",2329,457,1459,58,250,105
2021,"Harrow 020","E02000452",3452,905,1831,135,332,249
2021,"Harrow 021","E02000453",3046,692,1669,113,383,189
2021,"Harrow 022","E02000454",2523,423,1680,67,276,77
2021,"Harrow 023","E02000455",4758,1464,2475,122,447,250
2021,"Harrow 024","E02000456",2717,720,1366,127,279,225
2021,"Harrow 025","E02000457",2563,556,1582,74,232,119
2021,"Harrow 027","E02000459",3418,870,1917,128,311,192
2021,"Harrow 028","E02000460",2414,488,1472,115,193,146
2021,"Harrow 029","E02000461",2560,731,1308,80,302,139
2021,"Harrow 030","E02000462",2285,498,1353,76,187,171
2021,"Harrow 031","E02000463",2834,522,1802,124,219,167
2021,"Havering 001","E02000464",2872,739,1764,95,171,103
2021,"Havering 002","E02000465",3492,945,2083,114,221,129
2021,"Havering 003","E02000466",3295,710,2129,114,228,114
2021,"Havering 004","E02000467",4290,1292,2366,200,236,196
2021,"Havering 005","E02000468",3165,728,2005,86,221,125
2021,"Havering 006","E02000469",2698,710,1611,101,152,124
2021,"Havering 007","E02000470",4132,1190,2392,86,346,118
