"date","geography","geography code","Household deprivation: Total: All households; measures: Value","Household deprivation: Household is not deprived in any dimension; measures: Value","Household deprivation: Household is deprived in one dimension; measures: Value","Household deprivation: Household is deprived in two dimensions; measures: Value","Household deprivation: Household is deprived in three dimensions; measures: Value","Household deprivation: Household is deprived in four dimensions; measures: Value"
2021,"Enfield 037","E02006793",3390,921,1296,796,336,41
2021,"Greenwich 001","E02000313",2595,878,1009,517,165,26
2021,"Greenwich 002","E02000314",4536,1991,1596,683,254,12
2021,"Greenwich 003","E02000315",3490,1227,1288,693,248,34
2021,"Greenwich 005","E02000317",2824,1067,1006,532,203,16
2021,"Greenwich 006","E02000318",3581,1282,1314,718,248,19
2021,"Greenwich 007","E02000319",3919,1636,1360,661,232,30
2021,"Greenwich 008","E02000320",2557,1142,891,395,117,12
2021,"Greenwich 009","E02000321",2958,1014,1106,590,222,26
2021,"Greenwich 011","E02000323",4820,2062,1699,763,266,30
2021,"Greenwich 012","E02000324",2855,1108,1003,516,215,13
2021,"Greenwich 014","E02000326",3049,1680,891,365,102,11
2021,"Greenwich 015","E02000327",2633,1112,850,498,158,15
2021,"Greenwich 016","E02000328",2946,1658,822,356,107,3
2021,"Greenwich 017","E02000329",2462,1040,871,399,140,12
2021,"Greenwich 019","E02000331",3191,1429,993,558,195,16
2021,"Greenwich 020","E02000332",3001,1555,995,369,77,5
2021,"Greenwich 021","E02000333",2883,1727,797,282,69,8
2021,"Greenwich 022","E02000334",2542,1180,852,374,127,9
2021,"Greenwich 023","E02000335",2592,1362,844,316,70,0
2021,"Greenwich 025","E02000337",3083,1201,1069,593,211,9
2021,"Greenwich 027","E02000339",2592,1304,862,346,73,7
2021,"Greenwich 028","E02000340",3020,1513,998,422,83,4
2021,"Greenwich 029","E02000341",2940,1064,1017,608,242,9
2021,"Greenwich 030","E02000342",2342,1106,724,379,124,9
2021,"Greenwich 031","E02000343",2693,1191,869,478,143,12
2021,"Greenwich 032","E02000344",2448,1338,748,298,63,1
2021,"Greenwich 033","E02006786",2874,1222,998,476,164,14
2021,"Greenwich 034","E02006927",5086,2754,1483,625,216,8
2021,"Greenwich 035","E02006928",5265,3263,1314,504,172,12
2021,"Greenwich 037","E02006930",4226,2567,1147,386,112,14
2021,"Greenwich 038","E02006931",4137,2352,1214,439,118,14
2021,"Greenwich 039","E02006991",3231,2172,803,207,47,2
2021,"Greenwich 040","E02006992",3770,2262,982,388,135,3
2021,"Greenwich 041","E02006993",3626,2242,958,330,90,6
2021,"Greenwich 042","E02006994",3285,1321,1243,537,174,10
2021,"Hackney 001","E02000345",2588,927,1007,476,144,34
2021,"Hackney 002","E02000346",3972,1800,1240,670,246,16
2021,"Hackney 003","E02000347",2582,984,1025,423,137,13
2021,"Hackney 004","E02000348",2725,892,1009,556,232,36
2021,"Hackney 006","E02000350",3693,1665,1281,515,208,24
2021,"Hackney 007","E02000351",4233,2066,1394,570,186,17
2021,"Hackney 008","E02000352",2685,1306,838,387,144,10
2021,"Hackney 009","E02000353",3156,1662,962,368,153,11
2021,"Hackney 010","E02000354",3990,1628,1304,754,272,32
2021,"Hackney 011","E02000355",3113,1456,991,484,166,16
2021,"Hackney 012","E02000356",3061,1736,865,336,104,20
2021,"Hackney 013","E02000357",2721,930,994,582,196,19
2021,"Hackney 014","E02000358",4819,2230,1468,837,255,29
2021,"Hackney 015","E02000359",2438,1115,749,388,172,14
2021,"Hackney 016","E02000360",4851,1931,1601,903,385,31
2021,"Hackney 017","E02000361",3678,1668,1189,584,217,20
2021,"Hackney 018","E02000362",2806,1155,915,530,190,16
2021,"Hackney 019","E02000363",4441,1604,1625,830,358,24
2021,"Hackney 020","E02000364",4099,2031,1237,593,221,17
2021,"Hackney 022","E02000366",3539,1404,1162,645,304,24
2021,"Hackney 023","E02000367",4595,2390,1363,621,206,15
2021,"Hackney 024","E02000368",4152,1633,1336,835,317,31
2021,"Hackney 025","E02000369",5929,2878,1856,867,309,19
2021,"Hackney 026","E02000370",3991,1854,1278,586,247,26
2021,"Hackney 028","E02006918",3170,1212,1116,598,231,13
2021,"Hackney 029","E02006921",2782,896,1095,541,234,16
2021,"Hackney 030","E02007108",2802,1600,820,282,86,14
2021,"Hackney 031","E02007109",3304,1642,968,478,190,26
2021,"Hackney 032","E02007110",3363,1738,987,457,162,19
2021,"Hackney 033","E02007111",2816,1658,812,275,63,8
2021,"Hammersmith and Fulham 001","E02000372",3876,1481,1400,720,254,21
2021,"Hammersmith and Fulham 002","E02000373",2535,860,928,551,176,20
2021,"Hammersmith and Fulham 003","E02000374",2617,1183,838,442,144,10
2021,"Hammersmith and Fulham 004","E02000375",3497,1500,1218,570,181,28
2021,"Hammersmith and Fulham 005","E02000376",3181,1432,1081,481,163,24
2021,"Hammersmith and Fulham 006","E02000377",3444,1593,1093,546,181,31
2021,"Hammersmith and Fulham 007","E02000378",3251,1593,1087,427,137,7
2021,"Hammersmith and Fulham 008","E02000379",3103,1702,926,349,113,13
2021,"Hammersmith and Fulham 009","E02000380",2501,1384,766,263,77,11
2021,"Hammersmith and Fulham 010","E02000381",3548,1863,1106,412,144,23
2021,"Hammersmith and Fulham 011","E02000382",2772,1519,825,293,117,18
2021,"Hammersmith and Fulham 012","E02000383",4111,2087,1346,524,135,19
2021,"Hammersmith and Fulham 013","E02000384",3805,1802,1201,572,209,21
2021,"Hammersmith and Fulham 014","E02000385",2848,1638,849,270,78,13
2021,"Hammersmith and Fulham 015","E02000386",3366,1360,1196,611,188,11
2021,"Hammersmith and Fulham 016","E02000387",2585,1194,861,398,121,11
2021,"Hammersmith and Fulham 017","E02000388",4134,2297,1204,471,149,13
2021,"Hammersmith and Fulham 018","E02000389",3679,2147,1104,342,80,6
2021,"Hammersmith and Fulham 019","E02000390",2719,1482,786,322,113,16
2021,"Hammersmith and Fulham 020","E02000391",3281,1959,875,334,105,8
2021,"Hammersmith and Fulham 021","E02000392",4039,2341,1108,438,137,15
2021,"Hammersmith and Fulham 022","E02000393",2588,1715,633,185,47,8
2021,"Hammersmith and Fulham 023","E02000394",4346,2385,1304,510,133,14
2021,"Hammersmith and Fulham 024","E02000395",2643,1679,723,194,42,5
2021,"Hammersmith and Fulham 025","E02000396",2770,1553,783,329,91,14
2021,"Haringey 001","E02000397",3472,1335,1210,657,235,35
2021,"Haringey 002","E02000398",2881,797,1047,715,280,42
2021,"Haringey 004","E02000400",3120,1370,1054,535,149,12
2021,"Haringey 005","E02000401",2477,823,832,577,228,17
2021,"Haringey 006","E02000402",2425,774,868,556,214,13
2021,"Haringey 007","E02000403",2990,1162,1101,531,175,21
2021,"Haringey 008","E02000404",2665,924,971,548,214,8
2021,"Haringey 009","E02000405",2464,1475,726,206,52,5
2021,"Haringey 010","E02000406",2595,1022,845,542,170,16
2021,"Haringey 011","E02000407",3005,995,1078,657,240,35
2021,"Haringey 012","E02000408",3001,982,1071,707,220,21
2021,"Haringey 013","E02000409",2370,810,864,495,183,18
2021,"Haringey 014","E02000410",2614,1561,813,200,32,8
2021,"Haringey 015","E02000411",3953,1606,1420,666,237,24
2021,"Haringey 016","E02000412",2869,989,1051,598,201,30
2021,"Haringey 017","E02000413",2963,1672,904,313,70,4
2021,"Haringey 018","E02000414",2718,1097,992,476,136,17
2021,"Haringey 019","E02000415",2835,1139,1014,506,154,22
2021,"Haringey 020","E02000416",3919,1929,1208,576,192,14
2021,"Haringey 021","E02000417",2867,1684,871,247,63,2
2021,"Haringey 022","E02000418",2208,1306,637,215,47,3
2021,"Haringey 023","E02000419",3645,1506,1262,622,210,45
2021,"Haringey 024","E02000420",3436,1303,1215,683,213,22
2021,"Haringey 025","E02000421",3140,1049,1146,696,232,17
2021,"Haringey 026","E02000422",2887,1006,1096,580,185,20
2021,"Haringey 027","E02000423",2672,1155,895,443,166,13
2021,"Haringey 028","E02000424",2984,1598,889,372,118,7
