"date","geography","geography code","Second address indicator: Total: All usual residents","Second address indicator: No second address","Second address indicator: Second address is in the UK","Second address indicator: Second address is outside the UK"
2021,"Hounslow 020","E02000545",9237,8797,229,211
2021,"Hounslow 021","E02000546",10427,10057,192,178
2021,"Hounslow 022","E02000547",10999,10610,179,210
2021,"Hounslow 023","E02000548",10576,10235,189,152
2021,"Hounslow 024","E02000549",12535,12092,236,207
2021,"Hounslow 025","E02000550",10712,10304,221,187
2021,"Hounslow 026","E02000551",9752,9450,188,114
2021,"Hounslow 027","E02000552",9258,8917,208,133
2021,"Hounslow 028","E02000553",7115,6840,140,135
2021,"Islington 001","E02000554",9356,8834,346,176
2021,"Islington 002","E02000555",9571,8779,495,297
2021,"Islington 003","E02000556",11396,10406,671,319
2021,"Islington 004","E02000557",8783,8123,398,262
2021,"Islington 005","E02000558",9433,8876,351,206
2021,"Islington 006","E02000559",9582,8829,460,293
2021,"Islington 007","E02000560",7355,6574,488,293
2021,"Islington 008","E02000561",7387,6644,500,243
2021,"Islington 009","E02000562",7865,7267,385,213
2021,"Islington 010","E02000563",8684,7994,423,267
2021,"Islington 011","E02000564",12418,11180,627,611
2021,"Islington 012","E02000565",8542,7834,459,249
2021,"Islington 013","E02000566",8556,7554,646,356
2021,"Islington 014","E02000567",10438,9642,504,292
2021,"Islington 015","E02000568",11342,10149,699,494
2021,"Islington 016","E02000569",9939,9054,533,352
2021,"Islington 017","E02000570",8286,7224,656,406
2021,"Islington 018","E02000571",8923,8245,358,320
2021,"Islington 019","E02000572",8602,7800,405,397
2021,"Islington 020","E02000573",10313,9005,777,531
2021,"Islington 021","E02000574",7833,6529,628,676
2021,"Islington 022","E02000575",11313,9411,1028,874
2021,"Islington 023","E02000576",10671,9510,623,538
2021,"Kensington and Chelsea 001","E02000577",7711,7138,309,264
2021,"Kensington and Chelsea 002","E02000578",6004,5673,177,154
2021,"Kensington and Chelsea 003","E02000579",8993,8023,551,419
2021,"Kensington and Chelsea 004","E02000580",7895,7139,423,333
2021,"Kensington and Chelsea 005","E02000581",7392,7004,216,172
2021,"Kensington and Chelsea 006","E02000582",6543,5248,574,721
2021,"Kensington and Chelsea 007","E02000583",6428,5044,757,627
2021,"Kensington and Chelsea 008","E02000584",7175,5600,645,930
2021,"Kensington and Chelsea 009","E02000585",8088,6664,490,934
2021,"Kensington and Chelsea 010","E02000586",6474,4810,586,1078
2021,"Kensington and Chelsea 011","E02000587",6496,4919,612,965
2021,"Kensington and Chelsea 012","E02000588",5984,4353,546,1085
2021,"Kensington and Chelsea 013","E02000589",7250,5765,489,996
2021,"Kensington and Chelsea 014","E02000590",5974,4764,481,729
2021,"Kensington and Chelsea 015","E02000591",6210,5185,356,669
2021,"Kensington and Chelsea 016","E02000592",5764,4309,530,925
2021,"Kensington and Chelsea 017","E02000593",7393,5928,495,970
2021,"Kensington and Chelsea 018","E02000594",6482,4848,807,827
2021,"Kensington and Chelsea 019","E02000595",6164,4666,680,818
2021,"Kensington and Chelsea 020","E02000596",6618,5173,563,882
2021,"Kensington and Chelsea 021","E02000597",6336,5690,316,330
2021,"Kingston upon Thames 001","E02000598",8094,7708,213,173
2021,"Kingston upon Thames 002","E02000599",7007,6346,302,359
2021,"Kingston upon Thames 003","E02000600",8360,7760,344,256
2021,"Kingston upon Thames 004","E02000601",11904,11043,470,391
2021,"Kingston upon Thames 005","E02000602",10313,9134,842,337
2021,"Kingston upon Thames 006","E02000603",8639,8068,370,201
2021,"Kingston upon Thames 007","E02000604",9242,8794,260,188
2021,"Kingston upon Thames 008","E02000605",8490,8127,217,146
2021,"Kingston upon Thames 009","E02000606",10561,9119,955,487
2021,"Kingston upon Thames 010","E02000607",6793,5954,687,152
2021,"Kingston upon Thames 011","E02000608",7199,6468,527,204
2021,"Kingston upon Thames 012","E02000609",7628,7346,145,137
2021,"Kingston upon Thames 013","E02000610",7953,7437,376,140
2021,"Kingston upon Thames 014","E02000611",7440,7097,231,112
2021,"Kingston upon Thames 015","E02000612",8251,7937,190,124
2021,"Kingston upon Thames 016","E02000613",8093,7720,239,134
2021,"Kingston upon Thames 017","E02000614",9294,8886,230,178
2021,"Kingston upon Thames 018","E02000615",7881,7626,178,77
2021,"Kingston upon Thames 019","E02000616",6061,5883,139,39
2021,"Kingston upon Thames 020","E02000617",8863,8583,201,79
2021,"Lambeth 002","E02000619",9101,8350,485,266
2021,"Lambeth 003","E02000620",9845,8788,610,447
2021,"Lambeth 004","E02000621",12520,11021,777,722
2021,"Lambeth 005","E02000622",8404,7612,528,264
2021,"Lambeth 006","E02000623",7858,7344,341,173
2021,"Lambeth 007","E02000624",9631,8972,452,207
2021,"Lambeth 008","E02000625",9306,8754,346,206
2021,"Lambeth 009","E02000626",8362,7945,260,157
2021,"Lambeth 010","E02000627",9553,8747,563,243
2021,"Lambeth 011","E02000628",10786,10135,434,217
2021,"Lambeth 012","E02000629",9117,8308,593,216
2021,"Lambeth 013","E02000630",7538,6720,563,255
2021,"Lambeth 014","E02000631",9524,8819,483,222
2021,"Lambeth 015","E02000632",9586,8699,714,173
2021,"Lambeth 016","E02000633",9160,8487,488,185
2021,"Lambeth 017","E02000634",6773,6243,371,159
2021,"Lambeth 018","E02000635",9812,9114,497,201
2021,"Lambeth 019","E02000636",7718,6967,562,189
2021,"Lambeth 020","E02000637",8403,7741,487,175
2021,"Lambeth 021","E02000638",10255,9583,498,174
2021,"Lambeth 022","E02000639",8320,7847,317,156
2021,"Lambeth 023","E02000640",9293,8620,513,160
2021,"Lambeth 024","E02000641",8633,8186,311,136
2021,"Lambeth 025","E02000642",9809,9211,421,177
2021,"Lambeth 026","E02000643",9378,8778,413,187
2021,"Lambeth 027","E02000644",8521,7998,318,205
2021,"Lambeth 028","E02000645",9533,8957,377,199
2021,"Lambeth 029","E02000646",9500,8960,369,171
2021,"Lambeth 030","E02000647",8591,8164,269,158
2021,"Lambeth 031","E02000648",7825,7552,173,100
2021,"Lambeth 032","E02000649",12476,11764,446,266
2021,"Lambeth 033","E02000650",7665,7369,194,102
2021,"Lambeth 034","E02000651",8738,8366,222,150
2021,"Lambeth 035","E02000652",7559,7257,183,119
2021,"Lewisham 001","E02000653",12609,11762,471,376
2021,"Lewisham 002","E02000654",8789,8387,267,135
2021,"Lewisham 003","E02000655",10284,9473,542,269
2021,"Lewisham 005","E02000657",9906,8852,737,317
2021,"Lewisham 006","E02000658",8619,8050,367,202
2021,"Lewisham 007","E02000659",8063,7519,340,204
2021,"Lewisham 008","E02000660",8206,7585,370,251
2021,"Lewisham 009","E02000661",6493,6041,301,151
2021,"Lewisham 010","E02000662",8295,7899,268,128
2021,"Lewisham 011","E02000663",6799,6412,256,131
2021,"Lewisham 013","E02000665",8155,7787,246,122
2021,"Lewisham 014","E02000666",7189,6845,256,88
2021,"Lewisham 015","E02000667",6687,6397,201,89
2021,"Lewisham 016","E02000668",6859,6542,191,126
2021,"Lewisham 017","E02000669",7972,7600,217,155
2021,"Lewisham 018","E02000670",6706,6411,184,111
2021,"Lewisham 019","E02000671",8740,8348,297,95
2021,"Lewisham 020","E02000672",10272,9763,302,207
2021,"Lewisham 021","E02000673",8138,7699,322,117
2021,"Lewisham 022","E02000674",8454,8152,202,100
2021,"Lewisham 023","E02000675",8526,8168,228,130
2021,"Lewisham 024","E02000676",7816,7445,258,113
2021,"Lewisham 025","E02000677",7210,6918,173,119
2021,"Lewisham 026","E02000678",6961,6723,131,107
2021,"Lewisham 027","E02000679",8135,7746,273,116
2021,"Lewisham 028","E02000680",7036,6743,182,111
2021,"Lewisham 029","E02000681",8473,8221,182,70
2021,"Lewisham 030","E02000682",8931,8611,208,112
2021,"Lewisham 031","E02000683",6768,6565,119,84
2021,"Lewisham 033","E02000685",8130,7766,224,140
2021,"Lewisham 034","E02000686",7536,7281,139,116
2021,"Lewisham 035","E02000687",8267,7936,236,95
2021,"Merton 001","E02000689",9053,8357,384,312
2021,"Merton 002","E02000690",5524,4781,328,415
2021,"Merton 003","E02000691",7354,6857,302,195
2021,"Merton 004","E02000692",7655,6822,409,424
2021,"Merton 005","E02000693",9853,9342,319,192
2021,"Merton 006","E02000694",9103,8597,315,191
2021,"Merton 007","E02000695",8641,8215,249,177
2021,"Merton 008","E02000696",8630,8238,212,180
2021,"Merton 009","E02000697",8728,8133,342,253
2021,"Merton 010","E02000698",8236,7621,311,304
2021,"Merton 011","E02000699",8214,7730,291,193
2021,"Merton 012","E02000700",8661,8272,200,189
2021,"Merton 013","E02000701",9011,8657,187,167
2021,"Merton 014","E02000702",9323,9013,177,133
2021,"Merton 015","E02000703",7964,7535,266,163
2021,"Merton 016","E02000704",8601,8162,276,163
2021,"Merton 017","E02000705",9327,8966,164,197
2021,"Merton 018","E02000706",10035,9714,164,157
2021,"Merton 019","E02000707",8305,8028,151,126
2021,"Merton 020","E02000708",8887,8511,249,127
2021,"Merton 021","E02000709",7977,7597,221,159
2021,"Merton 022","E02000710",9186,8852,160,174
2021,"Merton 023","E02000711",9448,9082,196,170
2021,"Merton 024","E02000712",9666,9322,177,167
2021,"Merton 025","E02000713",7805,7557,174,74
2021,"Newham 001","E02000714",7713,7388,169,156
2021,"Newham 002","E02000715",7298,7105,106,87
2021,"Newham 003","E02000716",7350,7095,146,109
2021,"Newham 004","E02000717",8356,8122,113,121
2021,"Newham 005","E02000718",7406,7261,97,48
2021,"Newham 006","E02000719",8074,7666,190,218
2021,"Newham 007","E02000720",7489,7254,113,122
2021,"Newham 008","E02000721",9544,9198,165,181
2021,"Newham 009","E02000722",8140,7714,212,214
2021,"Newham 010","E02000723",11195,10843,193,159
2021,"Newham 011","E02000724",10027,9787,106,134
2021,"Newham 012","E02000725",9987,9267,364,356
2021,"Newham 014","E02000727",8518,8197,117,204
2021,"Newham 015","E02000728",8527,8185,112,230
2021,"Newham 016","E02000729",7328,7016,149,163
2021,"Newham 017","E02000730",9928,9435,241,252
2021,"Newham 018","E02000731",9964,9633,151,180
2021,"Newham 019","E02000732",8900,8624,139,137
2021,"Newham 020","E02000733",10096,9601,274,221
2021,"Newham 021","E02000734",7302,7001,145,156
2021,"Newham 022","E02000735",8610,8278,152,180
2021,"Newham 023","E02000736",9203,8939,149,115
2021,"Newham 024","E02000737",10379,10070,132,177
2021,"Newham 025","E02000738",9576,9217,172,187
2021,"Newham 026","E02000739",7724,7426,156,142
2021,"Newham 027","E02000740",6767,6486,143,138
2021,"Newham 028","E02000741",8245,7977,137,131
2021,"Newham 029","E02000742",8705,8448,131,126
2021,"Newham 030","E02000743",10281,9821,270,190
2021,"Newham 031","E02000744",9173,8844,154,175
2021,"Newham 032","E02000745",8597,8123,203,271
2021,"Newham 033","E02000746",9426,8745,456,225
2021,"Newham 034","E02000747",13098,12236,368,494
2021,"Newham 035","E02000748",6270,5867,192,211
2021,"Newham 036","E02000749",9552,9170,187,195
2021,"Redbridge 001","E02000751",11160,10583,344,233
2021,"Redbridge 002","E02000752",8783,8548,138,97
2021,"Redbridge 003","E02000753",6920,6690,131,99
2021,"Redbridge 004","E02000754",6768,6498,149,121
2021,"Redbridge 005","E02000755",5483,5318,99,66
2021,"Redbridge 006","E02000756",14593,14049,263,281
2021,"Redbridge 007","E02000757",12393,11779,438,176
2021,"Redbridge 008","E02000758",6885,6674,136,75
2021,"Redbridge 009","E02000759",13088,12572,316,200
2021,"Redbridge 010","E02000760",7534,7246,163,125
2021,"Redbridge 012","E02000762",6621,6392,117,112
2021,"Redbridge 013","E02000763",8015,7706,157,152
2021,"Redbridge 014","E02000764",12307,11655,423,229
2021,"Redbridge 015","E02000765",7526,7289,108,129
2021,"Redbridge 017","E02000767",8625,8344,158,123
2021,"Redbridge 018","E02000768",5788,5550,148,90
2021,"Redbridge 020","E02000770",8126,7893,123,110
2021,"Redbridge 022","E02000772",8383,8089,166,128
2021,"Redbridge 023","E02000773",10733,10415,194,124
2021,"Redbridge 024","E02000774",8107,7838,155,114
2021,"Redbridge 026","E02000776",7039,6822,134,83
2021,"Redbridge 027","E02000777",6003,5718,181,104
2021,"Redbridge 029","E02000779",8418,8070,172,176
2021,"Redbridge 031","E02000781",16292,15839,252,201
2021,"Redbridge 032","E02000782",11487,11145,160,182
2021,"Redbridge 033","E02000783",7395,7139,112,144
2021,"Richmond upon Thames 001","E02000784",10130,8919,637,574
2021,"Richmond upon Thames 002","E02000785",9714,8793,510,411
2021,"Richmond upon Thames 003","E02000786",11374,10386,618,370
2021,"Richmond upon Thames 004","E02000787",12086,11262,426,398
2021,"Richmond upon Thames 005","E02000788",9094,8512,342,240
2021,"Richmond upon Thames 006","E02000789",6301,5731,303,267
2021,"Richmond upon Thames 007","E02000790",6587,6086,277,224
2021,"Richmond upon Thames 008","E02000791",6472,5665,415,392
2021,"Richmond upon Thames 009","E02000792",7148,6431,357,360
2021,"Richmond upon Thames 010","E02000793",8107,7753,204,150
2021,"Richmond upon Thames 011","E02000794",7015,6592,249,174
2021,"Richmond upon Thames 012","E02000795",6926,6289,323,314
2021,"Richmond upon Thames 013","E02000796",11087,10718,234,135
2021,"Richmond upon Thames 014","E02000797",7868,7226,403,239
2021,"Richmond upon Thames 015","E02000798",11306,10734,366,206
2021,"Richmond upon Thames 016","E02000799",6607,5531,858,218
2021,"Richmond upon Thames 017","E02000800",5411,5106,180,125
2021,"Richmond upon Thames 018","E02000801",7110,6600,335,175
2021,"Richmond upon Thames 019","E02000802",7021,6574,286,161
2021,"Richmond upon Thames 020","E02000803",9715,9259,307,149
2021,"Richmond upon Thames 021","E02000804",7149,6642,349,158
2021,"Richmond upon Thames 022","E02000805",10755,10010,461,284
2021,"Richmond upon Thames 023","E02000806",10299,9719,340,240
2021,"Southwark 001","E02000807",8227,7490,389,348
2021,"Southwark 002","E02000808",10168,8019,1211,938
2021,"Southwark 004","E02000810",11897,11022,519,356
2021,"Southwark 006","E02000812",10787,9592,758,437
2021,"Southwark 007","E02000813",10223,9423,451,349
2021,"Southwark 008","E02000814",10291,9341,503,447
2021,"Southwark 009","E02000815",7614,6253,786,575
2021,"Southwark 010","E02000816",9608,8947,382,279
2021,"Southwark 011","E02000817",6821,6455,240,126
2021,"Southwark 012","E02000818",9791,8992,464,335
2021,"Southwark 013","E02000819",8500,7867,444,189
2021,"Southwark 014","E02000820",9245,8268,594,383
2021,"Southwark 015","E02000821",9358,8818,364,176
2021,"Southwark 016","E02000822",6719,6321,246,152
2021,"Southwark 017","E02000823",8685,8058,372,255
2021,"Southwark 018","E02000824",9902,9436,330,136
2021,"Southwark 019","E02000825",10224,9620,423,181
2021,"Southwark 020","E02000826",9881,9168,495,218
2021,"Southwark 021","E02000827",11311,10654,399,258
2021,"Southwark 022","E02000828",8813,8288,351,174
2021,"Southwark 023","E02000829",10924,10292,454,178
2021,"Southwark 024","E02000830",8884,8165,478,241
2021,"Southwark 025","E02000831",9352,8747,450,155
2021,"Southwark 026","E02000832",9688,9250,324,114
2021,"Southwark 027","E02000833",7487,6958,335,194
2021,"Southwark 028","E02000834",9388,8708,528,152
2021,"Southwark 029","E02000835",7680,7293,270,117
2021,"Southwark 030","E02000836",8294,7790,390,114
2021,"Southwark 031","E02000837",8559,7676,646,237
2021,"Southwark 032","E02000838",9497,8981,357,159
2021,"Southwark 033","E02000839",8480,7812,432,236
2021,"Sutton 001","E02000840",9325,9062,166,97
2021,"Sutton 002","E02000841",9188,8957,145,86
2021,"Sutton 003","E02000842",8279,8070,137,72
2021,"Sutton 004","E02000843",9473,9153,234,86
2021,"Sutton 005","E02000844",8657,8379,196,82
2021,"Sutton 006","E02000845",9422,9079,225,118
2021,"Sutton 007","E02000846",7615,7331,191,93
2021,"Sutton 008","E02000847",9421,9104,209,108
2021,"Sutton 009","E02000848",8139,7905,162,72
2021,"Sutton 010","E02000849",8177,7939,151,87
2021,"Sutton 011","E02000850",10836,10491,253,92
2021,"Sutton 012","E02000851",11581,11053,274,254
2021,"Sutton 013","E02000852",8146,7872,186,88
2021,"Sutton 014","E02000853",8171,7876,179,116
2021,"Sutton 015","E02000854",7610,7342,203,65
2021,"Sutton 016","E02000855",8204,7910,203,91
2021,"Sutton 017","E02000856",9332,8964,215,153
2021,"Sutton 018","E02000857",8995,8594,235,166
2021,"Sutton 019","E02000858",8568,8328,162,78
2021,"Sutton 020","E02000859",8487,8177,232,78
2021,"Sutton 021","E02000860",8785,8371,218,196
2021,"Sutton 022","E02000861",7777,7407,239,131
2021,"Sutton 024","E02000863",6737,6509,140,88
2021,"Tower Hamlets 001","E02000864",11263,10643,416,204
2021,"Tower Hamlets 002","E02000865",7961,7482,261,218
2021,"Tower Hamlets 003","E02000866",10646,9847,578,221
2021,"Tower Hamlets 004","E02000867",11325,10527,503,295
2021,"Tower Hamlets 005","E02000868",7196,6662,348,186
2021,"Tower Hamlets 006","E02000869",5931,5531,253,147
2021,"Tower Hamlets 007","E02000870",6371,5971,246,154
2021,"Tower Hamlets 008","E02000871",11514,10935,353,226
2021,"Tower Hamlets 009","E02000872",8145,7571,288,286
2021,"Tower Hamlets 010","E02000873",9852,8136,1115,601
2021,"Tower Hamlets 011","E02000874",7496,6917,307,272
2021,"Tower Hamlets 012","E02000875",13572,12882,464,226
2021,"Tower Hamlets 013","E02000876",7274,6699,325,250
2021,"Tower Hamlets 014","E02000877",13809,12877,562,370
2021,"Tower Hamlets 015","E02000878",10433,9167,537,729
2021,"Tower Hamlets 016","E02000879",8343,7841,309,193
2021,"Tower Hamlets 017","E02000880",6514,5871,428,215
2021,"Tower Hamlets 018","E02000881",10832,10281,295,256
2021,"Tower Hamlets 019","E02000882",11501,11038,296,167
2021,"Tower Hamlets 020","E02000883",9288,8926,202,160
2021,"Tower Hamlets 021","E02000884",12767,11239,628,900
2021,"Tower Hamlets 022","E02000885",7054,6741,178,135
2021,"Tower Hamlets 023","E02000886",9591,8849,393,349
2021,"Tower Hamlets 024","E02000887",10801,10274,280,247
2021,"Tower Hamlets 025","E02000888",8620,8084,297,239
2021,"Tower Hamlets 026","E02000889",8965,8177,388,400
2021,"Tower Hamlets 027","E02000890",5815,5170,347,298
2021,"Tower Hamlets 030","E02000893",7412,6943,242,227
2021,"Tower Hamlets 031","E02000894",11007,10124,473,410
2021,"Waltham Forest 001","E02000895",8371,8127,147,97
2021,"Waltham Forest 002","E02000896",9328,8968,250,110
2021,"Waltham Forest 003","E02000897",8567,8315,166,86
2021,"Waltham Forest 004","E02000898",8011,7749,168,94
2021,"Waltham Forest 005","E02000899",8812,8494,156,162
2021,"Waltham Forest 006","E02000900",8973,8727,109,137
2021,"Waltham Forest 007","E02000901",10492,10112,251,129
2021,"Waltham Forest 008","E02000902",9960,9625,199,136
2021,"Waltham Forest 009","E02000903",10275,9964,175,136
2021,"Waltham Forest 010","E02000904",8424,8092,190,142
2021,"Waltham Forest 011","E02000905",10475,10140,195,140
2021,"Waltham Forest 012","E02000906",9653,9271,230,152
2021,"Waltham Forest 013","E02000907",10580,10205,252,123
2021,"Waltham Forest 014","E02000908",12903,12139,479,285
2021,"Waltham Forest 015","E02000909",9247,8855,249,143
2021,"Waltham Forest 016","E02000910",11429,10907,318,204
2021,"Waltham Forest 017","E02000911",12963,12431,310,222
2021,"Waltham Forest 018","E02000912",9742,9400,181,161
2021,"Waltham Forest 019","E02000913",9644,9319,165,160
2021,"Waltham Forest 020","E02000914",11798,11347,220,231
2021,"Waltham Forest 021","E02000915",8111,7776,190,145
2021,"Waltham Forest 022","E02000916",10564,10126,241,197
2021,"Waltham Forest 023","E02000917",9589,9186,201,202
2021,"Waltham Forest 024","E02000918",9322,8889,234,199
2021,"Waltham Forest 025","E02000919",9239,8770,223,246
2021,"Waltham Forest 026","E02000920",10299,9897,221,181
2021,"Waltham Forest 027","E02000921",11199,10670,241,288
2021,"Waltham Forest 028","E02000922",10461,10056,202,203
2021,"Wandsworth 001","E02000923",7526,6470,582,474
2021,"Wandsworth 003","E02000925",7901,7268,373,260
2021,"Wandsworth 004","E02000926",11640,10390,741,509
2021,"Wandsworth 005","E02000927",7100,6509,412,179
2021,"Wandsworth 006","E02000928",8356,7563,534,259
2021,"Wandsworth 007","E02000929",8106,7617,260,229
2021,"Wandsworth 008","E02000930",10083,8940,733,410
2021,"Wandsworth 009","E02000931",8817,7880,576,361
2021,"Wandsworth 010","E02000932",12843,11610,672,561
2021,"Wandsworth 011","E02000933",8867,7998,539,330
2021,"Wandsworth 012","E02000934",8916,8107,538,271
2021,"Wandsworth 013","E02000935",7372,6121,910,341
2021,"Wandsworth 014","E02000936",9367,8527,479,361
2021,"Wandsworth 015","E02000937",8162,7252,640,270
2021,"Wandsworth 016","E02000938",10766,10072,337,357
2021,"Wandsworth 017","E02000939",7818,6948,584,286
2021,"Wandsworth 018","E02000940",9326,8718,385,223
2021,"Wandsworth 019","E02000941",10175,9314,565,296
2021,"Wandsworth 020","E02000942",9686,8999,449,238
2021,"Wandsworth 021","E02000943",8721,7911,564,246
2021,"Wandsworth 022","E02000944",7638,7244,211,183
2021,"Wandsworth 023","E02000945",7842,7161,427,254
2021,"Wandsworth 024","E02000946",8435,7918,400,117
2021,"Wandsworth 025","E02000947",9341,8762,376,203
2021,"Wandsworth 026","E02000948",10027,9225,602,200
2021,"Wandsworth 027","E02000949",10003,8978,750,275
2021,"Wandsworth 028","E02000950",7584,7058,281,245
2021,"Wandsworth 029","E02000951",6431,5846,449,136
2021,"Wandsworth 030","E02000952",6146,5698,333,115
2021,"Wandsworth 031","E02000953",7502,6746,583,173
2021,"Wandsworth 032","E02000954",6100,5684,320,96
2021,"Wandsworth 033","E02000955",6888,6503,310,75
2021,"Wandsworth 034","E02000956",7422,6669,572,181
2021,"Wandsworth 035","E02000957",10861,10199,497,165
2021,"Wandsworth 036","E02000958",8276,7659,434,183
2021,"Wandsworth 037","E02000959",7866,7432,234,200
2021,"Westminster 001","E02000960",6155,5314,257,584
2021,"Westminster 002","E02000961",9814,8705,409,700
2021,"Westminster 003","E02000962",7703,6576,351,776
2021,"Westminster 004","E02000963",10522,10066,251,205
2021,"Westminster 005","E02000964",12141,11336,403,402
2021,"Westminster 006","E02000965",7876,7011,420,445
2021,"Westminster 007","E02000966",9252,7865,578,809
2021,"Westminster 008","E02000967",6055,4770,414,871
2021,"Westminster 009","E02000968",14480,13549,415,516
2021,"Westminster 010","E02000969",9607,9062,252,293
2021,"Westminster 011","E02000970",6833,5334,530,969
2021,"Westminster 012","E02000971",7473,6002,558,913
2021,"Westminster 013","E02000972",7879,6208,552,1119
2021,"Westminster 014","E02000973",9955,8519,646,790
2021,"Westminster 015","E02000974",8706,6792,662,1252
2021,"Westminster 016","E02000975",7417,6071,534,812
2021,"Westminster 017","E02000976",8431,7095,477,859
2021,"Westminster 018","E02000977",6388,4714,757,917
2021,"Westminster 019","E02000978",7128,4495,1012,1621
2021,"Westminster 020","E02000979",8087,6289,945,853
2021,"Westminster 021","E02000980",8724,7637,541,546
2021,"Westminster 022","E02000981",8271,6954,732,585
2021,"Westminster 023","E02000982",7638,6761,445,432
2021,"Westminster 024","E02000983",7695,6884,389,422
2021,"Bromley 040","E02006782",8126,7814,201,111
2021,"Lewisham 037","E02006783",7773,7544,162,67
2021,"Lewisham 038","E02006784",7968,7667,171,130
2021,"Bexley 029","E02006785",6623,6431,121,71
2021,"Greenwich 033","E02006786",7560,7269,184,107
2021,"Bromley 041","E02006787",7895,7645,166,84
2021,"Croydon 045","E02006788",7610,7405,137,68
2021,"Bromley 042","E02006789",6778,6555,163,60
2021,"Ealing 040","E02006791",7568,6990,341,237
2021,"Hounslow 029","E02006792",8998,8118,458,422
2021,"Enfield 037","E02006793",9645,9358,164,123
2021,"Haringey 037","E02006794",8282,8006,149,127
2021,"Harrow 032","E02006795",8269,7991,123,155
2021,"Hillingdon 033","E02006796",9695,9257,316,122
2021,"Lewisham 039","E02006798",8888,8320,390,178
2021,"Barking and Dagenham 023","E02006799",12041,11723,175,143
2021,"Redbridge 034","E02006800",14681,14207,283,191
2021,"Lambeth 036","E02006801",8567,6889,744,934
2021,"Southwark 034","E02006802",9276,7805,931,540
2021,"Sutton 025","E02006836",8721,8365,227,129
2021,"Tower Hamlets 032","E02006853",11013,10082,344,587
2021,"Tower Hamlets 033","E02006854",7075,6305,284,486
2021,"Harrow 033","E02006882",14394,13888,218,288
2021,"Hackney 028","E02006918",8398,8122,196,80
2021,"Hackney 029","E02006921",7928,7640,182,106
2021,"Redbridge 035","E02006924",13601,13126,268,207
2021,"Redbridge 036","E02006925",14420,13964,205,251
2021,"Greenwich 034","E02006927",12366,11687,421,258
2021,"Greenwich 035","E02006928",12091,10521,985,585
2021,"Greenwich 037","E02006930",9845,9242,358,245
2021,"Greenwich 038","E02006931",9459,8688,463,308
2021,"Southwark 035","E02006941",5312,4551,396,365
2021,"Southwark 036","E02006942",6746,6030,425,291
2021,"Barnet 042","E02006953",9169,8212,452,505
2021,"Barnet 043","E02006954",10113,9545,262,306
2021,"Brent 035","E02006955",7509,6195,874,440
2021,"Brent 036","E02006956",8828,7751,754,323
2021,"Ealing 041","E02006968",8351,7707,322,322
2021,"Ealing 042","E02006969",6424,5874,250,300
2021,"Ealing 043","E02006970",7342,7114,129,99
2021,"Ealing 044","E02006971",8295,8025,135,135
2021,"Hounslow 030","E02006972",5413,4948,235,230
2021,"Hounslow 031","E02006973",8494,8023,222,249
2021,"Croydon 046","E02006987",7373,6910,236,227
2021,"Croydon 047","E02006988",7161,6843,187,131
2021,"Greenwich 039","E02006991",6319,5889,247,183
2021,"Greenwich 040","E02006992",8231,7759,247,225
2021,"Greenwich 041","E02006993",8400,7798,337,265
2021,"Greenwich 042","E02006994",7641,7290,180,171
2021,"Newham 038","E02006995",8638,7717,533,388
2021,"Newham 039","E02006996",8426,7476,533,417
2021,"Newham 040","E02006997",6887,6384,271,232
2021,"Newham 041","E02006998",7086,6782,166,138
2021,"Newham 042","E02006999",11244,10512,373,359
2021,"Lewisham 040","E02007008",5763,5273,229,261
2021,"Lewisham 041","E02007009",9142,8636,274,232
2021,"Redbridge 037","E02007017",8816,8586,148,82
2021,"Redbridge 038","E02007018",7270,6998,165,107
2021,"Redbridge 039","E02007019",7162,6897,127,138
2021,"Redbridge 040","E02007020",9839,9544,142,153
2021,"Wandsworth 038","E02007083",7711,6670,355,686
2021,"Wandsworth 039","E02007084",9890,9261,375,254
2021,"Hackney 030","E02007108",5941,5480,265,196
2021,"Hackney 031","E02007109",7614,7129,297,188
2021,"Hackney 032","E02007110",7332,6537,320,475
2021,"Hackney 033","E02007111",5949,5141,306,502
2021,"Tower Hamlets 034","E02007112",5893,5382,198,313
2021,"Tower Hamlets 035","E02007113",7462,6867,255,340
2021,"Tower Hamlets 036","E02007114",7564,6861,390,313
2021,"Camden 029","E02007115",11585,8629,1424,1532
