"date","geography","geography code","Second address indicator: Total: All usual residents","Second address indicator: No second address","Second address indicator: Second address is in the UK","Second address indicator: Second address is outside the UK"
2021,"Camden 016","E02000181",8073,7250,372,451
2021,"Camden 017","E02000182",7117,6311,324,482
2021,"Camden 018","E02000183",7591,6534,567,490
2021,"Camden 019","E02000184",8908,7429,826,653
2021,"Camden 020","E02000185",8883,8333,305,245
2021,"Camden 021","E02000186",6221,5055,654,512
2021,"Camden 022","E02000187",9784,8539,555,690
2021,"Camden 023","E02000188",7179,6194,572,413
2021,"Camden 026","E02000191",5337,3290,1048,999
2021,"Camden 027","E02000192",6659,5851,354,454
2021,"Camden 028","E02000193",5960,4599,518,843
2021,"Croydon 001","E02000194",9211,8723,341,147
2021,"Croydon 002","E02000195",9649,9237,243,169
2021,"Croydon 003","E02000196",7914,7643,142,129
2021,"Croydon 004","E02000197",9025,8698,186,141
2021,"Croydon 005","E02000198",8890,8610,182,98
2021,"Croydon 006","E02000199",8414,8121,204,89
2021,"Croydon 007","E02000200",9050,8701,238,111
2021,"Croydon 008","E02000201",8695,8416,182,97
2021,"Croydon 009","E02000202",8929,8693,133,103
2021,"Croydon 010","E02000203",7965,7716,143,106
2021,"Croydon 011","E02000204",9655,9328,199,128
2021,"Croydon 013","E02000206",10819,10445,247,127
2021,"Croydon 014","E02000207",8901,8602,209,90
2021,"Croydon 015","E02000208",10861,10483,263,115
2021,"Croydon 016","E02000209",9067,8780,171,116
2021,"Croydon 017","E02000210",8713,8445,168,100
2021,"Croydon 018","E02000211",8273,7995,175,103
2021,"Croydon 019","E02000212",9461,9189,174,98
2021,"Croydon 020","E02000213",12797,12309,307,181
2021,"Croydon 021","E02000214",6236,6011,142,83
2021,"Croydon 022","E02000215",11825,11284,315,226
2021,"Croydon 023","E02000216",7162,6803,183,176
2021,"Croydon 024","E02000217",11924,11460,300,164
2021,"Croydon 025","E02000218",6671,6448,153,70
2021,"Croydon 026","E02000219",7629,7376,152,101
2021,"Croydon 028","E02000221",10859,10502,235,122
2021,"Croydon 029","E02000222",8348,7946,271,131
2021,"Croydon 030","E02000223",8530,8387,103,40
2021,"Croydon 031","E02000224",8052,7721,227,104
2021,"Croydon 032","E02000225",7498,7349,108,41
2021,"Croydon 033","E02000226",7615,7247,220,148
2021,"Croydon 034","E02000227",11680,11276,291,113
2021,"Croydon 035","E02000228",7956,7642,228,86
2021,"Croydon 036","E02000229",6235,6067,132,36
2021,"Croydon 037","E02000230",10502,10025,279,198
2021,"Croydon 038","E02000231",7930,7607,198,125
2021,"Croydon 039","E02000232",6197,5968,152,77
2021,"Croydon 040","E02000233",6364,6159,136,69
2021,"Croydon 041","E02000234",9447,9105,220,122
2021,"Croydon 042","E02000235",6891,6606,193,92
2021,"Croydon 043","E02000236",9131,8849,181,101
2021,"Croydon 044","E02000237",7601,7376,168,57
2021,"Ealing 001","E02000238",10707,10299,190,218
