"date","geography","geography code","Population Density: Persons per square kilometre; measures: Value"
2021,"Bromley 013","E02000139",5020.8
2021,"Bromley 014","E02000140",4599.2
2021,"Bromley 015","E02000141",7749.7
2021,"Bromley 016","E02000142",4953.6
2021,"Bromley 018","E02000144",5068.8
2021,"Bromley 019","E02000145",782.2
2021,"Bromley 020","E02000146",5378.9
2021,"Bromley 021","E02000147",3639.7
2021,"Bromley 022","E02000148",2395.3
2021,"Bromley 023","E02000149",4346.2
2021,"Bromley 024","E02000150",2768
2021,"Bromley 025","E02000151",3589.3
2021,"Bromley 026","E02000152",3095.1
2021,"Bromley 027","E02000153",3605.7
2021,"Bromley 028","E02000154",4088.4
2021,"Bromley 029","E02000155",3936
2021,"Bromley 030","E02000156",3198.1
2021,"Bromley 031","E02000157",3418.3
2021,"Bromley 032","E02000158",3605.6
2021,"Bromley 033","E02000159",1209.1
2021,"Bromley 034","E02000160",958.5
2021,"Bromley 035","E02000161",5062.2
2021,"Bromley 036","E02000162",558.1
2021,"Bromley 037","E02000163",682.4
2021,"Bromley 039","E02000165",1266.7
2021,"Bromley 040","E02006782",3125.9
2021,"Bromley 041","E02006787",5232.7
2021,"Bromley 042","E02006789",302.3
2021,"Camden 001","E02000166",2561.3
2021,"Camden 002","E02000167",3458.4
2021,"Camden 003","E02000168",11479.6
2021,"Camden 004","E02000169",6393.2
2021,"Camden 005","E02000170",10264.5
2021,"Camden 006","E02000171",14174.5
2021,"Camden 007","E02000172",14951.4
2021,"Camden 008","E02000173",9622.4
2021,"Camden 009","E02000174",14812.2
2021,"Camden 010","E02000175",13135.7
2021,"Camden 011","E02000176",14874.2
2021,"Camden 012","E02000177",16204.7
2021,"Camden 013","E02000178",15844.5
2021,"Camden 014","E02000179",15019.6
2021,"Camden 015","E02000180",16228.6
2021,"Camden 016","E02000181",14936.2
2021,"Camden 017","E02000182",8919.7
2021,"Camden 018","E02000183",9835.4
2021,"Camden 019","E02000184",13399.5
2021,"Camden 020","E02000185",18813.8
2021,"Camden 021","E02000186",6201.9
2021,"Camden 022","E02000187",10104.3
2021,"Camden 023","E02000188",14140.2
2021,"Camden 026","E02000191",8311.8
2021,"Camden 027","E02000192",15417.9
2021,"Camden 028","E02000193",5469.8
2021,"Camden 029","E02007115",17336.9
2021,"Croydon 001","E02000194",6615.7
2021,"Croydon 002","E02000195",4983.5
2021,"Croydon 003","E02000196",6455.7
2021,"Croydon 004","E02000197",9091.4
2021,"Croydon 005","E02000198",9965.2
2021,"Croydon 006","E02000199",9752
2021,"Croydon 007","E02000200",7253.7
2021,"Croydon 008","E02000201",10119.9
2021,"Croydon 009","E02000202",12146.6
2021,"Croydon 010","E02000203",10294.7
2021,"Croydon 011","E02000204",8884.7
2021,"Croydon 013","E02000206",7404
2021,"Croydon 014","E02000207",7174.4
2021,"Croydon 015","E02000208",12407.8
2021,"Croydon 016","E02000209",9043.5
2021,"Croydon 017","E02000210",11239.7
2021,"Croydon 018","E02000211",4930.3
2021,"Croydon 019","E02000212",7622.5
2021,"Croydon 020","E02000213",12415.6
2021,"Croydon 021","E02000214",6048.5
2021,"Croydon 022","E02000215",11984.4
2021,"Croydon 023","E02000216",3275.6
2021,"Croydon 024","E02000217",8332.2
2021,"Croydon 025","E02000218",5862
2021,"Croydon 026","E02000219",1336.2
2021,"Croydon 028","E02000221",3870.4
2021,"Croydon 029","E02000222",4485.9
2021,"Croydon 030","E02000223",8868.8
2021,"Croydon 031","E02000224",6288
2021,"Croydon 032","E02000225",4597.8
2021,"Croydon 033","E02000226",2320.7
2021,"Croydon 034","E02000227",2539.2
2021,"Croydon 035","E02000228",2542
2021,"Croydon 036","E02000229",4725.4
2021,"Croydon 037","E02000230",4016.4
2021,"Croydon 038","E02000231",2358.3
2021,"Croydon 039","E02000232",1417.7
2021,"Croydon 040","E02000233",4010.1
2021,"Croydon 041","E02000234",3038.5
2021,"Croydon 042","E02000235",1277.1
2021,"Croydon 043","E02000236",2554.1
2021,"Croydon 044","E02000237",1535.7
2021,"Croydon 045","E02006788",5461.4
2021,"Croydon 046","E02006987",10263.1
2021,"Croydon 047","E02006988",9210.3
2021,"Ealing 001","E02000238",7024.2
2021,"Ealing 002","E02000239",3839.5
2021,"Ealing 003","E02000240",6489.3
2021,"Ealing 004","E02000241",5667.1
2021,"Ealing 005","E02000242",7749
2021,"Ealing 006","E02000243",3064.3
2021,"Ealing 007","E02000244",4390.6
2021,"Ealing 008","E02000245",5622.8
2021,"Ealing 009","E02000246",4598.5
2021,"Ealing 010","E02000247",7978.7
2021,"Ealing 011","E02000248",4468.2
2021,"Ealing 012","E02000249",6553.5
2021,"Ealing 013","E02000250",6499.2
2021,"Ealing 014","E02000251",8795.9
2021,"Ealing 015","E02000252",3828.6
2021,"Ealing 016","E02000253",8945.8
2021,"Ealing 017","E02000254",8846.3
2021,"Ealing 018","E02000255",6369.6
2021,"Ealing 019","E02000256",8376.4
2021,"Ealing 021","E02000258",6683.1
2021,"Ealing 022","E02000259",5151.4
2021,"Ealing 023","E02000260",9057.2
2021,"Ealing 024","E02000261",9698.7
2021,"Ealing 025","E02000262",13214.6
2021,"Ealing 026","E02000263",11096.2
2021,"Ealing 027","E02000264",5912.2
2021,"Ealing 028","E02000265",11080.2
2021,"Ealing 029","E02000266",3390.4
2021,"Ealing 030","E02000267",10814.8
2021,"Ealing 031","E02000268",6975.3
2021,"Ealing 032","E02000269",9226.2
2021,"Ealing 033","E02000270",12064.5
2021,"Ealing 034","E02000271",9295.2
2021,"Ealing 035","E02000272",5599.8
2021,"Ealing 038","E02000275",6968
2021,"Ealing 039","E02000276",8035.4
2021,"Ealing 040","E02006791",11038.8
2021,"Ealing 041","E02006968",5705.8
2021,"Ealing 042","E02006969",8954.6
2021,"Ealing 043","E02006970",15127.7
2021,"Ealing 044","E02006971",8731.6
2021,"Enfield 001","E02000277",7186.2
2021,"Enfield 002","E02000278",7177.1
2021,"Enfield 003","E02000279",4724.1
2021,"Enfield 004","E02000280",554.7
2021,"Enfield 005","E02000281",5087.2
2021,"Enfield 006","E02000282",7877
2021,"Enfield 007","E02000283",7486.4
2021,"Enfield 008","E02000284",6814.5
2021,"Enfield 009","E02000285",6742.1
2021,"Enfield 010","E02000286",4235.4
2021,"Enfield 011","E02000287",829.5
2021,"Enfield 012","E02000288",6039.9
2021,"Enfield 013","E02000289",1991.7
2021,"Enfield 014","E02000290",1368.7
2021,"Enfield 015","E02000291",8780.8
2021,"Enfield 016","E02000292",5236.1
2021,"Enfield 017","E02000293",2963.1
2021,"Enfield 018","E02000294",6245.2
2021,"Enfield 019","E02000295",5363.5
2021,"Enfield 020","E02000296",5739.1
2021,"Enfield 021","E02000297",5799.8
2021,"Enfield 022","E02000298",4126.5
2021,"Enfield 023","E02000299",10825.4
2021,"Enfield 024","E02000300",11396.4
2021,"Enfield 025","E02000301",5611.7
2021,"Enfield 026","E02000302",5485.4
2021,"Enfield 027","E02000303",6735.6
2021,"Enfield 028","E02000304",4673.4
2021,"Enfield 029","E02000305",9238.3
2021,"Enfield 030","E02000306",4372.4
2021,"Enfield 031","E02000307",9143.7
2021,"Enfield 032","E02000308",7634.4
2021,"Enfield 033","E02000309",7239.6
2021,"Enfield 035","E02000311",7441.1
2021,"Enfield 036","E02000312",8626.3
2021,"Enfield 037","E02006793",9733.6
2021,"Greenwich 001","E02000313",8880.5
2021,"Greenwich 002","E02000314",4429.6
2021,"Greenwich 003","E02000315",8274.1
2021,"Greenwich 005","E02000317",11584.2
2021,"Greenwich 006","E02000318",10014.5
2021,"Greenwich 007","E02000319",11482.6
2021,"Greenwich 008","E02000320",4822.6
2021,"Greenwich 009","E02000321",12403.2
2021,"Greenwich 011","E02000323",16893.5
2021,"Greenwich 012","E02000324",6035.3
2021,"Greenwich 014","E02000326",10679.3
2021,"Greenwich 015","E02000327",3563.9
2021,"Greenwich 016","E02000328",7432.1
2021,"Greenwich 017","E02000329",3591.6
2021,"Greenwich 019","E02000331",8295.6
2021,"Greenwich 020","E02000332",3694.1
2021,"Greenwich 021","E02000333",4948.9
2021,"Greenwich 022","E02000334",4791.8
2021,"Greenwich 023","E02000335",5158
2021,"Greenwich 025","E02000337",6062
2021,"Greenwich 027","E02000339",5006.8
2021,"Greenwich 028","E02000340",2104.4
2021,"Greenwich 029","E02000341",4462.5
2021,"Greenwich 030","E02000342",4652.2
2021,"Greenwich 031","E02000343",5607.5
2021,"Greenwich 032","E02000344",4977.6
2021,"Greenwich 033","E02006786",6075.6
2021,"Greenwich 034","E02006927",4904.4
2021,"Greenwich 035","E02006928",22365.5
2021,"Greenwich 037","E02006930",11345.9
2021,"Greenwich 038","E02006931",4745.2
2021,"Greenwich 039","E02006991",14760.6
2021,"Greenwich 040","E02006992",4853.4
2021,"Greenwich 041","E02006993",9852.2
2021,"Greenwich 042","E02006994",5305.9
2021,"Hackney 001","E02000345",13394.9
2021,"Hackney 002","E02000346",16131.1
2021,"Hackney 003","E02000347",11888.3
2021,"Hackney 004","E02000348",14511.3
2021,"Hackney 006","E02000350",18077.7
2021,"Hackney 007","E02000351",17770.8
2021,"Hackney 008","E02000352",8850
2021,"Hackney 009","E02000353",13897.2
2021,"Hackney 010","E02000354",12111.2
2021,"Hackney 011","E02000355",12488.9
2021,"Hackney 012","E02000356",17436.8
2021,"Hackney 013","E02000357",4495.6
2021,"Hackney 014","E02000358",17988.6
2021,"Hackney 015","E02000359",15335.5
2021,"Hackney 016","E02000360",21076.5
2021,"Hackney 017","E02000361",13557.7
2021,"Hackney 018","E02000362",5373.2
2021,"Hackney 019","E02000363",19916.2
2021,"Hackney 020","E02000364",13870.6
2021,"Hackney 022","E02000366",12943.7
2021,"Hackney 023","E02000367",14100.1
2021,"Hackney 024","E02000368",15622.7
2021,"Hackney 025","E02000369",20695.1
2021,"Hackney 026","E02000370",18158.2
2021,"Hackney 028","E02006918",16184.2
2021,"Hackney 029","E02006921",17508.3
2021,"Hackney 030","E02007108",16214.5
2021,"Hackney 031","E02007109",12726.1
2021,"Hackney 032","E02007110",20912.7
2021,"Hackney 033","E02007111",9203.3
2021,"Hammersmith and Fulham 001","E02000372",2901.9
2021,"Hammersmith and Fulham 002","E02000373",17236
2021,"Hammersmith and Fulham 003","E02000374",13942.3
2021,"Hammersmith and Fulham 004","E02000375",9992
2021,"Hammersmith and Fulham 005","E02000376",16343.9
2021,"Hammersmith and Fulham 006","E02000377",17572.1
2021,"Hammersmith and Fulham 007","E02000378",21858.6
2021,"Hammersmith and Fulham 008","E02000379",10887.1
2021,"Hammersmith and Fulham 009","E02000380",15634.4
2021,"Hammersmith and Fulham 010","E02000381",13798.8
2021,"Hammersmith and Fulham 011","E02000382",10022.7
2021,"Hammersmith and Fulham 012","E02000383",14093.9
2021,"Hammersmith and Fulham 013","E02000384",10560.8
2021,"Hammersmith and Fulham 014","E02000385",14045.5
2021,"Hammersmith and Fulham 015","E02000386",17334.2
2021,"Hammersmith and Fulham 016","E02000387",14767.2
2021,"Hammersmith and Fulham 017","E02000388",16284.8
2021,"Hammersmith and Fulham 018","E02000389",13776.9
2021,"Hammersmith and Fulham 019","E02000390",17812
2021,"Hammersmith and Fulham 020","E02000391",11402.2
2021,"Hammersmith and Fulham 021","E02000392",16682.9
2021,"Hammersmith and Fulham 022","E02000393",16779
2021,"Hammersmith and Fulham 023","E02000394",14096.3
2021,"Hammersmith and Fulham 024","E02000395",5828.6
2021,"Hammersmith and Fulham 025","E02000396",11042.1
2021,"Haringey 001","E02000397",14022
2021,"Haringey 002","E02000398",6312.1
2021,"Haringey 004","E02000400",5988.5
2021,"Haringey 005","E02000401",9194.9
2021,"Haringey 006","E02000402",6809
2021,"Haringey 007","E02000403",8827.4
2021,"Haringey 008","E02000404",11091.9
2021,"Haringey 009","E02000405",3633
2021,"Haringey 010","E02000406",14704.2
2021,"Haringey 011","E02000407",14566.2
2021,"Haringey 012","E02000408",15936.7
2021,"Haringey 013","E02000409",8730.9
2021,"Haringey 014","E02000410",8533.4
2021,"Haringey 015","E02000411",8199.8
2021,"Haringey 016","E02000412",9491.9
2021,"Haringey 017","E02000413",6366.2
2021,"Haringey 018","E02000414",17296
2021,"Haringey 019","E02000415",10282.6
2021,"Haringey 020","E02000416",13445.2
2021,"Haringey 021","E02000417",6187.2
2021,"Haringey 022","E02000418",7615
2021,"Haringey 023","E02000419",13601.1
2021,"Haringey 024","E02000420",13836.8
2021,"Haringey 025","E02000421",10857.3
2021,"Haringey 026","E02000422",13750
2021,"Haringey 027","E02000423",12449.5
2021,"Haringey 028","E02000424",10139.6
2021,"Haringey 029","E02000425",15099.8
2021,"Haringey 030","E02000426",2912.3
2021,"Haringey 031","E02000427",6166.7
2021,"Haringey 032","E02000428",14136.8
2021,"Haringey 033","E02000429",6927.4
2021,"Haringey 034","E02000430",10516.6
2021,"Haringey 035","E02000431",9599.5
2021,"Haringey 036","E02000432",11420
2021,"Haringey 037","E02006794",11949.8
2021,"Harrow 001","E02000433",1361.2
2021,"Harrow 002","E02000434",5017.6
2021,"Harrow 003","E02000435",4533.7
2021,"Harrow 004","E02000436",1219.4
2021,"Harrow 005","E02000437",6272.4
2021,"Harrow 006","E02000438",4880.9
2021,"Harrow 007","E02000439",8710.9
2021,"Harrow 008","E02000440",6423.9
2021,"Harrow 009","E02000441",3202.6
2021,"Harrow 010","E02000442",8409.2
2021,"Harrow 011","E02000443",10987.6
2021,"Harrow 012","E02000444",7964
2021,"Harrow 013","E02000445",9410.9
2021,"Harrow 015","E02000447",3856.9
2021,"Harrow 016","E02000448",4109.5
2021,"Harrow 017","E02000449",9033
2021,"Harrow 019","E02000451",4196.5
2021,"Harrow 020","E02000452",8450.1
2021,"Harrow 021","E02000453",8109.5
2021,"Harrow 022","E02000454",4684.1
2021,"Harrow 023","E02000455",9470.8
2021,"Harrow 024","E02000456",8453.6
2021,"Harrow 025","E02000457",6085.3
2021,"Harrow 027","E02000459",7774.3
2021,"Harrow 028","E02000460",8443.4
2021,"Harrow 029","E02000461",2738.3
2021,"Harrow 030","E02000462",6985.5
2021,"Harrow 031","E02000463",9371.4
2021,"Harrow 032","E02006795",8560
2021,"Harrow 033","E02006882",6763.8
2021,"Havering 001","E02000464",1324.3
2021,"Havering 002","E02000465",3337.3
2021,"Havering 003","E02000466",1444.7
2021,"Havering 004","E02000467",8433.6
2021,"Havering 005","E02000468",2113
2021,"Havering 006","E02000469",4248.9
2021,"Havering 007","E02000470",1446.5
2021,"Havering 008","E02000471",3653.8
2021,"Havering 009","E02000472",6167.9
2021,"Havering 010","E02000473",3674.7
2021,"Havering 011","E02000474",4161
2021,"Havering 012","E02000475",3430.1
2021,"Havering 013","E02000476",5976.6
2021,"Havering 014","E02000477",5450.7
2021,"Havering 015","E02000478",2404.1
2021,"Havering 016","E02000479",6871.5
2021,"Havering 017","E02000480",4100.7
2021,"Havering 018","E02000481",672.5
2021,"Havering 019","E02000482",2327.9
2021,"Havering 020","E02000483",4991.9
2021,"Havering 021","E02000484",4588.8
2021,"Havering 022","E02000485",4048.3
2021,"Havering 023","E02000486",5771.8
2021,"Havering 024","E02000487",614.3
2021,"Havering 025","E02000488",4144.7
2021,"Havering 026","E02000489",3321.9
2021,"Havering 027","E02000490",4128
2021,"Havering 028","E02000491",2216.4
2021,"Havering 029","E02000492",486.3
2021,"Havering 030","E02000493",5226.1
2021,"Hillingdon 001","E02000494",1279.2
2021,"Hillingdon 002","E02000495",3819.1
2021,"Hillingdon 003","E02000496",512.4
2021,"Hillingdon 004","E02000497",3523.6
2021,"Hillingdon 005","E02000498",2032.3
2021,"Hillingdon 006","E02000499",4803.3
2021,"Hillingdon 007","E02000500",2856.6
2021,"Hillingdon 008","E02000501",5899.3
2021,"Hillingdon 009","E02000502",2143.3
2021,"Hillingdon 010","E02000503",6296.6
2021,"Hillingdon 011","E02000504",2494.5
2021,"Hillingdon 013","E02000506",1451.3
2021,"Hillingdon 014","E02000507",3066.5
2021,"Hillingdon 015","E02000508",4350
2021,"Hillingdon 016","E02000509",5241.1
2021,"Hillingdon 017","E02000510",4277.7
2021,"Hillingdon 018","E02000511",4158.6
2021,"Hillingdon 019","E02000512",6269
2021,"Hillingdon 020","E02000513",6633.6
2021,"Hillingdon 021","E02000514",8900.9
2021,"Hillingdon 022","E02000515",4216.5
2021,"Hillingdon 023","E02000516",5224.5
2021,"Hillingdon 024","E02000517",6767.1
2021,"Hillingdon 025","E02000518",3817.4
2021,"Hillingdon 026","E02000519",5259
2021,"Hillingdon 027","E02000520",3224.6
2021,"Hillingdon 028","E02000521",5374.9
2021,"Hillingdon 029","E02000522",6100.1
2021,"Hillingdon 030","E02000523",6906.9
2021,"Hillingdon 031","E02000524",367.4
2021,"Hillingdon 032","E02000525",2473.7
2021,"Hillingdon 033","E02006796",2254.1
2021,"Hounslow 001","E02000526",9345.6
2021,"Hounslow 004","E02000529",8221.4
2021,"Hounslow 005","E02000530",2981.8
2021,"Hounslow 006","E02000531",4527.3
2021,"Hounslow 007","E02000532",3920
2021,"Hounslow 008","E02000533",7912.2
2021,"Hounslow 009","E02000534",1758.6
2021,"Hounslow 010","E02000535",6485.6
2021,"Hounslow 011","E02000536",6749.1
2021,"Hounslow 012","E02000537",5214.2
2021,"Hounslow 013","E02000538",4291.5
2021,"Hounslow 014","E02000539",7425.6
2021,"Hounslow 015","E02000540",9666.7
2021,"Hounslow 016","E02000541",10069.2
2021,"Hounslow 017","E02000542",11762
2021,"Hounslow 018","E02000543",12233.3
2021,"Hounslow 019","E02000544",6175.2
2021,"Hounslow 020","E02000545",7037.7
2021,"Hounslow 021","E02000546",4238.4
2021,"Hounslow 022","E02000547",3369.3
2021,"Hounslow 023","E02000548",2997.3
2021,"Hounslow 024","E02000549",5106.5
2021,"Hounslow 025","E02000550",11335.4
2021,"Hounslow 026","E02000551",4578.4
2021,"Hounslow 027","E02000552",3025.4
2021,"Hounslow 028","E02000553",2821.2
2021,"Hounslow 029","E02006792",6210.9
2021,"Hounslow 030","E02006972",3508.1
2021,"Hounslow 031","E02006973",10975.6
2021,"Islington 001","E02000554",14685.3
2021,"Islington 002","E02000555",16056
2021,"Islington 003","E02000556",17510.8
2021,"Islington 004","E02000557",12394.9
2021,"Islington 005","E02000558",19619.4
2021,"Islington 006","E02000559",16609.5
2021,"Islington 007","E02000560",14619.4
2021,"Islington 008","E02000561",12040.7
2021,"Islington 009","E02000562",12137.3
2021,"Islington 010","E02000563",14966.4
2021,"Islington 011","E02000564",15377
2021,"Islington 012","E02000565",16654.3
2021,"Islington 013","E02000566",12215.9
2021,"Islington 014","E02000567",15710.4
2021,"Islington 015","E02000568",12560.4
2021,"Islington 016","E02000569",14190.5
2021,"Islington 017","E02000570",13782.4
2021,"Islington 018","E02000571",17861.9
2021,"Islington 019","E02000572",18765.3
2021,"Islington 020","E02000573",14250.4
2021,"Islington 021","E02000574",12879
2021,"Islington 022","E02000575",12169.8
2021,"Islington 023","E02000576",14117.7
2021,"Kensington and Chelsea 001","E02000577",8849
2021,"Kensington and Chelsea 002","E02000578",11687.8
2021,"Kensington and Chelsea 003","E02000579",14730.5
2021,"Kensington and Chelsea 004","E02000580",19931.8
2021,"Kensington and Chelsea 005","E02000581",17134.9
2021,"Kensington and Chelsea 006","E02000582",13407.8
2021,"Kensington and Chelsea 007","E02000583",11167.5
2021,"Kensington and Chelsea 008","E02000584",7870.8
2021,"Kensington and Chelsea 009","E02000585",8908.5
2021,"Kensington and Chelsea 010","E02000586",12324.4
2021,"Kensington and Chelsea 011","E02000587",12437.3
2021,"Kensington and Chelsea 012","E02000588",7800.5
2021,"Kensington and Chelsea 013","E02000589",19552.3
2021,"Kensington and Chelsea 014","E02000590",12972.9
2021,"Kensington and Chelsea 015","E02000591",17221.3
2021,"Kensington and Chelsea 016","E02000592",10156.8
2021,"Kensington and Chelsea 017","E02000593",14839.4
2021,"Kensington and Chelsea 018","E02000594",8343.4
2021,"Kensington and Chelsea 019","E02000595",9699.4
2021,"Kensington and Chelsea 020","E02000596",12083.3
2021,"Kensington and Chelsea 021","E02000597",16040.5
2021,"Kingston upon Thames 001","E02000598",6083.6
2021,"Kingston upon Thames 002","E02000599",1686.5
2021,"Kingston upon Thames 003","E02000600",7564.2
2021,"Kingston upon Thames 004","E02000601",11112.8
2021,"Kingston upon Thames 005","E02000602",9571.2
2021,"Kingston upon Thames 006","E02000603",6524.1
2021,"Kingston upon Thames 007","E02000604",6029.1
2021,"Kingston upon Thames 008","E02000605",5902.9
2021,"Kingston upon Thames 009","E02000606",7050.1
2021,"Kingston upon Thames 010","E02000607",4716.1
2021,"Kingston upon Thames 011","E02000608",8765.4
2021,"Kingston upon Thames 012","E02000609",5174
2021,"Kingston upon Thames 013","E02000610",7146.2
2021,"Kingston upon Thames 014","E02000611",4135.6
2021,"Kingston upon Thames 015","E02000612",4372.8
2021,"Kingston upon Thames 016","E02000613",6725.7
2021,"Kingston upon Thames 017","E02000614",3147.4
2021,"Kingston upon Thames 018","E02000615",4817.5
2021,"Kingston upon Thames 019","E02000616",4620.7
2021,"Kingston upon Thames 020","E02000617",1252.6
2021,"Lambeth 002","E02000619",16582.8
2021,"Lambeth 003","E02000620",13499.2
2021,"Lambeth 004","E02000621",17174.2
2021,"Lambeth 005","E02000622",10789.6
2021,"Lambeth 006","E02000623",17136.9
2021,"Lambeth 007","E02000624",16729.2
2021,"Lambeth 008","E02000625",16779.1
2021,"Lambeth 009","E02000626",15045
2021,"Lambeth 010","E02000627",18154.7
2021,"Lambeth 011","E02000628",16445.6
2021,"Lambeth 012","E02000629",14212
2021,"Lambeth 013","E02000630",11108.2
2021,"Lambeth 014","E02000631",8947
2021,"Lambeth 015","E02000632",18151.9
2021,"Lambeth 016","E02000633",14500.6
2021,"Lambeth 017","E02000634",12994.2
2021,"Lambeth 018","E02000635",7896.3
