"date","geography","geography code","Position in communal establishment and sex and age: Total: All usual residents in communal establishments","Position in communal establishment and sex and age: Resident","Position in communal establishment and sex and age: Resident:Male","Position in communal establishment and sex and age: Resident: Male: Aged 0 to 15 years","Position in communal establishment and sex and age: Resident: Male: Aged 16 to 24 years","Position in communal establishment and sex and age: Resident: Male: Aged 25 to 34 years","Position in communal establishment and sex and age: Resident: Male: Aged 35 to 49 years","Position in communal establishment and sex and age: Resident: Male: Aged 50 to 64 years","Position in communal establishment and sex and age: Resident: Male: Aged 65 to 74 years","Position in communal establishment and sex and age: Resident: Male: Aged 75 to 84 years","Position in communal establishment and sex and age: Resident: Male: Aged 85 years and over","Position in communal establishment and sex and age: Resident:Female","Position in communal establishment and sex and age: Resident: Female: Aged 0 to 15 years","Position in communal establishment and sex and age: Resident: Female: Aged 16 to 24 years","Position in communal establishment and sex and age: Resident: Female: Aged 25 to 34 years","Position in communal establishment and sex and age: Resident: Female: Aged 35 to 49 years","Position in communal establishment and sex and age: Resident: Female: Aged 50 to 64 years","Position in communal establishment and sex and age: Resident: Female: Aged 65 to 74 years","Position in communal establishment and sex and age: Resident: Female: Aged 75 to 84 years","Position in communal establishment and sex and age: Resident: Female: Aged 85 years and over","Position in communal establishment and sex and age: Staff or owner","Position in communal establishment and sex and age: Family member or partner of staff or owner","Position in communal establishment and sex and age: Staying temporarily (no usual UK address)"
2021,"Lambeth 030","E02000647",149,146,79,0,6,17,10,14,17,7,8,67,0,0,5,1,19,9,13,20,0,0,3
2021,"Lambeth 031","E02000648",64,64,36,0,0,2,8,17,7,2,0,28,0,1,0,6,17,3,0,1,0,0,0
2021,"Lambeth 032","E02000649",208,207,119,0,0,7,12,37,31,21,11,88,0,0,3,9,21,8,16,31,0,0,1
2021,"Lambeth 033","E02000650",6,2,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,2,2
2021,"Lambeth 034","E02000651",108,104,53,0,2,3,0,17,18,10,3,51,0,2,0,6,19,6,8,10,2,0,2
2021,"Lambeth 035","E02000652",46,46,14,0,0,0,0,2,2,5,5,32,0,0,0,0,0,0,18,14,0,0,0
2021,"Lewisham 001","E02000653",4,4,2,0,0,0,1,1,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0
2021,"Lewisham 002","E02000654",6,6,4,0,0,0,2,1,0,1,0,2,0,0,0,0,2,0,0,0,0,0,0
2021,"Lewisham 003","E02000655",275,271,88,0,46,4,5,10,8,11,4,183,0,118,26,2,6,2,16,13,0,1,3
2021,"Lewisham 005","E02000657",491,481,157,0,148,8,0,0,1,0,0,324,0,302,21,1,0,0,0,0,0,0,10
2021,"Lewisham 006","E02000658",17,15,11,0,1,3,5,0,1,1,0,4,0,0,0,0,2,2,0,0,2,0,0
2021,"Lewisham 007","E02000659",63,59,23,4,0,1,2,6,1,5,4,36,6,6,0,0,0,3,11,10,0,0,4
2021,"Lewisham 008","E02000660",145,106,34,0,22,6,6,0,0,0,0,72,2,63,6,0,0,0,1,0,0,0,39
2021,"Lewisham 009","E02000661",25,22,8,0,0,1,0,0,0,3,4,14,0,0,0,0,0,0,4,10,3,0,0
2021,"Lewisham 010","E02000662",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,"Lewisham 011","E02000663",22,20,11,0,8,3,0,0,0,0,0,9,0,7,2,0,0,0,0,0,0,0,2
2021,"Lewisham 013","E02000665",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,"Lewisham 014","E02000666",72,72,14,0,0,0,0,0,5,3,6,58,0,0,0,1,3,8,19,27,0,0,0
2021,"Lewisham 015","E02000667",5,3,2,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0
2021,"Lewisham 016","E02000668",2,2,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2021,"Lewisham 017","E02000669",128,128,65,0,0,7,13,20,12,7,6,63,0,3,7,7,21,15,5,5,0,0,0
2021,"Lewisham 018","E02000670",11,9,5,0,2,1,2,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,2
2021,"Lewisham 019","E02000671",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,"Lewisham 020","E02000672",150,129,74,0,8,8,19,14,10,9,6,55,0,3,7,6,22,4,8,5,14,0,7
2021,"Lewisham 021","E02000673",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
2021,"Lewisham 022","E02000674",173,165,96,0,2,12,11,18,18,21,14,69,0,0,2,4,10,7,20,26,2,3,3
2021,"Lewisham 023","E02000675",73,71,38,0,1,9,3,13,4,6,2,33,0,1,0,2,6,1,3,20,0,0,2
2021,"Lewisham 024","E02000676",44,36,20,0,0,10,9,1,0,0,0,16,0,2,7,1,6,0,0,0,0,0,8
2021,"Lewisham 025","E02000677",96,91,59,0,0,0,4,28,16,9,2,32,0,0,2,0,10,4,10,6,0,0,5
2021,"Lewisham 026","E02000678",1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
2021,"Lewisham 027","E02000679",24,24,5,0,0,0,3,2,0,0,0,19,0,0,4,8,5,2,0,0,0,0,0
2021,"Lewisham 028","E02000680",48,48,15,0,0,0,0,2,1,9,3,33,0,0,0,0,0,5,9,19,0,0,0
2021,"Lewisham 029","E02000681",10,9,2,0,0,2,0,0,0,0,0,7,0,0,6,1,0,0,0,0,0,0,1
2021,"Lewisham 030","E02000682",25,23,17,0,0,5,6,6,0,0,0,6,0,2,4,0,0,0,0,0,0,0,2
2021,"Lewisham 031","E02000683",7,7,0,0,0,0,0,0,0,0,0,7,0,0,5,0,0,2,0,0,0,0,0
2021,"Lewisham 033","E02000685",68,66,26,0,10,0,1,4,2,1,8,40,0,8,0,0,1,3,8,20,0,0,2
2021,"Lewisham 034","E02000686",9,9,3,0,0,0,0,2,1,0,0,6,0,0,2,0,4,0,0,0,0,0,0
2021,"Lewisham 035","E02000687",103,102,35,0,1,3,8,13,4,1,5,67,0,2,2,0,10,11,19,23,0,0,1
2021,"Merton 001","E02000689",2,2,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0
2021,"Merton 002","E02000690",101,92,24,0,3,4,0,4,4,4,5,68,0,2,0,0,3,3,15,45,0,0,9
2021,"Merton 003","E02000691",100,81,45,0,2,9,9,13,9,0,3,36,0,5,0,3,4,4,5,15,0,4,15
2021,"Merton 004","E02000692",57,57,12,0,0,0,0,0,3,6,3,45,0,0,0,0,0,1,8,36,0,0,0
2021,"Merton 005","E02000693",167,93,39,0,9,4,5,3,3,9,6,54,0,7,1,5,1,3,8,29,0,0,74
2021,"Merton 006","E02000694",17,17,10,0,0,0,0,2,5,2,1,7,0,0,0,0,0,0,3,4,0,0,0
2021,"Merton 007","E02000695",15,14,13,0,5,0,0,4,4,0,0,1,0,0,0,0,1,0,0,0,0,0,1
2021,"Merton 008","E02000696",2,2,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0
2021,"Merton 009","E02000697",9,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,7
2021,"Merton 010","E02000698",67,67,15,0,0,0,0,0,0,3,12,52,0,0,0,0,2,1,6,43,0,0,0
2021,"Merton 011","E02000699",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,"Merton 012","E02000700",2,2,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
2021,"Merton 013","E02000701",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,"Merton 014","E02000702",13,10,3,0,0,1,0,2,0,0,0,7,0,0,4,3,0,0,0,0,0,0,3
2021,"Merton 015","E02000703",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,"Merton 016","E02000704",86,86,33,0,0,0,0,0,6,10,17,53,0,0,0,0,0,7,15,31,0,0,0
2021,"Merton 017","E02000705",81,79,31,0,0,0,3,6,6,10,6,48,0,0,0,1,4,8,14,21,0,0,2
2021,"Merton 018","E02000706",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,"Merton 019","E02000707",17,15,4,0,0,0,0,0,1,1,2,11,0,0,0,0,2,3,0,6,0,0,2
2021,"Merton 020","E02000708",22,22,17,0,6,5,1,5,0,0,0,5,0,0,0,0,4,0,0,1,0,0,0
2021,"Merton 021","E02000709",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,"Merton 022","E02000710",200,200,89,0,0,5,5,23,27,16,13,111,0,0,6,6,37,15,20,27,0,0,0
2021,"Merton 023","E02000711",34,34,19,0,3,3,11,2,0,0,0,15,0,0,7,0,3,3,2,0,0,0,0
2021,"Merton 024","E02000712",21,21,6,0,0,0,0,0,5,1,0,15,0,0,0,0,0,2,2,11,0,0,0
2021,"Merton 025","E02000713",53,53,24,0,0,0,0,5,9,8,2,29,0,0,0,0,2,4,13,10,0,0,0
2021,"Newham 001","E02000714",2,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,"Newham 002","E02000715",39,39,20,0,0,0,1,2,8,4,5,19,0,0,0,0,6,3,5,5,0,0,0
2021,"Newham 003","E02000716",60,60,31,0,0,2,6,7,9,3,4,29,0,2,0,2,0,2,12,11,0,0,0
2021,"Newham 004","E02000717",8,8,8,0,2,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,"Newham 005","E02000718",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,"Newham 006","E02000719",47,47,28,0,2,3,9,8,4,2,0,19,0,0,0,7,10,0,2,0,0,0,0
2021,"Newham 007","E02000720",3,3,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,"Newham 008","E02000721",32,30,16,0,1,0,8,5,2,0,0,14,0,0,0,2,4,1,4,3,0,2,0
2021,"Newham 009","E02000722",102,91,48,0,1,12,9,8,5,7,6,43,0,0,3,4,6,6,9,15,0,3,8
2021,"Newham 010","E02000723",11,11,7,0,0,2,2,2,0,1,0,4,0,0,2,1,1,0,0,0,0,0,0
2021,"Newham 011","E02000724",17,17,17,0,0,0,0,2,9,2,4,0,0,0,0,0,0,0,0,0,0,0,0
2021,"Newham 012","E02000725",50,41,19,0,13,2,0,2,2,0,0,22,0,21,0,0,0,0,0,1,0,3,6
2021,"Newham 014","E02000727",6,6,0,0,0,0,0,0,0,0,0,6,0,0,0,1,5,0,0,0,0,0,0
2021,"Newham 015","E02000728",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2021,"Newham 016","E02000729",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,"Newham 017","E02000730",23,23,11,0,0,1,1,0,0,5,4,12,0,2,0,0,0,5,2,3,0,0,0
2021,"Newham 018","E02000731",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,"Newham 019","E02000732",1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
2021,"Newham 020","E02000733",40,16,15,0,0,0,6,9,0,0,0,1,0,0,0,0,0,1,0,0,0,0,24
2021,"Newham 021","E02000734",3,3,1,0,0,1,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0
2021,"Newham 022","E02000735",2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0
2021,"Newham 023","E02000736",50,48,29,0,0,0,1,10,9,5,4,19,0,0,0,0,2,3,6,8,2,0,0
2021,"Newham 024","E02000737",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,"Newham 025","E02000738",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,"Newham 026","E02000739",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,"Newham 027","E02000740",11,11,7,0,0,0,0,0,6,1,0,4,0,0,0,0,1,1,2,0,0,0,0
2021,"Newham 028","E02000741",6,6,5,0,0,1,1,3,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
2021,"Newham 029","E02000742",64,62,26,0,0,0,0,5,4,14,3,36,0,0,0,1,3,9,5,18,2,0,0
2021,"Newham 030","E02000743",112,86,46,0,7,10,10,17,2,0,0,40,0,3,3,6,11,0,1,16,0,1,25
2021,"Newham 031","E02000744",2,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,"Newham 032","E02000745",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,"Newham 033","E02000746",459,456,193,0,165,23,5,0,0,0,0,263,0,210,35,16,2,0,0,0,0,0,3
2021,"Newham 034","E02000747",26,22,22,0,3,6,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2021,"Newham 035","E02000748",168,167,82,2,63,16,1,0,0,0,0,85,0,72,10,2,1,0,0,0,0,0,1
2021,"Newham 036","E02000749",78,70,39,0,13,8,1,6,3,2,6,31,0,0,0,0,4,2,9,16,0,0,8
2021,"Redbridge 001","E02000751",94,91,38,0,2,0,5,6,7,6,12,53,0,0,0,8,11,5,8,21,0,3,0
2021,"Redbridge 002","E02000752",2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0
2021,"Redbridge 003","E02000753",53,53,21,0,0,0,0,2,3,8,8,32,0,0,0,0,0,2,8,22,0,0,0
2021,"Redbridge 004","E02000754",2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0
2021,"Redbridge 005","E02000755",10,10,8,0,0,0,2,3,3,0,0,2,0,0,0,0,2,0,0,0,0,0,0
2021,"Redbridge 006","E02000756",9,9,7,0,2,1,3,1,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0
2021,"Redbridge 007","E02000757",50,50,16,0,0,1,5,3,4,1,2,34,0,0,4,4,5,4,6,11,0,0,0
2021,"Redbridge 008","E02000758",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,"Redbridge 009","E02000759",61,59,29,5,6,3,6,9,0,0,0,30,2,2,2,12,12,0,0,0,0,0,2
2021,"Redbridge 010","E02000760",45,35,10,0,0,0,0,0,1,4,5,25,0,0,0,0,0,3,3,19,1,9,0
2021,"Redbridge 012","E02000762",4,4,2,0,0,0,0,0,1,1,0,2,0,0,0,0,2,0,0,0,0,0,0
2021,"Redbridge 013","E02000763",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,"Redbridge 014","E02000764",142,142,68,0,0,5,5,17,22,13,6,74,0,0,0,0,2,5,28,39,0,0,0
2021,"Redbridge 015","E02000765",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,"Redbridge 017","E02000767",138,128,57,0,0,2,2,14,9,11,19,71,0,0,0,4,11,8,22,26,0,0,10
