"date","geography","geography code","Country of birth: Total; measures: Value","Country of birth: Europe; measures: Value","Country of birth: Europe: United Kingdom; measures: Value","Country of birth: Europe: EU countries; measures: Value","Country of birth: Europe: EU countries: European Union EU14; measures: Value","Country of birth: Europe: EU countries: European Union EU8; measures: Value","Country of birth: Europe: EU countries: European Union EU2; measures: Value","Country of birth: Europe: EU countries: All other EU countries; measures: Value","Country of birth: Europe: Non-EU countries; measures: Value","Country of birth: Europe: Non-EU countries: All other non-EU countries; measures: Value","Country of birth: Africa; measures: Value","Country of birth: Middle East and Asia; measures: Value","Country of birth: The Americas and the Caribbean; measures: Value","Country of birth: Antarctica and Oceania (including Australasia) and Other; measures: Value","Country of birth: British Overseas ; measures: Value"
2021,"Kingston upon Thames 007","E02000604",9238,6727,5593,935,467,265,183,20,199,199,299,1924,225,61,2
2021,"Kingston upon Thames 008","E02000605",8487,6484,5527,802,426,212,140,24,155,155,308,1451,190,50,4
2021,"Kingston upon Thames 009","E02000606",10563,8235,6395,1454,844,343,229,38,386,386,465,1351,376,119,17
2021,"Kingston upon Thames 010","E02000607",6793,5829,5032,687,391,162,114,20,110,110,242,477,177,66,2
2021,"Kingston upon Thames 011","E02000608",7197,5792,4587,990,544,247,189,10,215,215,319,745,259,82,0
2021,"Kingston upon Thames 012","E02000609",7627,5356,4642,612,310,163,110,29,102,102,370,1734,142,24,1
2021,"Kingston upon Thames 013","E02000610",7954,6524,5364,949,485,267,174,23,211,211,334,794,198,93,11
2021,"Kingston upon Thames 014","E02000611",7437,6176,5554,540,329,129,71,11,82,82,242,864,114,40,1
2021,"Kingston upon Thames 015","E02000612",8251,6373,5712,580,331,130,90,29,81,81,343,1373,123,39,0
2021,"Kingston upon Thames 016","E02000613",8091,6951,5979,808,375,231,179,23,164,164,286,645,156,51,2
2021,"Kingston upon Thames 017","E02000614",9292,6943,5656,1101,435,269,378,19,186,186,421,1763,150,12,3
2021,"Kingston upon Thames 018","E02000615",7880,6799,6022,654,262,201,172,19,123,123,205,691,162,22,1
2021,"Kingston upon Thames 019","E02000616",6063,5402,4908,422,190,138,79,15,72,72,166,377,93,21,4
2021,"Kingston upon Thames 020","E02000617",8864,7748,6905,701,318,228,137,18,142,142,264,718,106,25,3
2021,"Lambeth 002","E02000619",9098,6661,5358,1145,873,171,80,21,158,158,1116,496,761,59,5
2021,"Lambeth 003","E02000620",9848,7283,5727,1306,1024,185,67,30,250,250,955,662,788,157,3
2021,"Lambeth 004","E02000621",12519,8749,6263,2100,1626,290,123,61,386,386,1027,1467,1052,221,3
2021,"Lambeth 005","E02000622",8405,6291,5031,1146,916,147,53,30,114,114,686,453,837,132,6
