"date","geography","geography code","General health: Total: All usual residents","General health: Very good health","General health: Good health","General health: Fair health","General health: Bad health","General health: Very bad health"
2021,"Bromley 037","E02000163",7716,3999,2659,779,219,60
2021,"Bromley 039","E02000165",7172,3677,2540,733,169,53
2021,"Camden 001","E02000166",7745,4107,2331,821,376,110
2021,"Camden 002","E02000167",7198,4541,1947,518,159,33
2021,"Camden 003","E02000168",7812,4398,2247,777,303,87
2021,"Camden 004","E02000169",7178,4573,1932,511,115,47
2021,"Camden 005","E02000170",7917,4662,2282,677,219,77
2021,"Camden 006","E02000171",7390,4231,2131,688,251,89
2021,"Camden 007","E02000172",9998,5035,2951,1250,547,215
2021,"Camden 008","E02000173",7493,4693,2046,520,183,51
2021,"Camden 009","E02000174",8086,4363,2358,883,370,112
2021,"Camden 010","E02000175",9082,5320,2611,775,273,103
2021,"Camden 011","E02000176",5914,3735,1538,441,149,51
2021,"Camden 012","E02000177",8488,4447,2448,1079,392,122
2021,"Camden 013","E02000178",8903,4666,2767,927,392,151
2021,"Camden 014","E02000179",5749,3423,1563,538,183,42
2021,"Camden 015","E02000180",7879,4303,2369,803,285,119
2021,"Camden 016","E02000181",8076,5024,2191,617,188,56
2021,"Camden 017","E02000182",7117,4219,2012,600,210,76
2021,"Camden 018","E02000183",7591,4244,2177,795,277,98
2021,"Camden 019","E02000184",8908,4666,2743,981,402,116
2021,"Camden 020","E02000185",8882,4559,2624,1099,451,149
2021,"Camden 021","E02000186",6223,3510,1860,588,200,65
2021,"Camden 022","E02000187",9780,4871,3052,1200,496,161
2021,"Camden 023","E02000188",7176,3556,2306,880,324,110
2021,"Camden 026","E02000191",5335,3023,1686,428,147,51
2021,"Camden 027","E02000192",6659,3353,2059,787,346,114
2021,"Camden 028","E02000193",5961,3229,1806,604,248,74
2021,"Croydon 001","E02000194",9211,4835,3105,970,243,58
2021,"Croydon 002","E02000195",9650,5062,3153,1031,287,117
2021,"Croydon 003","E02000196",7914,3971,2611,952,299,81
2021,"Croydon 004","E02000197",9025,4552,3044,1041,319,69
2021,"Croydon 005","E02000198",8888,4516,2995,988,301,88
2021,"Croydon 006","E02000199",8413,4377,2882,875,214,65
2021,"Croydon 007","E02000200",9049,4793,2846,1076,261,73
2021,"Croydon 008","E02000201",8692,4455,2817,1020,327,73
2021,"Croydon 009","E02000202",8929,4482,3086,1022,272,67
2021,"Croydon 010","E02000203",7965,3907,2655,980,314,109
2021,"Croydon 011","E02000204",9655,4816,3278,1156,311,94
2021,"Croydon 013","E02000206",10819,5579,3498,1194,438,110
2021,"Croydon 014","E02000207",8902,4370,3006,1050,355,121
2021,"Croydon 015","E02000208",10863,5448,3597,1274,406,138
2021,"Croydon 016","E02000209",9067,4607,3128,982,271,79
2021,"Croydon 017","E02000210",8713,4584,2926,864,268,71
2021,"Croydon 018","E02000211",8272,4109,2911,939,240,73
2021,"Croydon 019","E02000212",9461,4836,3082,1097,329,117
2021,"Croydon 020","E02000213",12798,6662,4120,1434,422,160
2021,"Croydon 021","E02000214",6236,3124,2214,684,167,47
2021,"Croydon 022","E02000215",11824,6021,4008,1242,399,154
2021,"Croydon 023","E02000216",7162,3645,2478,747,226,66
2021,"Croydon 024","E02000217",11925,6212,3999,1256,367,91
2021,"Croydon 025","E02000218",6671,3448,2185,752,218,68
2021,"Croydon 026","E02000219",7629,3650,2838,851,214,76
2021,"Croydon 028","E02000221",10859,5402,3627,1313,384,133
2021,"Croydon 029","E02000222",8350,4476,2830,794,188,62
2021,"Croydon 030","E02000223",8531,4248,2673,1069,424,117
2021,"Croydon 031","E02000224",8053,4272,2758,782,183,58
2021,"Croydon 032","E02000225",7499,3574,2470,1017,341,97
2021,"Croydon 033","E02000226",7612,3798,2718,824,204,68
2021,"Croydon 034","E02000227",11679,5592,4175,1389,414,109
2021,"Croydon 035","E02000228",7956,4351,2588,802,164,51
2021,"Croydon 036","E02000229",6236,2869,1965,952,346,104
2021,"Croydon 037","E02000230",10501,5490,3458,1102,342,109
2021,"Croydon 038","E02000231",7930,4376,2524,771,191,68
2021,"Croydon 039","E02000232",6197,3055,2124,727,216,75
2021,"Croydon 040","E02000233",6364,3399,2039,620,254,52
2021,"Croydon 041","E02000234",9449,4901,3160,1025,270,93
2021,"Croydon 042","E02000235",6889,3632,2322,671,163,101
2021,"Croydon 043","E02000236",9129,5070,2949,827,218,65
2021,"Croydon 044","E02000237",7603,3838,2607,838,244,76
2021,"Ealing 001","E02000238",10707,5578,3624,1116,297,92
2021,"Ealing 002","E02000239",9043,4545,3251,939,229,79
2021,"Ealing 003","E02000240",11209,5449,3885,1307,422,146
2021,"Ealing 004","E02000241",7395,3668,2672,803,187,65
2021,"Ealing 005","E02000242",6886,3454,2328,835,202,67
2021,"Ealing 006","E02000243",8722,4074,3213,1030,290,115
2021,"Ealing 007","E02000244",7889,4116,2562,903,231,77
2021,"Ealing 008","E02000245",9308,4793,2991,1052,358,114
2021,"Ealing 009","E02000246",9461,4781,3161,1043,362,114
2021,"Ealing 010","E02000247",11153,5576,3645,1341,440,151
2021,"Ealing 011","E02000248",7717,4227,2497,679,237,77
2021,"Ealing 012","E02000249",8378,4244,2700,1027,311,96
2021,"Ealing 013","E02000250",6483,3734,1966,607,130,46
2021,"Ealing 014","E02000251",8314,3888,3047,1017,273,89
2021,"Ealing 015","E02000252",12238,6396,4167,1243,317,115
2021,"Ealing 016","E02000253",10344,4917,3457,1384,447,139
2021,"Ealing 017","E02000254",9209,4150,3357,1278,340,84
2021,"Ealing 018","E02000255",9862,5373,3132,956,311,90
2021,"Ealing 019","E02000256",9183,5169,2908,790,244,72
2021,"Ealing 021","E02000258",6901,3857,2183,628,192,41
2021,"Ealing 022","E02000259",6584,3629,2092,657,151,55
2021,"Ealing 023","E02000260",9837,4675,3341,1304,415,102
2021,"Ealing 024","E02000261",12652,7076,3923,1145,387,121
2021,"Ealing 025","E02000262",9348,5141,2824,937,330,116
2021,"Ealing 026","E02000263",13707,6642,4735,1652,528,150
2021,"Ealing 027","E02000264",8493,4732,2695,746,221,99
2021,"Ealing 028","E02000265",11235,6036,3468,1206,393,132
2021,"Ealing 029","E02000266",13114,6538,4249,1587,568,172
2021,"Ealing 030","E02000267",8150,4530,2566,771,219,64
2021,"Ealing 031","E02000268",9250,4970,2965,962,267,86
2021,"Ealing 032","E02000269",8167,4793,2503,664,163,44
2021,"Ealing 033","E02000270",9606,5451,2818,877,330,130
2021,"Ealing 034","E02000271",6950,4298,2002,506,112,32
2021,"Ealing 035","E02000272",6715,3712,2156,591,204,52
2021,"Ealing 038","E02000275",8169,3914,2799,1041,319,96
2021,"Ealing 039","E02000276",6760,3818,2192,568,136,46
2021,"Enfield 001","E02000277",7524,3655,2516,954,314,85
2021,"Enfield 002","E02000278",9430,4466,3051,1280,439,194
2021,"Enfield 003","E02000279",12318,6136,4187,1375,454,166
2021,"Enfield 004","E02000280",8634,4349,2814,1021,345,105
2021,"Enfield 005","E02000281",9655,4953,3067,1100,370,165
2021,"Enfield 006","E02000282",9951,4981,3135,1208,463,164
2021,"Enfield 007","E02000283",8537,4210,2901,980,324,122
2021,"Enfield 008","E02000284",8741,4500,2945,941,279,76
2021,"Enfield 009","E02000285",6644,3357,2334,731,167,55
2021,"Enfield 010","E02000286",8689,4566,2884,927,230,82
2021,"Enfield 011","E02000287",7355,4031,2206,779,256,83
2021,"Enfield 012","E02000288",12784,6325,4222,1533,556,148
2021,"Enfield 013","E02000289",6773,3582,2262,692,178,59
2021,"Enfield 014","E02000290",6684,3379,2219,703,289,94
2021,"Enfield 015","E02000291",10162,5162,3355,1148,370,127
2021,"Enfield 016","E02000292",9836,5031,3278,1103,321,103
2021,"Enfield 017","E02000293",6397,3492,2064,628,166,47
2021,"Enfield 018","E02000294",9369,4603,3045,1195,385,141
2021,"Enfield 019","E02000295",8690,4706,2714,943,260,67
2021,"Enfield 020","E02000296",10342,5222,3456,1194,369,101
2021,"Enfield 021","E02000297",9398,4715,3210,1091,283,99
2021,"Enfield 022","E02000298",8253,4641,2596,774,187,55
2021,"Enfield 023","E02000299",9496,4573,3228,1152,402,141
2021,"Enfield 024","E02000300",8856,4307,3067,1042,344,96
2021,"Enfield 025","E02000301",10219,5043,3277,1304,447,148
2021,"Enfield 026","E02000302",8666,4373,2956,948,317,72
2021,"Enfield 027","E02000303",8367,3975,2733,1114,414,131
2021,"Enfield 028","E02000304",8041,4232,2711,847,180,71
2021,"Enfield 029","E02000305",8875,4686,2973,906,239,71
2021,"Enfield 030","E02000306",9134,4387,2920,1182,478,167
2021,"Enfield 031","E02000307",10112,4921,3630,1122,329,110
2021,"Enfield 032","E02000308",8760,4543,2816,1002,290,109
2021,"Enfield 033","E02000309",11794,6006,3854,1343,467,124
2021,"Enfield 035","E02000311",10544,5274,3516,1225,405,124
2021,"Enfield 036","E02000312",11304,5949,3707,1195,344,109
2021,"Greenwich 001","E02000313",6489,3345,2020,774,262,88
2021,"Greenwich 002","E02000314",14105,7874,4273,1383,446,129
2021,"Greenwich 003","E02000315",9870,5263,3025,1049,422,111
2021,"Greenwich 005","E02000317",7559,3809,2418,871,365,96
2021,"Greenwich 006","E02000318",11064,5376,3777,1341,432,138
2021,"Greenwich 007","E02000319",10618,5392,3514,1237,370,105
2021,"Greenwich 008","E02000320",7041,3677,2267,791,229,77
2021,"Greenwich 009","E02000321",7721,3728,2545,956,378,114
2021,"Greenwich 011","E02000323",12860,6652,4334,1392,366,116
2021,"Greenwich 012","E02000324",7868,3894,2474,1034,377,89
2021,"Greenwich 014","E02000326",7799,4221,2518,769,209,82
2021,"Greenwich 015","E02000327",6626,3558,1992,745,233,98
2021,"Greenwich 016","E02000328",6512,3514,2038,674,218,68
2021,"Greenwich 017","E02000329",6332,3101,2079,804,263,85
2021,"Greenwich 019","E02000331",8236,4148,2691,925,350,122
2021,"Greenwich 020","E02000332",7452,3895,2461,789,231,76
2021,"Greenwich 021","E02000333",6242,3488,1887,599,208,60
2021,"Greenwich 022","E02000334",6639,3366,2207,714,271,81
2021,"Greenwich 023","E02000335",6676,3404,2285,742,182,63
2021,"Greenwich 025","E02000337",8472,3900,2905,1121,417,129
2021,"Greenwich 027","E02000339",6291,3259,2043,710,214,65
2021,"Greenwich 028","E02000340",6864,3487,2243,824,253,57
2021,"Greenwich 029","E02000341",7995,3819,2559,1066,411,140
2021,"Greenwich 030","E02000342",6347,3281,2051,685,256,74
2021,"Greenwich 031","E02000343",7047,3357,2333,914,350,93
2021,"Greenwich 032","E02000344",6430,3330,2115,718,187,80
2021,"Hackney 001","E02000345",8199,5840,1543,532,220,64
2021,"Hackney 002","E02000346",9399,4953,2884,1076,359,127
2021,"Hackney 003","E02000347",8153,5492,1807,565,207,82
2021,"Hackney 004","E02000348",8106,5224,1767,713,298,104
2021,"Hackney 006","E02000350",10241,6120,2848,882,286,105
2021,"Hackney 007","E02000351",9286,5236,2741,883,300,126
2021,"Hackney 008","E02000352",6749,3795,1934,677,263,80
2021,"Hackney 009","E02000353",7761,4543,2213,687,220,98
2021,"Hackney 010","E02000354",9609,5141,2864,1029,397,178
2021,"Hackney 011","E02000355",8194,4493,2447,824,268,162
2021,"Hackney 012","E02000356",7034,4132,2046,588,198,70
2021,"Hackney 013","E02000357",6845,3440,2057,873,355,120
2021,"Hackney 014","E02000358",11090,6025,3339,1198,389,139
2021,"Hackney 015","E02000359",6696,3660,1994,703,246,93
2021,"Hackney 016","E02000360",11512,5947,3566,1293,506,200
2021,"Hackney 017","E02000361",8059,4463,2408,827,278,83
2021,"Hackney 018","E02000362",6961,3569,2161,836,296,99
