"date","geography","geography code","Sexual orientation: Total: All usual residents aged 16 years and over","Sexual orientation: Straight or Heterosexual","Sexual orientation: Gay or Lesbian","Sexual orientation: Bisexual","Sexual orientation: All other sexual orientations","Sexual orientation: Not answered"
2021,"Croydon 017","E02000210",6942,5995,120,103,34,690
2021,"Croydon 018","E02000211",6826,6200,60,44,16,506
2021,"Croydon 019","E02000212",7203,6171,65,121,42,804
2021,"Croydon 020","E02000213",9889,8507,215,178,44,945
2021,"Croydon 021","E02000214",5085,4547,61,51,13,413
2021,"Croydon 022","E02000215",9619,8201,228,196,45,949
2021,"Croydon 023","E02000216",5748,5026,92,94,20,516
2021,"Croydon 024","E02000217",9313,8044,218,160,60,831
2021,"Croydon 025","E02000218",5127,4614,55,54,4,400
2021,"Croydon 026","E02000219",6510,5862,71,39,17,521
2021,"Croydon 028","E02000221",8358,7315,98,94,36,815
2021,"Croydon 029","E02000222",6729,5979,150,87,35,478
2021,"Croydon 030","E02000223",6015,5369,46,77,12,511
2021,"Croydon 031","E02000224",6404,5706,94,89,27,488
2021,"Croydon 032","E02000225",5827,5231,64,51,15,466
2021,"Croydon 033","E02000226",6283,5724,56,36,13,454
2021,"Croydon 034","E02000227",9377,8520,84,97,23,653
2021,"Croydon 035","E02000228",6396,5846,54,35,10,451
2021,"Croydon 036","E02000229",4728,4280,34,37,12,365
2021,"Croydon 037","E02000230",8573,7563,117,79,22,792
2021,"Croydon 038","E02000231",6543,5874,62,45,18,544
2021,"Croydon 039","E02000232",5070,4564,43,33,5,425
2021,"Croydon 040","E02000233",4998,4496,63,43,12,384
2021,"Croydon 041","E02000234",7420,6674,100,55,24,567
2021,"Croydon 042","E02000235",5608,5082,53,37,13,423
2021,"Croydon 043","E02000236",7067,6438,75,47,19,488
2021,"Croydon 044","E02000237",6124,5510,77,37,12,488
2021,"Ealing 001","E02000238",8609,7541,77,77,36,878
2021,"Ealing 002","E02000239",7458,6513,42,69,21,813
2021,"Ealing 003","E02000240",8735,7666,53,75,32,909
2021,"Ealing 004","E02000241",5909,5154,61,39,32,623
2021,"Ealing 005","E02000242",5643,4891,30,41,18,663
2021,"Ealing 006","E02000243",7114,6194,44,53,14,809
2021,"Ealing 007","E02000244",6386,5661,63,37,20,605
2021,"Ealing 008","E02000245",6940,6136,51,65,26,662
2021,"Ealing 009","E02000246",7195,6343,37,62,29,724
2021,"Ealing 010","E02000247",8646,7542,66,75,40,923
2021,"Ealing 011","E02000248",6142,5294,85,60,21,682
2021,"Ealing 012","E02000249",6681,5858,41,44,31,707
2021,"Ealing 013","E02000250",5211,4614,78,50,18,451
2021,"Ealing 014","E02000251",6645,5852,17,50,24,702
2021,"Ealing 015","E02000252",10461,8555,281,303,98,1224
2021,"Ealing 016","E02000253",8046,7009,63,78,24,872
2021,"Ealing 017","E02000254",7494,6384,16,103,60,931
2021,"Ealing 018","E02000255",7876,6876,121,92,24,763
2021,"Ealing 019","E02000256",7779,6668,173,131,47,760
2021,"Ealing 021","E02000258",5484,4705,97,66,30,586
2021,"Ealing 022","E02000259",5161,4587,72,62,27,413
2021,"Ealing 023","E02000260",7834,6669,28,114,52,971
2021,"Ealing 024","E02000261",10373,8618,301,148,62,1244
2021,"Ealing 025","E02000262",7596,6407,206,127,54,802
2021,"Ealing 026","E02000263",10847,9318,27,206,112,1184
2021,"Ealing 027","E02000264",7288,6228,204,101,31,724
2021,"Ealing 028","E02000265",9083,7771,210,150,72,880
2021,"Ealing 029","E02000266",10326,9099,90,115,42,980
2021,"Ealing 030","E02000267",6419,5535,125,84,24,651
2021,"Ealing 031","E02000268",7797,6756,181,123,34,703
2021,"Ealing 032","E02000269",6594,5705,170,98,21,600
2021,"Ealing 033","E02000270",7769,6596,297,132,57,687
2021,"Ealing 034","E02000271",5637,4855,182,75,22,503
2021,"Ealing 035","E02000272",5362,4660,115,64,9,514
2021,"Ealing 038","E02000275",6560,5568,28,83,55,826
2021,"Ealing 039","E02000276",5422,4685,142,86,32,477
2021,"Enfield 001","E02000277",5727,5093,33,47,29,525
2021,"Enfield 002","E02000278",7153,6316,44,51,34,708
2021,"Enfield 003","E02000279",9081,8033,86,70,36,856
