"date","geography","geography code","National Statistics Socio-economic Classification (NS-SEC): Total: All usual residents aged 16 years and over","National Statistics Socio-economic Classification (NS-SEC): L1, L2 and L3 Higher managerial, administrative and professional occupations","National Statistics Socio-economic Classification (NS-SEC): L4, L5 and L6 Lower managerial, administrative and professional occupations","National Statistics Socio-economic Classification (NS-SEC): L7 Intermediate occupations","National Statistics Socio-economic Classification (NS-SEC): L8 and L9 Small employers and own account workers","National Statistics Socio-economic Classification (NS-SEC): L10 and L11 Lower supervisory and technical occupations","National Statistics Socio-economic Classification (NS-SEC): L12 Semi-routine occupations","National Statistics Socio-economic Classification (NS-SEC): L13 Routine occupations","National Statistics Socio-economic Classification (NS-SEC): L14.1 and L14.2 Never worked and long-term unemployed","National Statistics Socio-economic Classification (NS-SEC): L15 Full-time students"
2021,"Brent 007","E02000099",7541,850,1118,716,1420,322,647,818,825,825
2021,"Brent 008","E02000100",7180,1169,1512,773,947,207,471,466,665,970
2021,"Brent 009","E02000101",7933,834,1207,690,1121,315,770,825,1252,919
2021,"Brent 010","E02000102",6225,358,755,512,958,296,663,836,1109,738
2021,"Brent 011","E02000103",7853,674,1222,751,1063,318,895,902,1213,815
2021,"Brent 012","E02000104",6266,755,949,573,980,223,590,717,900,579
2021,"Brent 013","E02000105",7852,739,1114,743,1027,367,872,1001,1042,947
2021,"Brent 014","E02000106",8259,540,998,643,1462,405,884,1105,1331,891
2021,"Brent 015","E02000107",9063,1242,1583,655,1232,442,837,1106,1209,757
2021,"Brent 016","E02000108",5856,553,866,581,748,274,683,795,711,645
2021,"Brent 018","E02000110",6769,1078,1408,550,847,264,545,601,806,670
2021,"Brent 019","E02000111",9035,678,1147,773,994,507,1085,1664,1313,874
2021,"Brent 020","E02000112",9702,762,1362,859,1046,609,1122,1924,1135,883
2021,"Brent 021","E02000113",7431,326,861,659,753,317,885,1120,1460,1050
2021,"Brent 022","E02000114",7599,970,1469,657,968,376,705,889,887,678
2021,"Brent 023","E02000115",7290,1404,1631,530,748,280,510,610,911,666
2021,"Brent 024","E02000116",6675,492,925,549,884,276,758,951,1114,726
2021,"Brent 025","E02000117",9680,582,1322,861,1080,471,1169,1456,1697,1042
2021,"Brent 026","E02000118",9252,577,1111,739,1020,530,1094,2009,1329,843
2021,"Brent 027","E02000119",8173,771,1306,733,751,348,946,901,1416,1001
2021,"Brent 028","E02000120",7609,1544,1823,562,788,272,554,677,798,591
2021,"Brent 029","E02000121",9846,780,1218,782,1042,516,1152,1942,1433,981
2021,"Brent 030","E02000122",6690,1333,1533,533,889,175,462,487,701,577
2021,"Brent 031","E02000123",10787,883,1663,908,1434,489,1238,1543,1555,1074
