"date","geography","geography code","Hours worked: Total: All usual residents aged 16 years and over in employment the week before the census","Hours worked: Part-time","Hours worked: Part-time: 15 hours or less worked","Hours worked: Part-time: 16 to 30 hours worked","Hours worked: Full-time","Hours worked: Full-time: 31 to 48 hours worked","Hours worked: Full-time: 49 or more hours worked"
2021,"Brent 030","E02000122",4091,1254,533,721,2837,2188,649
2021,"Brent 031","E02000123",6210,2287,824,1463,3923,3299,624
2021,"Brent 032","E02000124",5305,1338,571,767,3967,2964,1003
2021,"Brent 033","E02000125",5226,1421,568,853,3805,3008,797
2021,"Brent 034","E02000126",3763,1187,461,726,2576,2122,454
2021,"Bromley 001","E02000127",4261,1265,452,813,2996,2564,432
2021,"Bromley 002","E02000128",3740,1018,377,641,2722,2183,539
2021,"Bromley 004","E02000130",4556,1217,437,780,3339,2780,559
2021,"Bromley 005","E02000131",6241,1456,556,900,4785,4052,733
2021,"Bromley 006","E02000132",5536,1190,485,705,4346,3615,731
2021,"Bromley 007","E02000133",5207,1305,551,754,3902,2769,1133
2021,"Bromley 008","E02000134",6144,1576,604,972,4568,3812,756
2021,"Bromley 009","E02000135",4867,1426,511,915,3441,2979,462
2021,"Bromley 010","E02000136",2497,723,271,452,1774,1419,355
2021,"Bromley 011","E02000137",4253,1041,426,615,3212,2631,581
2021,"Bromley 012","E02000138",4376,987,400,587,3389,2696,693
2021,"Bromley 013","E02000139",4140,1004,375,629,3136,2580,556
2021,"Bromley 014","E02000140",3815,1107,392,715,2708,2345,363
2021,"Bromley 015","E02000141",3913,1042,388,654,2871,2436,435
2021,"Bromley 016","E02000142",4414,1106,427,679,3308,2681,627
2021,"Bromley 018","E02000144",5502,1236,451,785,4266,3596,670
2021,"Bromley 019","E02000145",3938,1149,423,726,2789,2398,391
2021,"Bromley 020","E02000146",5155,1285,448,837,3870,3216,654
2021,"Bromley 021","E02000147",3769,1096,416,680,2673,2066,607
2021,"Bromley 022","E02000148",3130,867,360,507,2263,1756,507
2021,"Bromley 023","E02000149",3982,1106,390,716,2876,2460,416
2021,"Bromley 024","E02000150",4169,1187,405,782,2982,2451,531
2021,"Bromley 025","E02000151",3510,884,353,531,2626,2059,567
2021,"Bromley 026","E02000152",3743,1079,406,673,2664,2289,375
2021,"Bromley 027","E02000153",3943,1185,421,764,2758,2262,496
2021,"Bromley 028","E02000154",4228,1122,432,690,3106,2537,569
2021,"Bromley 029","E02000155",3282,889,327,562,2393,2065,328
2021,"Bromley 030","E02000156",5784,1707,679,1028,4077,3298,779
2021,"Bromley 031","E02000157",3920,1095,431,664,2825,2325,500
2021,"Bromley 032","E02000158",3371,1036,413,623,2335,1957,378
2021,"Bromley 033","E02000159",3351,1042,434,608,2309,1771,538
2021,"Bromley 034","E02000160",3804,1164,424,740,2640,2156,484
2021,"Bromley 035","E02000161",4145,1104,408,696,3041,2553,488
2021,"Bromley 036","E02000162",3152,959,375,584,2193,1816,377
2021,"Bromley 037","E02000163",3692,1089,430,659,2603,2059,544
2021,"Bromley 039","E02000165",3720,1088,375,713,2632,2227,405
2021,"Camden 001","E02000166",3669,1136,481,655,2533,1878,655
2021,"Camden 002","E02000167",3826,900,429,471,2926,1834,1092
2021,"Camden 003","E02000168",4338,1083,463,620,3255,2450,805
2021,"Camden 004","E02000169",3574,896,425,471,2678,1639,1039
2021,"Camden 005","E02000170",4446,1034,502,532,3412,2471,941
2021,"Camden 006","E02000171",3962,1010,445,565,2952,2125,827
2021,"Camden 007","E02000172",4313,1305,480,825,3008,2400,608
2021,"Camden 008","E02000173",4120,822,373,449,3298,2274,1024
2021,"Camden 009","E02000174",4073,1084,457,627,2989,2347,642
2021,"Camden 010","E02000175",5329,1081,473,608,4248,3125,1123
2021,"Camden 011","E02000176",3463,721,312,409,2742,1744,998
2021,"Camden 012","E02000177",4042,1125,420,705,2917,2274,643
2021,"Camden 013","E02000178",4827,1142,485,657,3685,2876,809
2021,"Camden 014","E02000179",2854,792,334,458,2062,1419,643
2021,"Camden 015","E02000180",4058,1093,485,608,2965,2322,643
2021,"Camden 016","E02000181",4839,882,395,487,3957,2728,1229
2021,"Camden 017","E02000182",3392,777,319,458,2615,1793,822
2021,"Camden 018","E02000183",3847,960,468,492,2887,1912,975
2021,"Camden 019","E02000184",3947,1163,523,640,2784,2244,540
2021,"Camden 020","E02000185",3904,1273,473,800,2631,2094,537
2021,"Camden 021","E02000186",3110,794,357,437,2316,1746,570
2021,"Camden 022","E02000187",3605,1268,524,744,2337,1930,407
2021,"Camden 023","E02000188",2690,962,403,559,1728,1469,259
2021,"Camden 026","E02000191",2143,558,349,209,1585,1121,464
2021,"Camden 027","E02000192",3147,961,411,550,2186,1617,569
2021,"Camden 028","E02000193",2824,742,366,376,2082,1439,643
2021,"Croydon 001","E02000194",5005,1345,490,855,3660,3070,590
