"date","geography","geography code","Migrant indicator: Total: All usual residents; measures: Value","Migrant indicator: Address one year ago is the same as the address of enumeration; measures: Value","Migrant indicator: Address one year ago is student term-time or boarding school address in the UK; measures: Value","Migrant indicator: Migrant from within the UK: Address one year ago was in the UK; measures: Value","Migrant indicator: Migrant from outside the UK: Address one year ago was outside the UK; measures: Value"
2021,"Bromley 040","E02006782",8030,7411,18,541,60
2021,"Bromley 041","E02006787",7795,7149,16,576,54
2021,"Bromley 042","E02006789",6727,6237,15,451,24
2021,"Camden 001","E02000166",7684,6810,35,739,100
2021,"Camden 002","E02000167",7128,5840,46,1008,234
2021,"Camden 003","E02000168",7737,6521,84,998,134
2021,"Camden 004","E02000169",7094,5886,40,927,241
2021,"Camden 005","E02000170",7847,6393,44,1223,187
2021,"Camden 006","E02000171",7318,6208,46,905,159
2021,"Camden 007","E02000172",9897,8380,118,1112,287
2021,"Camden 008","E02000173",7394,5832,66,1162,334
2021,"Camden 009","E02000174",8013,6730,112,1052,119
2021,"Camden 010","E02000175",8975,6903,95,1698,279
2021,"Camden 011","E02000176",5831,4678,30,926,197
2021,"Camden 012","E02000177",8402,7066,111,1047,178
2021,"Camden 013","E02000178",8790,6984,51,1544,211
2021,"Camden 014","E02000179",5684,4876,42,609,157
2021,"Camden 015","E02000180",7811,6223,214,1188,186
2021,"Camden 016","E02000181",7974,6269,58,1412,235
2021,"Camden 017","E02000182",7029,5655,56,1003,315
2021,"Camden 018","E02000183",7505,6236,75,938,256
2021,"Camden 019","E02000184",8829,6490,309,1513,517
2021,"Camden 020","E02000185",8797,7454,48,1115,180
2021,"Camden 021","E02000186",6182,4535,230,1118,299
2021,"Camden 022","E02000187",9683,7951,249,1071,412
2021,"Camden 023","E02000188",7111,5743,193,867,308
2021,"Camden 026","E02000191",5313,2910,278,1392,733
2021,"Camden 027","E02000192",6617,5527,160,691,239
2021,"Camden 028","E02000193",5932,4239,308,929,456
2021,"Camden 029","E02007115",11518,7795,485,2000,1238
2021,"Croydon 001","E02000194",9044,7872,27,1056,89
2021,"Croydon 002","E02000195",9531,8785,30,636,80
2021,"Croydon 003","E02000196",7790,7002,20,680,88
2021,"Croydon 004","E02000197",8933,8124,22,696,91
2021,"Croydon 005","E02000198",8772,7854,18,820,80
2021,"Croydon 006","E02000199",8306,7541,23,666,76
2021,"Croydon 007","E02000200",8905,7839,27,961,78
2021,"Croydon 008","E02000201",8585,7791,6,735,53
2021,"Croydon 009","E02000202",8839,8007,21,705,106
2021,"Croydon 010","E02000203",7864,7054,15,707,88
2021,"Croydon 011","E02000204",9543,8652,21,745,125
2021,"Croydon 013","E02000206",10660,9520,16,1002,122
2021,"Croydon 014","E02000207",8799,7991,20,729,59
2021,"Croydon 015","E02000208",10670,9417,17,1088,148
2021,"Croydon 016","E02000209",8958,8214,24,614,106
2021,"Croydon 017","E02000210",8592,7789,18,729,56
2021,"Croydon 018","E02000211",8202,7596,23,534,49
2021,"Croydon 019","E02000212",9306,8390,27,724,165
2021,"Croydon 020","E02000213",12573,10815,35,1517,206
2021,"Croydon 021","E02000214",6180,5708,15,417,40
2021,"Croydon 022","E02000215",11605,9985,25,1435,160
2021,"Croydon 023","E02000216",7085,6227,15,685,158
2021,"Croydon 024","E02000217",11722,10362,24,1237,99
2021,"Croydon 025","E02000218",6606,6197,14,355,40
2021,"Croydon 026","E02000219",7576,7061,23,458,34
2021,"Croydon 028","E02000221",10683,9766,19,822,76
2021,"Croydon 029","E02000222",8256,7294,22,886,54
2021,"Croydon 030","E02000223",8439,8114,11,296,18
2021,"Croydon 031","E02000224",7909,7147,17,694,51
2021,"Croydon 032","E02000225",7416,7043,14,324,35
2021,"Croydon 033","E02000226",7551,6936,32,506,77
2021,"Croydon 034","E02000227",11547,10695,18,776,58
2021,"Croydon 035","E02000228",7903,7302,30,540,31
2021,"Croydon 036","E02000229",6172,5839,12,303,18
2021,"Croydon 037","E02000230",10382,9246,33,1015,88
2021,"Croydon 038","E02000231",7853,7010,39,740,64
2021,"Croydon 039","E02000232",6146,5688,19,417,22
2021,"Croydon 040","E02000233",6281,5752,20,480,29
2021,"Croydon 041","E02000234",9326,8401,20,855,50
2021,"Croydon 042","E02000235",6808,6259,29,487,33
2021,"Croydon 043","E02000236",8996,8306,19,656,15
2021,"Croydon 044","E02000237",7505,6999,21,471,14
2021,"Croydon 045","E02006788",7513,6913,13,544,43
2021,"Croydon 046","E02006987",7257,5534,57,1465,201
2021,"Croydon 047","E02006988",7040,6041,9,874,116
2021,"Ealing 001","E02000238",10591,9516,31,918,126
2021,"Ealing 002","E02000239",8945,8163,15,651,116
2021,"Ealing 003","E02000240",11065,10187,32,722,124
2021,"Ealing 004","E02000241",7326,6581,12,632,101
2021,"Ealing 005","E02000242",6828,6252,7,491,78
2021,"Ealing 006","E02000243",8632,7903,16,604,109
2021,"Ealing 007","E02000244",7815,7057,13,648,97
2021,"Ealing 008","E02000245",9137,8208,20,832,77
2021,"Ealing 009","E02000246",9342,8692,18,578,54
2021,"Ealing 010","E02000247",11017,10182,18,724,93
2021,"Ealing 011","E02000248",7619,6702,17,732,168
2021,"Ealing 012","E02000249",8277,7534,22,631,90
2021,"Ealing 013","E02000250",6431,5816,18,526,71
2021,"Ealing 014","E02000251",8224,7557,14,567,86
2021,"Ealing 015","E02000252",12102,8488,217,2636,761
2021,"Ealing 016","E02000253",10231,9507,22,638,64
2021,"Ealing 017","E02000254",9126,8347,18,658,103
2021,"Ealing 018","E02000255",9748,8711,43,878,116
2021,"Ealing 019","E02000256",9110,7591,48,1242,229
2021,"Ealing 021","E02000258",6827,5778,59,802,188
2021,"Ealing 022","E02000259",6526,5903,16,518,89
2021,"Ealing 023","E02000260",9745,8846,12,730,157
2021,"Ealing 024","E02000261",12508,10557,50,1652,249
2021,"Ealing 025","E02000262",9221,7679,34,1370,138
2021,"Ealing 026","E02000263",13573,12408,19,923,223
2021,"Ealing 027","E02000264",8415,6847,61,1310,197
2021,"Ealing 028","E02000265",11110,9552,31,1346,181
2021,"Ealing 029","E02000266",12942,11680,17,1076,169
2021,"Ealing 030","E02000267",8061,7205,28,761,67
2021,"Ealing 031","E02000268",9179,7873,61,1078,167
2021,"Ealing 032","E02000269",8072,7016,35,909,112
2021,"Ealing 033","E02000270",9428,7707,37,1550,134
2021,"Ealing 034","E02000271",6874,5810,36,885,143
2021,"Ealing 035","E02000272",6662,6092,22,483,65
2021,"Ealing 038","E02000275",8082,7340,6,627,109
2021,"Ealing 039","E02000276",6658,5731,48,802,77
2021,"Ealing 040","E02006791",7463,6236,44,1057,126
2021,"Ealing 041","E02006968",8288,6831,41,1139,277
2021,"Ealing 042","E02006969",6327,4801,41,1135,350
2021,"Ealing 043","E02006970",7233,6535,3,586,109
2021,"Ealing 044","E02006971",8216,7527,16,559,114
2021,"Enfield 001","E02000277",7448,6868,15,529,36
2021,"Enfield 002","E02000278",9352,8719,27,554,52
2021,"Enfield 003","E02000279",12198,11163,15,916,104
2021,"Enfield 004","E02000280",8529,7915,15,556,43
2021,"Enfield 005","E02000281",9525,8741,15,724,45
2021,"Enfield 006","E02000282",9824,9038,18,666,102
2021,"Enfield 007","E02000283",8464,7824,12,569,59
2021,"Enfield 008","E02000284",8621,7781,15,757,68
2021,"Enfield 009","E02000285",6590,6132,23,397,38
2021,"Enfield 010","E02000286",8583,7617,11,901,54
2021,"Enfield 011","E02000287",7274,6602,16,567,89
2021,"Enfield 012","E02000288",12638,11646,23,899,70
2021,"Enfield 013","E02000289",6711,6203,17,458,33
2021,"Enfield 014","E02000290",6583,5938,11,587,47
2021,"Enfield 015","E02000291",9993,8953,15,901,124
2021,"Enfield 016","E02000292",9712,8853,19,775,65
2021,"Enfield 017","E02000293",6341,5914,24,354,49
2021,"Enfield 018","E02000294",9285,8421,28,768,68
2021,"Enfield 019","E02000295",8616,7814,24,678,100
2021,"Enfield 020","E02000296",10221,8989,19,1048,165
2021,"Enfield 021","E02000297",9306,8710,18,520,58
2021,"Enfield 022","E02000298",8174,7423,17,661,73
2021,"Enfield 023","E02000299",9374,8601,12,685,76
2021,"Enfield 024","E02000300",8744,7913,11,739,81
2021,"Enfield 025","E02000301",10095,9268,23,715,89
2021,"Enfield 026","E02000302",8583,7868,15,589,111
2021,"Enfield 027","E02000303",8281,7585,17,618,61
2021,"Enfield 028","E02000304",7964,7302,29,547,86
2021,"Enfield 029","E02000305",8759,7890,24,736,109
2021,"Enfield 030","E02000306",9030,8446,19,502,63
2021,"Enfield 031","E02000307",9994,9221,18,671,84
2021,"Enfield 032","E02000308",8660,7620,11,908,121
