"date","geography","geography code","Residence type: Total; measures: Value","Residence type: Lives in a household; measures: Value","Residence type: Lives in a communal establishment; measures: Value"
2021,"Croydon 011","E02000204",9656,9600,56
2021,"Croydon 013","E02000206",10818,10676,142
2021,"Croydon 014","E02000207",8902,8890,12
2021,"Croydon 015","E02000208",10863,10747,116
2021,"Croydon 016","E02000209",9067,9061,6
2021,"Croydon 017","E02000210",8713,8702,11
2021,"Croydon 018","E02000211",8273,8269,4
2021,"Croydon 019","E02000212",9461,9392,69
2021,"Croydon 020","E02000213",12798,12698,100
2021,"Croydon 021","E02000214",6236,6236,0
2021,"Croydon 022","E02000215",11826,11712,114
2021,"Croydon 023","E02000216",7162,7078,84
2021,"Croydon 024","E02000217",11925,11921,4
2021,"Croydon 025","E02000218",6671,6669,2
2021,"Croydon 026","E02000219",7631,7541,90
2021,"Croydon 028","E02000221",10857,10654,203
2021,"Croydon 029","E02000222",8350,8278,72
2021,"Croydon 030","E02000223",8530,8530,0
2021,"Croydon 031","E02000224",8053,7988,65
2021,"Croydon 032","E02000225",7499,7498,1
2021,"Croydon 033","E02000226",7615,7440,175
2021,"Croydon 034","E02000227",11680,11680,0
2021,"Croydon 035","E02000228",7956,7864,92
2021,"Croydon 036","E02000229",6235,6163,72
2021,"Croydon 037","E02000230",10502,10234,268
2021,"Croydon 038","E02000231",7930,7709,221
2021,"Croydon 039","E02000232",6198,6182,16
2021,"Croydon 040","E02000233",6364,6239,125
2021,"Croydon 041","E02000234",9452,9342,110
2021,"Croydon 042","E02000235",6890,6802,88
2021,"Croydon 043","E02000236",9130,9102,28
2021,"Croydon 044","E02000237",7600,7588,12
2021,"Croydon 045","E02006788",7611,7611,0
2021,"Croydon 046","E02006987",7373,7264,109
2021,"Croydon 047","E02006988",7161,6983,178
2021,"Ealing 001","E02000238",10707,10707,0
2021,"Ealing 002","E02000239",9042,9042,0
2021,"Ealing 003","E02000240",11209,11186,23
2021,"Ealing 004","E02000241",7395,7395,0
2021,"Ealing 005","E02000242",6885,6885,0
2021,"Ealing 006","E02000243",8722,8659,63
2021,"Ealing 007","E02000244",7889,7885,4
2021,"Ealing 008","E02000245",9306,9297,9
2021,"Ealing 009","E02000246",9461,9449,12
2021,"Ealing 010","E02000247",11155,10974,181
2021,"Ealing 011","E02000248",7717,7717,0
2021,"Ealing 012","E02000249",8376,8317,59
2021,"Ealing 013","E02000250",6483,6414,69
2021,"Ealing 014","E02000251",8313,8303,10
2021,"Ealing 015","E02000252",12238,10281,1957
2021,"Ealing 016","E02000253",10344,10260,84
2021,"Ealing 017","E02000254",9209,9120,89
2021,"Ealing 018","E02000255",9863,9733,130
2021,"Ealing 019","E02000256",9183,9125,58
2021,"Ealing 021","E02000258",6901,6847,54
2021,"Ealing 022","E02000259",6584,6584,0
2021,"Ealing 023","E02000260",9835,9657,178
2021,"Ealing 024","E02000261",12653,12634,19
2021,"Ealing 025","E02000262",9348,9245,103
2021,"Ealing 026","E02000263",13706,13694,12
2021,"Ealing 027","E02000264",8494,8366,128
2021,"Ealing 028","E02000265",11232,11106,126
2021,"Ealing 029","E02000266",13114,12867,247
2021,"Ealing 030","E02000267",8151,8134,17
2021,"Ealing 031","E02000268",9250,9145,105
2021,"Ealing 032","E02000269",8167,8117,50
2021,"Ealing 033","E02000270",9607,9602,5
2021,"Ealing 034","E02000271",6950,6941,9
2021,"Ealing 035","E02000272",6713,6655,58
2021,"Ealing 038","E02000275",8170,8082,88
2021,"Ealing 039","E02000276",6761,6758,3
2021,"Ealing 040","E02006791",7566,7564,2
2021,"Ealing 041","E02006968",8351,8292,59
2021,"Ealing 042","E02006969",6426,6253,173
2021,"Ealing 043","E02006970",7343,7318,25
2021,"Ealing 044","E02006971",8295,8295,0
2021,"Enfield 001","E02000277",7524,7473,51
2021,"Enfield 002","E02000278",9430,9350,80
2021,"Enfield 003","E02000279",12320,12308,12
2021,"Enfield 004","E02000280",8634,8585,49
2021,"Enfield 005","E02000281",9653,9573,80
2021,"Enfield 006","E02000282",9951,9887,64
2021,"Enfield 007","E02000283",8538,8507,31
2021,"Enfield 008","E02000284",8741,8714,27
2021,"Enfield 009","E02000285",6643,6643,0
2021,"Enfield 010","E02000286",8688,8637,51
2021,"Enfield 011","E02000287",7355,7276,79
2021,"Enfield 012","E02000288",12784,12772,12
2021,"Enfield 013","E02000289",6774,6774,0
2021,"Enfield 014","E02000290",6682,6673,9
2021,"Enfield 015","E02000291",10162,9978,184
2021,"Enfield 016","E02000292",9837,9821,16
2021,"Enfield 017","E02000293",6396,6379,17
2021,"Enfield 018","E02000294",9369,9311,58
2021,"Enfield 019","E02000295",8691,8609,82
2021,"Enfield 020","E02000296",10343,10170,173
2021,"Enfield 021","E02000297",9398,9335,63
2021,"Enfield 022","E02000298",8253,8162,91
2021,"Enfield 023","E02000299",9495,9444,51
2021,"Enfield 024","E02000300",8855,8786,69
2021,"Enfield 025","E02000301",10221,10201,20
2021,"Enfield 026","E02000302",8668,8652,16
2021,"Enfield 027","E02000303",8366,8346,20
2021,"Enfield 028","E02000304",8041,7946,95
2021,"Enfield 029","E02000305",8878,8719,159
2021,"Enfield 030","E02000306",9134,9116,18
2021,"Enfield 031","E02000307",10112,10104,8
2021,"Enfield 032","E02000308",8759,8743,16
2021,"Enfield 033","E02000309",11794,11745,49
2021,"Enfield 035","E02000311",10544,10535,9
2021,"Enfield 036","E02000312",11303,11262,41
2021,"Enfield 037","E02006793",9645,9570,75
2021,"Greenwich 001","E02000313",6489,6479,10
2021,"Greenwich 002","E02000314",14106,12715,1391
2021,"Greenwich 003","E02000315",9871,9827,44
2021,"Greenwich 005","E02000317",7561,7485,76
2021,"Greenwich 006","E02000318",11064,11050,14
2021,"Greenwich 007","E02000319",10618,10550,68
2021,"Greenwich 008","E02000320",7041,6951,90
2021,"Greenwich 009","E02000321",7721,7665,56
2021,"Greenwich 011","E02000323",12861,12776,85
2021,"Greenwich 012","E02000324",7865,7799,66
2021,"Greenwich 014","E02000326",7798,7790,8
2021,"Greenwich 015","E02000327",6625,6518,107
2021,"Greenwich 016","E02000328",6512,6471,41
2021,"Greenwich 017","E02000329",6332,6326,6
2021,"Greenwich 019","E02000331",8238,8175,63
2021,"Greenwich 020","E02000332",7451,7410,41
2021,"Greenwich 021","E02000333",6242,6173,69
2021,"Greenwich 022","E02000334",6639,6629,10
2021,"Greenwich 023","E02000335",6675,6675,0
2021,"Greenwich 025","E02000337",8471,8471,0
2021,"Greenwich 027","E02000339",6291,6286,5
2021,"Greenwich 028","E02000340",6865,6863,2
2021,"Greenwich 029","E02000341",7995,7956,39
2021,"Greenwich 030","E02000342",6348,5755,593
2021,"Greenwich 031","E02000343",7046,7045,1
2021,"Greenwich 032","E02000344",6430,6354,76
2021,"Greenwich 033","E02006786",7557,7541,16
2021,"Greenwich 034","E02006927",12367,12282,85
2021,"Greenwich 035","E02006928",12093,11132,961
2021,"Greenwich 037","E02006930",9846,9834,12
2021,"Greenwich 038","E02006931",9462,9301,161
2021,"Greenwich 039","E02006991",6319,6317,2
2021,"Greenwich 040","E02006992",8229,8202,27
2021,"Greenwich 041","E02006993",8401,8210,191
2021,"Greenwich 042","E02006994",7641,7639,2
2021,"Hackney 001","E02000345",8199,8197,2
2021,"Hackney 002","E02000346",9398,9280,118
2021,"Hackney 003","E02000347",8151,8055,96
2021,"Hackney 004","E02000348",8106,8105,1
2021,"Hackney 006","E02000350",10241,10241,0
2021,"Hackney 007","E02000351",9286,9247,39
2021,"Hackney 008","E02000352",6749,6699,50
2021,"Hackney 009","E02000353",7763,7763,0
2021,"Hackney 010","E02000354",9610,9588,22
2021,"Hackney 011","E02000355",8194,8102,92
2021,"Hackney 012","E02000356",7034,7034,0
2021,"Hackney 013","E02000357",6845,6845,0
2021,"Hackney 014","E02000358",11090,11065,25
2021,"Hackney 015","E02000359",6697,6683,14
2021,"Hackney 016","E02000360",11512,11510,2
2021,"Hackney 017","E02000361",8061,8054,7
2021,"Hackney 018","E02000362",6961,6756,205
2021,"Hackney 019","E02000363",11882,11168,714
2021,"Hackney 020","E02000364",9217,9210,7
2021,"Hackney 022","E02000366",8328,8229,99
2021,"Hackney 023","E02000367",10418,10271,147
2021,"Hackney 024","E02000368",9922,9903,19
2021,"Hackney 025","E02000369",13458,13418,40
2021,"Hackney 026","E02000370",8862,8828,34
2021,"Hackney 028","E02006918",8398,8398,0
2021,"Hackney 029","E02006921",7926,7926,0
2021,"Hackney 030","E02007108",5941,5864,77
2021,"Hackney 031","E02007109",7614,7598,16
2021,"Hackney 032","E02007110",7332,6990,342
2021,"Hackney 033","E02007111",5949,5604,345
2021,"Hammersmith and Fulham 001","E02000372",9984,9048,936
2021,"Hammersmith and Fulham 002","E02000373",7034,7033,1
2021,"Hammersmith and Fulham 003","E02000374",6914,6697,217
2021,"Hammersmith and Fulham 004","E02000375",7485,7445,40
2021,"Hammersmith and Fulham 005","E02000376",6701,6696,5
2021,"Hammersmith and Fulham 006","E02000377",7795,7576,219
2021,"Hammersmith and Fulham 007","E02000378",6433,6418,15
2021,"Hammersmith and Fulham 008","E02000379",7388,7264,124
2021,"Hammersmith and Fulham 009","E02000380",5508,5497,11
2021,"Hammersmith and Fulham 010","E02000381",7628,7580,48
2021,"Hammersmith and Fulham 011","E02000382",6189,5921,268
2021,"Hammersmith and Fulham 012","E02000383",8462,8332,130
2021,"Hammersmith and Fulham 013","E02000384",8267,8059,208
2021,"Hammersmith and Fulham 014","E02000385",5614,5594,20
2021,"Hammersmith and Fulham 015","E02000386",7582,7562,20
2021,"Hammersmith and Fulham 016","E02000387",6024,5898,126
2021,"Hammersmith and Fulham 017","E02000388",8657,8618,39
2021,"Hammersmith and Fulham 018","E02000389",8645,8633,12
2021,"Hammersmith and Fulham 019","E02000390",6195,6194,1
2021,"Hammersmith and Fulham 020","E02000391",7587,7547,40
2021,"Hammersmith and Fulham 021","E02000392",9229,9209,20
2021,"Hammersmith and Fulham 022","E02000393",5975,5975,0
2021,"Hammersmith and Fulham 023","E02000394",9281,9222,59
2021,"Hammersmith and Fulham 024","E02000395",5680,5680,0
2021,"Hammersmith and Fulham 025","E02000396",6898,6890,8
2021,"Haringey 001","E02000397",7907,7905,2
2021,"Haringey 002","E02000398",7518,7495,23
2021,"Haringey 004","E02000400",7988,7977,11
2021,"Haringey 005","E02000401",6864,6862,2
2021,"Haringey 006","E02000402",6472,6470,2
2021,"Haringey 007","E02000403",7513,7499,14
2021,"Haringey 008","E02000404",7111,7103,8
2021,"Haringey 009","E02000405",6474,6474,0
2021,"Haringey 010","E02000406",6736,6735,1
2021,"Haringey 011","E02000407",7605,7562,43
2021,"Haringey 012","E02000408",8253,8166,87
2021,"Haringey 013","E02000409",6061,6043,18
2021,"Haringey 014","E02000410",6418,6240,178
2021,"Haringey 015","E02000411",11429,10551,878
2021,"Haringey 016","E02000412",7322,7248,74
2021,"Haringey 017","E02000413",7763,7683,80
2021,"Haringey 018","E02000414",7081,7077,4
2021,"Haringey 019","E02000415",7242,7236,6
2021,"Haringey 020","E02000416",8453,8453,0
2021,"Haringey 021","E02000417",6558,6471,87
2021,"Haringey 022","E02000418",5431,5431,0
2021,"Haringey 023","E02000419",8736,8735,1
2021,"Haringey 024","E02000420",7988,7975,13
2021,"Haringey 025","E02000421",8511,8247,264
2021,"Haringey 026","E02000422",7458,7399,59
2021,"Haringey 027","E02000423",6904,6871,33
2021,"Haringey 028","E02000424",6754,6692,62
2021,"Haringey 029","E02000425",8169,8169,0
2021,"Haringey 030","E02000426",6492,6455,37
2021,"Haringey 031","E02000427",6627,6612,15
2021,"Haringey 032","E02000428",8434,8387,47
2021,"Haringey 033","E02000429",6793,6793,0
2021,"Haringey 034","E02000430",6922,6911,11
2021,"Haringey 035","E02000431",5848,5847,1
2021,"Haringey 036","E02000432",6120,6086,34
2021,"Haringey 037","E02006794",8286,8213,73
2021,"Harrow 001","E02000433",8600,8485,115
2021,"Harrow 002","E02000434",9848,9778,70
2021,"Harrow 003","E02000435",8191,8118,73
2021,"Harrow 004","E02000436",5758,5747,11
2021,"Harrow 005","E02000437",8760,8625,135
2021,"Harrow 006","E02000438",8548,8451,97
2021,"Harrow 007","E02000439",9264,9264,0
2021,"Harrow 008","E02000440",9605,9600,5
2021,"Harrow 009","E02000441",7481,7435,46
2021,"Harrow 010","E02000442",9585,9579,6
2021,"Harrow 011","E02000443",10747,10682,65
2021,"Harrow 012","E02000444",8714,8695,19
2021,"Harrow 013","E02000445",11773,11624,149
2021,"Harrow 015","E02000447",8192,8192,0
2021,"Harrow 016","E02000448",7070,7058,12
2021,"Harrow 017","E02000449",8295,8281,14
2021,"Harrow 019","E02000451",6711,6681,30
2021,"Harrow 020","E02000452",9503,9386,117
2021,"Harrow 021","E02000453",8386,8376,10
2021,"Harrow 022","E02000454",7339,7339,0
2021,"Harrow 023","E02000455",11669,11515,154
2021,"Harrow 024","E02000456",7823,7822,1
2021,"Harrow 025","E02000457",7059,7050,9
2021,"Harrow 027","E02000459",9326,9318,8
2021,"Harrow 028","E02000460",7311,7286,25
2021,"Harrow 029","E02000461",7290,6375,915
2021,"Harrow 030","E02000462",6983,6981,2
