"date","geography","geography code","Highest level of qualification: Total: All usual residents aged 16 years and over","Highest level of qualification: No qualifications","Highest level of qualification: Level 1 and entry level qualifications","Highest level of qualification: Level 2 qualifications","Highest level of qualification: Apprenticeship","Highest level of qualification: Level 3 qualifications","Highest level of qualification: Level 4 qualifications and above","Highest level of qualification: Other qualifications"
2021,"Richmond upon Thames 006","E02000789",5152,408,223,372,78,496,3461,114
2021,"Richmond upon Thames 007","E02000790",5155,249,151,411,81,558,3618,87
2021,"Richmond upon Thames 008","E02000791",5299,299,131,300,53,514,3856,146
2021,"Richmond upon Thames 009","E02000792",5785,350,186,438,90,617,4007,97
2021,"Richmond upon Thames 010","E02000793",6561,987,543,717,274,921,2948,171
2021,"Richmond upon Thames 011","E02000794",5547,465,238,483,152,697,3401,111
2021,"Richmond upon Thames 012","E02000795",5293,450,201,479,118,621,3327,97
2021,"Richmond upon Thames 013","E02000796",8766,1585,846,1063,360,1234,3402,276
2021,"Richmond upon Thames 014","E02000797",6282,399,227,466,109,757,4232,92
2021,"Richmond upon Thames 015","E02000798",8694,916,571,914,268,1180,4657,188
2021,"Richmond upon Thames 016","E02000799",5471,327,223,484,112,1089,3156,80
2021,"Richmond upon Thames 017","E02000800",4127,587,283,435,152,515,2047,108
2021,"Richmond upon Thames 018","E02000801",5614,372,248,496,115,718,3589,76
2021,"Richmond upon Thames 019","E02000802",5662,513,263,519,164,700,3410,93
2021,"Richmond upon Thames 020","E02000803",7823,1135,634,929,300,1072,3542,211
2021,"Richmond upon Thames 021","E02000804",5866,465,258,507,133,681,3702,120
2021,"Richmond upon Thames 022","E02000805",8711,750,392,799,184,1011,5407,168
2021,"Richmond upon Thames 023","E02000806",8342,819,500,859,225,1046,4728,165
2021,"Southwark 001","E02000807",7168,733,322,425,156,662,4700,170
2021,"Southwark 002","E02000808",9296,800,319,509,177,1702,5542,247
2021,"Southwark 004","E02000810",9885,1490,625,766,257,1134,5379,234
2021,"Southwark 006","E02000812",9115,1295,569,735,255,1353,4696,212
2021,"Southwark 007","E02000813",8519,1265,549,680,231,1021,4581,192
2021,"Southwark 008","E02000814",8872,831,424,532,179,903,5750,253
2021,"Southwark 009","E02000815",6708,621,306,368,120,1168,3972,153
2021,"Southwark 010","E02000816",7954,1478,694,722,292,939,3616,213
2021,"Southwark 011","E02000817",5599,1288,452,572,188,640,2256,203
2021,"Southwark 012","E02000818",8438,1272,496,615,269,1043,4539,204
2021,"Southwark 013","E02000819",6956,1339,623,659,232,994,2886,223
2021,"Southwark 014","E02000820",7860,1139,494,650,198,1057,4117,205
2021,"Southwark 015","E02000821",7393,1496,777,696,284,825,3089,226
2021,"Southwark 016","E02000822",5422,1103,453,502,197,734,2289,144
2021,"Southwark 017","E02000823",7316,1233,525,668,219,920,3559,192
2021,"Southwark 018","E02000824",7872,1457,664,933,259,1073,3249,237
2021,"Southwark 019","E02000825",8227,1474,674,754,236,1224,3653,212
2021,"Southwark 020","E02000826",8247,1299,565,672,258,1115,4123,215
2021,"Southwark 021","E02000827",9373,1517,741,833,264,1122,4612,284
2021,"Southwark 022","E02000828",7291,1299,572,647,225,971,3380,197
2021,"Southwark 023","E02000829",9076,1495,641,692,253,1140,4618,237
2021,"Southwark 024","E02000830",7638,760,378,541,126,779,4910,144
2021,"Southwark 025","E02000831",7791,879,382,573,165,824,4860,108
2021,"Southwark 026","E02000832",8020,1405,605,717,241,930,3971,151
2021,"Southwark 027","E02000833",5944,830,374,543,157,646,3247,147
2021,"Southwark 028","E02000834",7804,662,304,468,123,870,5262,115
2021,"Southwark 029","E02000835",5943,695,357,501,132,649,3486,123
2021,"Southwark 030","E02000836",6620,625,274,459,127,591,4462,82
2021,"Southwark 031","E02000837",6590,496,189,426,83,542,4799,55
2021,"Southwark 032","E02000838",7633,853,365,625,190,820,4642,138
2021,"Southwark 033","E02000839",6619,747,329,613,132,779,3895,124
2021,"Sutton 001","E02000840",7067,1537,784,977,356,1077,2090,246
2021,"Sutton 002","E02000841",7149,1591,851,1000,322,1088,2068,229
2021,"Sutton 003","E02000842",6672,1129,706,894,367,1161,2172,243
2021,"Sutton 004","E02000843",7363,951,680,948,282,1167,3140,195
2021,"Sutton 005","E02000844",6754,1262,800,952,291,1132,2107,210
2021,"Sutton 006","E02000845",7302,970,591,904,324,1165,3147,201
2021,"Sutton 007","E02000846",6060,975,565,775,270,942,2337,196
2021,"Sutton 008","E02000847",7582,1111,645,962,371,1238,3037,218
2021,"Sutton 009","E02000848",6385,961,635,951,336,1216,2120,166
2021,"Sutton 010","E02000849",6445,981,612,924,277,1036,2436,179
2021,"Sutton 011","E02000850",8661,1373,922,1218,406,1478,3044,220
2021,"Sutton 012","E02000851",9044,1421,787,1050,376,1278,3822,310
2021,"Sutton 013","E02000852",6428,911,561,815,315,1028,2617,181
2021,"Sutton 014","E02000853",6313,925,595,840,310,991,2457,195
2021,"Sutton 015","E02000854",6023,681,472,761,250,944,2790,125
2021,"Sutton 016","E02000855",6626,820,528,872,308,1061,2880,157
2021,"Sutton 017","E02000856",7394,896,623,986,298,1233,3171,187
2021,"Sutton 018","E02000857",7279,957,555,779,244,963,3542,239
2021,"Sutton 019","E02000858",6503,1373,785,902,278,996,1975,194
2021,"Sutton 020","E02000859",6833,1019,609,925,278,1074,2711,217
2021,"Sutton 021","E02000860",7010,1072,624,759,302,979,3059,215
2021,"Sutton 022","E02000861",6303,640,460,741,204,851,3269,138
2021,"Sutton 024","E02000863",5457,763,484,724,251,822,2281,132
2021,"Tower Hamlets 001","E02000864",9181,1631,608,801,191,1240,4456,254
2021,"Tower Hamlets 002","E02000865",6436,1363,493,656,139,800,2800,185
2021,"Tower Hamlets 003","E02000866",8789,1442,490,669,180,1002,4825,181
2021,"Tower Hamlets 004","E02000867",9647,1287,566,773,170,1145,5480,226
2021,"Tower Hamlets 005","E02000868",6104,949,385,489,114,848,3182,137
2021,"Tower Hamlets 006","E02000869",4886,820,336,392,121,588,2513,116
2021,"Tower Hamlets 007","E02000870",5159,941,450,471,130,651,2377,139
2021,"Tower Hamlets 008","E02000871",8961,1712,756,915,257,1247,3785,289
2021,"Tower Hamlets 009","E02000872",6812,1131,443,566,124,867,3511,170
2021,"Tower Hamlets 010","E02000873",7972,1197,517,623,165,1990,3223,257
2021,"Tower Hamlets 011","E02000874",5957,1168,520,545,149,819,2535,221
2021,"Tower Hamlets 012","E02000875",10701,1975,863,1118,221,1571,4674,279
2021,"Tower Hamlets 013","E02000876",6036,1068,468,487,129,758,2942,184
2021,"Tower Hamlets 014","E02000877",10928,1931,809,965,261,1497,5172,293
2021,"Tower Hamlets 015","E02000878",9009,1447,502,705,172,1104,4836,243
2021,"Tower Hamlets 016","E02000879",6668,1474,543,669,179,964,2621,218
2021,"Tower Hamlets 017","E02000880",5201,1009,403,445,112,858,2217,157
2021,"Tower Hamlets 018","E02000881",8333,1533,712,864,238,1131,3606,249
2021,"Tower Hamlets 019","E02000882",8884,1971,686,983,196,1272,3529,247
2021,"Tower Hamlets 020","E02000883",7068,1610,670,769,179,1073,2493,274
2021,"Tower Hamlets 021","E02000884",10817,1349,586,826,194,1475,6005,382
2021,"Tower Hamlets 022","E02000885",5508,1332,523,591,168,748,1956,190
2021,"Tower Hamlets 023","E02000886",7944,1176,520,623,163,962,4291,209
2021,"Tower Hamlets 024","E02000887",8344,1671,740,883,228,1099,3451,272
2021,"Tower Hamlets 025","E02000888",6927,1126,457,595,143,779,3630,197
2021,"Tower Hamlets 026","E02000889",7442,885,407,528,147,844,4438,193
2021,"Tower Hamlets 027","E02000890",5171,450,197,297,43,490,3595,99
2021,"Tower Hamlets 030","E02000893",5982,1039,403,512,143,823,2895,167
2021,"Tower Hamlets 031","E02000894",9017,1013,547,618,169,1094,5318,258
2021,"Waltham Forest 001","E02000895",6837,1563,662,887,370,990,2110,255
2021,"Waltham Forest 002","E02000896",7646,1173,682,985,348,1167,3087,204
2021,"Waltham Forest 003","E02000897",6869,1545,686,872,316,1010,2263,177
2021,"Waltham Forest 004","E02000898",6487,1403,568,840,321,936,2215,204
2021,"Waltham Forest 005","E02000899",7103,1513,717,939,342,1029,2318,245
2021,"Waltham Forest 006","E02000900",7043,1629,730,887,324,1026,2202,245
2021,"Waltham Forest 007","E02000901",8392,1271,720,1032,315,1264,3594,196
2021,"Waltham Forest 008","E02000902",7583,1381,693,928,267,1118,2968,228
2021,"Waltham Forest 009","E02000903",7978,1671,763,906,255,1056,3077,250
2021,"Waltham Forest 010","E02000904",6654,1003,558,743,219,866,3055,210
2021,"Waltham Forest 011","E02000905",8009,1340,606,738,216,948,3900,261
2021,"Waltham Forest 012","E02000906",7599,1282,573,686,217,900,3726,215
2021,"Waltham Forest 013","E02000907",8138,1575,730,877,269,1058,3375,254
2021,"Waltham Forest 014","E02000908",10469,1524,661,878,299,1317,5524,266
2021,"Waltham Forest 015","E02000909",7263,1043,448,652,174,823,3888,235
2021,"Waltham Forest 016","E02000910",9280,1503,683,738,248,999,4803,306
2021,"Waltham Forest 017","E02000911",10370,1728,854,856,272,1203,5114,343
2021,"Waltham Forest 018","E02000912",7758,1628,660,741,239,944,3272,274
2021,"Waltham Forest 019","E02000913",7540,1361,611,788,224,1026,3310,220
2021,"Waltham Forest 020","E02000914",9259,2102,892,949,298,1221,3418,379
2021,"Waltham Forest 021","E02000915",6695,971,475,618,189,802,3439,201
2021,"Waltham Forest 022","E02000916",8480,1586,717,790,284,1114,3719,270
2021,"Waltham Forest 023","E02000917",7717,1221,604,679,215,908,3781,309
2021,"Waltham Forest 024","E02000918",7560,1236,573,748,288,885,3570,260
2021,"Waltham Forest 025","E02000919",7621,1341,635,667,255,842,3579,302
2021,"Waltham Forest 026","E02000920",8373,1628,770,898,312,1030,3429,306
2021,"Waltham Forest 027","E02000921",9124,1780,892,981,331,1208,3579,353
2021,"Waltham Forest 028","E02000922",8328,1533,712,804,289,1078,3594,318
2021,"Wandsworth 001","E02000923",6532,620,285,460,132,704,4159,172
2021,"Wandsworth 003","E02000925",6484,931,490,623,192,843,3204,201
2021,"Wandsworth 004","E02000926",10062,808,415,592,162,1094,6738,253
2021,"Wandsworth 005","E02000927",6128,862,328,433,150,707,3494,154
2021,"Wandsworth 006","E02000928",6952,464,205,441,79,674,4974,115
2021,"Wandsworth 007","E02000929",6559,1105,575,622,196,855,2997,209
2021,"Wandsworth 008","E02000930",8851,589,257,457,114,870,6398,166
2021,"Wandsworth 009","E02000931",7102,332,156,331,69,624,5484,106
2021,"Wandsworth 010","E02000932",11134,616,268,556,163,1057,8277,197
2021,"Wandsworth 011","E02000933",7534,565,266,534,115,808,5084,162
2021,"Wandsworth 012","E02000934",7926,595,271,451,108,859,5476,166
2021,"Wandsworth 013","E02000935",5739,972,467,630,220,1282,1970,198
2021,"Wandsworth 014","E02000936",8150,639,311,474,151,833,5565,177
2021,"Wandsworth 015","E02000937",6388,390,225,417,70,624,4561,101
2021,"Wandsworth 016","E02000938",8594,1248,552,768,268,1107,4364,287
2021,"Wandsworth 017","E02000939",5996,372,142,371,64,599,4383,65
2021,"Wandsworth 018","E02000940",7892,862,450,611,185,819,4785,180
2021,"Wandsworth 019","E02000941",8213,687,332,568,132,910,5428,156
2021,"Wandsworth 020","E02000942",7883,498,296,562,141,789,5446,151
2021,"Wandsworth 021","E02000943",7496,507,196,379,101,671,5523,119
2021,"Wandsworth 022","E02000944",6101,923,458,588,180,720,2980,252
2021,"Wandsworth 023","E02000945",6272,1212,487,621,230,1037,2404,281
2021,"Wandsworth 024","E02000946",7149,819,378,570,185,901,4114,182
2021,"Wandsworth 025","E02000947",7521,513,276,430,138,775,5235,154
2021,"Wandsworth 026","E02000948",8708,628,298,442,104,811,6277,148
2021,"Wandsworth 027","E02000949",8484,478,235,468,134,770,6291,108
2021,"Wandsworth 028","E02000950",6224,727,331,495,180,804,3472,215
2021,"Wandsworth 029","E02000951",5584,449,245,354,93,608,3725,110
2021,"Wandsworth 030","E02000952",5245,478,252,322,69,493,3540,91
2021,"Wandsworth 031","E02000953",6257,527,206,364,87,885,4049,139
2021,"Wandsworth 032","E02000954",5136,579,263,332,81,539,3179,163
2021,"Wandsworth 033","E02000955",5737,804,345,441,133,665,3209,140
2021,"Wandsworth 034","E02000956",6367,813,379,437,146,916,3494,182
2021,"Wandsworth 035","E02000957",9125,1164,530,645,235,1042,5259,250
2021,"Wandsworth 036","E02000958",6693,876,408,555,185,995,3465,209
2021,"Wandsworth 037","E02000959",6318,920,417,556,255,808,3183,179
2021,"Westminster 001","E02000960",5222,604,199,260,75,570,3363,151
2021,"Westminster 002","E02000961",8021,1061,430,626,155,910,4595,244
2021,"Westminster 003","E02000962",6726,829,290,392,115,697,4220,183
2021,"Westminster 004","E02000963",8645,1809,712,947,204,1248,3424,301
2021,"Westminster 005","E02000964",10290,1777,713,936,269,1368,4926,301
2021,"Westminster 006","E02000965",6798,576,279,383,101,674,4648,137
2021,"Westminster 007","E02000966",7963,704,322,475,132,834,5229,267
2021,"Westminster 008","E02000967",5426,431,132,293,49,542,3772,207
2021,"Westminster 009","E02000968",12040,3020,939,1112,318,1746,4497,408
2021,"Westminster 010","E02000969",7838,1783,525,755,229,1020,3259,267
2021,"Westminster 011","E02000970",6127,483,206,322,116,655,4143,202
2021,"Westminster 012","E02000971",6749,622,180,274,99,773,4582,219
2021,"Westminster 013","E02000972",7269,666,309,409,145,986,4475,279
2021,"Westminster 014","E02000973",8790,863,363,582,168,972,5607,235
2021,"Westminster 015","E02000974",7688,779,262,386,225,1167,4627,242
2021,"Westminster 016","E02000975",6754,523,223,328,77,730,4637,236
2021,"Westminster 017","E02000976",7515,708,212,343,134,922,4938,258
2021,"Westminster 018","E02000977",5918,653,248,338,168,790,3520,201
2021,"Westminster 019","E02000978",6262,480,204,378,131,1241,3511,317
2021,"Westminster 020","E02000979",7086,651,349,559,156,829,4306,236
2021,"Westminster 021","E02000980",7653,958,419,599,176,933,4344,224
2021,"Westminster 022","E02000981",7519,876,294,402,138,757,4874,178
2021,"Westminster 023","E02000982",6578,1013,427,567,177,844,3379,171
2021,"Westminster 024","E02000983",6592,1013,376,515,191,811,3483,203
2021,"Bromley 040","E02006782",6504,1073,617,808,264,947,2604,191
2021,"Lewisham 037","E02006783",5900,1359,649,815,243,758,1889,187
2021,"Lewisham 038","E02006784",6348,1440,634,883,282,892,2008,209
2021,"Bexley 029","E02006785",5396,1148,609,766,282,843,1583,165
2021,"Greenwich 033","E02006786",5863,1117,650,691,269,838,2095,203
2021,"Bromley 041","E02006787",6151,806,528,780,236,847,2821,133
2021,"Croydon 045","E02006788",5925,1009,585,740,222,896,2288,185
2021,"Bromley 042","E02006789",5672,1072,613,935,347,952,1573,180
2021,"Ealing 040","E02006791",6327,532,252,448,142,729,4107,117
2021,"Hounslow 029","E02006792",7660,721,337,562,174,841,4787,238
2021,"Enfield 037","E02006793",7323,2227,813,755,262,912,2069,285
2021,"Haringey 037","E02006794",6275,1864,606,636,239,775,1935,220
2021,"Harrow 032","E02006795",6609,1061,632,730,194,914,2857,221
2021,"Hillingdon 033","E02006796",7720,1201,718,930,368,1254,3003,246
2021,"Lewisham 039","E02006798",7417,1127,515,608,216,972,3757,222
2021,"Barking and Dagenham 023","E02006799",8779,2134,928,1110,336,1234,2709,328
2021,"Redbridge 034","E02006800",11274,2301,1116,1244,399,1540,4255,419
2021,"Lambeth 036","E02006801",7749,917,361,528,130,1346,4239,228
2021,"Southwark 034","E02006802",8066,889,449,561,141,1399,4411,216
2021,"Sutton 025","E02006836",7016,803,477,774,268,948,3617,129
2021,"Tower Hamlets 032","E02006853",9115,1061,498,624,165,975,5556,236
2021,"Tower Hamlets 033","E02006854",6208,548,256,325,100,589,4206,184
2021,"Harrow 033","E02006882",11915,2416,1128,1276,389,1471,4843,392
2021,"Hackney 028","E02006918",6336,1183,445,647,159,794,2914,194
2021,"Hackney 029","E02006921",5550,1528,496,655,173,682,1813,203
2021,"Redbridge 035","E02006924",10922,2012,892,1156,245,1415,4850,352
2021,"Redbridge 036","E02006925",11723,1815,968,1341,316,1722,5165,396
2021,"Greenwich 034","E02006927",9910,1424,688,908,266,1165,5231,228
2021,"Greenwich 035","E02006928",10277,903,414,673,176,1631,6241,239
2021,"Greenwich 037","E02006930",8118,739,335,527,188,906,5280,143
2021,"Greenwich 038","E02006931",7860,879,382,578,163,851,4856,151
2021,"Southwark 035","E02006941",5018,171,77,156,36,409,4097,72
2021,"Southwark 036","E02006942",5859,581,281,323,108,596,3862,108
2021,"Barnet 042","E02006953",7512,978,445,559,207,958,4064,301
2021,"Barnet 043","E02006954",8051,1428,555,712,222,983,3811,340
2021,"Brent 035","E02006955",6409,616,320,431,155,1248,3404,235
2021,"Brent 036","E02006956",7384,1498,668,662,240,1326,2642,348
2021,"Ealing 041","E02006968",6880,662,303,449,146,664,4460,196
2021,"Ealing 042","E02006969",5482,552,236,327,102,538,3566,161
2021,"Ealing 043","E02006970",5660,1733,750,563,149,556,1431,478
2021,"Ealing 044","E02006971",6497,1976,795,656,195,777,1587,511
2021,"Hounslow 030","E02006972",4289,648,328,370,149,490,2172,132
2021,"Hounslow 031","E02006973",6815,1149,500,632,193,902,3199,240
2021,"Croydon 046","E02006987",6327,630,311,488,155,741,3843,159
2021,"Croydon 047","E02006988",5713,860,448,585,224,751,2668,177
2021,"Greenwich 039","E02006991",5639,365,200,338,73,616,3917,130
2021,"Greenwich 040","E02006992",6795,689,343,431,147,737,4305,143
2021,"Greenwich 041","E02006993",6850,547,296,513,154,809,4374,157
2021,"Greenwich 042","E02006994",6055,1063,502,618,221,733,2724,194
2021,"Newham 038","E02006995",7289,409,194,385,68,887,5173,173
2021,"Newham 039","E02006996",7191,845,383,527,147,1003,4070,216
2021,"Newham 040","E02006997",6005,585,311,437,128,771,3648,125
2021,"Newham 041","E02006998",5478,939,474,523,190,717,2434,201
2021,"Newham 042","E02006999",9351,748,359,594,172,1074,6180,224
2021,"Lewisham 040","E02007008",4930,418,214,334,101,617,3116,130
2021,"Lewisham 041","E02007009",7571,1282,576,649,265,904,3705,190
2021,"Redbridge 037","E02007017",6626,1150,554,803,219,1070,2600,230
2021,"Redbridge 038","E02007018",5374,975,532,633,166,821,2078,169
2021,"Redbridge 039","E02007019",5287,1076,434,439,176,521,2416,225
2021,"Redbridge 040","E02007020",7395,1717,815,831,207,1014,2429,382
2021,"Wandsworth 038","E02007083",6742,372,205,336,93,624,4926,186
2021,"Wandsworth 039","E02007084",8289,1258,560,661,240,1095,4232,243
2021,"Hackney 030","E02007108",5311,523,180,255,95,482,3661,115
2021,"Hackney 031","E02007109",6489,898,344,458,110,690,3837,152
2021,"Hackney 032","E02007110",6358,898,307,415,134,798,3585,221
2021,"Hackney 033","E02007111",5462,445,177,322,66,617,3703,132
2021,"Tower Hamlets 034","E02007112",5236,321,172,251,101,567,3689,135
2021,"Tower Hamlets 035","E02007113",6107,615,291,431,109,665,3821,175
2021,"Tower Hamlets 036","E02007114",6346,754,343,428,140,808,3675,198
2021,"Camden 029","E02007115",10385,1383,561,719,209,2671,4519,323
