"date","geography","geography code","Year of arrival in the UK: Total: All usual residents; measures: Value","Year of arrival in the UK: Born in the UK; measures: Value","Year of arrival in the UK: Arrived before 1951; measures: Value","Year of arrival in the UK: Arrived 1951 to 1960; measures: Value","Year of arrival in the UK: Arrived 1961 to 1970; measures: Value","Year of arrival in the UK: Arrived 1971 to 1980; measures: Value","Year of arrival in the UK: Arrived 1981 to 1990; measures: Value","Year of arrival in the UK: Arrived 1991 to 2000; measures: Value","Year of arrival in the UK: Arrived 2001 to 2010; measures: Value","Year of arrival in the UK: Arrived 2011 to 2013; measures: Value","Year of arrival in the UK: Arrived 2014 to 2016; measures: Value","Year of arrival in the UK: Arrived 2017 to 2019; measures: Value","Year of arrival in the UK: Arrived 2020 to 2021; measures: Value"
2021,"Croydon 021","E02000214",6236,4538,15,88,215,174,151,232,381,111,148,131,52
2021,"Croydon 022","E02000215",11824,6686,16,119,233,205,268,605,1323,532,716,826,295
2021,"Croydon 023","E02000216",7163,3565,21,65,184,286,184,364,953,361,433,533,214
2021,"Croydon 024","E02000217",11926,6778,6,63,181,142,257,660,1687,550,697,746,159
2021,"Croydon 025","E02000218",6671,4872,8,60,127,127,176,440,526,97,81,104,53
2021,"Croydon 026","E02000219",7627,5874,12,94,244,304,200,233,341,105,92,102,26
2021,"Croydon 028","E02000221",10853,7114,13,75,195,232,334,659,1323,224,262,304,118
2021,"Croydon 029","E02000222",8350,5814,9,58,183,179,168,311,789,227,285,255,72
2021,"Croydon 030","E02000223",8529,6196,3,44,80,65,142,545,962,141,167,161,23
2021,"Croydon 031","E02000224",8053,5550,3,55,169,154,177,313,701,256,291,272,112
2021,"Croydon 032","E02000225",7498,5851,4,40,90,56,109,351,578,187,104,94,34
2021,"Croydon 033","E02000226",7615,5820,15,71,217,220,191,230,407,95,101,143,105
2021,"Croydon 034","E02000227",11677,9242,13,72,171,173,212,382,856,190,172,143,51
2021,"Croydon 035","E02000228",7956,6467,22,83,216,213,174,172,328,92,85,67,37
2021,"Croydon 036","E02000229",6236,4910,5,24,75,35,101,306,502,106,92,53,27
2021,"Croydon 037","E02000230",10499,7449,24,101,303,300,256,425,807,219,259,276,80
2021,"Croydon 038","E02000231",7930,5689,11,83,336,363,228,287,450,116,147,162,58
2021,"Croydon 039","E02000232",6197,5204,16,51,136,125,92,154,228,47,67,60,17
2021,"Croydon 040","E02000233",6363,4926,14,29,115,143,133,222,414,109,114,107,37
2021,"Croydon 041","E02000234",9448,7176,21,86,201,238,195,324,653,177,164,165,48
2021,"Croydon 042","E02000235",6890,5594,22,47,154,133,139,211,340,72,66,86,26
2021,"Croydon 043","E02000236",9128,7516,15,34,116,173,134,209,495,161,155,94,26
2021,"Croydon 044","E02000237",7600,6501,15,66,135,115,126,144,296,66,72,43,21
2021,"Croydon 045","E02006788",7612,5389,15,58,199,113,195,454,647,174,156,155,57
2021,"Croydon 046","E02006987",7373,3556,6,15,49,61,115,288,999,463,695,793,333
2021,"Croydon 047","E02006988",7157,4232,13,43,105,104,130,329,893,369,369,402,168
2021,"Ealing 001","E02000238",10705,5015,9,72,293,313,373,795,1867,507,654,570,237
2021,"Ealing 002","E02000239",9045,3949,12,104,424,518,393,627,1395,450,501,491,181
2021,"Ealing 003","E02000240",11209,5728,14,71,231,274,312,950,1965,434,542,477,211
2021,"Ealing 004","E02000241",7396,3594,9,57,176,212,206,579,1280,276,467,395,145
2021,"Ealing 005","E02000242",6883,2847,5,78,305,419,319,605,1105,289,420,341,150
2021,"Ealing 006","E02000243",8723,4115,16,117,313,309,354,618,1404,391,484,437,165
2021,"Ealing 007","E02000244",7890,3382,18,71,251,350,377,663,1317,363,549,407,142
2021,"Ealing 008","E02000245",9308,4963,5,42,135,160,259,839,1635,324,449,373,124
2021,"Ealing 009","E02000246",9463,5111,6,53,185,185,302,853,1563,375,383,356,91
2021,"Ealing 010","E02000247",11160,5674,30,113,263,352,320,977,1822,471,534,473,131
2021,"Ealing 011","E02000248",7716,3100,18,63,221,331,297,490,1134,394,706,728,234
2021,"Ealing 012","E02000249",8376,3969,4,99,315,322,262,680,1300,305,543,449,128
2021,"Ealing 013","E02000250",6481,4037,28,72,176,238,236,344,531,143,253,329,94
2021,"Ealing 014","E02000251",8314,3644,12,78,504,451,348,613,1253,372,435,429,175
2021,"Ealing 015","E02000252",12239,5572,15,128,268,282,326,729,1419,512,878,1112,998
2021,"Ealing 016","E02000253",10341,5786,16,110,294,306,374,925,1430,318,345,344,93
2021,"Ealing 017","E02000254",9211,3755,8,68,576,674,409,652,1330,383,514,608,234
2021,"Ealing 018","E02000255",9863,5711,34,99,292,287,368,628,1065,324,475,441,139
2021,"Ealing 019","E02000256",9184,4847,34,101,200,214,264,456,872,410,621,865,300
2021,"Ealing 021","E02000258",6901,3199,12,73,168,180,246,410,705,311,454,891,252
2021,"Ealing 022","E02000259",6581,3941,22,74,156,151,194,338,862,208,283,265,87
2021,"Ealing 023","E02000260",9837,3584,10,74,661,544,307,622,1286,629,769,1000,351
2021,"Ealing 024","E02000261",12650,5579,13,96,277,351,392,948,1622,631,1100,1167,474
2021,"Ealing 025","E02000262",9348,4928,21,65,191,210,277,649,1053,376,646,701,231
2021,"Ealing 026","E02000263",13707,4848,2,83,786,608,462,1028,2022,830,1147,1409,482
2021,"Ealing 027","E02000264",8494,4208,47,111,244,275,266,474,844,382,583,806,254
2021,"Ealing 028","E02000265",11232,6266,11,109,347,267,271,683,1328,452,577,611,310
2021,"Ealing 029","E02000266",13114,6437,7,73,434,428,599,1314,1846,432,624,665,255
2021,"Ealing 030","E02000267",8153,4974,6,65,170,149,156,410,998,291,397,446,91
2021,"Ealing 031","E02000268",9246,5555,30,97,212,207,257,510,841,320,430,572,215
2021,"Ealing 032","E02000269",8167,5153,16,86,209,166,215,313,690,293,484,417,125
2021,"Ealing 033","E02000270",9608,4951,17,53,153,141,296,870,1263,414,613,632,205
2021,"Ealing 034","E02000271",6950,4176,18,63,144,160,196,364,669,224,353,432,151
2021,"Ealing 035","E02000272",6714,4441,17,100,273,229,182,264,566,142,231,190,79
2021,"Ealing 038","E02000275",8171,3191,11,65,433,427,258,541,995,499,722,782,247
2021,"Ealing 039","E02000276",6761,4010,10,63,137,159,174,345,684,259,428,377,115
2021,"Ealing 040","E02006791",7565,4478,12,50,148,156,176,446,750,316,373,489,171
2021,"Ealing 041","E02006968",8348,3886,18,58,244,292,260,415,801,382,602,1029,361
2021,"Ealing 042","E02006969",6427,2680,19,32,132,126,129,293,637,314,618,946,501
2021,"Ealing 043","E02006970",7341,2275,2,36,189,223,200,441,1069,545,1005,1082,274
2021,"Ealing 044","E02006971",8295,3002,2,41,444,389,290,544,1162,483,820,858,260
2021,"Enfield 001","E02000277",7525,4877,8,76,200,150,232,562,751,167,217,217,68
2021,"Enfield 002","E02000278",9430,5816,6,88,208,146,319,835,1032,317,271,287,105
2021,"Enfield 003","E02000279",12321,7261,7,55,201,191,433,1103,1496,397,555,492,130
2021,"Enfield 004","E02000280",8633,6849,17,70,120,98,136,433,488,118,149,109,46
2021,"Enfield 005","E02000281",9653,6747,7,75,135,137,263,571,1006,172,238,238,64
2021,"Enfield 006","E02000282",9951,5982,7,65,178,139,278,986,1234,303,342,298,139
2021,"Enfield 007","E02000283",8537,5204,9,124,273,199,316,692,903,211,267,250,89
