"date","geography","geography code","Occupancy rating for rooms: Total: All households","Occupancy rating for rooms: Occupancy rating of rooms: +2 or more","Occupancy rating for rooms: Occupancy rating of rooms: +1","Occupancy rating for rooms: Occupancy rating of rooms: 0","Occupancy rating for rooms: Occupancy rating of rooms: -1","Occupancy rating for rooms: Occupancy rating of rooms: -2 or less"
2021,"Bromley 016","E02000142",3452,1834,765,664,163,26
2021,"Bromley 018","E02000144",4313,1712,1085,1217,272,27
2021,"Bromley 019","E02000145",3514,1007,1049,1067,336,55
2021,"Bromley 020","E02000146",4040,1698,1111,960,252,19
2021,"Bromley 021","E02000147",3167,2012,572,478,93,12
2021,"Bromley 022","E02000148",2699,1833,500,274,80,12
2021,"Bromley 023","E02000149",3284,1269,949,826,208,32
2021,"Bromley 024","E02000150",3119,1946,646,437,81,9
2021,"Bromley 025","E02000151",2970,2128,580,223,32,7
2021,"Bromley 026","E02000152",3096,1301,833,751,180,31
2021,"Bromley 027","E02000153",2896,1907,664,260,54,11
2021,"Bromley 028","E02000154",3573,1897,808,672,178,18
2021,"Bromley 029","E02000155",3040,1533,870,516,100,21
2021,"Bromley 030","E02000156",4860,3086,974,619,158,23
2021,"Bromley 031","E02000157",3279,2134,768,303,70,4
2021,"Bromley 032","E02000158",3034,1750,611,515,127,31
2021,"Bromley 033","E02000159",2823,1943,558,255,56,11
2021,"Bromley 034","E02000160",3042,1782,696,456,97,11
2021,"Bromley 035","E02000161",3345,2101,798,374,61,11
2021,"Bromley 036","E02000162",2967,1517,754,570,117,9
2021,"Bromley 037","E02000163",3068,2079,614,310,56,9
2021,"Bromley 039","E02000165",2741,1479,718,437,93,14
2021,"Camden 001","E02000166",3396,1150,659,1140,366,81
2021,"Camden 002","E02000167",3373,1405,778,868,294,28
2021,"Camden 003","E02000168",3494,901,772,1232,526,63
2021,"Camden 004","E02000169",3026,1233,769,719,266,39
2021,"Camden 005","E02000170",3465,1104,764,954,560,83
2021,"Camden 006","E02000171",3330,834,842,1172,424,58
2021,"Camden 007","E02000172",4035,578,818,1647,788,204
2021,"Camden 008","E02000173",3501,846,820,1094,705,36
2021,"Camden 009","E02000174",3552,606,717,1410,679,140
2021,"Camden 010","E02000175",4308,802,1008,1568,834,96
2021,"Camden 011","E02000176",3001,633,840,937,562,29
2021,"Camden 012","E02000177",3659,513,869,1465,652,160
2021,"Camden 013","E02000178",4166,460,854,1735,925,192
2021,"Camden 014","E02000179",2549,567,630,787,478,87
2021,"Camden 015","E02000180",3516,542,805,1445,603,121
2021,"Camden 016","E02000181",3751,689,1051,1390,559,62
2021,"Camden 017","E02000182",3082,752,776,1040,426,88
2021,"Camden 018","E02000183",3619,855,828,1255,606,75
2021,"Camden 019","E02000184",3634,393,857,1468,761,155
2021,"Camden 020","E02000185",4069,434,751,1631,1051,202
2021,"Camden 021","E02000186",2941,535,578,1106,648,74
2021,"Camden 022","E02000187",3817,327,701,1711,829,249
2021,"Camden 023","E02000188",2722,261,464,1160,654,183
2021,"Camden 026","E02000191",2107,231,528,829,466,53
2021,"Camden 027","E02000192",3090,309,636,1359,654,132
2021,"Camden 028","E02000193",3101,418,570,1331,711,71
2021,"Croydon 001","E02000194",4203,948,1066,1604,501,84
2021,"Croydon 002","E02000195",3490,1782,777,632,229,70
2021,"Croydon 003","E02000196",2816,1298,497,571,292,158
2021,"Croydon 004","E02000197",3318,1367,752,775,335,89
2021,"Croydon 005","E02000198",3501,932,866,1071,494,138
2021,"Croydon 006","E02000199",3206,1383,730,715,289,89
2021,"Croydon 007","E02000200",4002,1048,925,1376,559,94
2021,"Croydon 008","E02000201",3820,808,745,1404,731,132
2021,"Croydon 009","E02000202",3034,1317,754,603,270,90
2021,"Croydon 010","E02000203",3119,867,647,986,490,129
2021,"Croydon 011","E02000204",3228,1285,700,733,337,173
2021,"Croydon 013","E02000206",4467,922,981,1621,758,185
2021,"Croydon 014","E02000207",3562,1174,858,986,421,123
2021,"Croydon 015","E02000208",4098,722,816,1423,871,266
2021,"Croydon 016","E02000209",3062,901,812,846,397,106
2021,"Croydon 017","E02000210",3444,1522,883,684,283,72
2021,"Croydon 018","E02000211",3294,1766,888,515,103,22
2021,"Croydon 019","E02000212",3264,794,807,993,481,189
2021,"Croydon 020","E02000213",5390,621,1060,2369,1071,269
2021,"Croydon 021","E02000214",2326,1478,422,273,121,32
2021,"Croydon 022","E02000215",5255,1174,1120,1995,783,183
2021,"Croydon 023","E02000216",2943,1128,619,882,270,44
2021,"Croydon 024","E02000217",5022,1157,1083,1876,743,163
2021,"Croydon 025","E02000218",2351,1061,427,525,263,75
2021,"Croydon 026","E02000219",2985,1978,640,288,69,10
2021,"Croydon 028","E02000221",3988,1089,990,1265,515,129
2021,"Croydon 029","E02000222",3635,1404,887,939,360,45
2021,"Croydon 030","E02000223",2789,742,643,915,392,97
2021,"Croydon 031","E02000224",3271,1268,723,836,367,77
2021,"Croydon 032","E02000225",2658,853,758,707,285,55
2021,"Croydon 033","E02000226",2781,2014,468,212,68,19
2021,"Croydon 034","E02000227",4838,1998,1251,1262,279,48
2021,"Croydon 035","E02000228",3007,2136,498,288,71,14
2021,"Croydon 036","E02000229",2237,477,603,756,324,77
2021,"Croydon 037","E02000230",4231,2024,892,976,289,50
2021,"Croydon 038","E02000231",2749,2011,348,274,96,20
2021,"Croydon 039","E02000232",2370,1455,555,263,79,18
2021,"Croydon 040","E02000233",2394,1241,562,427,141,23
2021,"Croydon 041","E02000234",3719,1779,791,875,239,35
2021,"Croydon 042","E02000235",2657,1627,539,351,125,15
2021,"Croydon 043","E02000236",3307,2182,663,349,86,27
2021,"Croydon 044","E02000237",3035,1781,651,482,104,17
2021,"Ealing 001","E02000238",3735,1205,816,1005,549,160
2021,"Ealing 002","E02000239",2929,1443,674,517,214,81
2021,"Ealing 003","E02000240",3897,890,988,1263,561,195
2021,"Ealing 004","E02000241",2600,890,620,687,310,93
2021,"Ealing 005","E02000242",2229,979,496,428,230,96
2021,"Ealing 006","E02000243",3128,1109,742,856,329,92
2021,"Ealing 007","E02000244",2937,1203,607,661,397,69
2021,"Ealing 008","E02000245",3354,420,720,1371,663,180
2021,"Ealing 009","E02000246",3070,797,781,886,463,143
2021,"Ealing 010","E02000247",3892,807,912,1390,607,176
2021,"Ealing 011","E02000248",2989,914,696,821,474,84
2021,"Ealing 012","E02000249",2913,899,679,845,377,113
2021,"Ealing 013","E02000250",2544,1300,552,513,158,21
2021,"Ealing 014","E02000251",2543,1070,678,483,217,95
2021,"Ealing 015","E02000252",4410,922,902,1521,897,168
2021,"Ealing 016","E02000253",3839,1038,911,1240,529,121
2021,"Ealing 017","E02000254",2610,938,656,536,296,184
2021,"Ealing 018","E02000255",3790,1387,812,1032,461,98
2021,"Ealing 019","E02000256",4026,1215,949,1294,512,56
2021,"Ealing 021","E02000258",2602,854,597,675,398,78
2021,"Ealing 022","E02000259",2395,1023,552,550,218,52
2021,"Ealing 023","E02000260",2754,847,509,651,473,274
2021,"Ealing 024","E02000261",4977,1214,1096,1722,775,170
2021,"Ealing 025","E02000262",3946,959,762,1457,646,122
2021,"Ealing 026","E02000263",3646,1037,669,899,614,427
2021,"Ealing 027","E02000264",3544,1272,715,984,489,84
2021,"Ealing 028","E02000265",4733,1151,955,1813,690,124
2021,"Ealing 029","E02000266",4296,929,1012,1494,595,266
2021,"Ealing 030","E02000267",3218,926,798,1008,413,73
2021,"Ealing 031","E02000268",3863,1522,891,981,402,67
2021,"Ealing 032","E02000269",3305,1517,711,734,311,32
2021,"Ealing 033","E02000270",4116,488,976,1938,589,125
2021,"Ealing 034","E02000271",2979,1504,626,584,246,19
2021,"Ealing 035","E02000272",2539,1345,542,458,168,26
2021,"Ealing 038","E02000275",2347,616,429,650,413,239
2021,"Ealing 039","E02000276",2724,977,617,813,267,50
2021,"Enfield 001","E02000277",2627,869,586,710,361,101
2021,"Enfield 002","E02000278",3339,950,745,1045,473,126
2021,"Enfield 003","E02000279",4415,925,919,1683,713,175
2021,"Enfield 004","E02000280",3413,1325,952,759,331,46
2021,"Enfield 005","E02000281",3549,884,909,1089,545,122
2021,"Enfield 006","E02000282",3467,638,721,1308,639,161
2021,"Enfield 007","E02000283",2802,952,695,736,338,81
2021,"Enfield 008","E02000284",3619,1303,962,972,318,64
2021,"Enfield 009","E02000285",2457,1553,520,283,81,20
2021,"Enfield 010","E02000286",3998,1303,1087,1137,411,60
2021,"Enfield 011","E02000287",2873,1635,541,506,170,21
2021,"Enfield 012","E02000288",4053,913,793,1330,617,400
2021,"Enfield 013","E02000289",2425,1561,501,272,69,22
2021,"Enfield 014","E02000290",2519,397,486,1033,478,125
2021,"Enfield 015","E02000291",4330,922,1117,1546,622,123
2021,"Enfield 016","E02000292",3569,1469,977,751,291,81
2021,"Enfield 017","E02000293",2491,1479,514,374,112,12
2021,"Enfield 018","E02000294",3086,1101,759,759,349,118
2021,"Enfield 019","E02000295",3350,1238,927,850,267,68
2021,"Enfield 020","E02000296",4039,1097,1107,1258,471,106
2021,"Enfield 021","E02000297",3475,1980,769,487,171,68
2021,"Enfield 022","E02000298",3058,1831,586,442,170,29
2021,"Enfield 023","E02000299",3313,870,746,1030,506,161
2021,"Enfield 024","E02000300",2999,948,597,760,489,205
2021,"Enfield 025","E02000301",3725,731,795,1309,664,226
2021,"Enfield 026","E02000302",3114,1520,682,551,265,96
2021,"Enfield 027","E02000303",2977,695,571,979,569,163
2021,"Enfield 028","E02000304",2910,1778,534,414,152,32
2021,"Enfield 029","E02000305",3453,1251,720,910,446,126
2021,"Enfield 030","E02000306",3399,332,686,1438,713,230
2021,"Enfield 031","E02000307",3343,1334,839,695,316,159
2021,"Enfield 032","E02000308",3225,1142,742,851,361,129
2021,"Enfield 033","E02000309",3987,1008,835,1169,705,270
2021,"Enfield 035","E02000311",3635,1335,770,868,479,183
2021,"Enfield 036","E02000312",4495,1416,945,1181,760,193
2021,"Greenwich 001","E02000313",2593,402,515,1175,390,111
2021,"Greenwich 002","E02000314",4536,610,1181,1718,814,213
2021,"Greenwich 003","E02000315",3490,660,817,1157,678,178
2021,"Greenwich 005","E02000317",2823,581,589,1050,464,139
2021,"Greenwich 006","E02000318",3582,1127,816,934,467,238
2021,"Greenwich 007","E02000319",3919,1038,949,1236,509,187
2021,"Greenwich 008","E02000320",2556,977,610,650,259,60
2021,"Greenwich 009","E02000321",2958,529,598,1191,484,156
2021,"Greenwich 011","E02000323",4820,903,979,1997,676,265
2021,"Greenwich 012","E02000324",2854,785,586,1063,305,115
2021,"Greenwich 014","E02000326",3048,1196,762,808,219,63
2021,"Greenwich 015","E02000327",2635,631,532,1048,313,111
2021,"Greenwich 016","E02000328",2948,978,744,968,232,26
2021,"Greenwich 017","E02000329",2462,1235,576,405,206,40
2021,"Greenwich 019","E02000331",3192,867,864,1015,373,73
2021,"Greenwich 020","E02000332",2999,1555,624,550,221,49
2021,"Greenwich 021","E02000333",2883,980,718,938,226,21
2021,"Greenwich 022","E02000334",2544,1002,689,605,188,60
2021,"Greenwich 023","E02000335",2593,1620,560,326,66,21
2021,"Greenwich 025","E02000337",3083,1123,887,762,237,74
2021,"Greenwich 027","E02000339",2592,1398,500,521,155,18
2021,"Greenwich 028","E02000340",3019,1263,758,801,169,28
2021,"Greenwich 029","E02000341",2943,842,854,855,306,86
2021,"Greenwich 030","E02000342",2343,875,558,669,205,36
2021,"Greenwich 031","E02000343",2695,1265,584,617,199,30
2021,"Greenwich 032","E02000344",2448,1430,497,373,122,26
2021,"Hackney 001","E02000345",2590,638,453,835,491,173
2021,"Hackney 002","E02000346",3972,329,949,1908,616,170
2021,"Hackney 003","E02000347",2585,486,541,910,494,154
2021,"Hackney 004","E02000348",2722,391,584,1056,535,156
2021,"Hackney 006","E02000350",3693,765,771,1353,645,159
2021,"Hackney 007","E02000351",4231,530,1015,1771,730,185
2021,"Hackney 008","E02000352",2685,516,694,1032,357,86
2021,"Hackney 009","E02000353",3156,869,753,1077,396,61
2021,"Hackney 010","E02000354",3988,572,890,1611,686,229
2021,"Hackney 011","E02000355",3114,1005,637,932,448,92
2021,"Hackney 012","E02000356",3061,761,745,1150,351,54
2021,"Hackney 013","E02000357",2721,356,575,1218,426,146
2021,"Hackney 014","E02000358",4816,852,1128,1956,725,155
2021,"Hackney 015","E02000359",2436,760,524,700,348,104
2021,"Hackney 016","E02000360",4850,523,1124,2184,822,197
2021,"Hackney 017","E02000361",3677,473,835,1608,626,135
2021,"Hackney 018","E02000362",2806,443,659,1176,404,124
2021,"Hackney 019","E02000363",4442,438,943,2001,824,236
2021,"Hackney 020","E02000364",4099,845,955,1627,572,100
2021,"Hackney 022","E02000366",3539,671,832,1439,495,102
2021,"Hackney 023","E02000367",4594,571,1245,1979,663,136
2021,"Hackney 024","E02000368",4150,522,978,1872,631,147
2021,"Hackney 025","E02000369",5929,524,1581,2736,921,167
2021,"Hackney 026","E02000370",3989,322,1004,1938,608,117
2021,"Hammersmith and Fulham 001","E02000372",3877,663,787,1440,816,171
2021,"Hammersmith and Fulham 002","E02000373",2536,307,514,1023,497,195
2021,"Hammersmith and Fulham 003","E02000374",2616,806,562,801,343,104
2021,"Hammersmith and Fulham 004","E02000375",3498,495,679,1472,745,107
2021,"Hammersmith and Fulham 005","E02000376",3183,473,553,1427,622,108
2021,"Hammersmith and Fulham 006","E02000377",3446,626,682,1439,593,106
2021,"Hammersmith and Fulham 007","E02000378",3252,414,658,1484,606,90
2021,"Hammersmith and Fulham 008","E02000379",3103,899,654,1089,384,77
2021,"Hammersmith and Fulham 009","E02000380",2498,725,516,930,281,46
2021,"Hammersmith and Fulham 010","E02000381",3547,833,687,1378,559,90
2021,"Hammersmith and Fulham 011","E02000382",2772,737,574,1018,385,58
2021,"Hammersmith and Fulham 012","E02000383",4110,628,888,1811,692,91
2021,"Hammersmith and Fulham 013","E02000384",3807,536,810,1743,616,102
2021,"Hammersmith and Fulham 014","E02000385",2850,417,616,1303,461,53
2021,"Hammersmith and Fulham 015","E02000386",3367,414,646,1466,687,154
2021,"Hammersmith and Fulham 016","E02000387",2588,512,530,1008,466,72
2021,"Hammersmith and Fulham 017","E02000388",4134,729,924,1859,547,75
2021,"Hammersmith and Fulham 018","E02000389",3678,1171,889,1159,400,59
2021,"Hammersmith and Fulham 019","E02000390",2718,730,622,951,357,58
2021,"Hammersmith and Fulham 020","E02000391",3281,1175,706,1032,322,46
2021,"Hammersmith and Fulham 021","E02000392",4039,1058,935,1468,488,90
2021,"Hammersmith and Fulham 022","E02000393",2588,730,719,868,242,29
2021,"Hammersmith and Fulham 023","E02000394",4342,581,1278,1782,601,100
2021,"Hammersmith and Fulham 024","E02000395",2641,971,612,786,247,25
2021,"Hammersmith and Fulham 025","E02000396",2770,849,637,835,364,85
2021,"Haringey 001","E02000397",3471,641,632,1245,752,201
2021,"Haringey 002","E02000398",2881,646,449,929,653,204
2021,"Haringey 004","E02000400",3119,890,651,963,480,135
2021,"Haringey 005","E02000401",2477,616,660,734,347,120
2021,"Haringey 006","E02000402",2426,611,536,738,420,121
2021,"Haringey 007","E02000403",2990,673,593,954,586,184
2021,"Haringey 008","E02000404",2667,705,560,813,434,155
2021,"Haringey 009","E02000405",2462,1211,525,476,203,47
2021,"Haringey 010","E02000406",2600,736,626,757,350,131
2021,"Haringey 011","E02000407",3005,640,536,987,629,213
2021,"Haringey 012","E02000408",3001,664,567,1047,544,179
2021,"Haringey 013","E02000409",2371,489,410,875,444,153
2021,"Haringey 014","E02000410",2611,971,524,807,268,41
2021,"Haringey 015","E02000411",3953,763,907,1416,622,245
2021,"Haringey 016","E02000412",2870,586,523,1039,561,161
2021,"Haringey 017","E02000413",2963,1284,623,703,303,50
2021,"Haringey 018","E02000414",2718,929,519,685,449,136
2021,"Haringey 019","E02000415",2834,715,617,860,481,161
2021,"Haringey 020","E02000416",3919,579,933,1784,528,95
2021,"Haringey 021","E02000417",2867,1093,682,784,284,24
2021,"Haringey 022","E02000418",2208,1125,441,475,151,16
2021,"Haringey 023","E02000419",3645,930,734,998,797,186
2021,"Haringey 024","E02000420",3436,646,700,1251,651,188
2021,"Haringey 025","E02000421",3140,481,516,1303,612,228
2021,"Haringey 026","E02000422",2886,683,585,909,551,158
2021,"Haringey 027","E02000423",2671,908,489,695,440,139
2021,"Haringey 028","E02000424",2984,819,704,1061,335,65
2021,"Haringey 029","E02000425",2163,583,393,593,411,183
2021,"Haringey 030","E02000426",2744,1161,685,625,238,35
2021,"Haringey 031","E02000427",2868,811,496,887,567,107
2021,"Haringey 032","E02000428",2922,522,520,1065,606,209
2021,"Haringey 033","E02000429",3201,893,806,1089,370,43
2021,"Haringey 034","E02000430",3251,762,777,1179,486,47
2021,"Haringey 035","E02000431",2845,849,786,838,357,15
2021,"Haringey 036","E02000432",2799,598,654,1019,474,54
2021,"Harrow 001","E02000433",3544,1476,945,717,329,77
2021,"Harrow 002","E02000434",3637,1562,776,807,368,124
2021,"Harrow 003","E02000435",2812,1204,612,574,281,141
2021,"Harrow 004","E02000436",2044,1428,315,200,84,17
2021,"Harrow 005","E02000437",3090,1380,706,639,280,85
2021,"Harrow 006","E02000438",3044,1126,691,795,320,112
2021,"Harrow 007","E02000439",2948,979,648,724,409,188
2021,"Harrow 008","E02000440",3055,1788,615,410,173,69
2021,"Harrow 009","E02000441",2794,1041,657,783,238,75
2021,"Harrow 010","E02000442",2667,1045,599,501,320,202
2021,"Harrow 011","E02000443",3546,1156,726,981,505,178
2021,"Harrow 012","E02000444",2670,1179,597,488,293,113
2021,"Harrow 013","E02000445",3820,1084,828,1104,563,241
2021,"Harrow 015","E02000447",2747,1366,599,525,205,52
2021,"Harrow 016","E02000448",2759,1487,548,416,231,77
2021,"Harrow 017","E02000449",2527,936,567,605,280,139
2021,"Harrow 019","E02000451",2326,1349,477,317,139,44
2021,"Harrow 020","E02000452",3454,855,703,1086,644,166
2021,"Harrow 021","E02000453",3047,1108,597,861,389,92
2021,"Harrow 022","E02000454",2523,1589,552,293,79,10
2021,"Harrow 023","E02000455",4759,823,1055,1987,739,155
2021,"Harrow 024","E02000456",2717,1110,543,619,294,151
2021,"Harrow 025","E02000457",2564,1182,520,555,241,66
2021,"Harrow 027","E02000459",3418,828,737,1097,609,147
2021,"Harrow 028","E02000460",2414,664,629,750,270,101
2021,"Harrow 029","E02000461",2561,841,670,722,271,57
2021,"Harrow 030","E02000462",2285,863,515,554,251,102
2021,"Harrow 031","E02000463",2834,1023,731,692,292,96
2021,"Havering 001","E02000464",2873,759,828,915,307,64
2021,"Havering 002","E02000465",3492,814,988,1210,384,96
2021,"Havering 003","E02000466",3294,1364,897,742,251,40
2021,"Havering 004","E02000467",4288,672,904,1843,708,161
2021,"Havering 005","E02000468",3165,1415,835,678,190,47
2021,"Havering 006","E02000469",2698,583,832,924,272,87
