"date","geography","geography code","Number of disabled people in household: Total: All households","Number of disabled people in household: No people disabled under the Equality Act in household","Number of disabled people in household: 1 person disabled under the Equality Act in household","Number of disabled people in household: 2 or more people disabled under the Equality Act in household"
2021,"Croydon 015","E02000208",4098,2920,970,208
2021,"Croydon 016","E02000209",3063,2238,636,189
2021,"Croydon 017","E02000210",3444,2533,737,174
2021,"Croydon 018","E02000211",3294,2387,732,175
2021,"Croydon 019","E02000212",3263,2271,771,221
2021,"Croydon 020","E02000213",5391,4008,1158,225
2021,"Croydon 021","E02000214",2327,1663,517,147
2021,"Croydon 022","E02000215",5255,3867,1183,205
2021,"Croydon 023","E02000216",2942,2219,596,127
2021,"Croydon 024","E02000217",5021,3737,1069,215
2021,"Croydon 025","E02000218",2351,1614,561,176
2021,"Croydon 026","E02000219",2980,2100,693,187
2021,"Croydon 028","E02000221",3988,2752,989,247
2021,"Croydon 029","E02000222",3635,2776,708,151
2021,"Croydon 030","E02000223",2789,1664,787,338
2021,"Croydon 031","E02000224",3271,2522,605,144
2021,"Croydon 032","E02000225",2658,1650,743,265
2021,"Croydon 033","E02000226",2781,2014,581,186
2021,"Croydon 034","E02000227",4838,3400,1128,310
2021,"Croydon 035","E02000228",3007,2244,608,155
2021,"Croydon 036","E02000229",2234,1306,690,238
2021,"Croydon 037","E02000230",4231,3172,848,211
2021,"Croydon 038","E02000231",2750,2064,518,168
2021,"Croydon 039","E02000232",2370,1619,578,173
2021,"Croydon 040","E02000233",2396,1776,513,107
2021,"Croydon 041","E02000234",3720,2676,842,202
2021,"Croydon 042","E02000235",2658,2003,511,144
2021,"Croydon 043","E02000236",3309,2502,637,170
2021,"Croydon 044","E02000237",3034,2144,705,185
2021,"Ealing 001","E02000238",3735,2833,739,163
2021,"Ealing 002","E02000239",2929,2178,585,166
2021,"Ealing 003","E02000240",3897,2710,949,238
2021,"Ealing 004","E02000241",2600,1927,526,147
2021,"Ealing 005","E02000242",2231,1610,488,133
2021,"Ealing 006","E02000243",3127,2216,735,176
2021,"Ealing 007","E02000244",2936,2220,569,147
2021,"Ealing 008","E02000245",3356,2327,818,211
2021,"Ealing 009","E02000246",3072,2137,730,205
2021,"Ealing 010","E02000247",3892,2780,875,237
2021,"Ealing 011","E02000248",2989,2263,590,136
2021,"Ealing 012","E02000249",2915,2085,665,165
2021,"Ealing 013","E02000250",2544,1970,485,89
2021,"Ealing 014","E02000251",2544,1800,556,188
2021,"Ealing 015","E02000252",4410,3365,860,185
2021,"Ealing 016","E02000253",3839,2551,1051,237
2021,"Ealing 017","E02000254",2610,1787,620,203
2021,"Ealing 018","E02000255",3791,2853,766,172
2021,"Ealing 019","E02000256",4026,3183,729,114
2021,"Ealing 021","E02000258",2603,1959,536,108
2021,"Ealing 022","E02000259",2395,1746,506,143
2021,"Ealing 023","E02000260",2754,1894,630,230
2021,"Ealing 024","E02000261",4975,3763,1010,202
2021,"Ealing 025","E02000262",3946,2909,865,172
2021,"Ealing 026","E02000263",3646,2442,876,328
2021,"Ealing 027","E02000264",3543,2763,662,118
2021,"Ealing 028","E02000265",4733,3444,1080,209
2021,"Ealing 029","E02000266",4298,2904,1092,302
2021,"Ealing 030","E02000267",3219,2456,637,126
2021,"Ealing 031","E02000268",3863,2893,791,179
2021,"Ealing 032","E02000269",3303,2590,620,93
2021,"Ealing 033","E02000270",4116,3119,818,179
2021,"Ealing 034","E02000271",2978,2479,416,83
2021,"Ealing 035","E02000272",2541,1902,539,100
2021,"Ealing 038","E02000275",2348,1611,558,179
2021,"Ealing 039","E02000276",2724,2110,494,120
2021,"Enfield 001","E02000277",2627,1783,639,205
2021,"Enfield 002","E02000278",3339,2149,919,271
2021,"Enfield 003","E02000279",4415,3082,1053,280
2021,"Enfield 004","E02000280",3413,2357,860,196
2021,"Enfield 005","E02000281",3549,2483,873,193
2021,"Enfield 006","E02000282",3467,2293,941,233
2021,"Enfield 007","E02000283",2800,1908,677,215
2021,"Enfield 008","E02000284",3619,2607,835,177
2021,"Enfield 009","E02000285",2460,1782,551,127
2021,"Enfield 010","E02000286",4001,3020,837,144
2021,"Enfield 011","E02000287",2873,2136,614,123
2021,"Enfield 012","E02000288",4053,2787,966,300
2021,"Enfield 013","E02000289",2426,1778,508,140
2021,"Enfield 014","E02000290",2519,1754,623,142
2021,"Enfield 015","E02000291",4330,3229,914,187
2021,"Enfield 016","E02000292",3570,2599,772,199
2021,"Enfield 017","E02000293",2491,1845,520,126
2021,"Enfield 018","E02000294",3086,2095,768,223
2021,"Enfield 019","E02000295",3350,2511,688,151
2021,"Enfield 020","E02000296",4039,2978,867,194
2021,"Enfield 021","E02000297",3475,2505,769,201
2021,"Enfield 022","E02000298",3055,2337,583,135
2021,"Enfield 023","E02000299",3314,2337,794,183
2021,"Enfield 024","E02000300",2999,2123,674,202
2021,"Enfield 025","E02000301",3725,2557,952,216
2021,"Enfield 026","E02000302",3113,2239,690,184
2021,"Enfield 027","E02000303",2976,1955,805,216
2021,"Enfield 028","E02000304",2910,2185,585,140
2021,"Enfield 029","E02000305",3453,2672,643,138
2021,"Enfield 030","E02000306",3399,2225,954,220
2021,"Enfield 031","E02000307",3343,2386,727,230
2021,"Enfield 032","E02000308",3226,2306,715,205
2021,"Enfield 033","E02000309",3988,2850,892,246
2021,"Enfield 035","E02000311",3635,2573,816,246
2021,"Enfield 036","E02000312",4495,3374,924,197
2021,"Greenwich 001","E02000313",2596,1800,635,161
2021,"Greenwich 002","E02000314",4534,3418,881,235
