"date","geography","geography code","Sex: All persons; measures: Value","Sex: Female; measures: Value","Sex: Male; measures: Value"
2021,"Barnet 026","E02000049",27,18,9
2021,"Barnet 027","E02000050",23,14,9
2021,"Barnet 028","E02000051",50,29,21
2021,"Barnet 029","E02000052",16,11,5
2021,"Barnet 031","E02000054",48,25,23
2021,"Barnet 032","E02000055",94,48,46
2021,"Barnet 033","E02000056",51,31,20
2021,"Barnet 034","E02000057",26,16,10
2021,"Barnet 035","E02000058",59,40,19
2021,"Barnet 036","E02000059",48,24,24
2021,"Barnet 037","E02000060",42,28,14
2021,"Barnet 038","E02000061",53,38,15
2021,"Barnet 039","E02000062",26,17,9
2021,"Barnet 040","E02000063",47,25,22
2021,"Barnet 041","E02000064",23,11,12
2021,"Barnet 042","E02006953",172,96,76
2021,"Barnet 043","E02006954",37,20,17
2021,"Bexley 001","E02000065",21,13,8
2021,"Bexley 002","E02000066",22,15,7
2021,"Bexley 003","E02000067",23,16,7
2021,"Bexley 004","E02000068",29,15,14
2021,"Bexley 005","E02000069",13,9,4
2021,"Bexley 006","E02000070",7,5,2
2021,"Bexley 007","E02000071",6,6,0
2021,"Bexley 008","E02000072",11,5,6
2021,"Bexley 009","E02000073",5,2,3
2021,"Bexley 010","E02000074",13,9,4
2021,"Bexley 011","E02000075",4,2,2
2021,"Bexley 013","E02000077",10,4,6
2021,"Bexley 014","E02000078",10,9,1
2021,"Bexley 015","E02000079",8,6,2
2021,"Bexley 016","E02000080",7,4,3
2021,"Bexley 017","E02000081",7,5,2
2021,"Bexley 018","E02000082",7,5,2
2021,"Bexley 019","E02000083",9,4,5
2021,"Bexley 020","E02000084",4,3,1
2021,"Bexley 021","E02000085",3,2,1
2021,"Bexley 022","E02000086",5,2,3
2021,"Bexley 023","E02000087",4,3,1
2021,"Bexley 024","E02000088",6,4,2
2021,"Bexley 025","E02000089",9,4,5
2021,"Bexley 026","E02000090",8,7,1
2021,"Bexley 027","E02000091",12,9,3
2021,"Bexley 028","E02000092",9,5,4
2021,"Bexley 029","E02006785",11,6,5
2021,"Brent 001","E02000093",51,19,32
2021,"Brent 002","E02000094",38,21,17
2021,"Brent 003","E02000095",61,23,38
2021,"Brent 004","E02000096",30,11,19
2021,"Brent 005","E02000097",37,19,18
2021,"Brent 006","E02000098",39,25,14
2021,"Brent 007","E02000099",48,24,24
2021,"Brent 008","E02000100",97,68,29
2021,"Brent 009","E02000101",47,17,30
2021,"Brent 010","E02000102",17,5,12
2021,"Brent 011","E02000103",33,20,13
2021,"Brent 012","E02000104",32,21,11
2021,"Brent 013","E02000105",54,23,31
2021,"Brent 014","E02000106",50,24,26
2021,"Brent 015","E02000107",29,14,15
2021,"Brent 016","E02000108",33,18,15
2021,"Brent 018","E02000110",31,17,14
2021,"Brent 019","E02000111",64,34,30
2021,"Brent 020","E02000112",62,23,39
2021,"Brent 021","E02000113",19,10,9
2021,"Brent 022","E02000114",28,18,10
2021,"Brent 023","E02000115",30,10,20
2021,"Brent 024","E02000116",29,10,19
2021,"Brent 025","E02000117",26,9,17
2021,"Brent 026","E02000118",60,31,29
2021,"Brent 027","E02000119",31,10,21
2021,"Brent 028","E02000120",33,15,18
2021,"Brent 029","E02000121",78,32,46
2021,"Brent 030","E02000122",36,20,16
2021,"Brent 031","E02000123",48,29,19
2021,"Brent 032","E02000124",29,20,9
2021,"Brent 033","E02000125",31,21,10
2021,"Brent 034","E02000126",23,12,11
2021,"Brent 035","E02006955",170,118,52
2021,"Brent 036","E02006956",92,58,34
2021,"Bromley 001","E02000127",10,5,5
2021,"Bromley 002","E02000128",3,3,0
2021,"Bromley 004","E02000130",21,10,11
2021,"Bromley 005","E02000131",13,10,3
2021,"Bromley 006","E02000132",11,10,1
2021,"Bromley 007","E02000133",9,7,2
2021,"Bromley 008","E02000134",26,17,9
2021,"Bromley 009","E02000135",16,9,7
2021,"Bromley 010","E02000136",14,11,3
2021,"Bromley 011","E02000137",14,7,7
2021,"Bromley 012","E02000138",24,15,9
2021,"Bromley 013","E02000139",23,14,9
2021,"Bromley 014","E02000140",4,3,1
2021,"Bromley 015","E02000141",8,3,5
2021,"Bromley 016","E02000142",13,8,5
2021,"Bromley 018","E02000144",30,18,12
2021,"Bromley 019","E02000145",8,2,6
2021,"Bromley 020","E02000146",21,16,5
2021,"Bromley 021","E02000147",10,6,4
2021,"Bromley 022","E02000148",13,10,3
2021,"Bromley 023","E02000149",7,6,1
2021,"Bromley 024","E02000150",7,6,1
2021,"Bromley 025","E02000151",2,2,0
2021,"Bromley 026","E02000152",3,3,0
2021,"Bromley 027","E02000153",10,7,3
2021,"Bromley 028","E02000154",18,9,9
2021,"Bromley 029","E02000155",7,3,4
2021,"Bromley 030","E02000156",14,5,9
2021,"Bromley 031","E02000157",11,9,2
2021,"Bromley 032","E02000158",9,5,4
2021,"Bromley 033","E02000159",9,8,1
2021,"Bromley 034","E02000160",6,2,4
2021,"Bromley 035","E02000161",12,7,5
2021,"Bromley 036","E02000162",7,4,3
2021,"Bromley 037","E02000163",10,7,3
2021,"Bromley 039","E02000165",0,0,0
2021,"Bromley 040","E02006782",9,7,2
2021,"Bromley 041","E02006787",5,3,2
2021,"Bromley 042","E02006789",1,1,0
2021,"Camden 001","E02000166",16,12,4
2021,"Camden 002","E02000167",21,12,9
2021,"Camden 003","E02000168",17,9,8
2021,"Camden 004","E02000169",58,32,26
2021,"Camden 005","E02000170",59,31,28
2021,"Camden 006","E02000171",14,7,7
2021,"Camden 007","E02000172",71,46,25
2021,"Camden 008","E02000173",47,33,14
2021,"Camden 009","E02000174",26,15,11
2021,"Camden 010","E02000175",132,86,46
2021,"Camden 011","E02000176",23,17,6
2021,"Camden 012","E02000177",30,25,5
2021,"Camden 013","E02000178",50,28,22
2021,"Camden 014","E02000179",24,9,15
2021,"Camden 015","E02000180",54,34,20
2021,"Camden 016","E02000181",45,27,18
2021,"Camden 017","E02000182",76,43,33
2021,"Camden 018","E02000183",48,27,21
2021,"Camden 019","E02000184",230,141,89
2021,"Camden 020","E02000185",57,30,27
2021,"Camden 021","E02000186",84,50,34
2021,"Camden 022","E02000187",241,148,93
2021,"Camden 023","E02000188",183,106,77
2021,"Camden 026","E02000191",292,176,116
2021,"Camden 027","E02000192",120,69,51
2021,"Camden 028","E02000193",366,217,149
2021,"Camden 029","E02007115",486,302,184
2021,"Croydon 001","E02000194",13,5,8
2021,"Croydon 002","E02000195",19,12,7
2021,"Croydon 003","E02000196",21,11,10
2021,"Croydon 004","E02000197",35,23,12
2021,"Croydon 005","E02000198",13,4,9
2021,"Croydon 006","E02000199",15,8,7
2021,"Croydon 007","E02000200",18,6,12
2021,"Croydon 008","E02000201",12,8,4
2021,"Croydon 009","E02000202",27,11,16
2021,"Croydon 010","E02000203",26,11,15
2021,"Croydon 011","E02000204",31,19,12
2021,"Croydon 013","E02000206",20,8,12
2021,"Croydon 014","E02000207",12,5,7
2021,"Croydon 015","E02000208",30,17,13
2021,"Croydon 016","E02000209",30,10,20
2021,"Croydon 017","E02000210",11,8,3
2021,"Croydon 018","E02000211",16,5,11
2021,"Croydon 019","E02000212",24,9,15
2021,"Croydon 020","E02000213",65,34,31
2021,"Croydon 021","E02000214",12,8,4
2021,"Croydon 022","E02000215",41,23,18
2021,"Croydon 023","E02000216",31,19,12
2021,"Croydon 024","E02000217",37,22,15
2021,"Croydon 025","E02000218",8,5,3
2021,"Croydon 026","E02000219",12,6,6
2021,"Croydon 028","E02000221",28,12,16
2021,"Croydon 029","E02000222",19,8,11
2021,"Croydon 030","E02000223",7,3,4
2021,"Croydon 031","E02000224",15,9,6
2021,"Croydon 032","E02000225",4,1,3
2021,"Croydon 033","E02000226",18,4,14
2021,"Croydon 034","E02000227",6,6,0
2021,"Croydon 035","E02000228",9,8,1
2021,"Croydon 036","E02000229",5,3,2
2021,"Croydon 037","E02000230",15,11,4
2021,"Croydon 038","E02000231",12,5,7
2021,"Croydon 039","E02000232",9,4,5
2021,"Croydon 040","E02000233",5,2,3
2021,"Croydon 041","E02000234",13,10,3
2021,"Croydon 042","E02000235",2,2,0
2021,"Croydon 043","E02000236",16,13,3
2021,"Croydon 044","E02000237",3,1,2
2021,"Croydon 045","E02006788",9,1,8
2021,"Croydon 046","E02006987",28,14,14
2021,"Croydon 047","E02006988",24,11,13
2021,"Ealing 001","E02000238",32,15,17
2021,"Ealing 002","E02000239",37,16,21
2021,"Ealing 003","E02000240",27,12,15
2021,"Ealing 004","E02000241",19,9,10
2021,"Ealing 005","E02000242",27,12,15
2021,"Ealing 006","E02000243",27,15,12
2021,"Ealing 007","E02000244",21,11,10
2021,"Ealing 008","E02000245",25,15,10
2021,"Ealing 009","E02000246",22,10,12
2021,"Ealing 010","E02000247",26,15,11
2021,"Ealing 011","E02000248",45,25,20
2021,"Ealing 012","E02000249",16,11,5
2021,"Ealing 013","E02000250",15,8,7
2021,"Ealing 014","E02000251",37,19,18
2021,"Ealing 015","E02000252",299,179,120
2021,"Ealing 016","E02000253",10,6,4
2021,"Ealing 017","E02000254",66,34,32
2021,"Ealing 018","E02000255",22,10,12
2021,"Ealing 019","E02000256",38,25,13
2021,"Ealing 021","E02000258",28,11,17
2021,"Ealing 022","E02000259",14,11,3
2021,"Ealing 023","E02000260",44,21,23
2021,"Ealing 024","E02000261",61,31,30
2021,"Ealing 025","E02000262",29,22,7
2021,"Ealing 026","E02000263",92,47,45
2021,"Ealing 027","E02000264",37,22,15
2021,"Ealing 028","E02000265",22,5,17
2021,"Ealing 029","E02000266",45,27,18
2021,"Ealing 030","E02000267",11,8,3
2021,"Ealing 031","E02000268",35,19,16
2021,"Ealing 032","E02000269",15,11,4
2021,"Ealing 033","E02000270",31,16,15
2021,"Ealing 034","E02000271",33,23,10
2021,"Ealing 035","E02000272",8,5,3
2021,"Ealing 038","E02000275",52,22,30
2021,"Ealing 039","E02000276",15,8,7
2021,"Ealing 040","E02006791",26,18,8
2021,"Ealing 041","E02006968",44,28,16
2021,"Ealing 042","E02006969",59,30,29
2021,"Ealing 043","E02006970",65,31,34
2021,"Ealing 044","E02006971",74,26,48
2021,"Enfield 001","E02000277",17,10,7
2021,"Enfield 002","E02000278",17,14,3
2021,"Enfield 003","E02000279",17,12,5
2021,"Enfield 004","E02000280",4,3,1
2021,"Enfield 005","E02000281",16,6,10
2021,"Enfield 006","E02000282",15,8,7
2021,"Enfield 007","E02000283",12,6,6
2021,"Enfield 008","E02000284",16,9,7
2021,"Enfield 009","E02000285",3,2,1
2021,"Enfield 010","E02000286",17,11,6
2021,"Enfield 011","E02000287",23,13,10
2021,"Enfield 012","E02000288",59,33,26
2021,"Enfield 013","E02000289",7,4,3
2021,"Enfield 014","E02000290",14,8,6
2021,"Enfield 015","E02000291",25,17,8
2021,"Enfield 016","E02000292",17,8,9
2021,"Enfield 017","E02000293",8,6,2
2021,"Enfield 018","E02000294",18,9,9
2021,"Enfield 019","E02000295",9,2,7
2021,"Enfield 020","E02000296",34,19,15
2021,"Enfield 021","E02000297",20,9,11
2021,"Enfield 022","E02000298",9,5,4
2021,"Enfield 023","E02000299",35,17,18
2021,"Enfield 024","E02000300",15,5,10
2021,"Enfield 025","E02000301",26,12,14
2021,"Enfield 026","E02000302",16,8,8
2021,"Enfield 027","E02000303",23,12,11
2021,"Enfield 028","E02000304",38,23,15
2021,"Enfield 029","E02000305",20,12,8
2021,"Enfield 030","E02000306",19,8,11
2021,"Enfield 031","E02000307",25,13,12
2021,"Enfield 032","E02000308",27,12,15
2021,"Enfield 033","E02000309",39,16,23
2021,"Enfield 035","E02000311",39,23,16
2021,"Enfield 036","E02000312",32,18,14
2021,"Enfield 037","E02006793",30,18,12
2021,"Greenwich 001","E02000313",13,8,5
2021,"Greenwich 002","E02000314",39,25,14
2021,"Greenwich 003","E02000315",19,9,10
2021,"Greenwich 005","E02000317",13,5,8
2021,"Greenwich 006","E02000318",35,18,17
2021,"Greenwich 007","E02000319",32,18,14
2021,"Greenwich 008","E02000320",12,9,3
2021,"Greenwich 009","E02000321",18,12,6
2021,"Greenwich 011","E02000323",36,23,13
2021,"Greenwich 012","E02000324",13,5,8
2021,"Greenwich 014","E02000326",24,9,15
2021,"Greenwich 015","E02000327",15,12,3
2021,"Greenwich 016","E02000328",14,10,4
2021,"Greenwich 017","E02000329",24,10,14
2021,"Greenwich 019","E02000331",8,6,2
2021,"Greenwich 020","E02000332",10,5,5
2021,"Greenwich 021","E02000333",11,7,4
2021,"Greenwich 022","E02000334",17,8,9
2021,"Greenwich 023","E02000335",9,5,4
2021,"Greenwich 025","E02000337",7,7,0
2021,"Greenwich 027","E02000339",10,6,4
2021,"Greenwich 028","E02000340",12,7,5
2021,"Greenwich 029","E02000341",5,4,1
2021,"Greenwich 030","E02000342",35,18,17
2021,"Greenwich 031","E02000343",6,4,2
2021,"Greenwich 032","E02000344",9,5,4
2021,"Greenwich 033","E02006786",20,8,12
2021,"Greenwich 034","E02006927",41,25,16
2021,"Greenwich 035","E02006928",99,68,31
2021,"Greenwich 037","E02006930",34,21,13
2021,"Greenwich 038","E02006931",27,18,9
2021,"Greenwich 039","E02006991",20,13,7
2021,"Greenwich 040","E02006992",34,21,13
2021,"Greenwich 041","E02006993",51,38,13
2021,"Greenwich 042","E02006994",31,17,14
2021,"Hackney 001","E02000345",12,7,5
2021,"Hackney 002","E02000346",45,26,19
2021,"Hackney 003","E02000347",4,3,1
2021,"Hackney 004","E02000348",8,3,5
2021,"Hackney 006","E02000350",16,8,8
2021,"Hackney 007","E02000351",15,10,5
2021,"Hackney 008","E02000352",10,7,3
2021,"Hackney 009","E02000353",15,9,6
2021,"Hackney 010","E02000354",14,8,6
2021,"Hackney 011","E02000355",12,6,6
2021,"Hackney 012","E02000356",7,4,3
2021,"Hackney 013","E02000357",3,3,0
2021,"Hackney 014","E02000358",16,9,7
2021,"Hackney 015","E02000359",0,0,0
2021,"Hackney 016","E02000360",17,12,5
2021,"Hackney 017","E02000361",13,6,7
2021,"Hackney 018","E02000362",11,7,4
2021,"Hackney 019","E02000363",14,10,4
2021,"Hackney 020","E02000364",19,8,11
2021,"Hackney 022","E02000366",13,8,5
2021,"Hackney 023","E02000367",19,12,7
2021,"Hackney 024","E02000368",18,11,7
2021,"Hackney 025","E02000369",25,14,11
2021,"Hackney 026","E02000370",59,41,18
2021,"Hackney 028","E02006918",9,5,4
2021,"Hackney 029","E02006921",9,8,1
2021,"Hackney 030","E02007108",22,12,10
2021,"Hackney 031","E02007109",24,10,14
2021,"Hackney 032","E02007110",156,94,62
2021,"Hackney 033","E02007111",158,93,65
2021,"Hammersmith and Fulham 001","E02000372",141,83,58
2021,"Hammersmith and Fulham 002","E02000373",13,6,7
2021,"Hammersmith and Fulham 003","E02000374",43,29,14
2021,"Hammersmith and Fulham 004","E02000375",46,24,22
2021,"Hammersmith and Fulham 005","E02000376",31,19,12
2021,"Hammersmith and Fulham 006","E02000377",50,29,21
2021,"Hammersmith and Fulham 007","E02000378",35,20,15
2021,"Hammersmith and Fulham 008","E02000379",31,23,8
2021,"Hammersmith and Fulham 009","E02000380",13,11,2
2021,"Hammersmith and Fulham 010","E02000381",38,19,19
2021,"Hammersmith and Fulham 011","E02000382",43,26,17
2021,"Hammersmith and Fulham 012","E02000383",143,55,88
2021,"Hammersmith and Fulham 013","E02000384",119,71,48
2021,"Hammersmith and Fulham 014","E02000385",36,16,20
2021,"Hammersmith and Fulham 015","E02000386",34,21,13
2021,"Hammersmith and Fulham 016","E02000387",41,16,25
2021,"Hammersmith and Fulham 017","E02000388",61,36,25
2021,"Hammersmith and Fulham 018","E02000389",66,44,22
2021,"Hammersmith and Fulham 019","E02000390",31,17,14
2021,"Hammersmith and Fulham 020","E02000391",31,15,16
2021,"Hammersmith and Fulham 021","E02000392",39,28,11
2021,"Hammersmith and Fulham 022","E02000393",25,19,6
2021,"Hammersmith and Fulham 023","E02000394",86,44,42
2021,"Hammersmith and Fulham 024","E02000395",26,13,13
2021,"Hammersmith and Fulham 025","E02000396",20,14,6
2021,"Haringey 001","E02000397",23,14,9
2021,"Haringey 002","E02000398",26,13,13
2021,"Haringey 004","E02000400",28,17,11
2021,"Haringey 005","E02000401",15,10,5
2021,"Haringey 006","E02000402",20,11,9
2021,"Haringey 007","E02000403",24,13,11
2021,"Haringey 008","E02000404",25,11,14
2021,"Haringey 009","E02000405",6,4,2
2021,"Haringey 010","E02000406",20,14,6
2021,"Haringey 011","E02000407",21,12,9
2021,"Haringey 012","E02000408",29,10,19
2021,"Haringey 013","E02000409",12,6,6
2021,"Haringey 014","E02000410",11,7,4
2021,"Haringey 015","E02000411",122,76,46
2021,"Haringey 016","E02000412",44,21,23
2021,"Haringey 017","E02000413",17,7,10
2021,"Haringey 018","E02000414",15,8,7
2021,"Haringey 019","E02000415",27,13,14
2021,"Haringey 020","E02000416",15,9,6
2021,"Haringey 021","E02000417",9,7,2
2021,"Haringey 022","E02000418",7,5,2
2021,"Haringey 023","E02000419",38,25,13
2021,"Haringey 024","E02000420",24,11,13
2021,"Haringey 025","E02000421",36,22,14
2021,"Haringey 026","E02000422",24,14,10
2021,"Haringey 027","E02000423",33,19,14
2021,"Haringey 028","E02000424",8,4,4
2021,"Haringey 029","E02000425",21,9,12
2021,"Haringey 030","E02000426",16,9,7
2021,"Haringey 031","E02000427",22,16,6
2021,"Haringey 032","E02000428",25,9,16
2021,"Haringey 033","E02000429",7,4,3
2021,"Haringey 034","E02000430",6,3,3
2021,"Haringey 035","E02000431",13,7,6
2021,"Haringey 036","E02000432",10,5,5
2021,"Haringey 037","E02006794",41,22,19
2021,"Harrow 001","E02000433",31,18,13
2021,"Harrow 002","E02000434",37,26,11
2021,"Harrow 003","E02000435",15,7,8
2021,"Harrow 004","E02000436",22,12,10
2021,"Harrow 005","E02000437",38,19,19
2021,"Harrow 006","E02000438",22,12,10
2021,"Harrow 007","E02000439",31,15,16
2021,"Harrow 008","E02000440",20,10,10
2021,"Harrow 009","E02000441",14,10,4
2021,"Harrow 010","E02000442",38,13,25
2021,"Harrow 011","E02000443",45,19,26
2021,"Harrow 012","E02000444",42,19,23
2021,"Harrow 013","E02000445",31,12,19
2021,"Harrow 015","E02000447",33,16,17
2021,"Harrow 016","E02000448",18,10,8
2021,"Harrow 017","E02000449",41,17,24
2021,"Harrow 019","E02000451",17,8,9
2021,"Harrow 020","E02000452",69,34,35
2021,"Harrow 021","E02000453",29,14,15
2021,"Harrow 022","E02000454",13,8,5
2021,"Harrow 023","E02000455",65,38,27
2021,"Harrow 024","E02000456",13,8,5
2021,"Harrow 025","E02000457",20,8,12
2021,"Harrow 027","E02000459",31,18,13
2021,"Harrow 028","E02000460",39,19,20
2021,"Harrow 029","E02000461",114,22,92
2021,"Harrow 030","E02000462",31,13,18
2021,"Harrow 031","E02000463",27,15,12
2021,"Harrow 032","E02006795",37,21,16
2021,"Harrow 033","E02006882",52,26,26
2021,"Havering 001","E02000464",5,1,4
2021,"Havering 002","E02000465",11,5,6
2021,"Havering 003","E02000466",10,5,5
2021,"Havering 004","E02000467",7,2,5
2021,"Havering 005","E02000468",8,4,4
2021,"Havering 006","E02000469",5,5,0
2021,"Havering 007","E02000470",17,11,6
2021,"Havering 008","E02000471",7,4,3
2021,"Havering 009","E02000472",11,6,5
2021,"Havering 010","E02000473",5,4,1
2021,"Havering 011","E02000474",18,8,10
2021,"Havering 012","E02000475",10,6,4
2021,"Havering 013","E02000476",15,10,5
2021,"Havering 014","E02000477",8,5,3
2021,"Havering 015","E02000478",4,2,2
2021,"Havering 016","E02000479",12,10,2
2021,"Havering 017","E02000480",41,27,14
2021,"Havering 018","E02000481",2,2,0
2021,"Havering 019","E02000482",6,6,0
2021,"Havering 020","E02000483",17,8,9
2021,"Havering 021","E02000484",9,4,5
2021,"Havering 022","E02000485",2,1,1
2021,"Havering 023","E02000486",4,4,0
2021,"Havering 024","E02000487",1,1,0
2021,"Havering 025","E02000488",4,3,1
2021,"Havering 026","E02000489",11,7,4
2021,"Havering 027","E02000490",5,4,1
2021,"Havering 028","E02000491",13,6,7
2021,"Havering 029","E02000492",8,4,4
2021,"Havering 030","E02000493",10,8,2
2021,"Hillingdon 001","E02000494",24,13,11
2021,"Hillingdon 002","E02000495",33,17,16
2021,"Hillingdon 003","E02000496",7,4,3
2021,"Hillingdon 004","E02000497",13,8,5
2021,"Hillingdon 005","E02000498",4,4,0
2021,"Hillingdon 006","E02000499",8,1,7
2021,"Hillingdon 007","E02000500",8,6,2
2021,"Hillingdon 008","E02000501",10,6,4
2021,"Hillingdon 009","E02000502",17,11,6
2021,"Hillingdon 010","E02000503",9,3,6
2021,"Hillingdon 011","E02000504",11,8,3
2021,"Hillingdon 013","E02000506",11,8,3
2021,"Hillingdon 014","E02000507",20,12,8
2021,"Hillingdon 015","E02000508",105,49,56
2021,"Hillingdon 016","E02000509",116,43,73
2021,"Hillingdon 017","E02000510",31,15,16
2021,"Hillingdon 018","E02000511",37,21,16
2021,"Hillingdon 019","E02000512",23,7,16
2021,"Hillingdon 020","E02000513",30,12,18
2021,"Hillingdon 021","E02000514",89,52,37
2021,"Hillingdon 022","E02000515",70,35,35
2021,"Hillingdon 023","E02000516",44,21,23
2021,"Hillingdon 024","E02000517",39,20,19
2021,"Hillingdon 025","E02000518",26,13,13
2021,"Hillingdon 026","E02000519",51,23,28
2021,"Hillingdon 027","E02000520",85,33,52
2021,"Hillingdon 028","E02000521",46,24,22
2021,"Hillingdon 029","E02000522",31,19,12
2021,"Hillingdon 030","E02000523",97,45,52
2021,"Hillingdon 031","E02000524",31,11,20
2021,"Hillingdon 032","E02000525",52,28,24
2021,"Hillingdon 033","E02006796",17,8,9
2021,"Hounslow 001","E02000526",36,27,9
2021,"Hounslow 004","E02000529",46,28,18
2021,"Hounslow 005","E02000530",48,21,27
2021,"Hounslow 006","E02000531",32,16,16
2021,"Hounslow 007","E02000532",25,18,7
2021,"Hounslow 008","E02000533",22,18,4
2021,"Hounslow 009","E02000534",31,15,16
2021,"Hounslow 010","E02000535",47,20,27
2021,"Hounslow 011","E02000536",63,34,29
2021,"Hounslow 012","E02000537",72,37,35
2021,"Hounslow 013","E02000538",35,18,17
2021,"Hounslow 014","E02000539",35,21,14
2021,"Hounslow 015","E02000540",54,29,25
2021,"Hounslow 016","E02000541",41,22,19
2021,"Hounslow 017","E02000542",86,51,35
2021,"Hounslow 018","E02000543",109,57,52
2021,"Hounslow 019","E02000544",25,14,11
2021,"Hounslow 020","E02000545",22,14,8
2021,"Hounslow 021","E02000546",38,24,14
2021,"Hounslow 022","E02000547",30,14,16
2021,"Hounslow 023","E02000548",18,9,9
2021,"Hounslow 024","E02000549",60,28,32
2021,"Hounslow 025","E02000550",29,19,10
2021,"Hounslow 026","E02000551",9,6,3
2021,"Hounslow 027","E02000552",17,3,14
2021,"Hounslow 028","E02000553",13,4,9
2021,"Hounslow 029","E02006792",48,24,24
2021,"Hounslow 030","E02006972",28,10,18
2021,"Hounslow 031","E02006973",21,11,10
2021,"Islington 001","E02000554",31,17,14
2021,"Islington 002","E02000555",32,12,20
2021,"Islington 003","E02000556",73,48,25
2021,"Islington 004","E02000557",29,20,9
2021,"Islington 005","E02000558",27,17,10
2021,"Islington 006","E02000559",23,14,9
2021,"Islington 007","E02000560",47,31,16
2021,"Islington 008","E02000561",60,36,24
2021,"Islington 009","E02000562",21,10,11
2021,"Islington 010","E02000563",30,15,15
2021,"Islington 011","E02000564",244,171,73
2021,"Islington 012","E02000565",52,35,17
2021,"Islington 013","E02000566",22,9,13
2021,"Islington 014","E02000567",19,12,7
2021,"Islington 015","E02000568",180,113,67
2021,"Islington 016","E02000569",38,21,17
2021,"Islington 017","E02000570",35,21,14
2021,"Islington 018","E02000571",33,21,12
2021,"Islington 019","E02000572",60,33,27
2021,"Islington 020","E02000573",84,54,30
2021,"Islington 021","E02000574",218,139,79
2021,"Islington 022","E02000575",235,149,86
2021,"Islington 023","E02000576",174,97,77
2021,"Kensington and Chelsea 001","E02000577",43,27,16
2021,"Kensington and Chelsea 002","E02000578",16,10,6
2021,"Kensington and Chelsea 003","E02000579",30,14,16
2021,"Kensington and Chelsea 004","E02000580",34,24,10
2021,"Kensington and Chelsea 005","E02000581",19,7,12
2021,"Kensington and Chelsea 006","E02000582",74,34,40
2021,"Kensington and Chelsea 007","E02000583",49,28,21
2021,"Kensington and Chelsea 008","E02000584",78,41,37
2021,"Kensington and Chelsea 009","E02000585",66,32,34
2021,"Kensington and Chelsea 010","E02000586",174,85,89
2021,"Kensington and Chelsea 011","E02000587",109,54,55
2021,"Kensington and Chelsea 012","E02000588",135,84,51
2021,"Kensington and Chelsea 013","E02000589",321,130,191
2021,"Kensington and Chelsea 014","E02000590",133,80,53
2021,"Kensington and Chelsea 015","E02000591",140,76,64
2021,"Kensington and Chelsea 016","E02000592",130,69,61
2021,"Kensington and Chelsea 017","E02000593",103,61,42
2021,"Kensington and Chelsea 018","E02000594",55,30,25
2021,"Kensington and Chelsea 019","E02000595",68,39,29
2021,"Kensington and Chelsea 020","E02000596",55,29,26
2021,"Kensington and Chelsea 021","E02000597",40,22,18
2021,"Kingston upon Thames 001","E02000598",34,25,9
2021,"Kingston upon Thames 002","E02000599",47,31,16
2021,"Kingston upon Thames 003","E02000600",54,28,26
2021,"Kingston upon Thames 004","E02000601",147,75,72
