"date","geography","geography code","Tenure of household: Total: All households","Tenure of household: Owned","Tenure of household: Owned: Owns outright","Tenure of household: Owned: Owns with a mortgage or loan","Tenure of household: Shared ownership","Tenure of household: Shared ownership: Shared ownership","Tenure of household: Social rented","Tenure of household: Social rented: Rents from council or Local Authority","Tenure of household: Social rented: Other social rented","Tenure of household: Private rented","Tenure of household: Private rented: Private landlord or letting agency","Tenure of household: Private rented: Other private rented","Tenure of household: Lives rent free"
2021,"Ealing 003","E02000240",3897,1713,720,993,69,69,1212,787,425,870,808,62,33
2021,"Ealing 004","E02000241",2600,1492,694,798,11,11,236,136,100,856,788,68,5
2021,"Ealing 005","E02000242",2231,1355,701,654,17,17,104,74,30,754,675,79,1
2021,"Ealing 006","E02000243",3126,1596,836,760,33,33,512,286,226,969,902,67,16
2021,"Ealing 007","E02000244",2939,1511,782,729,33,33,220,99,121,1173,1085,88,2
2021,"Ealing 008","E02000245",3353,1062,399,663,178,178,1276,671,605,829,771,58,8
2021,"Ealing 009","E02000246",3073,1414,557,857,14,14,941,767,174,685,634,51,19
2021,"Ealing 010","E02000247",3892,1726,712,1014,134,134,958,504,454,1057,994,63,17
2021,"Ealing 011","E02000248",2988,1340,745,595,59,59,147,76,71,1440,1371,69,2
2021,"Ealing 012","E02000249",2914,1445,747,698,74,74,451,287,164,930,859,71,14
2021,"Ealing 013","E02000250",2544,1772,949,823,32,32,124,72,52,614,574,40,2
2021,"Ealing 014","E02000251",2542,1633,861,772,25,25,151,32,119,731,640,91,2
2021,"Ealing 015","E02000252",4410,1218,682,536,162,162,951,260,691,2071,1918,153,8
2021,"Ealing 016","E02000253",3841,1512,689,823,43,43,1566,1330,236,691,631,60,29
2021,"Ealing 017","E02000254",2608,1559,892,667,9,9,187,132,55,851,716,135,2
2021,"Ealing 018","E02000255",3792,1938,971,967,28,28,723,402,321,1097,1037,60,6
2021,"Ealing 019","E02000256",4028,1696,854,842,65,65,412,99,313,1852,1759,93,3
2021,"Ealing 021","E02000258",2603,1088,550,538,16,16,440,123,317,1055,1004,51,4
2021,"Ealing 022","E02000259",2398,1412,701,711,41,41,247,86,161,694,632,62,4
2021,"Ealing 023","E02000260",2754,1266,802,464,19,19,381,185,196,1082,977,105,6
