"date","geography","geography code","Occupation (current): Total: All usual residents aged 16 years and over in employment the week before the census","Occupation (current): 1. Managers, directors and senior officials","Occupation (current): 2. Professional occupations","Occupation (current): 3. Associate professional and technical occupations","Occupation (current): 4. Administrative and secretarial occupations","Occupation (current): 5. Skilled trades occupations","Occupation (current): 6. Caring, leisure and other service occupations","Occupation (current): 7. Sales and customer service occupations","Occupation (current): 8. Process, plant and machine operatives","Occupation (current): 9. Elementary occupations"
2021,"Bromley 021","E02000147",3769,804,1198,578,439,207,179,155,86,123
2021,"Bromley 022","E02000148",3133,641,951,463,392,178,159,153,89,107
2021,"Bromley 023","E02000149",3982,532,855,551,475,411,373,253,206,326
2021,"Bromley 024","E02000150",4171,785,1098,660,515,302,270,213,135,193
2021,"Bromley 025","E02000151",3509,783,1057,539,399,226,175,128,86,116
2021,"Bromley 026","E02000152",3743,535,896,568,415,397,295,205,166,266
2021,"Bromley 027","E02000153",3943,752,986,628,483,348,282,186,136,142
2021,"Bromley 028","E02000154",4227,713,1295,612,414,287,261,241,168,236
2021,"Bromley 029","E02000155",3283,415,737,437,408,361,287,211,183,244
2021,"Bromley 030","E02000156",5784,1019,1579,962,700,478,346,298,165,237
2021,"Bromley 031","E02000157",3921,687,1161,616,503,292,232,187,110,133
2021,"Bromley 032","E02000158",3371,518,877,426,382,302,274,212,138,242
2021,"Bromley 033","E02000159",3351,784,766,530,415,251,194,163,90,158
2021,"Bromley 034","E02000160",3805,663,921,621,473,362,246,203,144,172
2021,"Bromley 035","E02000161",4146,726,1212,636,521,306,246,212,122,165
2021,"Bromley 036","E02000162",3152,527,768,487,392,273,227,161,122,195
2021,"Bromley 037","E02000163",3690,742,974,586,426,311,211,167,113,160
2021,"Bromley 039","E02000165",3721,509,628,599,454,516,355,240,180,240
2021,"Camden 001","E02000166",3669,623,1269,786,243,146,238,131,86,147
2021,"Camden 002","E02000167",3827,984,1528,811,162,70,123,74,35,40
2021,"Camden 003","E02000168",4339,747,1539,988,240,176,238,153,79,179
2021,"Camden 004","E02000169",3573,1084,1299,591,184,68,157,75,41,74
2021,"Camden 005","E02000170",4450,927,1624,807,238,154,244,179,78,199
2021,"Camden 006","E02000171",3962,687,1560,836,204,128,176,160,76,135
2021,"Camden 007","E02000172",4314,607,1181,778,306,204,371,294,222,351
2021,"Camden 008","E02000173",4118,1019,1670,706,208,67,169,132,42,105
2021,"Camden 009","E02000174",4075,639,1378,817,268,162,273,215,114,209
2021,"Camden 010","E02000175",5327,980,2036,1051,323,161,256,230,88,202
2021,"Camden 011","E02000176",3465,849,1363,676,169,79,135,81,37,76
2021,"Camden 012","E02000177",4044,546,1213,783,286,195,323,287,158,253
2021,"Camden 013","E02000178",4827,727,1599,871,312,230,343,273,153,319
2021,"Camden 014","E02000179",2854,585,959,567,152,75,160,141,86,129
2021,"Camden 015","E02000180",4057,589,1335,852,253,171,249,206,139,263
2021,"Camden 016","E02000181",4840,1046,1964,966,259,117,162,150,58,118
2021,"Camden 017","E02000182",3390,804,1116,602,218,97,200,144,65,144
2021,"Camden 018","E02000183",3848,823,1388,754,199,103,230,138,81,132
2021,"Camden 019","E02000184",3945,478,1224,712,285,200,303,292,156,295
2021,"Camden 020","E02000185",3908,496,1038,648,286,231,325,301,217,366
2021,"Camden 021","E02000186",3111,588,1039,621,186,101,187,161,89,139
2021,"Camden 022","E02000187",3606,389,947,498,279,204,357,336,230,366
2021,"Camden 023","E02000188",2690,249,690,400,216,139,275,245,209,267
2021,"Camden 026","E02000191",2143,373,911,357,126,64,95,89,37,91
2021,"Camden 027","E02000192",3147,433,1042,542,216,135,208,224,139,208
2021,"Camden 028","E02000193",2824,517,1024,502,165,88,174,155,66,133
2021,"Croydon 001","E02000194",5004,769,1421,970,439,283,358,240,187,337
2021,"Croydon 002","E02000195",4584,740,1185,689,450,350,324,306,186,354
2021,"Croydon 003","E02000196",3753,433,748,485,377,405,346,289,264,406
