"date","geography","geography code","Number of people in household who previously served in UK armed forces: Total: All households","Number of people in household who previously served in UK armed forces: No people in the household previously served in UK armed forces","Number of people in household who previously served in UK armed forces: 1 person in the household previously served in UK armed forces","Number of people in household who previously served in UK armed forces: 2 people in the household previously served in UK armed forces","Number of people in household who previously served in UK armed forces: 3 or more people in the household previously served in UK armed forces"
2021,"Newham 025","E02000738",2785,2706,76,0,3
2021,"Newham 026","E02000739",2479,2425,52,2,0
2021,"Newham 027","E02000740",2495,2437,57,1,0
2021,"Newham 028","E02000741",2685,2636,46,3,0
2021,"Newham 029","E02000742",2528,2486,40,1,1
2021,"Newham 030","E02000743",3578,3510,64,3,1
2021,"Newham 031","E02000744",3326,3253,72,1,0
2021,"Newham 032","E02000745",2876,2820,52,3,1
2021,"Newham 033","E02000746",3394,3329,64,1,0
2021,"Newham 034","E02000747",5447,5350,93,4,0
2021,"Newham 035","E02000748",2211,2166,44,1,0
2021,"Newham 036","E02000749",3329,3265,63,1,0
2021,"Redbridge 001","E02000751",4438,4249,186,3,0
2021,"Redbridge 002","E02000752",3266,3171,95,0,0
2021,"Redbridge 003","E02000753",2473,2394,79,0,0
2021,"Redbridge 004","E02000754",2590,2501,89,0,0
2021,"Redbridge 005","E02000755",2186,2123,63,0,0
2021,"Redbridge 006","E02000756",5257,5118,134,4,1
2021,"Redbridge 007","E02000757",5179,5027,149,3,0
2021,"Redbridge 008","E02000758",2316,2257,57,1,1
2021,"Redbridge 009","E02000759",4818,4668,145,5,0
2021,"Redbridge 010","E02000760",2628,2558,70,0,0
2021,"Redbridge 012","E02000762",2105,2033,71,1,0
2021,"Redbridge 013","E02000763",2578,2524,53,1,0
2021,"Redbridge 014","E02000764",5367,5193,174,0,0
2021,"Redbridge 015","E02000765",2426,2374,49,1,2
2021,"Redbridge 017","E02000767",2768,2687,81,0,0
2021,"Redbridge 018","E02000768",2201,2108,92,1,0
2021,"Redbridge 020","E02000770",2489,2442,47,0,0
2021,"Redbridge 022","E02000772",2537,2485,50,1,1
2021,"Redbridge 023","E02000773",3112,3055,55,2,0
2021,"Redbridge 024","E02000774",2459,2410,47,2,0
2021,"Redbridge 026","E02000776",2083,2047,35,0,1
2021,"Redbridge 027","E02000777",2324,2235,89,0,0
2021,"Redbridge 029","E02000779",2772,2722,49,1,0
2021,"Redbridge 031","E02000781",4428,4321,104,3,0
2021,"Redbridge 032","E02000782",3577,3521,54,2,0
2021,"Redbridge 033","E02000783",2119,2090,28,1,0
2021,"Richmond upon Thames 001","E02000784",4177,3967,201,9,0
2021,"Richmond upon Thames 002","E02000785",4162,3980,177,5,0
2021,"Richmond upon Thames 003","E02000786",4943,4743,198,1,1
2021,"Richmond upon Thames 004","E02000787",5173,4990,182,1,0
2021,"Richmond upon Thames 005","E02000788",3624,3488,133,2,1
2021,"Richmond upon Thames 006","E02000789",2842,2735,105,2,0
2021,"Richmond upon Thames 007","E02000790",2706,2609,95,2,0
2021,"Richmond upon Thames 008","E02000791",2969,2855,111,3,0
2021,"Richmond upon Thames 009","E02000792",3101,2994,103,4,0
2021,"Richmond upon Thames 010","E02000793",3137,2998,128,10,1
2021,"Richmond upon Thames 011","E02000794",2761,2630,130,1,0
2021,"Richmond upon Thames 012","E02000795",2588,2467,120,1,0
2021,"Richmond upon Thames 013","E02000796",3982,3800,178,4,0
2021,"Richmond upon Thames 014","E02000797",3479,3366,106,7,0
2021,"Richmond upon Thames 015","E02000798",4324,4152,169,3,0
2021,"Richmond upon Thames 016","E02000799",2439,2338,101,0,0
2021,"Richmond upon Thames 017","E02000800",2157,2056,101,0,0
2021,"Richmond upon Thames 018","E02000801",3019,2919,96,4,0
2021,"Richmond upon Thames 019","E02000802",2981,2856,124,1,0
2021,"Richmond upon Thames 020","E02000803",4096,3880,213,3,0
2021,"Richmond upon Thames 021","E02000804",3168,3033,133,2,0
2021,"Richmond upon Thames 022","E02000805",4633,4435,193,5,0
2021,"Richmond upon Thames 023","E02000806",4254,4038,213,3,0
2021,"Southwark 001","E02000807",3734,3659,73,2,0
2021,"Southwark 002","E02000808",4696,4611,85,0,0
2021,"Southwark 004","E02000810",5396,5267,126,3,0
2021,"Southwark 006","E02000812",4531,4451,79,1,0
2021,"Southwark 007","E02000813",4483,4374,108,1,0
2021,"Southwark 008","E02000814",4589,4518,70,1,0
2021,"Southwark 009","E02000815",3233,3184,48,0,1
2021,"Southwark 010","E02000816",4147,4051,95,1,0
2021,"Southwark 011","E02000817",2925,2864,59,2,0
2021,"Southwark 012","E02000818",4489,4405,82,2,0
2021,"Southwark 013","E02000819",3555,3469,85,1,0
2021,"Southwark 014","E02000820",4228,4153,74,1,0
2021,"Southwark 015","E02000821",3133,3041,66,3,23
2021,"Southwark 016","E02000822",2773,2722,51,0,0
2021,"Southwark 017","E02000823",3635,3552,81,2,0
2021,"Southwark 018","E02000824",3791,3733,57,1,0
2021,"Southwark 019","E02000825",3889,3829,60,0,0
2021,"Southwark 020","E02000826",4023,3961,62,0,0
2021,"Southwark 021","E02000827",5018,4935,82,1,0
2021,"Southwark 022","E02000828",3594,3534,59,1,0
2021,"Southwark 023","E02000829",4737,4637,100,0,0
2021,"Southwark 024","E02000830",3762,3674,87,1,0
2021,"Southwark 025","E02000831",4052,3972,77,3,0
2021,"Southwark 026","E02000832",4100,4002,98,0,0
2021,"Southwark 027","E02000833",3046,2984,61,1,0
2021,"Southwark 028","E02000834",4103,4023,80,0,0
2021,"Southwark 029","E02000835",3030,2965,65,0,0
2021,"Southwark 030","E02000836",3337,3267,67,3,0
2021,"Southwark 031","E02000837",3150,3040,108,2,0
2021,"Southwark 032","E02000838",3924,3845,77,2,0
2021,"Southwark 033","E02000839",3427,3314,112,1,0
2021,"Sutton 001","E02000840",3475,3353,121,1,0
