"date","geography","geography code","Household size: Total: All household spaces; measures: Value","Household size: 0 people in household; measures: Value","Household size: 1 person in household; measures: Value","Household size: 2 people in household; measures: Value","Household size: 3 people in household; measures: Value","Household size: 4 people in household; measures: Value","Household size: 5 people in household; measures: Value","Household size: 6 people in household; measures: Value","Household size: 7 people in household; measures: Value","Household size: 8 or more people in household; measures: Value"
2021,"Bromley 037","E02000163",3067,0,734,1050,536,556,126,47,13,5
2021,"Bromley 039","E02000165",2740,0,566,959,500,481,168,54,10,2
2021,"Bromley 040","E02006782",3196,0,828,993,621,483,190,59,15,7
2021,"Bromley 041","E02006787",3088,0,777,895,606,623,147,21,14,5
2021,"Bromley 042","E02006789",2787,0,698,1085,422,376,142,44,10,10
2021,"Camden 001","E02000166",3397,0,1197,1078,517,380,137,50,17,21
2021,"Camden 002","E02000167",3373,0,1273,1142,414,384,120,31,7,2
2021,"Camden 003","E02000168",3495,0,1256,1092,554,410,129,37,11,6
2021,"Camden 004","E02000169",3026,0,878,1005,525,441,134,35,6,2
2021,"Camden 005","E02000170",3464,0,1158,1149,528,425,135,43,13,13
2021,"Camden 006","E02000171",3331,0,1209,1091,461,358,157,32,9,14
2021,"Camden 007","E02000172",4035,0,1452,1085,653,483,210,97,31,24
2021,"Camden 008","E02000173",3501,0,1426,1037,485,381,126,25,9,12
2021,"Camden 009","E02000174",3551,0,1273,1128,510,382,161,47,30,20
2021,"Camden 010","E02000175",4309,0,1706,1458,571,387,126,31,16,14
2021,"Camden 011","E02000176",3001,0,1345,960,328,259,88,18,2,1
2021,"Camden 012","E02000177",3654,0,1328,1115,529,371,178,79,36,18
2021,"Camden 013","E02000178",4164,0,1611,1402,567,355,147,52,13,17
2021,"Camden 014","E02000179",2548,0,972,722,383,292,115,45,12,7
2021,"Camden 015","E02000180",3512,0,1288,1115,534,322,150,77,16,10
2021,"Camden 016","E02000181",3749,0,1295,1341,585,380,108,22,12,6
2021,"Camden 017","E02000182",3083,0,1100,869,511,384,158,38,13,10
2021,"Camden 018","E02000183",3619,0,1537,1068,478,318,141,59,11,7
2021,"Camden 019","E02000184",3633,0,1322,1150,536,348,163,65,30,19
2021,"Camden 020","E02000185",4069,0,1749,1070,541,399,176,77,39,18
2021,"Camden 021","E02000186",2942,0,1212,979,379,219,77,48,20,8
