"date","geography","geography code","Economic activity status: Total: All usual residents aged 16 years and over","Economic activity status: Economically active (excluding full-time students)","Economic activity status: Economically active (excluding full-time students):In employment","Economic activity status: Economically active (excluding full-time students):In employment:Employee","Economic activity status: Economically active (excluding full-time students): In employment: Employee: Part-time","Economic activity status: Economically active (excluding full-time students): In employment: Employee: Full-time","Economic activity status: Economically active (excluding full-time students):In employment:Self-employed with employees","Economic activity status: Economically active (excluding full-time students): In employment: Self-employed with employees: Part-time","Economic activity status: Economically active (excluding full-time students): In employment: Self-employed with employees: Full-time","Economic activity status: Economically active (excluding full-time students):In employment:Self-employed without employees","Economic activity status: Economically active (excluding full-time students): In employment: Self-employed without employees: Part-time","Economic activity status: Economically active (excluding full-time students): In employment: Self-employed without employees: Full-time","Economic activity status: Economically active (excluding full-time students): Unemployed","Economic activity status: Economically active and a full-time student","Economic activity status: Economically active and a full-time student:In employment","Economic activity status: Economically active and a full-time student:In employment:Employee","Economic activity status: Economically active and a full-time student: In employment: Employee: Part-time","Economic activity status: Economically active and a full-time student: In employment: Employee: Full-time","Economic activity status: Economically active and a full-time student:In employment:Self-employed with employees","Economic activity status: Economically active and a full-time student: In employment: Self-employed with employees: Part-time","Economic activity status: Economically active and a full-time student: In employment: Self-employed with employees: Full-time","Economic activity status: Economically active and a full-time student:In employment:Self-employed without employees","Economic activity status: Economically active and a full-time student: In employment: Self-employed without employees: Part-time","Economic activity status: Economically active and a full-time student: In employment: Self-employed without employees: Full-time","Economic activity status: Economically active and a full-time student: Unemployed","Economic activity status: Economically inactive","Economic activity status: Economically inactive: Retired","Economic activity status: Economically inactive: Student","Economic activity status: Economically inactive: Looking after home or family","Economic activity status: Economically inactive: Long-term sick or disabled","Economic activity status: Economically inactive: Other"
2021,"Lewisham 033","E02000685",6456,4216,3932,3165,767,2398,88,22,66,679,327,352,284,169,121,103,70,33,2,1,1,16,10,6,48,2071,862,378,274,274,283
2021,"Lewisham 034","E02000686",5742,3541,3212,2699,801,1898,81,29,52,432,207,225,329,173,132,107,83,24,5,5,0,20,16,4,41,2028,535,400,411,367,315
2021,"Lewisham 035","E02000687",6620,4433,4124,3216,712,2504,109,37,72,799,411,388,309,133,104,93,55,38,1,0,1,10,7,3,29,2054,936,295,330,248,245
2021,"Merton 001","E02000689",7031,5028,4838,3930,579,3351,161,34,127,747,366,381,190,113,83,63,41,22,2,1,1,18,12,6,30,1890,807,368,424,104,187
2021,"Merton 002","E02000690",4580,2400,2300,1597,308,1289,149,32,117,554,300,254,100,37,24,20,19,1,1,1,0,3,2,1,13,2143,1257,295,387,70,134
2021,"Merton 003","E02000691",6015,4336,4151,3338,517,2821,135,25,110,678,312,366,185,98,76,68,49,19,1,0,1,7,3,4,22,1581,728,295,295,108,155
2021,"Merton 004","E02000692",6463,4296,4150,3211,394,2817,151,32,119,788,362,426,146,82,52,39,28,11,3,3,0,10,6,4,30,2085,1159,286,376,69,195
2021,"Merton 005","E02000693",8445,6373,6061,4935,709,4226,138,33,105,988,428,560,312,190,161,132,94,38,5,3,2,24,20,4,29,1882,761,357,303,186,275
2021,"Merton 006","E02000694",7344,5558,5328,4420,610,3810,121,30,91,787,373,414,230,99,75,62,44,18,2,1,1,11,8,3,24,1687,737,293,311,165,181
2021,"Merton 007","E02000695",7129,4681,4422,3298,822,2476,161,42,119,963,416,547,259,172,143,122,98,24,5,0,5,16,10,6,29,2276,1008,424,397,183,264
2021,"Merton 008","E02000696",7073,5056,4726,3574,784,2790,159,38,121,993,387,606,330,210,172,141,112,29,3,3,0,28,20,8,38,1807,594,322,403,183,305
2021,"Merton 009","E02000697",7164,5560,5347,4371,631,3740,121,20,101,855,374,481,213,100,74,62,48,14,1,1,0,11,11,0,26,1504,690,303,291,59,161
2021,"Merton 010","E02000698",6465,4031,3894,2928,557,2371,176,33,143,790,414,376,137,93,63,56,39,17,1,0,1,6,4,2,30,2341,1284,390,437,70,160
2021,"Merton 011","E02000699",6442,4636,4440,3573,581,2992,111,24,87,756,391,365,196,81,56,43,30,13,0,0,0,13,9,4,25,1725,935,286,298,64,142
2021,"Merton 012","E02000700",6865,4517,4189,3290,874,2416,141,55,86,758,366,392,328,162,132,119,92,27,0,0,0,13,5,8,30,2186,669,434,505,280,298
2021,"Merton 013","E02000701",7216,4667,4355,3318,925,2393,137,44,93,900,410,490,312,225,176,154,119,35,0,0,0,22,14,8,49,2324,891,449,481,198,305
2021,"Merton 014","E02000702",7126,4529,4195,3320,877,2443,92,24,68,783,352,431,334,213,158,138,100,38,3,2,1,17,10,7,55,2384,812,498,501,266,307
2021,"Merton 015","E02000703",6379,4028,3872,2976,663,2313,154,35,119,742,372,370,156,115,86,70,47,23,3,3,0,13,10,3,29,2236,1337,320,337,88,154
2021,"Merton 016","E02000704",7026,4894,4656,3746,641,3105,123,14,109,787,361,426,238,140,105,83,53,30,1,1,0,21,18,3,35,1992,955,300,355,169,213
2021,"Merton 017","E02000705",7520,4889,4601,3483,888,2595,165,40,125,953,379,574,288,172,126,111,88,23,2,0,2,13,12,1,46,2459,1069,480,408,236,266
2021,"Merton 018","E02000706",7652,4825,4510,3550,1044,2506,118,41,77,842,378,464,315,215,168,161,110,51,1,0,1,6,6,0,47,2612,741,531,571,355,414
2021,"Merton 019","E02000707",6493,4006,3693,2949,881,2068,120,37,83,624,283,341,313,201,151,137,109,28,0,0,0,14,10,4,50,2286,751,508,452,255,320
2021,"Merton 020","E02000708",7079,4704,4503,3614,807,2807,136,27,109,753,332,421,201,150,119,105,82,23,1,1,0,13,5,8,31,2225,1173,422,330,113,187
2021,"Merton 021","E02000709",6405,3999,3824,2996,706,2290,111,39,72,717,311,406,175,126,94,87,67,20,1,1,0,6,4,2,32,2280,1367,335,294,118,166
2021,"Merton 022","E02000710",7376,4499,4190,3248,868,2380,152,47,105,790,367,423,309,183,151,126,106,20,0,0,0,25,18,7,32,2694,1186,391,467,308,342
2021,"Merton 023","E02000711",7533,4966,4664,3566,894,2672,143,38,105,955,425,530,302,201,167,137,93,44,10,6,4,20,13,7,34,2366,819,434,523,288,302
2021,"Merton 024","E02000712",7651,4704,4442,3542,968,2574,128,35,93,772,336,436,262,193,149,128,104,24,5,5,0,16,11,5,44,2754,1097,471,567,308,311
2021,"Merton 025","E02000713",6306,4034,3865,3151,759,2392,97,28,69,617,259,358,169,125,99,93,71,22,2,1,1,4,4,0,26,2147,1257,303,279,129,179
