"date","geography","geography code","Second address type: Total: All usual residents","Second address type: Armed forces base address","Second address type: Another address when working away from home","Second address type: Holiday home","Second address type: Student's term-time address","Second address type: Student's home address","Second address type: Another parent or guardian's address","Second address type: Partner's address","Second address type: Other","Second address type: Second address type not specified"
2021,"Brent 023","E02000115",676,0,35,113,2,44,239,84,159,0
2021,"Brent 024","E02000116",313,0,20,33,1,19,86,41,113,0
2021,"Brent 025","E02000117",474,0,42,76,2,20,119,62,153,0
2021,"Brent 026","E02000118",371,1,27,60,3,17,73,42,148,0
2021,"Brent 027","E02000119",335,0,19,34,2,16,105,35,124,0
2021,"Brent 028","E02000120",648,0,38,118,1,52,226,64,149,0
2021,"Brent 029","E02000121",510,1,49,83,1,46,89,66,175,0
2021,"Brent 030","E02000122",623,0,52,170,2,21,165,50,163,0
2021,"Brent 031","E02000123",571,0,45,70,3,24,191,67,171,0
2021,"Brent 032","E02000124",858,0,57,220,3,36,254,97,191,0
2021,"Brent 033","E02000125",588,0,28,111,1,29,174,76,169,0
2021,"Brent 034","E02000126",358,1,18,36,1,14,99,59,130,0
2021,"Bromley 001","E02000127",297,1,33,37,2,6,99,32,87,0
2021,"Bromley 002","E02000128",428,0,23,61,3,136,94,38,73,0
2021,"Bromley 004","E02000130",344,2,24,67,3,1,108,42,97,0
2021,"Bromley 005","E02000131",546,3,28,77,1,14,200,91,132,0
2021,"Bromley 006","E02000132",467,2,34,108,0,4,142,71,106,0
2021,"Bromley 007","E02000133",582,0,50,224,5,7,121,48,127,0
2021,"Bromley 008","E02000134",607,3,34,96,1,11,237,74,151,0
2021,"Bromley 009","E02000135",367,0,26,31,0,7,164,56,83,0
2021,"Bromley 010","E02000136",233,0,19,78,1,10,64,20,41,0
2021,"Bromley 011","E02000137",386,1,32,106,2,5,96,46,98,0
2021,"Bromley 012","E02000138",463,0,31,144,3,4,103,48,130,0
2021,"Bromley 013","E02000139",287,3,17,66,1,9,91,36,64,0
2021,"Bromley 014","E02000140",274,1,16,33,3,7,109,34,71,0
2021,"Bromley 015","E02000141",257,0,18,22,2,6,83,52,74,0
2021,"Bromley 016","E02000142",419,0,23,109,5,5,122,51,104,0
2021,"Bromley 018","E02000144",536,0,30,119,1,11,189,52,134,0
2021,"Bromley 019","E02000145",263,1,29,28,6,7,92,31,69,0
2021,"Bromley 020","E02000146",380,6,24,78,3,12,143,54,60,0
2021,"Bromley 021","E02000147",404,3,25,181,1,11,68,34,81,0
2021,"Bromley 022","E02000148",278,0,21,91,0,1,79,25,61,0
2021,"Bromley 023","E02000149",243,5,14,40,4,4,79,40,57,0
2021,"Bromley 024","E02000150",356,1,26,73,0,5,110,48,93,0
2021,"Bromley 025","E02000151",299,0,12,100,3,3,83,35,63,0
2021,"Bromley 026","E02000152",251,0,19,40,0,5,103,38,46,0
2021,"Bromley 027","E02000153",251,8,17,81,1,5,70,22,47,0
2021,"Bromley 028","E02000154",335,2,25,97,0,4,101,33,73,0
2021,"Bromley 029","E02000155",199,2,16,44,0,0,49,27,61,0
2021,"Bromley 030","E02000156",486,1,46,158,5,5,127,62,82,0
2021,"Bromley 031","E02000157",282,2,22,89,2,6,79,33,49,0
2021,"Bromley 032","E02000158",297,0,27,88,5,5,75,31,66,0
2021,"Bromley 033","E02000159",321,1,32,128,1,3,80,30,46,0
2021,"Bromley 034","E02000160",326,1,22,102,4,5,77,34,81,0
2021,"Bromley 035","E02000161",285,0,33,58,0,6,105,29,54,0
2021,"Bromley 036","E02000162",277,1,23,59,2,7,84,26,75,0
