"date","geography","geography code","Household language (English and Welsh): Total: All households","Household language (English and Welsh): All adults in household have English in England, or English or Welsh in Wales as a main language","Household language (English and Welsh): At least one but not all adults in household have English in England, or English or Welsh in Wales as a main language","Household language (English and Welsh): No adults in household, but at least one person aged 3 to 15 years, has English in England or English or Welsh in Wales as a main language","Household language (English and Welsh): No people in household have English in England, or English or Welsh in Wales as a main language"
2021,"Croydon 011","E02000204",3227,2094,477,156,500
2021,"Croydon 013","E02000206",4465,3430,357,167,511
2021,"Croydon 014","E02000207",3560,3013,241,88,218
2021,"Croydon 015","E02000208",4098,2812,457,212,617
2021,"Croydon 016","E02000209",3063,1902,457,208,496
2021,"Croydon 017","E02000210",3443,2860,230,89,264
2021,"Croydon 018","E02000211",3295,2915,201,65,114
2021,"Croydon 019","E02000212",3263,2135,444,178,506
2021,"Croydon 020","E02000213",5391,3805,521,241,824
2021,"Croydon 021","E02000214",2326,2001,160,48,117
2021,"Croydon 022","E02000215",5255,3993,415,173,674
2021,"Croydon 023","E02000216",2942,2170,241,146,385
2021,"Croydon 024","E02000217",5020,3664,461,218,677
2021,"Croydon 025","E02000218",2351,1997,202,53,99
2021,"Croydon 026","E02000219",2983,2667,171,37,108
2021,"Croydon 028","E02000221",3988,3199,366,148,275
2021,"Croydon 029","E02000222",3635,3059,233,109,234
2021,"Croydon 030","E02000223",2788,2358,205,94,131
2021,"Croydon 031","E02000224",3271,2723,218,72,258
2021,"Croydon 032","E02000225",2656,2343,162,43,108
2021,"Croydon 033","E02000226",2782,2487,160,35,100
2021,"Croydon 034","E02000227",4839,4378,246,70,145
2021,"Croydon 035","E02000228",3005,2735,151,33,86
2021,"Croydon 036","E02000229",2237,2000,109,52,76
2021,"Croydon 037","E02000230",4231,3577,319,81,254
2021,"Croydon 038","E02000231",2752,2345,229,35,143
2021,"Croydon 039","E02000232",2370,2195,107,18,50
2021,"Croydon 040","E02000233",2396,2110,150,39,97
2021,"Croydon 041","E02000234",3721,3272,212,62,175
2021,"Croydon 042","E02000235",2657,2421,121,34,81
2021,"Croydon 043","E02000236",3308,3034,137,50,87
2021,"Croydon 044","E02000237",3037,2865,89,27,56
2021,"Ealing 001","E02000238",3736,2212,577,229,718
2021,"Ealing 002","E02000239",2929,1622,563,159,585
2021,"Ealing 003","E02000240",3897,2367,560,267,703
2021,"Ealing 004","E02000241",2600,1570,378,163,489
2021,"Ealing 005","E02000242",2231,1075,482,157,517
2021,"Ealing 006","E02000243",3125,1867,513,156,589
2021,"Ealing 007","E02000244",2939,1608,477,190,664
2021,"Ealing 008","E02000245",3354,2069,465,239,581
2021,"Ealing 009","E02000246",3072,1824,478,235,535
2021,"Ealing 010","E02000247",3892,2308,584,220,780
2021,"Ealing 011","E02000248",2989,1635,443,182,729
2021,"Ealing 012","E02000249",2913,1671,446,167,629
2021,"Ealing 013","E02000250",2544,1978,258,79,229
2021,"Ealing 014","E02000251",2542,1311,512,164,555
2021,"Ealing 015","E02000252",4410,2684,567,158,1001
2021,"Ealing 016","E02000253",3839,2474,566,233,566
2021,"Ealing 017","E02000254",2612,1027,703,186,696
2021,"Ealing 018","E02000255",3791,2701,470,143,477
2021,"Ealing 019","E02000256",4026,2793,419,119,695
2021,"Ealing 021","E02000258",2602,1593,367,88,554
2021,"Ealing 022","E02000259",2394,1718,281,105,290
2021,"Ealing 023","E02000260",2754,1069,674,230,781
2021,"Ealing 024","E02000261",4976,3020,741,180,1035
2021,"Ealing 025","E02000262",3947,2596,457,127,767
2021,"Ealing 026","E02000263",3645,1282,1053,309,1001
2021,"Ealing 027","E02000264",3545,2352,419,92,682
2021,"Ealing 028","E02000265",4733,3275,511,188,759
2021,"Ealing 029","E02000266",4296,2326,866,256,848
2021,"Ealing 030","E02000267",3219,2346,319,128,426
2021,"Ealing 031","E02000268",3863,2902,397,87,477
2021,"Ealing 032","E02000269",3303,2515,328,90,370
2021,"Ealing 033","E02000270",4116,2691,573,152,700
2021,"Ealing 034","E02000271",2978,2321,259,56,342
2021,"Ealing 035","E02000272",2542,2030,263,63,186
2021,"Ealing 038","E02000275",2348,1046,537,128,637
2021,"Ealing 039","E02000276",2724,2004,329,78,313
2021,"Enfield 001","E02000277",2627,1894,343,123,267
2021,"Enfield 002","E02000278",3340,2287,458,173,422
2021,"Enfield 003","E02000279",4415,3093,529,229,564
2021,"Enfield 004","E02000280",3413,2920,241,74,178
2021,"Enfield 005","E02000281",3551,2744,369,140,298
2021,"Enfield 006","E02000282",3466,2235,521,238,472
2021,"Enfield 007","E02000283",2802,1892,420,171,319
2021,"Enfield 008","E02000284",3619,3046,267,75,231
2021,"Enfield 009","E02000285",2460,2116,188,34,122
2021,"Enfield 010","E02000286",4002,3430,219,74,279
2021,"Enfield 011","E02000287",2873,2326,232,63,252
2021,"Enfield 012","E02000288",4053,2395,776,286,596
2021,"Enfield 013","E02000289",2425,2034,232,41,118
2021,"Enfield 014","E02000290",2518,1612,363,180,363
2021,"Enfield 015","E02000291",4330,3225,340,187,578
2021,"Enfield 016","E02000292",3569,2674,419,142,334
2021,"Enfield 017","E02000293",2490,2145,173,38,134
2021,"Enfield 018","E02000294",3086,1884,575,182,445
2021,"Enfield 019","E02000295",3350,2540,345,115,350
2021,"Enfield 020","E02000296",4038,2684,487,187,680
2021,"Enfield 021","E02000297",3475,2816,324,78,257
2021,"Enfield 022","E02000298",3056,2597,244,38,177
2021,"Enfield 023","E02000299",3316,1913,504,221,678
2021,"Enfield 024","E02000300",2999,1772,455,181,591
2021,"Enfield 025","E02000301",3725,2238,527,219,741
2021,"Enfield 026","E02000302",3116,2199,401,125,391
2021,"Enfield 027","E02000303",2976,1746,487,176,567
2021,"Enfield 028","E02000304",2910,2247,353,65,245
2021,"Enfield 029","E02000305",3453,2463,324,120,546
2021,"Enfield 030","E02000306",3399,1955,499,241,704
2021,"Enfield 031","E02000307",3343,1936,592,239,576
2021,"Enfield 032","E02000308",3223,2099,478,147,499
2021,"Enfield 033","E02000309",3987,2269,618,290,810
2021,"Enfield 035","E02000311",3635,2046,680,180,729
2021,"Enfield 036","E02000312",4495,2789,610,168,928
2021,"Greenwich 001","E02000313",2596,2107,159,63,267
2021,"Greenwich 002","E02000314",4536,3382,439,208,507
2021,"Greenwich 003","E02000315",3493,2755,300,132,306
2021,"Greenwich 005","E02000317",2822,2071,307,120,324
2021,"Greenwich 006","E02000318",3581,2151,479,186,765
2021,"Greenwich 007","E02000319",3919,2795,412,166,546
2021,"Greenwich 008","E02000320",2557,1986,227,113,231
2021,"Greenwich 009","E02000321",2960,2230,279,111,340
