"date","geography","geography code","Household reference person previously served in UK armed forces: Total: All households","Household reference person previously served in UK armed forces: Household reference person previously served in regular UK armed forces","Household reference person previously served in UK armed forces: Household reference person previously served in reserve UK armed forces","Household reference person previously served in UK armed forces: Household reference person previously served in both regular and reserve UK armed forces","Household reference person previously served in UK armed forces: Household reference person has not previously served in regular or reserve UK armed forces"
2021,"Bromley 022","E02000148",2699,85,29,3,2582
2021,"Bromley 023","E02000149",3284,93,28,7,3156
2021,"Bromley 024","E02000150",3113,74,24,4,3011
2021,"Bromley 025","E02000151",2968,86,26,5,2851
2021,"Bromley 026","E02000152",3096,85,28,8,2975
2021,"Bromley 027","E02000153",2895,85,27,8,2775
2021,"Bromley 028","E02000154",3573,102,28,10,3433
2021,"Bromley 029","E02000155",3039,135,30,8,2866
2021,"Bromley 030","E02000156",4861,180,61,10,4610
2021,"Bromley 031","E02000157",3279,142,38,6,3093
2021,"Bromley 032","E02000158",3034,106,42,12,2874
2021,"Bromley 033","E02000159",2822,98,36,3,2685
2021,"Bromley 034","E02000160",3040,85,35,1,2919
2021,"Bromley 035","E02000161",3344,103,43,11,3187
2021,"Bromley 036","E02000162",2965,114,33,9,2809
2021,"Bromley 037","E02000163",3071,107,35,14,2915
2021,"Bromley 039","E02000165",2742,114,39,8,2581
2021,"Camden 001","E02000166",3396,46,21,2,3327
2021,"Camden 002","E02000167",3371,52,20,3,3296
2021,"Camden 003","E02000168",3495,37,18,0,3440
2021,"Camden 004","E02000169",3024,40,9,1,2974
2021,"Camden 005","E02000170",3465,27,14,2,3422
2021,"Camden 006","E02000171",3330,38,25,4,3263
2021,"Camden 007","E02000172",4033,43,16,3,3971
2021,"Camden 008","E02000173",3504,29,15,1,3459
2021,"Camden 009","E02000174",3551,25,7,1,3518
2021,"Camden 010","E02000175",4308,31,21,0,4256
2021,"Camden 011","E02000176",2998,27,16,4,2951
2021,"Camden 012","E02000177",3654,42,9,1,3602
2021,"Camden 013","E02000178",4165,19,14,3,4129
2021,"Camden 014","E02000179",2547,27,6,3,2511
2021,"Camden 015","E02000180",3517,25,16,1,3475
2021,"Camden 016","E02000181",3751,28,23,3,3697
2021,"Camden 017","E02000182",3083,24,11,2,3046
2021,"Camden 018","E02000183",3616,47,18,2,3549
2021,"Camden 019","E02000184",3634,23,9,2,3600
2021,"Camden 020","E02000185",4068,36,18,0,4014
2021,"Camden 021","E02000186",2940,32,12,1,2895
2021,"Camden 022","E02000187",3817,33,14,0,3770
2021,"Camden 023","E02000188",2719,32,15,0,2672
2021,"Camden 026","E02000191",2107,21,6,4,2076
2021,"Camden 027","E02000192",3091,35,18,1,3037
2021,"Camden 028","E02000193",3099,34,12,5,3048
2021,"Croydon 001","E02000194",4203,56,24,4,4119
2021,"Croydon 002","E02000195",3486,50,19,0,3417
2021,"Croydon 003","E02000196",2814,29,12,1,2772
2021,"Croydon 004","E02000197",3316,29,16,5,3266
2021,"Croydon 005","E02000198",3498,27,30,1,3440
2021,"Croydon 006","E02000199",3206,38,9,1,3158
2021,"Croydon 007","E02000200",4001,48,9,2,3942
2021,"Croydon 008","E02000201",3819,52,24,2,3741
2021,"Croydon 009","E02000202",3035,34,14,3,2984
2021,"Croydon 010","E02000203",3119,23,13,1,3082
2021,"Croydon 011","E02000204",3225,22,14,1,3188
2021,"Croydon 013","E02000206",4464,48,17,3,4396
2021,"Croydon 014","E02000207",3558,34,15,2,3507
2021,"Croydon 015","E02000208",4098,23,22,0,4053
2021,"Croydon 016","E02000209",3063,29,11,3,3020
2021,"Croydon 017","E02000210",3444,45,17,3,3379
2021,"Croydon 018","E02000211",3294,99,28,11,3156
2021,"Croydon 019","E02000212",3263,30,6,1,3226
2021,"Croydon 020","E02000213",5390,49,26,2,5313
2021,"Croydon 021","E02000214",2324,43,14,4,2263
2021,"Croydon 022","E02000215",5258,77,41,1,5139
2021,"Croydon 023","E02000216",2941,51,24,3,2863
2021,"Croydon 024","E02000217",5020,63,40,2,4915
2021,"Croydon 025","E02000218",2351,52,16,3,2280
2021,"Croydon 026","E02000219",2983,90,22,8,2863
2021,"Croydon 028","E02000221",3988,59,34,1,3894
2021,"Croydon 029","E02000222",3634,67,26,1,3540
2021,"Croydon 030","E02000223",2790,48,12,5,2725
2021,"Croydon 031","E02000224",3271,35,25,4,3207
2021,"Croydon 032","E02000225",2658,57,24,3,2574
2021,"Croydon 033","E02000226",2782,88,28,6,2660
2021,"Croydon 034","E02000227",4838,115,39,13,4671
2021,"Croydon 035","E02000228",3008,100,43,8,2857
2021,"Croydon 036","E02000229",2236,56,14,0,2166
2021,"Croydon 037","E02000230",4231,89,31,9,4102
2021,"Croydon 038","E02000231",2751,61,22,1,2667
2021,"Croydon 039","E02000232",2370,96,25,6,2243
2021,"Croydon 040","E02000233",2396,62,14,7,2313
2021,"Croydon 041","E02000234",3719,100,28,3,3588
2021,"Croydon 042","E02000235",2657,73,26,7,2551
2021,"Croydon 043","E02000236",3307,68,35,7,3197
2021,"Croydon 044","E02000237",3034,117,36,8,2873
2021,"Ealing 001","E02000238",3733,54,11,0,3668
2021,"Ealing 002","E02000239",2930,40,11,3,2876
2021,"Ealing 003","E02000240",3895,111,13,2,3769
2021,"Ealing 004","E02000241",2600,77,11,3,2509
2021,"Ealing 005","E02000242",2228,17,0,1,2210
2021,"Ealing 006","E02000243",3128,39,23,6,3060
2021,"Ealing 007","E02000244",2937,30,8,0,2899
2021,"Ealing 008","E02000245",3354,50,16,3,3285
2021,"Ealing 009","E02000246",3072,62,15,7,2988
2021,"Ealing 010","E02000247",3891,66,15,3,3807
2021,"Ealing 011","E02000248",2988,25,13,1,2949
2021,"Ealing 012","E02000249",2915,33,14,3,2865
2021,"Ealing 013","E02000250",2544,35,21,1,2487
2021,"Ealing 014","E02000251",2542,25,8,2,2507
2021,"Ealing 015","E02000252",4409,43,15,0,4351
2021,"Ealing 016","E02000253",3838,44,13,4,3777
2021,"Ealing 017","E02000254",2607,17,8,2,2580
2021,"Ealing 018","E02000255",3791,35,16,4,3736
2021,"Ealing 019","E02000256",4024,26,25,3,3970
2021,"Ealing 021","E02000258",2601,31,14,3,2553
2021,"Ealing 022","E02000259",2395,24,20,2,2349
2021,"Ealing 023","E02000260",2753,10,6,2,2735
2021,"Ealing 024","E02000261",4975,31,21,1,4922
2021,"Ealing 025","E02000262",3946,26,33,1,3886
2021,"Ealing 026","E02000263",3644,10,10,1,3623
2021,"Ealing 027","E02000264",3540,38,23,2,3477
2021,"Ealing 028","E02000265",4736,41,19,4,4672
2021,"Ealing 029","E02000266",4294,37,19,1,4237
2021,"Ealing 030","E02000267",3219,35,13,3,3168
2021,"Ealing 031","E02000268",3862,76,30,3,3753
2021,"Ealing 032","E02000269",3300,38,16,2,3244
2021,"Ealing 033","E02000270",4116,24,23,7,4062
2021,"Ealing 034","E02000271",2976,37,17,5,2917
2021,"Ealing 035","E02000272",2541,34,7,1,2499
2021,"Ealing 038","E02000275",2350,12,7,0,2331
2021,"Ealing 039","E02000276",2726,41,22,3,2660
2021,"Enfield 001","E02000277",2624,54,10,0,2560
2021,"Enfield 002","E02000278",3339,36,11,6,3286
2021,"Enfield 003","E02000279",4415,49,18,3,4345
2021,"Enfield 004","E02000280",3413,76,22,1,3314
2021,"Enfield 005","E02000281",3549,50,20,4,3475
2021,"Enfield 006","E02000282",3464,41,16,1,3406
2021,"Enfield 007","E02000283",2799,29,15,3,2752
2021,"Enfield 008","E02000284",3619,55,25,4,3535
2021,"Enfield 009","E02000285",2460,73,18,2,2367
2021,"Enfield 010","E02000286",4000,109,34,7,3850
2021,"Enfield 011","E02000287",2872,62,17,0,2793
2021,"Enfield 012","E02000288",4052,41,20,4,3987
2021,"Enfield 013","E02000289",2425,66,17,4,2338
2021,"Enfield 014","E02000290",2517,14,9,1,2493
2021,"Enfield 015","E02000291",4330,87,27,2,4214
2021,"Enfield 016","E02000292",3569,54,16,1,3498
2021,"Enfield 017","E02000293",2493,66,24,7,2396
2021,"Enfield 018","E02000294",3087,41,11,1,3034
2021,"Enfield 019","E02000295",3351,56,20,4,3271
2021,"Enfield 020","E02000296",4041,49,27,4,3961
2021,"Enfield 021","E02000297",3475,69,23,5,3378
2021,"Enfield 022","E02000298",3056,47,21,6,2982
2021,"Enfield 023","E02000299",3315,25,14,2,3274
2021,"Enfield 024","E02000300",2998,38,13,1,2946
2021,"Enfield 025","E02000301",3721,36,17,0,3668
2021,"Enfield 026","E02000302",3113,39,7,6,3061
2021,"Enfield 027","E02000303",2975,34,14,10,2917
2021,"Enfield 028","E02000304",2909,44,13,0,2852
2021,"Enfield 029","E02000305",3453,35,7,5,3406
2021,"Enfield 030","E02000306",3399,22,14,3,3360
2021,"Enfield 031","E02000307",3344,27,13,3,3301
2021,"Enfield 032","E02000308",3224,33,11,1,3179
2021,"Enfield 033","E02000309",3988,28,20,3,3937
2021,"Enfield 035","E02000311",3634,28,16,0,3590
2021,"Enfield 036","E02000312",4494,30,19,2,4443
2021,"Greenwich 001","E02000313",2596,50,16,3,2527
2021,"Greenwich 002","E02000314",4536,55,19,3,4459
2021,"Greenwich 003","E02000315",3491,64,17,4,3406
2021,"Greenwich 005","E02000317",2821,43,13,2,2763
2021,"Greenwich 006","E02000318",3578,197,13,3,3365
2021,"Greenwich 007","E02000319",3919,93,23,1,3802
2021,"Greenwich 008","E02000320",2556,56,8,1,2491
2021,"Greenwich 009","E02000321",2958,73,13,0,2872
2021,"Greenwich 011","E02000323",4820,100,20,4,4696
2021,"Greenwich 012","E02000324",2854,60,19,4,2771
2021,"Greenwich 014","E02000326",3049,49,17,3,2980
2021,"Greenwich 015","E02000327",2635,48,15,4,2568
2021,"Greenwich 016","E02000328",2946,52,20,2,2872
2021,"Greenwich 017","E02000329",2462,68,14,6,2374
2021,"Greenwich 019","E02000331",3191,65,12,0,3114
2021,"Greenwich 020","E02000332",3000,68,24,5,2903
2021,"Greenwich 021","E02000333",2883,64,33,5,2781
2021,"Greenwich 022","E02000334",2541,48,18,2,2473
2021,"Greenwich 023","E02000335",2593,78,28,6,2481
