"date","geography","geography code","Unemployment history: Total: All usual residents aged 16 years and over not in employment the week before the census","Unemployment history: Not in employment: Worked in the last 12 months","Unemployment history: Not in employment: Not worked in the last 12 months","Unemployment history: Not in employment: Never worked"
2021,"Ealing 012","E02000249",2817,411,1279,1127
2021,"Ealing 013","E02000250",2043,272,1274,497
2021,"Ealing 014","E02000251",2795,435,1184,1176
2021,"Ealing 015","E02000252",5052,1266,1730,2056
2021,"Ealing 016","E02000253",3801,488,1723,1590
2021,"Ealing 017","E02000254",3492,521,1357,1614
2021,"Ealing 018","E02000255",3289,456,1768,1065
2021,"Ealing 019","E02000256",2582,460,1436,686
2021,"Ealing 021","E02000258",2097,371,974,752
2021,"Ealing 022","E02000259",1848,292,1019,537
2021,"Ealing 023","E02000260",4022,614,1395,2013
2021,"Ealing 024","E02000261",3864,721,1610,1533
2021,"Ealing 025","E02000262",2713,500,1182,1031
2021,"Ealing 026","E02000263",5322,769,1772,2781
2021,"Ealing 027","E02000264",2628,495,1365,768
2021,"Ealing 028","E02000265",3550,635,1651,1264
2021,"Ealing 029","E02000266",4863,670,1861,2332
2021,"Ealing 030","E02000267",2231,345,1158,728
2021,"Ealing 031","E02000268",2925,460,1627,838
2021,"Ealing 032","E02000269",2164,334,1340,490
2021,"Ealing 033","E02000270",2710,483,1103,1124
2021,"Ealing 034","E02000271",1908,323,1159,426
2021,"Ealing 035","E02000272",2016,304,1217,495
2021,"Ealing 038","E02000275",3170,452,1167,1551
2021,"Ealing 039","E02000276",1760,317,937,506
2021,"Enfield 001","E02000277",2638,386,1237,1015
2021,"Enfield 002","E02000278",3626,475,1562,1589
2021,"Enfield 003","E02000279",3951,560,1627,1764
2021,"Enfield 004","E02000280",2774,344,1637,793
2021,"Enfield 005","E02000281",3138,441,1534,1163
2021,"Enfield 006","E02000282",3686,513,1396,1777
2021,"Enfield 007","E02000283",3006,431,1337,1238
2021,"Enfield 008","E02000284",2682,365,1543,774
2021,"Enfield 009","E02000285",2145,276,1366,503
2021,"Enfield 010","E02000286",2884,351,1885,648
2021,"Enfield 011","E02000287",2595,283,1632,680
2021,"Enfield 012","E02000288",4593,578,1700,2315
2021,"Enfield 013","E02000289",2268,301,1417,550
2021,"Enfield 014","E02000290",2318,319,911,1088
2021,"Enfield 015","E02000291",3433,555,1735,1143
2021,"Enfield 016","E02000292",3138,464,1560,1114
2021,"Enfield 017","E02000293",2305,265,1482,558
2021,"Enfield 018","E02000294",3519,484,1488,1547
2021,"Enfield 019","E02000295",2920,422,1600,898
2021,"Enfield 020","E02000296",3488,500,1739,1249
2021,"Enfield 021","E02000297",3223,415,1956,852
