"date","geography","geography code","Disability: Total: All usual residents","Disability: Disabled under the Equality Act","Disability: Disabled under the Equality Act: Day-to-day activities limited a lot","Disability: Disabled under the Equality Act: Day-to-day activities limited a little","Disability: Not disabled under the Equality Act","Disability: Not disabled under the Equality Act: Has long term physical or mental health condition but day-to-day activities are not limited","Disability: Not disabled under the Equality Act: No long term physical or mental health conditions"
2021,"Enfield 013","E02000289",6774,818,321,497,5956,393,5563
2021,"Enfield 014","E02000290",6684,926,469,457,5758,229,5529
2021,"Enfield 015","E02000291",10162,1469,705,764,8693,511,8182
2021,"Enfield 016","E02000292",9837,1238,543,695,8599,453,8146
2021,"Enfield 017","E02000293",6394,804,317,487,5590,389,5201
2021,"Enfield 018","E02000294",9368,1301,630,671,8067,319,7748
2021,"Enfield 019","E02000295",8691,1096,500,596,7595,449,7146
2021,"Enfield 020","E02000296",10343,1490,706,784,8853,463,8390
2021,"Enfield 021","E02000297",9398,1252,521,731,8146,520,7626
2021,"Enfield 022","E02000298",8253,952,388,564,7301,475,6826
2021,"Enfield 023","E02000299",9494,1231,679,552,8263,348,7915
2021,"Enfield 024","E02000300",8855,1184,569,615,7671,274,7397
2021,"Enfield 025","E02000301",10220,1430,729,701,8790,342,8448
2021,"Enfield 026","E02000302",8668,1115,506,609,7553,395,7158
2021,"Enfield 027","E02000303",8367,1304,669,635,7063,288,6775
2021,"Enfield 028","E02000304",8041,975,398,577,7066,499,6567
2021,"Enfield 029","E02000305",8877,1068,451,617,7809,485,7324
2021,"Enfield 030","E02000306",9133,1434,762,672,7699,271,7428
2021,"Enfield 031","E02000307",10112,1236,589,647,8876,383,8493
2021,"Enfield 032","E02000308",8759,1184,507,677,7575,390,7185
2021,"Enfield 033","E02000309",11794,1471,707,764,10323,331,9992
2021,"Enfield 035","E02000311",10544,1378,673,705,9166,377,8789
2021,"Enfield 036","E02000312",11303,1400,558,842,9903,559,9344
2021,"Greenwich 001","E02000313",6489,1003,494,509,5486,250,5236
2021,"Greenwich 002","E02000314",14106,1955,883,1072,12151,651,11500
2021,"Greenwich 003","E02000315",9871,1543,781,762,8328,391,7937
2021,"Greenwich 005","E02000317",7561,1208,567,641,6353,339,6014
2021,"Greenwich 006","E02000318",11064,1438,669,769,9626,411,9215
2021,"Greenwich 007","E02000319",10618,1426,614,812,9192,483,8709
2021,"Greenwich 008","E02000320",7041,995,490,505,6046,352,5694
2021,"Greenwich 009","E02000321",7721,1252,595,657,6469,322,6147
2021,"Greenwich 011","E02000323",12861,1641,763,878,11220,575,10645
