"date","geography","geography code","Type of central heating in household: Total: All households","Type of central heating in household: No central heating","Type of central heating in household: Mains gas only","Type of central heating in household: Tank or bottled gas only","Type of central heating in household: Electric only","Type of central heating in household: Oil only","Type of central heating in household: Wood only","Type of central heating in household: Solid fuel only","Type of central heating in household: Renewable energy only","Type of central heating in household: District or communal heat networks only","Type of central heating in household: Other central heating only","Type of central heating in household: Two or more types of central heating (not including renewable energy)","Type of central heating in household: Two or more types of central heating (including renewable energy)"
2021,"Croydon 035","E02000228",3006,21,2564,4,161,1,0,1,6,15,11,202,20
2021,"Croydon 036","E02000229",2236,44,1733,16,104,1,0,1,3,21,47,254,12
2021,"Croydon 037","E02000230",4231,51,3220,16,498,3,6,1,9,12,53,327,35
2021,"Croydon 038","E02000231",2749,21,2309,11,99,3,0,1,11,3,15,242,34
2021,"Croydon 039","E02000232",2370,20,2055,7,68,1,0,0,5,5,14,180,15
2021,"Croydon 040","E02000233",2401,35,2033,11,102,0,1,1,5,10,25,171,7
2021,"Croydon 041","E02000234",3714,51,2902,6,375,1,0,0,12,8,51,274,34
2021,"Croydon 042","E02000235",2655,20,2248,8,133,6,2,0,2,4,10,211,11
2021,"Croydon 043","E02000236",3309,21,2825,15,86,0,0,0,4,2,26,247,83
2021,"Croydon 044","E02000237",3038,25,2579,6,111,6,3,2,8,29,12,246,11
2021,"Ealing 001","E02000238",3736,49,2845,22,301,3,0,2,9,130,52,317,6
2021,"Ealing 002","E02000239",2927,39,2450,18,145,3,0,0,0,18,40,206,8
2021,"Ealing 003","E02000240",3896,74,3000,34,270,1,0,1,2,113,67,325,9
2021,"Ealing 004","E02000241",2599,54,2013,16,243,6,1,0,3,12,35,208,8
2021,"Ealing 005","E02000242",2227,43,1729,13,241,1,0,0,0,9,36,149,6
2021,"Ealing 006","E02000243",3128,45,2502,18,226,1,1,0,3,14,49,262,7
2021,"Ealing 007","E02000244",2937,68,2230,11,355,1,0,0,2,12,56,198,4
2021,"Ealing 008","E02000245",3354,94,2303,24,513,1,0,0,2,45,69,288,15
2021,"Ealing 009","E02000246",3071,78,2350,38,215,1,0,1,3,49,76,248,12
2021,"Ealing 010","E02000247",3895,74,2920,31,360,2,0,2,3,48,70,374,11
2021,"Ealing 011","E02000248",2989,74,2290,20,322,2,0,0,4,24,53,197,3
2021,"Ealing 012","E02000249",2912,48,2280,20,270,0,0,1,0,33,53,201,6
2021,"Ealing 013","E02000250",2549,30,2093,8,182,5,0,0,4,41,24,156,6
