"date","geography","geography code","Number of rooms (VOA): Total: All households","Number of rooms (VOA): 1 room","Number of rooms (VOA): 2 rooms","Number of rooms (VOA): 3 rooms","Number of rooms (VOA): 4 rooms","Number of rooms (VOA): 5 rooms","Number of rooms (VOA): 6 rooms","Number of rooms (VOA): 7 rooms","Number of rooms (VOA): 8 rooms","Number of rooms (VOA): 9 or more rooms"
2021,"Brent 029","E02000121",3627,120,598,1144,403,1157,142,31,12,20
2021,"Brent 030","E02000122",3161,70,484,858,372,533,399,211,138,96
2021,"Brent 031","E02000123",5539,398,1420,1887,833,549,263,102,49,38
2021,"Brent 032","E02000124",4158,130,849,1498,451,547,399,149,99,36
2021,"Brent 033","E02000125",3943,138,566,1176,549,910,375,177,33,19
2021,"Brent 034","E02000126",3405,113,1041,1440,518,213,54,12,8,6
2021,"Bromley 001","E02000127",3785,16,525,1147,1232,567,174,60,29,35
2021,"Bromley 002","E02000128",3063,1,178,607,654,1211,224,94,51,43
2021,"Bromley 004","E02000130",3664,58,701,732,628,930,416,120,51,28
2021,"Bromley 005","E02000131",5068,133,1694,1920,809,306,102,63,21,20
2021,"Bromley 006","E02000132",4942,142,1273,1907,641,585,266,63,34,31
2021,"Bromley 007","E02000133",4328,30,195,663,735,811,695,512,334,353
2021,"Bromley 008","E02000134",5299,117,1120,1777,879,727,372,150,68,89
2021,"Bromley 009","E02000135",4443,181,1282,1509,978,345,77,38,12,21
2021,"Bromley 010","E02000136",2294,35,202,638,445,415,225,172,78,84
2021,"Bromley 011","E02000137",3673,21,653,1020,554,621,436,178,112,78
2021,"Bromley 012","E02000138",4140,37,735,1393,518,550,439,251,135,82
2021,"Bromley 013","E02000139",3307,34,536,736,532,835,326,153,110,45
2021,"Bromley 014","E02000140",3339,34,526,1011,954,662,101,34,12,5
2021,"Bromley 015","E02000141",3093,44,534,860,529,858,158,73,25,12
2021,"Bromley 016","E02000142",3452,37,358,679,513,999,425,186,161,94
2021,"Bromley 018","E02000144",4312,55,664,1279,725,861,404,191,91,42
2021,"Bromley 019","E02000145",3512,25,392,1175,1006,757,86,39,11,21
2021,"Bromley 020","E02000146",4040,88,467,1015,905,1139,274,87,47,18
2021,"Bromley 021","E02000147",3167,19,280,479,212,869,750,311,150,97
2021,"Bromley 022","E02000148",2698,25,104,379,353,995,361,253,127,101
2021,"Bromley 023","E02000149",3284,15,281,946,939,822,176,69,29,7
2021,"Bromley 024","E02000150",3115,4,220,235,334,1781,334,100,56,51
2021,"Bromley 025","E02000151",2968,0,32,375,427,1312,523,199,64,36
2021,"Bromley 026","E02000152",3096,18,245,687,911,895,213,80,37,10
2021,"Bromley 027","E02000153",2895,0,29,199,658,1461,360,139,36,13
2021,"Bromley 028","E02000154",3573,51,362,695,615,1008,481,206,103,52
