"date","geography","geography code","Accommodation type: Total: All households","Accommodation type: Detached","Accommodation type: Semi-detached","Accommodation type: Terraced","Accommodation type: In a purpose-built block of flats or tenement","Accommodation type: Part of a converted or shared house, including bedsits","Accommodation type: Part of another converted building, for example, former school, church or warehouse","Accommodation type: In a commercial building, for example, in an office building, hotel or over a shop","Accommodation type: A caravan or other mobile or temporary structure"
2021,"Camden 026","E02000191",2106,9,6,82,1573,249,43,143,1
2021,"Camden 027","E02000192",3090,11,22,116,2272,349,179,139,2
2021,"Camden 028","E02000193",3101,16,15,63,2393,284,110,218,2
2021,"Croydon 001","E02000194",4202,235,464,641,1852,825,51,133,1
2021,"Croydon 002","E02000195",3490,585,1401,540,687,230,13,33,1
2021,"Croydon 003","E02000196",2815,167,962,795,512,265,28,75,11
2021,"Croydon 004","E02000197",3320,215,920,1266,591,225,33,70,0
2021,"Croydon 005","E02000198",3502,122,730,922,1069,534,33,70,22
2021,"Croydon 006","E02000199",3207,158,616,1465,458,440,25,44,1
2021,"Croydon 007","E02000200",4002,120,643,671,1621,847,32,65,3
2021,"Croydon 008","E02000201",3822,95,373,888,1724,570,59,112,1
2021,"Croydon 009","E02000202",3033,193,443,1783,372,195,9,38,0
2021,"Croydon 010","E02000203",3119,132,483,966,893,574,18,53,0
2021,"Croydon 011","E02000204",3227,212,658,1411,526,325,16,79,0
2021,"Croydon 013","E02000206",4465,182,707,1022,1574,871,41,62,6
2021,"Croydon 014","E02000207",3559,129,859,1313,859,332,20,45,2
2021,"Croydon 015","E02000208",4098,206,529,853,1903,416,70,99,22
2021,"Croydon 016","E02000209",3063,217,614,1572,520,111,7,21,1
2021,"Croydon 017","E02000210",3443,100,696,1856,576,171,11,31,2
2021,"Croydon 018","E02000211",3295,777,1333,761,346,40,18,20,0
2021,"Croydon 019","E02000212",3263,146,832,1093,898,197,9,74,14
2021,"Croydon 020","E02000213",5391,137,483,553,3148,830,138,95,7
2021,"Croydon 021","E02000214",2324,161,616,1128,208,150,7,53,1
2021,"Croydon 022","E02000215",5255,211,650,1019,2217,1010,68,76,4
2021,"Croydon 023","E02000216",2942,612,188,543,1538,50,4,5,2
2021,"Croydon 024","E02000217",5018,182,756,1196,2363,379,56,81,5
2021,"Croydon 025","E02000218",2349,217,1044,267,776,16,1,28,0
2021,"Croydon 026","E02000219",2983,764,1538,280,306,49,8,37,1
2021,"Croydon 028","E02000221",3990,289,1280,816,1454,117,12,19,3
2021,"Croydon 029","E02000222",3634,741,501,674,1057,577,34,48,2
2021,"Croydon 030","E02000223",2789,102,468,1065,1129,13,0,12,0
2021,"Croydon 031","E02000224",3271,213,920,567,790,703,16,62,0
2021,"Croydon 032","E02000225",2658,75,1652,551,350,20,1,7,2
