"date","geography","geography code","Method of travel to workplace: Total: All usual residents aged 16 years and over in employment the week before the census","Method of travel to workplace: Work mainly at or from home","Method of travel to workplace: Underground, metro, light rail, tram","Method of travel to workplace: Train","Method of travel to workplace: Bus, minibus or coach","Method of travel to workplace: Taxi","Method of travel to workplace: Motorcycle, scooter or moped","Method of travel to workplace: Driving a car or van","Method of travel to workplace: Passenger in a car or van","Method of travel to workplace: Bicycle","Method of travel to workplace: On foot","Method of travel to workplace: Other method of travel to work"
2021,"Brent 013","E02000105",4611,1047,683,297,769,24,43,1292,92,81,218,65
2021,"Brent 014","E02000106",4485,931,829,224,764,22,80,1121,110,100,244,60
2021,"Brent 015","E02000107",5525,1943,934,245,926,22,87,781,53,169,304,61
2021,"Brent 016","E02000108",3513,828,555,152,520,9,41,1028,117,57,159,47
2021,"Brent 018","E02000110",3973,1601,840,127,282,22,63,617,52,135,183,51
2021,"Brent 019","E02000111",5306,1027,650,436,1006,25,49,1198,107,187,565,56
2021,"Brent 020","E02000112",6082,1159,894,411,1384,23,74,1075,132,201,653,76
2021,"Brent 021","E02000113",3448,657,373,206,654,26,48,994,67,78,279,66
2021,"Brent 022","E02000114",4799,1792,1014,166,613,27,78,624,44,173,207,61
2021,"Brent 023","E02000115",4436,2202,750,171,326,23,41,517,20,145,193,48
2021,"Brent 024","E02000116",3721,831,664,214,828,33,73,598,54,133,225,68
2021,"Brent 025","E02000117",5015,1078,614,276,1110,36,101,1101,76,154,392,77
2021,"Brent 026","E02000118",5649,826,691,441,834,17,37,1396,175,217,948,67
2021,"Brent 027","E02000119",4419,1201,547,237,705,35,44,1058,73,113,329,77
2021,"Brent 028","E02000120",5051,2458,720,226,533,42,33,427,26,199,325,62
2021,"Brent 029","E02000121",5892,1228,760,410,859,24,66,1238,138,209,886,74
2021,"Brent 030","E02000122",4093,2100,459,120,254,19,40,615,57,158,227,44
2021,"Brent 031","E02000123",6207,1742,922,416,1145,44,138,989,66,227,437,81
2021,"Brent 032","E02000124",5306,2925,655,173,402,36,51,441,40,240,297,46
2021,"Brent 033","E02000125",5226,2454,676,216,478,48,66,710,50,228,241,59
2021,"Brent 034","E02000126",3765,1358,518,187,599,20,21,527,32,148,298,57
2021,"Bromley 001","E02000127",4262,1408,126,486,421,20,41,1389,121,52,140,58
2021,"Bromley 002","E02000128",3738,1724,52,334,137,16,24,1143,79,39,142,48
2021,"Bromley 004","E02000130",4557,2430,192,514,282,16,22,728,35,111,192,35
2021,"Bromley 005","E02000131",6241,3357,350,680,484,15,53,844,49,146,215,48
2021,"Bromley 006","E02000132",5535,2876,217,668,279,14,49,1023,58,66,251,34
2021,"Bromley 007","E02000133",5206,3128,48,491,89,9,17,1177,56,35,113,43
2021,"Bromley 008","E02000134",6145,2940,139,594,410,24,48,1335,88,76,425,66
2021,"Bromley 009","E02000135",4865,1782,273,562,683,21,35,995,61,90,293,70
2021,"Bromley 010","E02000136",2499,1021,27,213,104,14,20,894,61,28,88,29
2021,"Bromley 011","E02000137",4253,2218,89,450,144,10,25,974,62,56,180,45
2021,"Bromley 012","E02000138",4374,2475,130,425,130,11,23,917,32,55,139,37
2021,"Bromley 013","E02000139",4141,2290,104,416,136,12,45,808,48,72,168,42
2021,"Bromley 014","E02000140",3815,1044,79,387,295,21,36,1533,121,26,224,49
2021,"Bromley 015","E02000141",3912,1903,150,385,244,16,23,860,57,78,155,41
2021,"Bromley 016","E02000142",4412,2263,59,446,159,16,18,1071,59,52,226,43
2021,"Bromley 018","E02000144",5504,2839,127,666,312,19,23,1066,74,50,281,47
2021,"Bromley 019","E02000145",3936,1160,55,445,318,17,31,1508,108,27,212,55
2021,"Bromley 020","E02000146",5154,2508,95,499,259,20,27,1296,63,61,268,58
2021,"Bromley 021","E02000147",3768,2025,45,312,100,9,23,987,50,56,121,40
2021,"Bromley 022","E02000148",3131,1670,27,302,82,10,6,822,54,30,98,30
2021,"Bromley 023","E02000149",3983,1427,46,394,224,12,29,1476,89,33,203,50
2021,"Bromley 024","E02000150",4165,2029,50,318,148,6,21,1236,81,54,179,43
2021,"Bromley 025","E02000151",3508,1985,23,346,69,5,13,841,48,18,129,31
2021,"Bromley 026","E02000152",3741,1471,42,331,264,9,29,1280,85,34,153,43
2021,"Bromley 027","E02000153",3943,1871,30,339,119,21,24,1262,83,34,125,35
2021,"Bromley 028","E02000154",4228,2018,45,413,299,13,28,1093,72,22,193,32
2021,"Bromley 029","E02000155",3281,1165,30,297,182,18,20,1266,81,22,165,35
2021,"Bromley 030","E02000156",5785,2817,50,454,169,30,21,1767,86,63,279,49
2021,"Bromley 031","E02000157",3921,2025,31,326,96,17,9,1123,76,22,174,22
2021,"Bromley 032","E02000158",3373,1381,45,278,189,15,17,1140,101,18,146,43
2021,"Bromley 033","E02000159",3350,1542,25,223,103,13,10,1171,66,30,136,31
2021,"Bromley 034","E02000160",3804,1717,27,288,138,18,25,1301,78,39,133,40
2021,"Bromley 035","E02000161",4143,2054,44,376,108,15,19,1217,75,24,174,37
2021,"Bromley 036","E02000162",3151,1305,24,199,139,15,9,1138,79,21,188,34
2021,"Bromley 037","E02000163",3692,1828,20,303,93,15,10,1140,92,28,129,34
2021,"Bromley 039","E02000165",3723,1138,28,186,128,9,35,1935,104,11,112,37
2021,"Camden 001","E02000166",3667,2191,278,87,225,19,25,294,22,175,314,37
2021,"Camden 002","E02000167",3825,2680,332,55,86,42,7,209,16,106,264,28
2021,"Camden 003","E02000168",4338,2637,410,112,191,29,10,264,12,253,384,36
2021,"Camden 004","E02000169",3573,2472,321,52,91,42,17,297,22,81,142,36
2021,"Camden 005","E02000170",4448,2737,494,140,244,22,28,361,19,130,223,50
2021,"Camden 006","E02000171",3962,2416,384,78,174,30,21,244,24,166,370,55
2021,"Camden 007","E02000172",4314,1928,437,192,419,29,35,381,30,230,574,59
2021,"Camden 008","E02000173",4121,2633,412,56,107,32,20,209,18,114,478,42
2021,"Camden 009","E02000174",4072,2245,360,121,305,19,21,274,18,224,429,56
2021,"Camden 010","E02000175",5328,3419,716,189,187,20,23,293,18,142,284,37
2021,"Camden 011","E02000176",3464,2410,369,54,73,36,15,162,5,91,220,29
2021,"Camden 012","E02000177",4041,2079,352,131,350,26,24,321,25,187,492,54
2021,"Camden 013","E02000178",4825,2531,757,211,349,29,41,369,22,131,329,56
2021,"Camden 014","E02000179",2851,1724,276,56,166,22,11,238,10,96,221,31
2021,"Camden 015","E02000180",4059,2187,326,106,336,32,20,297,18,260,418,59
2021,"Camden 016","E02000181",4841,3288,563,95,131,32,9,285,25,136,237,40
2021,"Camden 017","E02000182",3393,2117,404,61,175,29,7,204,21,81,252,42
2021,"Camden 018","E02000183",3846,2398,313,85,171,40,15,264,26,147,356,31
2021,"Camden 019","E02000184",3949,1942,384,138,397,24,20,312,18,192,477,45
2021,"Camden 020","E02000185",3904,1729,432,167,518,26,28,395,26,155,375,53
2021,"Camden 021","E02000186",3111,1772,262,74,233,23,17,178,13,134,371,34
2021,"Camden 022","E02000187",3607,1412,344,130,446,26,23,311,26,181,653,55
