"date","geography","geography code","Multi religion household: Total","Multi religion household: One-person household","Multi religion household: Multi-person household: No people stated their religion","Multi religion household: Multi-person household: Same religion (at least one person has stated a religion but the household may include people who did not state their religion)","Multi religion household: Multi-person household: No religion (household may include people who did not state their religion)","Multi religion household: Multi-person household: Same religion and no religion (household may include people who did not state their religion)","Multi religion household: Multi-person household: At least two different religions stated (household may include people with no religion and who did not state their religion)"
2021,"Bromley 020","E02000146",4039,1243,75,1132,909,631,49
2021,"Bromley 021","E02000147",3167,781,64,1214,550,500,58
2021,"Bromley 022","E02000148",2699,673,64,997,475,444,46
2021,"Bromley 023","E02000149",3284,898,58,1022,776,502,28
2021,"Bromley 024","E02000150",3115,654,66,1126,640,569,60
2021,"Bromley 025","E02000151",2971,644,54,1160,575,487,51
2021,"Bromley 026","E02000152",3096,825,84,1018,632,476,61
2021,"Bromley 027","E02000153",2895,516,69,1064,656,545,45
2021,"Bromley 028","E02000154",3570,997,70,1222,694,516,71
2021,"Bromley 029","E02000155",3040,899,67,1049,558,419,48
2021,"Bromley 030","E02000156",4862,1195,96,1768,889,849,65
2021,"Bromley 031","E02000157",3282,732,56,1289,621,543,41
2021,"Bromley 032","E02000158",3034,715,82,1157,574,450,56
2021,"Bromley 033","E02000159",2823,661,61,1049,525,480,47
2021,"Bromley 034","E02000160",3042,657,66,1051,650,567,51
2021,"Bromley 035","E02000161",3345,740,68,1319,658,510,50
2021,"Bromley 036","E02000162",2964,932,57,996,522,424,33
2021,"Bromley 037","E02000163",3068,734,71,1110,606,510,37
2021,"Bromley 039","E02000165",2741,566,64,875,708,506,22
2021,"Camden 001","E02000166",3396,1197,86,752,763,524,74
2021,"Camden 002","E02000167",3374,1273,131,768,632,457,113
2021,"Camden 003","E02000168",3496,1256,69,675,883,526,87
2021,"Camden 004","E02000169",3027,878,125,980,489,415,140
2021,"Camden 005","E02000170",3465,1158,79,1007,578,512,131
2021,"Camden 006","E02000171",3330,1209,90,744,697,506,84
2021,"Camden 007","E02000172",4035,1452,89,1185,763,464,82
2021,"Camden 008","E02000173",3502,1426,138,879,520,404,135
2021,"Camden 009","E02000174",3552,1273,99,838,827,441,74
2021,"Camden 010","E02000175",4307,1706,104,990,824,561,122
2021,"Camden 011","E02000176",3001,1345,83,642,511,329,91
2021,"Camden 012","E02000177",3654,1328,84,1040,662,442,98
2021,"Camden 013","E02000178",4166,1611,82,1196,672,478,127
2021,"Camden 014","E02000179",2547,972,86,718,394,301,76
2021,"Camden 015","E02000180",3515,1288,76,815,802,452,82
2021,"Camden 016","E02000181",3751,1295,94,924,757,569,112
2021,"Camden 017","E02000182",3084,1100,117,923,476,328,140
2021,"Camden 018","E02000183",3617,1537,92,867,608,439,74
2021,"Camden 019","E02000184",3633,1322,99,972,679,453,108
2021,"Camden 020","E02000185",4069,1749,99,1274,435,405,107
2021,"Camden 021","E02000186",2941,1212,72,632,546,390,89
2021,"Camden 022","E02000187",3817,1373,99,1352,502,402,89
2021,"Camden 023","E02000188",2719,937,78,1009,354,277,64
2021,"Camden 026","E02000191",2105,1068,52,377,336,213,59
2021,"Camden 027","E02000192",3089,1305,83,826,485,330,60
2021,"Camden 028","E02000193",3101,1630,67,586,427,336,55
2021,"Croydon 001","E02000194",4204,1522,80,1015,1015,500,72
2021,"Croydon 002","E02000195",3487,825,105,1591,481,387,98
2021,"Croydon 003","E02000196",2817,707,83,1347,278,308,94
2021,"Croydon 004","E02000197",3319,843,85,1590,327,360,114
2021,"Croydon 005","E02000198",3502,1100,90,1498,389,350,75
2021,"Croydon 006","E02000199",3204,828,74,1410,412,400,80
2021,"Croydon 007","E02000200",4002,1433,86,1267,626,475,115
2021,"Croydon 008","E02000201",3823,1377,83,1344,511,439,69
2021,"Croydon 009","E02000202",3035,724,72,1625,204,310,100
2021,"Croydon 010","E02000203",3119,1049,75,1382,268,264,81
2021,"Croydon 011","E02000204",3227,744,93,1817,169,292,112
2021,"Croydon 013","E02000206",4465,1496,121,1814,502,436,96
2021,"Croydon 014","E02000207",3560,1088,93,1350,552,401,76
2021,"Croydon 015","E02000208",4097,1276,103,1996,370,253,99
2021,"Croydon 016","E02000209",3065,639,71,1798,224,232,101
2021,"Croydon 017","E02000210",3446,934,105,1290,565,469,83
2021,"Croydon 018","E02000211",3295,859,82,1316,505,472,61
2021,"Croydon 019","E02000212",3263,718,86,1780,282,300,97
2021,"Croydon 020","E02000213",5391,1886,135,2200,567,449,154
2021,"Croydon 021","E02000214",2326,483,44,1024,343,383,49
2021,"Croydon 022","E02000215",5255,1920,104,1773,746,582,130
2021,"Croydon 023","E02000216",2944,940,59,1282,266,298,99
2021,"Croydon 024","E02000217",5021,1650,133,1898,659,555,126
2021,"Croydon 025","E02000218",2351,457,68,1125,343,292,66
2021,"Croydon 026","E02000219",2984,715,70,1341,359,436,63
2021,"Croydon 028","E02000221",3987,1096,119,1637,554,481,100
2021,"Croydon 029","E02000222",3635,1176,65,1229,643,449,73
2021,"Croydon 030","E02000223",2789,579,54,1174,601,338,43
2021,"Croydon 031","E02000224",3272,940,71,1160,536,488,77
2021,"Croydon 032","E02000225",2659,580,61,1023,590,364,41
2021,"Croydon 033","E02000226",2780,562,75,1264,381,435,63
2021,"Croydon 034","E02000227",4841,1475,95,1684,843,674,70
2021,"Croydon 035","E02000228",3007,627,65,1288,488,478,61
2021,"Croydon 036","E02000229",2237,559,43,801,505,296,33
2021,"Croydon 037","E02000230",4232,1215,109,1621,612,565,110
2021,"Croydon 038","E02000231",2749,496,69,1354,336,397,97
2021,"Croydon 039","E02000232",2367,524,73,909,431,394,36
2021,"Croydon 040","E02000233",2396,527,65,891,448,412,53
2021,"Croydon 041","E02000234",3720,967,93,1421,663,489,87
2021,"Croydon 042","E02000235",2657,544,64,1027,520,454,48
2021,"Croydon 043","E02000236",3310,562,74,1259,747,602,66
2021,"Croydon 044","E02000237",3032,758,88,1136,528,488,34
2021,"Ealing 001","E02000238",3737,881,98,2032,211,369,146
2021,"Ealing 002","E02000239",2930,535,80,1790,144,265,116
2021,"Ealing 003","E02000240",3897,862,97,2065,327,373,173
2021,"Ealing 004","E02000241",2600,578,69,1434,187,242,90
2021,"Ealing 005","E02000242",2231,409,57,1390,95,180,100
2021,"Ealing 006","E02000243",3128,848,89,1615,171,303,102
2021,"Ealing 007","E02000244",2935,826,74,1482,181,269,103
2021,"Ealing 008","E02000245",3354,865,68,1781,273,275,92
2021,"Ealing 009","E02000246",3072,634,74,1770,223,278,93
2021,"Ealing 010","E02000247",3893,962,85,2171,247,294,134
2021,"Ealing 011","E02000248",2990,881,86,1352,279,272,120
2021,"Ealing 012","E02000249",2912,735,66,1580,160,269,102
2021,"Ealing 013","E02000250",2544,660,64,950,400,375,95
2021,"Ealing 014","E02000251",2543,463,45,1643,83,171,138
2021,"Ealing 015","E02000252",4409,1643,96,1696,438,426,110
2021,"Ealing 016","E02000253",3839,1090,92,1770,376,416,95
2021,"Ealing 017","E02000254",2608,384,43,1793,60,130,198
2021,"Ealing 018","E02000255",3791,1042,104,1512,505,520,108
2021,"Ealing 019","E02000256",4026,1261,101,1341,644,533,146
2021,"Ealing 021","E02000258",2604,740,84,999,378,315,88
2021,"Ealing 022","E02000259",2395,499,56,1051,372,333,84
2021,"Ealing 023","E02000260",2755,492,42,1930,38,86,167
2021,"Ealing 024","E02000261",4976,1536,182,1919,617,548,174
2021,"Ealing 025","E02000262",3946,1368,87,1278,655,463,95
2021,"Ealing 026","E02000263",3646,633,35,2591,52,120,215
2021,"Ealing 027","E02000264",3543,1140,86,1121,568,501,127
2021,"Ealing 028","E02000265",4733,1546,104,1665,713,578,127
2021,"Ealing 029","E02000266",4295,1071,86,2425,264,302,147
2021,"Ealing 030","E02000267",3222,852,73,1229,553,445,70
2021,"Ealing 031","E02000268",3862,1167,85,1269,654,574,113
2021,"Ealing 032","E02000269",3302,883,75,995,688,535,126
2021,"Ealing 033","E02000270",4116,1389,92,1417,661,464,93
2021,"Ealing 034","E02000271",2979,865,87,875,585,492,75
2021,"Ealing 035","E02000272",2540,625,61,885,477,407,85
2021,"Ealing 038","E02000275",2348,441,31,1596,55,96,129
2021,"Ealing 039","E02000276",2723,707,65,843,580,435,93
2021,"Enfield 001","E02000277",2625,539,67,1399,266,300,54
2021,"Enfield 002","E02000278",3339,825,93,1625,395,314,87
2021,"Enfield 003","E02000279",4415,1089,127,2119,519,448,113
2021,"Enfield 004","E02000280",3414,927,89,1289,574,491,44
2021,"Enfield 005","E02000281",3549,943,91,1505,506,427,77
2021,"Enfield 006","E02000282",3469,863,103,1744,389,286,84
2021,"Enfield 007","E02000283",2800,479,84,1554,319,294,70
2021,"Enfield 008","E02000284",3619,1088,119,1277,567,491,77
2021,"Enfield 009","E02000285",2463,496,67,1184,280,379,57
2021,"Enfield 010","E02000286",4000,1475,81,1382,481,488,93
2021,"Enfield 011","E02000287",2871,769,94,1320,275,274,139
2021,"Enfield 012","E02000288",4053,971,118,2104,358,349,153
2021,"Enfield 013","E02000289",2425,466,67,1198,255,333,106
2021,"Enfield 014","E02000290",2519,726,58,1225,258,194,58
2021,"Enfield 015","E02000291",4330,1467,108,1683,526,446,100
2021,"Enfield 016","E02000292",3570,832,92,1630,444,456,116
2021,"Enfield 017","E02000293",2489,619,56,1124,297,332,61
2021,"Enfield 018","E02000294",3085,636,115,1699,233,292,110
2021,"Enfield 019","E02000295",3351,930,99,1426,404,376,116
2021,"Enfield 020","E02000296",4040,1175,127,1678,507,413,140
2021,"Enfield 021","E02000297",3475,864,97,1658,334,445,77
2021,"Enfield 022","E02000298",3056,731,77,1344,387,412,105
2021,"Enfield 023","E02000299",3314,847,87,1823,213,248,96
2021,"Enfield 024","E02000300",2997,756,82,1661,196,202,100
2021,"Enfield 025","E02000301",3725,1030,87,1918,294,293,103
2021,"Enfield 026","E02000302",3113,752,113,1435,300,407,106
2021,"Enfield 027","E02000303",2977,864,77,1457,229,255,95
2021,"Enfield 028","E02000304",2910,607,61,1286,403,426,127
2021,"Enfield 029","E02000305",3453,924,87,1318,530,479,115
2021,"Enfield 030","E02000306",3399,1027,75,1782,236,220,59
2021,"Enfield 031","E02000307",3342,665,102,1946,233,295,101
2021,"Enfield 032","E02000308",3228,830,91,1327,459,425,96
2021,"Enfield 033","E02000309",3988,977,97,2181,293,327,113
2021,"Enfield 035","E02000311",3635,824,116,1867,298,386,144
2021,"Enfield 036","E02000312",4495,1271,125,1730,669,535,165
2021,"Greenwich 001","E02000313",2596,966,33,996,342,212,47
2021,"Greenwich 002","E02000314",4536,1130,81,2245,517,388,175
2021,"Greenwich 003","E02000315",3490,916,61,1563,515,360,75
2021,"Greenwich 005","E02000317",2824,784,49,1111,473,297,110
2021,"Greenwich 006","E02000318",3581,922,53,1688,443,261,214
2021,"Greenwich 007","E02000319",3919,1115,72,1591,593,417,131
2021,"Greenwich 008","E02000320",2556,677,60,1097,403,250,69
2021,"Greenwich 009","E02000321",2958,933,46,1186,423,300,70
2021,"Greenwich 011","E02000323",4820,1507,72,1979,653,445,164
2021,"Greenwich 012","E02000324",2855,814,61,967,538,386,89
2021,"Greenwich 014","E02000326",3046,859,80,830,692,455,130
2021,"Greenwich 015","E02000327",2635,919,38,888,463,270,57
2021,"Greenwich 016","E02000328",2945,1032,57,655,700,446,55
2021,"Greenwich 017","E02000329",2462,677,49,929,428,309,70
2021,"Greenwich 019","E02000331",3192,959,59,1075,584,430,85
2021,"Greenwich 020","E02000332",2999,859,79,1045,570,377,69
2021,"Greenwich 021","E02000333",2883,1032,58,656,708,383,46
2021,"Greenwich 022","E02000334",2542,689,65,942,449,332,65
2021,"Greenwich 023","E02000335",2592,610,49,869,579,441,44
2021,"Greenwich 025","E02000337",3085,735,68,1058,661,499,64
2021,"Greenwich 027","E02000339",2592,817,40,760,531,412,32
2021,"Greenwich 028","E02000340",3020,1078,51,968,466,419,38
2021,"Greenwich 029","E02000341",2941,732,61,1028,670,397,53
2021,"Greenwich 030","E02000342",2342,699,52,716,522,319,34
2021,"Greenwich 031","E02000343",2694,750,51,937,526,384,46
2021,"Greenwich 032","E02000344",2448,599,78,881,462,389,39
2021,"Hackney 001","E02000345",2590,746,197,1279,217,115,36
2021,"Hackney 002","E02000346",3973,1229,142,1314,804,382,102
2021,"Hackney 003","E02000347",2586,713,156,1150,363,168,36
2021,"Hackney 004","E02000348",2723,830,186,1272,222,171,42
2021,"Hackney 006","E02000350",3693,1102,132,1092,930,366,71
2021,"Hackney 007","E02000351",4230,1470,88,889,1118,590,75
2021,"Hackney 008","E02000352",2685,858,69,657,727,334,40
2021,"Hackney 009","E02000353",3156,910,61,630,1032,458,65
2021,"Hackney 010","E02000354",3989,1434,72,1136,867,408,72
2021,"Hackney 011","E02000355",3114,902,69,739,977,373,54
2021,"Hackney 012","E02000356",3062,952,85,508,1023,422,72
2021,"Hackney 013","E02000357",2721,937,47,1084,328,257,68
2021,"Hackney 014","E02000358",4815,1612,104,1138,1266,591,104
2021,"Hackney 015","E02000359",2437,607,53,677,717,326,57
2021,"Hackney 016","E02000360",4853,1668,81,1605,907,483,109
2021,"Hackney 017","E02000361",3678,1327,72,793,962,413,111
2021,"Hackney 018","E02000362",2808,857,48,810,712,326,55
2021,"Hackney 019","E02000363",4441,1345,82,1704,792,426,92
2021,"Hackney 020","E02000364",4101,1456,82,876,1077,544,66
2021,"Hackney 022","E02000366",3539,1306,61,889,764,455,64
2021,"Hackney 023","E02000367",4594,1508,86,961,1326,587,126
2021,"Hackney 024","E02000368",4151,1416,80,1242,870,474,69
2021,"Hackney 025","E02000369",5928,1927,121,1608,1501,650,121
2021,"Hackney 026","E02000370",3994,1417,77,1109,803,487,101
2021,"Hammersmith and Fulham 001","E02000372",3874,1408,85,1345,475,450,111
2021,"Hammersmith and Fulham 002","E02000373",2536,659,86,1243,223,255,70
2021,"Hammersmith and Fulham 003","E02000374",2618,757,61,972,406,357,65
2021,"Hammersmith and Fulham 004","E02000375",3498,1407,66,1009,503,421,92
2021,"Hammersmith and Fulham 005","E02000376",3182,1262,58,838,536,416,72
2021,"Hammersmith and Fulham 006","E02000377",3447,1317,93,979,539,440,79
2021,"Hammersmith and Fulham 007","E02000378",3251,1379,80,823,530,366,73
2021,"Hammersmith and Fulham 008","E02000379",3104,1036,77,969,509,433,80
2021,"Hammersmith and Fulham 009","E02000380",2498,907,41,705,454,327,64
2021,"Hammersmith and Fulham 010","E02000381",3546,1372,105,1003,510,465,91
2021,"Hammersmith and Fulham 011","E02000382",2772,1037,50,757,462,396,70
2021,"Hammersmith and Fulham 012","E02000383",4110,1702,132,1054,580,510,132
2021,"Hammersmith and Fulham 013","E02000384",3807,1507,100,1043,584,489,84
2021,"Hammersmith and Fulham 014","E02000385",2850,1188,49,609,486,428,90
2021,"Hammersmith and Fulham 015","E02000386",3367,1235,72,1110,440,438,72
2021,"Hammersmith and Fulham 016","E02000387",2586,933,60,796,338,374,85
2021,"Hammersmith and Fulham 017","E02000388",4134,1592,112,1091,654,587,98
2021,"Hammersmith and Fulham 018","E02000389",3677,1128,92,1133,611,598,115
2021,"Hammersmith and Fulham 019","E02000390",2718,901,79,826,463,409,40
2021,"Hammersmith and Fulham 020","E02000391",3281,1109,102,1024,470,491,85
2021,"Hammersmith and Fulham 021","E02000392",4040,1398,90,1242,613,611,86
2021,"Hammersmith and Fulham 022","E02000393",2588,759,63,811,477,421,57
2021,"Hammersmith and Fulham 023","E02000394",4346,1647,116,1348,599,538,98
2021,"Hammersmith and Fulham 024","E02000395",2640,895,72,806,405,403,59
2021,"Hammersmith and Fulham 025","E02000396",2770,789,67,990,411,449,64
2021,"Haringey 001","E02000397",3472,1231,78,1135,545,367,116
2021,"Haringey 002","E02000398",2880,941,68,1398,201,207,65
2021,"Haringey 004","E02000400",3120,872,67,1116,595,368,102
2021,"Haringey 005","E02000401",2477,615,63,1184,262,270,83
2021,"Haringey 006","E02000402",2425,672,73,1130,238,258,54
2021,"Haringey 007","E02000403",2990,884,78,1037,496,401,94
2021,"Haringey 008","E02000404",2667,738,69,1139,318,308,95
2021,"Haringey 009","E02000405",2462,584,61,589,684,465,79
2021,"Haringey 010","E02000406",2595,727,69,1003,398,306,92
2021,"Haringey 011","E02000407",3004,960,82,1245,361,267,89
2021,"Haringey 012","E02000408",3001,852,62,1426,313,265,83
2021,"Haringey 013","E02000409",2369,710,50,1014,307,231,57
2021,"Haringey 014","E02000410",2614,752,74,591,696,416,85
2021,"Haringey 015","E02000411",3949,1104,75,1591,631,419,129
2021,"Haringey 016","E02000412",2872,969,66,1022,391,306,118
2021,"Haringey 017","E02000413",2963,753,94,827,728,457,104
2021,"Haringey 018","E02000414",2718,768,65,1003,480,294,108
2021,"Haringey 019","E02000415",2836,842,58,1007,482,357,90
2021,"Haringey 020","E02000416",3919,1425,87,945,943,428,91
2021,"Haringey 021","E02000417",2867,951,60,621,686,459,90
2021,"Haringey 022","E02000418",2212,528,43,515,696,362,68
2021,"Haringey 023","E02000419",3645,1110,86,1055,794,501,99
2021,"Haringey 024","E02000420",3434,1184,83,1146,541,387,93
2021,"Haringey 025","E02000421",3140,1013,51,1258,397,334,87
2021,"Haringey 026","E02000422",2888,880,78,1107,447,299,77
2021,"Haringey 027","E02000423",2671,754,50,803,562,390,112
2021,"Haringey 028","E02000424",2985,984,57,568,907,407,62
2021,"Haringey 029","E02000425",2163,464,133,1251,125,145,45
2021,"Haringey 030","E02000426",2743,857,68,780,578,364,96
2021,"Haringey 031","E02000427",2868,926,40,680,755,386,81
2021,"Haringey 032","E02000428",2917,847,90,1147,468,299,66
2021,"Haringey 033","E02000429",3202,1215,75,600,746,487,79
2021,"Haringey 034","E02000430",3249,1217,65,529,929,445,64
2021,"Haringey 035","E02000431",2845,1013,82,489,686,497,78
2021,"Haringey 036","E02000432",2798,982,44,503,801,411,57
